projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java335
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java335g2.setPaint(getItemOutlinePaint(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java335g2.setStroke(getItemOutlineStroke(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java335g2.draw(line);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java335line=newLine2D.Double(lowVal,rectY+rectHeight/2.0d,highVal,rectY+rectHeight/2.0d);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java335line=newLine2D.Double(highVal,rectY+rectHeight/2.0d,lowVal,rectY+rectHeight/2.0d);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java335line=newLine2D.Double(lowVal,rectY+rectWidth/2.0d,highVal,rectY+rectHeight/2.0d);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java335g2.setPaint(getItemOutlinePaint(row,column),this.errorIndicatorPaint);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java335g2.setStroke(getItemOutlineStroke(row,column));g2.setPaint(getItemOutlinePaint(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java335g2.setStroke(getItemOutlineStroke(row,column));g2.setStroke(getItemOutlineStroke(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java335g2.setStroke(getItemOutlineStroke(row,column));g2.draw(line);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java335g2.setPaint(getItemOutlinePaint(row,column));g2.setPaint(getItemOutlinePaint(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java335g2.setPaint(getItemOutlinePaint(row,column));g2.setStroke(getItemOutlineStroke(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java335g2.setPaint(getItemOutlinePaint(row,column));g2.setStroke(getItemOutlinePaint(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java335g2.setStroke(getItemOutlineStroke(row,column));g2.setPaint(getItemPaint(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java335g2.draw(line);if(line!=null){g2.draw(line);}
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java335g2.setPaint(getItemOutlinePaint(row,column));g2.setPaint(getItemInlinePaint(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java335line=newLine2D.Double(lowVal,rectY+rectWidth/2.0d,highVal,rectY+rectHeight*2.0d);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java335g2.setPaint(getItemPaint(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java335line=newLine2D.Double(highVal,rectY+rectHeight/2.0d,lowVal,rectY+rectHeight/2.0d);line=newLine2D.Double(lowVal,rectY+rectHeight/2.0d,lowVal,rectY+rectHeight/2.0d);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java335line=newLine2D.Double(lowVal,rectY+rectWidth/2.0d,highVal,rectY+rectHeight/2.0d);line=newLine2D.Double(lowVal,rectX+rectWidth/2.0d,highVal,rectY+rectHeight/2.0d);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java335g2.setStroke(getItemOutlineStroke(row,column));g2.setStroke(getItemOutlineStroke(row,column),stroke);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java335Line2Dline=newLine2D.Double(lowVal,rectY+rectHeight/2.0d,highVal,rectY+rectHeight/2.0d);
