projects/JacksonCore25/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java240_nameStartOffset-=bufSize;
projects/JacksonCore25/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java240_nameStartOffset-=bufSize+1;
projects/JacksonCore25/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java240_nameStartOffset-=bufSize+2;
projects/JacksonCore25/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java240
projects/JacksonCore25/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java240_nameStartOffset-=bufSize+4;
projects/JacksonCore25/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java240_nameStartOffset-=bufSize-1;
projects/JacksonCore25/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java240_nameStartOffset-=bufSize+1;_nameStartOffset-=bufSize+2;
projects/JacksonCore25/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java240_nameStartOffset-=bufSize+1;_nameEndOffset-=bufSize+1;
projects/JacksonCore25/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java240_nameStartOffset-=bufSize+1;_nameStartOffset+=bufSize+1;
projects/JacksonCore25/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java240_currInputProcessed+=bufSize;_currInputRowStart-=bufSize;
projects/JacksonCore25/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java240_currInputProcessed+=bufSize;
projects/JacksonCore25/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java240_currInputProcessed+=bufSize;_currInputRowEnd-=bufSize;
projects/JacksonCore25/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java240_symbols.clear();
projects/JacksonCore25/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java240_symbols.add(bufSize,0,bufSize);
projects/JacksonCore25/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java240_nameStartOffset-=bufSize+4;_nameStartOffset-=bufSize+4;
projects/JacksonCore25/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java240_nameStartOffset-=bufSize+4;_nameStartOffset-=bufSize+5;
projects/JacksonCore25/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java240_nameStartOffset-=bufSize+4;_nameStartOffset-=bufSize+3;
projects/JacksonCore25/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java240_nameStartOffset-=bufSize+4;_nameEndOffset-=bufSize+4;
projects/JacksonCore25/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java240_nameStartOffset-=bufSize+4;_nameStartOffset-=bufSize+8;
projects/JacksonCore25/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java240_nameStartOffset-=bufSize/1;
projects/JacksonCore25/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java240_reportUnsupportedOperation();
projects/JacksonCore25/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java240_symbols.add(bufSize,bufSize);
projects/JacksonCore25/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java240_symbols.add(bufSize);
projects/JacksonCore25/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java240_nameStartOffset-=bufSize+2;_nameEndOffset-=bufSize+2;
projects/JacksonCore25/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java240_nameStartOffset-=bufSize*1;
projects/JacksonCore25/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java240if(_inputPtr>0){finalint[]inputBuffer=_reader.readInputBuffer();if(inputBuffer!=null){returnfalse;}
projects/JacksonCore25/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java240if(_inputPtr>0){finalint[]inputBuffer=_inputInputBuffer;if(inputBuffer!=null){returnfalse;}
projects/JacksonCore25/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java240if(_inputPtr>0){finalint[]inputBuffer=_reader.readInputBuffer();if(inputBuffer!=null){returntrue;}
projects/JacksonCore25/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java240_nameStartOffset-=bufSize-1;int_nameStartOffset-=bufSize-1;
projects/JacksonCore25/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java240_nameStartOffset-=bufSize/2;
projects/JacksonCore25/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java240_nameStartOffset-=bufSize*2;
projects/JacksonCore25/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java240_nameStartOffset-=bufSize+1;_nameStartOffset-=bufSsize+1;
projects/JacksonCore25/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java240if(_inputPtr>0){finalint[]inputBuffer=_inputInputBuffer;if(inputBuffer!=null){returntrue;}
projects/JacksonCore25/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java240_nameStartOffset-=bufSize+2;_nameStartOffset-=bufSize+4;
projects/JacksonCore25/src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java240_nameStartOffset-=bufSize*4;
