projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java475register(value);
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java475appendSummarySize(buffer,fieldName,value);
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java475if(valueinstanceofCollection){appendSummarySize(buffer,fieldName,((Collection<?>)value).size());}else{appendSummarySize(buffer,fieldName,value.getClass().getName());}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java475if(detail){appendSummarySize(buffer,fieldName,value);}else{appendSummarySize(buffer,fieldName,((Map<?>)value).size());}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java475if(detail){appendDetail(buffer,fieldName,value);}else{appendSummarySize(buffer,fieldName,((Map<?>)value).size());}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java475if(valueinstanceofMap){appendSummarySize(buffer,fieldName,(Map<?,?>)value);}else{appendSummarySize(buffer,fieldName,value.size());}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java475appendInternal(buffer,fieldName,value);
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java475if(valueinstanceofCollection){appendSummarySize(buffer,fieldName,((Collection<?>)value).size());}else{appendSummarySize(buffer,fieldName,((Map<?>)value).size());}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java475if(detail){appendDetail(buffer,fieldName,(Object<?>)value);}else{appendSummarySize(buffer,fieldName,value.size());}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java475if(detail){appendSummarySize(buffer,fieldName,((Map<?>)value).size());}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java475if(detail){appendDetail(buffer,fieldName,((Collection<?>)value).size());}else{appendSummarySize(buffer,fieldName,value.getClass().getName());}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java475if(detail){appendDetail(buffer,fieldName,((Map<?>)value).size());}else{appendSummarySize(buffer,fieldName,null);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java475if(detail){appendSummarySize(buffer,fieldName,((Map<?>)value).size());}else{appendSummarySize(buffer,fieldName,value.toString());}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java475if(detail){appendDetail(buffer,fieldName,((Map<?>)value).size());}else{appendSummarySize(buffer,fieldName,value.toString());}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java475if(detail){appendSummarySize(buffer,fieldName,((Map<?>)value).size());}else{appendSummarySize(buffer,fieldName,null);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java475
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java876appendDetail(buffer,fieldName,array);
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java876appendDetail(buffer,fieldName,array,null);
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java876appendSummary(buffer,fieldName,array);
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java876appendFieldDetail(buffer,fieldName,array);
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java876appendDetail(buffer,fieldName,array,false);
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java876appendFunctionDetail(buffer,fieldName,array);
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java876if(fullDetail!=null){appendDetail(buffer,fieldName,array);}else{appendSummaryEnd(buffer,fieldName);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java876if(fullDetail!=null){appendDetail(buffer,fieldName,array);}else{appendSummary(buffer,fieldName);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java876if(fullDetail!=null){appendDetail(buffer,fieldName,array);}else{appendFieldEnd(buffer,fieldName);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java876if(fullDetail!=null){appendDetail(buffer,fieldName,array);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java876appendMutableSummary(buffer,fieldName,array);
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java876appendDetail(buffer,fieldName,array,0);
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java876appendBoolean(buffer,fieldName,array);
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java876if(fullDetail!=null){appendDetail(buffer,fieldName,array);}else{appendSummary(buffer,fieldName,array);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java876appendDetail(buffer,fieldName,array,true);
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java876if(fullDetail!=null){appendDetail(buffer,fieldName,array);}else{appendIndexedFieldEnd(buffer,fieldName);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java876appendDetail(buffer,fieldName,array,nameEnd);
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java876if(fullDetail!=null){appendDetail(buffer,fieldName,array);}else{appendBooleanEnd(buffer,fieldName);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java876if(fullDetail!=null){appendDetail(buffer,fieldName,array);}else{appendNull(buffer,fieldName);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java876appendFieldName(buffer,fieldName,array);
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java876appendDetail(buffer,fieldName,array,style);
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java876if(fullDetail!=null){appendDetail(buffer,fieldName,array);}else{appendSummaryStart(buffer,fieldName);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java876if(fullDetail!=null){appendDetail(buffer,fieldName,array);}else{appendRangeEnd(buffer,fieldName);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java876if(fullDetail!=null){appendDetail(buffer,fieldName,array);}else{appendEnd(buffer,fieldName);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java876if(fullDetail!=null){appendDetail(buffer,fieldName,array);}else{appendColumnEnd(buffer,fieldName);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java876if(fullDetail!=null){appendDetail(buffer,fieldName,array);}else{appendFunctionEnd(buffer,fieldName);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java876if(fullDetail!=null){appendDetail(buffer,fieldName,array);}else{appendFieldStart(buffer,fieldName);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java876if(fullDetail!=null){appendDetail(buffer,fieldName,array);}else{appendFieldSummary(buffer,fieldName);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java876appendFieldEnd(buffer,fieldName,array);
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java876if(fullDetail!=null){appendDetail(buffer,fieldName,array);}else{appendMutator(buffer,fieldName);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java876
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java876appendFullDetail(buffer,fieldName,array);
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java876if(fullDetail!=null){appendDetail(buffer,fieldName,array);}else{appendIndividual(buffer,fieldName,array);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java876if(fullDetail!=null){appendDetail(buffer,fieldName,array);}else{appendStringEnd(buffer,fieldName);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java876if(fullDetail!=null){appendDetail(buffer,fieldName,array);}else{appendFieldLength(buffer,fieldName);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java876if(fullDetail!=null){appendDetail(buffer,fieldName,array);}else{appendFullDetail(buffer,fieldName);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java876if(fullDetail!=null){appendDetail(buffer,fieldName,array);}else{appendUnsupportedOperation(buffer,fieldName);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java876if(fullDetail!=null){appendDetail(buffer,fieldName,array);}else{appendBoolean(buffer,fieldName);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java876if(fullDetail!=null){appendDetail(buffer,fieldName,array);}else{appendFloat(buffer,fieldName);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java876if(fullDetail==null){appendDetail(buffer,fieldName,array);}else{appendSummary(buffer,fieldName,array);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java876if(fullDetail==null){appendDetail(buffer,fieldName,array);}else{appendFieldEnd(buffer,fieldName);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java876if(fullDetail==null){appendDetail(buffer,fieldName,array);}else{appendSummary(buffer,fieldName);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java876if(fullDetail!=null){appendDetail(buffer,fieldName,array);}else{appendIndent(buffer,fieldName,array);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java876if(fullDetail!=null){appendDetail(buffer,fieldName,array);}else{appendStart(buffer,fieldName);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java876if(fullDetail==null){appendDetail(buffer,fieldName,array);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java876if(fullDetail!=null){appendDetail(buffer,fieldName,array);}else{appendNull();}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java876if(fullDetail!=null){appendDetail(buffer,fieldName,array);}else{appendPrefix(buffer,fieldName);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java876if(fullDetail!=null){appendDetail(buffer,fieldName,array);}else{appendInteger(buffer,fieldName,array);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java876if(fullDetail!=null){appendDetail(buffer,fieldName,array);}else{appendFieldSummary(buffer,fieldName,array);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557appendDetail(buffer,fieldName,value);
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557appendInternal(buffer,fieldName,value);
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557appendDetail(buffer,fieldName,value,detail);
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557appendDetail(buffer,fieldName,value,description);
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557appendSummary(buffer,fieldName,value);
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557if(detail){appendDetail(buffer,fieldName,value);}else{appendSummary(buffer,fieldName,value);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557if(detail){appendDetail(buffer,fieldName,value);}else{appendInternal(buffer,fieldName,value);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557appendDetail(buffer,fieldName,value,this);
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557appendDetail(buffer,fieldName,value,null);
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557appendFieldName(buffer,fieldName,value);
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557if(detail){appendDetail(buffer,fieldName,value);}else{appendEndSummary(buffer,fieldName,value);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557appendDetail(buffer,fieldName,value,false);
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557if(detail){appendDetail(buffer,fieldName,value);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557if(detail){appendDetail(buffer,fieldName,value);}else{appendFieldName(buffer,fieldName,value);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557if(detail){appendDetail(buffer,fieldName,value);}else{appendDouble(buffer,fieldName,value);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557appendDetail(buffer,fieldName,value,0);
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557if(detail){appendDetail(buffer,fieldName,value);}else{appendUndecorated(buffer,fieldName,value);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557if(detail){appendDetail(buffer,fieldName,value);}else{appendStartSummary(buffer,fieldName,value);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557if(detail){appendDetail(buffer,fieldName,value);}else{appendMutator(buffer,fieldName,value);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557if(detail){appendDetail(buffer,fieldName,value);}else{appendIndividual(buffer,fieldName,value);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557if(detail){appendDetail(buffer,fieldName,value);}else{appendDetail(buffer,fieldName,value);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557if(detail){appendDetail(buffer,fieldName,value);}else{appendDesc(buffer,fieldName,value);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557if(detail){appendDetail(buffer,fieldName,value);}else{appendInternal(buffer,fieldName,null);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557appendDetail(buffer,fieldName,value,this.detail);
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557appendDetail(buffer,fieldName,value,DEFAULT_STYLE);
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557if(detail){appendDetail(buffer,fieldName,value);}else{appendInteger(buffer,fieldName,value);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557if(detail){appendDetail(buffer,fieldName,value);}else{appendIntrospector(buffer,fieldName,value);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557appendDetail(buffer,fieldName,value,info);
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557appendMutableSummary(buffer,fieldName,value);
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557if(detail){appendDetail(buffer,fieldName,value);}else{appendEscaped(buffer,fieldName,value);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557if(detail){appendDetail(buffer,fieldName,value);}else{appendUnexpectedInternal(buffer,fieldName,value);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557if(detail){appendDetail(buffer,fieldName,value);}else{appendStartObject(buffer,fieldName,value);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557if(detail){appendDetail(buffer,fieldName,value);}else{appendBounds(buffer,fieldName,value);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557if(detail){appendDetail(buffer,fieldName,value);}else{appendError(buffer,fieldName,value);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557if(detail){appendDetail(buffer,fieldName,value);}else{buffer.append('n');}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557if(detail){appendDetail(buffer,fieldName,value);}else{appendFieldNameToStringStyle(buffer,fieldName,value);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557if(detail){appendDetail(buffer,fieldName,value);}else{appendIndent(buffer,fieldName,value);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557if(detail){appendDetail(buffer,fieldName,value);}else{appendWhitespace(buffer,fieldName,value);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557if(detail){appendDetail(buffer,fieldName,value);}else{appendString(buffer,fieldName,value);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557if(detail){appendDetail(buffer,fieldName,value);}else{buffer.append('ufffd');}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557if(detail){appendDetail(buffer,fieldName,value);}else{appendPrefixToStringStyle(buffer,fieldName,value);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557if(detail){appendDetail(buffer,fieldName,value);}else{appendSubString(buffer,fieldName,value);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557if(detail){appendDetail(buffer,fieldName,value);}else{appendInternal(buffer,fieldName,value.toString());}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557if(detail){appendDetail(buffer,fieldName,value);}else{appendProperty(buffer,fieldName,value);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557if(detail){appendDetail(buffer,fieldName,value);}else{appendLong(buffer,fieldName,value);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557if(detail>0){appendDetail(buffer,fieldName,value);}else{appendInternal(buffer,fieldName,value);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557if(detail>0){appendDetail(buffer,fieldName,value);}else{appendSummary(buffer,fieldName,value);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557if(detail>0){appendDetail(buffer,fieldName,value);}else{appendFieldName(buffer,fieldName,value);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557if(detail>0){appendDetail(buffer,fieldName,value);}else{appendIndividual(buffer,fieldName,value);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557if(detail>0){appendDetail(buffer,fieldName,value);}else{appendStartObject(buffer,fieldName,value);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557if(detail>0){appendDetail(buffer,fieldName,value);}else{appendIndent(buffer,fieldName,value);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557if(detail>0){appendDetail(buffer,fieldName,value);}else{appendFieldNameToStringStyle(buffer,fieldName,value);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557if(detail>0){appendDetail(buffer,fieldName,value);}else{appendInteger(buffer,fieldName,value);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557if(detail>0){appendDetail(buffer,fieldName,value);}else{appendString(buffer,fieldName,value);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557if(detail>0){appendDetail(buffer,fieldName,value);}else{appendEscaped(buffer,fieldName,value);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557if(detail>0){appendDetail(buffer,fieldName,value);}else{appendDouble(buffer,fieldName,value);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557if(detail>0){appendDetail(buffer,fieldName,value);}else{appendBounds(buffer,fieldName,value);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557if(detail>0){appendDetail(buffer,fieldName,value);}else{appendInternal(buffer,fieldName,null);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557if(detail>0){appendDetail(buffer,fieldName,value);}else{appendMutator(buffer,fieldName,value);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557if(detail>0){appendDetail(buffer,fieldName,value);}else{appendNumber(buffer,fieldName,value);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557if(detail>0){appendDetail(buffer,fieldName,value);}else{appendLong(buffer,fieldName,value);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557if(detail>0){appendDetail(buffer,fieldName,value);}else{appendSubString(buffer,fieldName,value);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557if(detail>0){appendDetail(buffer,fieldName,value);}else{appendProperty(buffer,fieldName,value);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557if(detail>0){appendDetail(buffer,fieldName,value);}else{appendIntProperty(buffer,fieldName,value);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557if(detail>0){appendDetail(buffer,fieldName,value);}
projects/Lang34/src/main/java/org/apache/commons/lang3/builder/ToStringStyle.java557if(detail>0){appendDetail(buffer,fieldName,value);}else{appendUnexpectedInternal(buffer,fieldName,value);}
