bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
this_action1	[BUG]  [BUGGY]  [FE]  StringIndexOutOfBoundsException  testRenderWrappedTextWordCut  [CONTEXT]  {  int  pos;  if  (((pos  =  text.indexOf('\n',  startPos))  !=  -1  &&  pos  <=  width)  ||  ((pos  =  text.indexOf('\t',  startPos))  !=  -1  &&  pos  <=  width))  {  return  pos  +  1;  }  [BUGGY]  else  if(pos  +  width  >=  text.length())  {  [BUGGY]  {  return  -1;  }    pos  =  startPos  +  width;  char  c;  [CLASS]  HelpFormatter  OptionComparator  [METHOD]  findWrapPos  [RETURN_TYPE]  int  String  text  int  width  int  startPos  [VARIABLES]  char  c  String  DEFAULT_ARG_NAME  DEFAULT_LONG_OPT_PREFIX  DEFAULT_LONG_OPT_SEPARATOR  DEFAULT_OPT_PREFIX  DEFAULT_SYNTAX_PREFIX  app  argName  cmdLineSyntax  defaultArgName  defaultLongOptPrefix  defaultNewLine  defaultOptPrefix  defaultSyntaxPrefix  dpad  footer  header  longOptSeparator  lpad  name  newline  padding  prefix  text  boolean  int  DEFAULT_DESC_PAD  DEFAULT_LEFT_PAD  DEFAULT_WIDTH  argPos  defaultDescPad  defaultLeftPad  defaultWidth  descPad  leftPad  max  nextLineTabStop  padding  pos  startPos  width  x  Comparator  comparator  optionComparator  	projects/Cli32/src/main/java/org/apache/commons/cli/HelpFormatter.java	0.3086066999241838	912	913	2	add	else  if(pos  +  width  >=  text.length())  {	else  if  (startPos  +  width  >=  text.length())  {  	compilable	  [FE]  StringIndexOutOfBoundsException  testRenderWrappedTextWordCut	18	2
93	[BUG]  [BUGGY]    pos  =  text.substring(startPos);  [CE]  incompatible  types  [CONTEXT]  {  return  pos  +  1;  }  else  if  (startPos  +  width  >=  text.length())  {  return  -1;  }    [BUGGY]    pos  =  text.substring(startPos);  [BUGGY]  pos  =  startPos  +  width;  char  c;  while  ((pos  >=  startPos)  &&  ((c  =  text.charAt(pos))  !=  '  ')  &&  (c  !=  '\n')  &&  (c  !=  '\r'))  {  --pos;  }    [CLASS]  HelpFormatter  OptionComparator  [METHOD]  findWrapPos  [RETURN_TYPE]  int  String  text  int  width  int  startPos  [VARIABLES]  char  c  String  DEFAULT_ARG_NAME  DEFAULT_LONG_OPT_PREFIX  DEFAULT_LONG_OPT_SEPARATOR  DEFAULT_OPT_PREFIX  DEFAULT_SYNTAX_PREFIX  app  argName  cmdLineSyntax  defaultArgName  defaultLongOptPrefix  defaultNewLine  defaultOptPrefix  defaultSyntaxPrefix  dpad  footer  header  longOptSeparator  lpad  name  newline  padding  prefix  text  boolean  int  DEFAULT_DESC_PAD  DEFAULT_LEFT_PAD  DEFAULT_WIDTH  argPos  defaultDescPad  defaultLeftPad  defaultWidth  descPad  leftPad  max  nextLineTabStop  padding  pos  startPos  width  x  Comparator  comparator  optionComparator  	projects/Cli32/src/main/java/org/apache/commons/cli/HelpFormatter.java	0.5345224838248488	919	919	2	replace	    pos  =  text.substring(startPos);		non-compiled	[CE]  incompatible  types	10	None	add
94	[BUG]  [BUGGY]    while((  startPos  +  width)>  text.length())  {  pos++;  [CE]  illegal  start  of  expression  [CONTEXT]  {  return  pos  +  1;  }  else  if  (startPos  +  width  >=  text.length())  {  return  -1;  }    [BUGGY]    while((  startPos  +  width)>  text.length())  {  pos++;  [BUGGY]  pos  =  startPos  +  width;  char  c;  while  ((pos  >=  startPos)  &&  ((c  =  text.charAt(pos))  !=  '  ')  &&  (c  !=  '\n')  &&  (c  !=  '\r'))  {  --pos;  }    [CLASS]  HelpFormatter  OptionComparator  [METHOD]  findWrapPos  [RETURN_TYPE]  int  String  text  int  width  int  startPos  [VARIABLES]  char  c  String  DEFAULT_ARG_NAME  DEFAULT_LONG_OPT_PREFIX  DEFAULT_LONG_OPT_SEPARATOR  DEFAULT_OPT_PREFIX  DEFAULT_SYNTAX_PREFIX  app  argName  cmdLineSyntax  defaultArgName  defaultLongOptPrefix  defaultNewLine  defaultOptPrefix  defaultSyntaxPrefix  dpad  footer  header  longOptSeparator  lpad  name  newline  padding  prefix  text  boolean  int  DEFAULT_DESC_PAD  DEFAULT_LEFT_PAD  DEFAULT_WIDTH  argPos  defaultDescPad  defaultLeftPad  defaultWidth  descPad  leftPad  max  nextLineTabStop  padding  pos  startPos  width  x  Comparator  comparator  optionComparator  	projects/Cli32/src/main/java/org/apache/commons/cli/HelpFormatter.java	0.5345224838248488	919	919	2	replace	    while((  startPos  +  width)>  text.length())  {  pos++;		non-compiled	[CE]  illegal  start  of  expression	10	None	add
111	[BUG]  [BUGGY]    &&((  pos  >=  startPos)&&(c  =  text.charAt(pos))!=''))  {  pos++;  [CE]  empty  character  literal  [CONTEXT]  return  -1;  }    pos  =  startPos  +  width;  char  c;  while  ((pos  >=  startPos)  &&  ((c  =  text.charAt(pos))  !=  '  ')  [BUGGY]    &&((  pos  >=  startPos)&&(c  =  text.charAt(pos))!=''))  {  pos++;  [BUGGY]  &&  (c  !=  '\n')  &&  (c  !=  '\r'))  {  {  --pos;  }  if  (pos  >  startPos)  {  return  pos;  }  [CLASS]  HelpFormatter  OptionComparator  [METHOD]  findWrapPos  [RETURN_TYPE]  int  String  text  int  width  int  startPos  [VARIABLES]  char  c  String  DEFAULT_ARG_NAME  DEFAULT_LONG_OPT_PREFIX  DEFAULT_LONG_OPT_SEPARATOR  DEFAULT_OPT_PREFIX  DEFAULT_SYNTAX_PREFIX  app  argName  cmdLineSyntax  defaultArgName  defaultLongOptPrefix  defaultNewLine  defaultOptPrefix  defaultSyntaxPrefix  dpad  footer  header  longOptSeparator  lpad  name  newline  padding  prefix  text  boolean  int  DEFAULT_DESC_PAD  DEFAULT_LEFT_PAD  DEFAULT_WIDTH  argPos  defaultDescPad  defaultLeftPad  defaultWidth  descPad  leftPad  max  nextLineTabStop  padding  pos  startPos  width  x  Comparator  comparator  optionComparator  	projects/Cli32/src/main/java/org/apache/commons/cli/HelpFormatter.java	0.5345224838248488	924	925	2	replace	    &&((  pos  >=  startPos)&&(c  =  text.charAt(pos))!=''))  {  pos++;		non-compiled	[CE]  empty  character  literal	12	None	add
112	[BUG]  [BUGGY]    &&(c  =  text.charAt(pos))!=''))  {  pos++;  [CE]  empty  character  literal  [CONTEXT]  return  -1;  }    pos  =  startPos  +  width;  char  c;  while  ((pos  >=  startPos)  &&  ((c  =  text.charAt(pos))  !=  '  ')  [BUGGY]    &&(c  =  text.charAt(pos))!=''))  {  pos++;  [BUGGY]  &&  (c  !=  '\n')  &&  (c  !=  '\r'))  {  {  --pos;  }  if  (pos  >  startPos)  {  return  pos;  }  [CLASS]  HelpFormatter  OptionComparator  [METHOD]  findWrapPos  [RETURN_TYPE]  int  String  text  int  width  int  startPos  [VARIABLES]  char  c  String  DEFAULT_ARG_NAME  DEFAULT_LONG_OPT_PREFIX  DEFAULT_LONG_OPT_SEPARATOR  DEFAULT_OPT_PREFIX  DEFAULT_SYNTAX_PREFIX  app  argName  cmdLineSyntax  defaultArgName  defaultLongOptPrefix  defaultNewLine  defaultOptPrefix  defaultSyntaxPrefix  dpad  footer  header  longOptSeparator  lpad  name  newline  padding  prefix  text  boolean  int  DEFAULT_DESC_PAD  DEFAULT_LEFT_PAD  DEFAULT_WIDTH  argPos  defaultDescPad  defaultLeftPad  defaultWidth  descPad  leftPad  max  nextLineTabStop  padding  pos  startPos  width  x  Comparator  comparator  optionComparator  	projects/Cli32/src/main/java/org/apache/commons/cli/HelpFormatter.java	0.5345224838248488	924	925	2	replace	    &&(c  =  text.charAt(pos))!=''))  {  pos++;		non-compiled	[CE]  empty  character  literal	12	None	add
113	[BUG]  [BUGGY]    &&(c  =  text.charAt(pos))!=''))  {  pos  +=  startPos;  [CE]  empty  character  literal  [CONTEXT]  return  -1;  }    pos  =  startPos  +  width;  char  c;  while  ((pos  >=  startPos)  &&  ((c  =  text.charAt(pos))  !=  '  ')  [BUGGY]    &&(c  =  text.charAt(pos))!=''))  {  pos  +=  startPos;  [BUGGY]  &&  (c  !=  '\n')  &&  (c  !=  '\r'))  {  {  --pos;  }  if  (pos  >  startPos)  {  return  pos;  }  [CLASS]  HelpFormatter  OptionComparator  [METHOD]  findWrapPos  [RETURN_TYPE]  int  String  text  int  width  int  startPos  [VARIABLES]  char  c  String  DEFAULT_ARG_NAME  DEFAULT_LONG_OPT_PREFIX  DEFAULT_LONG_OPT_SEPARATOR  DEFAULT_OPT_PREFIX  DEFAULT_SYNTAX_PREFIX  app  argName  cmdLineSyntax  defaultArgName  defaultLongOptPrefix  defaultNewLine  defaultOptPrefix  defaultSyntaxPrefix  dpad  footer  header  longOptSeparator  lpad  name  newline  padding  prefix  text  boolean  int  DEFAULT_DESC_PAD  DEFAULT_LEFT_PAD  DEFAULT_WIDTH  argPos  defaultDescPad  defaultLeftPad  defaultWidth  descPad  leftPad  max  nextLineTabStop  padding  pos  startPos  width  x  Comparator  comparator  optionComparator  	projects/Cli32/src/main/java/org/apache/commons/cli/HelpFormatter.java	0.5345224838248488	924	925	2	replace	    &&(c  =  text.charAt(pos))!=''))  {  pos  +=  startPos;		non-compiled	[CE]  empty  character  literal	12	None	add
114	[BUG]  [BUGGY]    &&(c  =  text.charAt(pos))!='')  {  pos++;  [CE]  empty  character  literal  [CONTEXT]  return  -1;  }    pos  =  startPos  +  width;  char  c;  while  ((pos  >=  startPos)  &&  ((c  =  text.charAt(pos))  !=  '  ')  [BUGGY]    &&(c  =  text.charAt(pos))!='')  {  pos++;  [BUGGY]  &&  (c  !=  '\n')  &&  (c  !=  '\r'))  {  {  --pos;  }  if  (pos  >  startPos)  {  return  pos;  }  [CLASS]  HelpFormatter  OptionComparator  [METHOD]  findWrapPos  [RETURN_TYPE]  int  String  text  int  width  int  startPos  [VARIABLES]  char  c  String  DEFAULT_ARG_NAME  DEFAULT_LONG_OPT_PREFIX  DEFAULT_LONG_OPT_SEPARATOR  DEFAULT_OPT_PREFIX  DEFAULT_SYNTAX_PREFIX  app  argName  cmdLineSyntax  defaultArgName  defaultLongOptPrefix  defaultNewLine  defaultOptPrefix  defaultSyntaxPrefix  dpad  footer  header  longOptSeparator  lpad  name  newline  padding  prefix  text  boolean  int  DEFAULT_DESC_PAD  DEFAULT_LEFT_PAD  DEFAULT_WIDTH  argPos  defaultDescPad  defaultLeftPad  defaultWidth  descPad  leftPad  max  nextLineTabStop  padding  pos  startPos  width  x  Comparator  comparator  optionComparator  	projects/Cli32/src/main/java/org/apache/commons/cli/HelpFormatter.java	0.5345224838248488	924	925	2	replace	    &&(c  =  text.charAt(pos))!='')  {  pos++;		non-compiled	[CE]  empty  character  literal	12	None	add
115	[BUG]  [BUGGY]    &&((  pos  >=  startPos)&&(c  =  text.charAt(pos))!=''))  {  pos;  [CE]  empty  character  literal  [CONTEXT]  return  -1;  }    pos  =  startPos  +  width;  char  c;  while  ((pos  >=  startPos)  &&  ((c  =  text.charAt(pos))  !=  '  ')  [BUGGY]    &&((  pos  >=  startPos)&&(c  =  text.charAt(pos))!=''))  {  pos;  [BUGGY]  &&  (c  !=  '\n')  &&  (c  !=  '\r'))  {  {  --pos;  }  if  (pos  >  startPos)  {  return  pos;  }  [CLASS]  HelpFormatter  OptionComparator  [METHOD]  findWrapPos  [RETURN_TYPE]  int  String  text  int  width  int  startPos  [VARIABLES]  char  c  String  DEFAULT_ARG_NAME  DEFAULT_LONG_OPT_PREFIX  DEFAULT_LONG_OPT_SEPARATOR  DEFAULT_OPT_PREFIX  DEFAULT_SYNTAX_PREFIX  app  argName  cmdLineSyntax  defaultArgName  defaultLongOptPrefix  defaultNewLine  defaultOptPrefix  defaultSyntaxPrefix  dpad  footer  header  longOptSeparator  lpad  name  newline  padding  prefix  text  boolean  int  DEFAULT_DESC_PAD  DEFAULT_LEFT_PAD  DEFAULT_WIDTH  argPos  defaultDescPad  defaultLeftPad  defaultWidth  descPad  leftPad  max  nextLineTabStop  padding  pos  startPos  width  x  Comparator  comparator  optionComparator  	projects/Cli32/src/main/java/org/apache/commons/cli/HelpFormatter.java	0.5345224838248488	924	925	2	replace	    &&((  pos  >=  startPos)&&(c  =  text.charAt(pos))!=''))  {  pos;		non-compiled	[CE]  empty  character  literal	12	None	add
121	[BUG]  [BUGGY]    char  c  =  text.charAt(pos);  [CE]  variable  c  is  already  defined  in  method  findWrapPos(String,int,int)  [CONTEXT]  --pos;  }  if  (pos  >  startPos)  {  return  pos;  }    [BUGGY]    char  c  =  text.charAt(pos);  [BUGGY]  pos  =  startPos  +  width;  while  ((pos  <=  text.length())  &&  ((c  =  text.charAt(pos))  !=  '  ')  &&  (c  !=  '\n')  &&  (c  !=  '\r'))  {  ++pos;  }  return  pos  ==  text.length()  ?  -1  :  pos;  }  [CLASS]  HelpFormatter  OptionComparator  [METHOD]  findWrapPos  [RETURN_TYPE]  int  String  text  int  width  int  startPos  [VARIABLES]  char  c  String  DEFAULT_ARG_NAME  DEFAULT_LONG_OPT_PREFIX  DEFAULT_LONG_OPT_SEPARATOR  DEFAULT_OPT_PREFIX  DEFAULT_SYNTAX_PREFIX  app  argName  cmdLineSyntax  defaultArgName  defaultLongOptPrefix  defaultNewLine  defaultOptPrefix  defaultSyntaxPrefix  dpad  footer  header  longOptSeparator  lpad  name  newline  padding  prefix  text  boolean  int  DEFAULT_DESC_PAD  DEFAULT_LEFT_PAD  DEFAULT_WIDTH  argPos  defaultDescPad  defaultLeftPad  defaultWidth  descPad  leftPad  max  nextLineTabStop  padding  pos  startPos  width  x  Comparator  comparator  optionComparator  	projects/Cli32/src/main/java/org/apache/commons/cli/HelpFormatter.java	1.0	936	936	2	replace	    char  c  =  text.charAt(pos);		non-compiled	[CE]  variable  c  is  already  defined  in  method  findWrapPos(String,int,int)	2	None	add
122	[BUG]  [BUGGY]    text.getChars(0,  pos,  c,  startPos);  [CE]  no  suitable  method  found  for  getChars(int,int,char,int)  [CONTEXT]  --pos;  }  if  (pos  >  startPos)  {  return  pos;  }    [BUGGY]    text.getChars(0,  pos,  c,  startPos);  [BUGGY]  pos  =  startPos  +  width;  while  ((pos  <=  text.length())  &&  ((c  =  text.charAt(pos))  !=  '  ')  &&  (c  !=  '\n')  &&  (c  !=  '\r'))  {  ++pos;  }  return  pos  ==  text.length()  ?  -1  :  pos;  }  [CLASS]  HelpFormatter  OptionComparator  [METHOD]  findWrapPos  [RETURN_TYPE]  int  String  text  int  width  int  startPos  [VARIABLES]  char  c  String  DEFAULT_ARG_NAME  DEFAULT_LONG_OPT_PREFIX  DEFAULT_LONG_OPT_SEPARATOR  DEFAULT_OPT_PREFIX  DEFAULT_SYNTAX_PREFIX  app  argName  cmdLineSyntax  defaultArgName  defaultLongOptPrefix  defaultNewLine  defaultOptPrefix  defaultSyntaxPrefix  dpad  footer  header  longOptSeparator  lpad  name  newline  padding  prefix  text  boolean  int  DEFAULT_DESC_PAD  DEFAULT_LEFT_PAD  DEFAULT_WIDTH  argPos  defaultDescPad  defaultLeftPad  defaultWidth  descPad  leftPad  max  nextLineTabStop  padding  pos  startPos  width  x  Comparator  comparator  optionComparator  	projects/Cli32/src/main/java/org/apache/commons/cli/HelpFormatter.java	1.0	936	936	2	replace	    text.getChars(0,  pos,  c,  startPos);		non-compiled	[CE]  no  suitable  method  found  for  getChars(int,int,char,int)	2	None	add
123	[BUG]  [BUGGY]    char  c  =  text.charAt(pos));  [CE]  ';'  expected  [CONTEXT]  --pos;  }  if  (pos  >  startPos)  {  return  pos;  }    [BUGGY]    char  c  =  text.charAt(pos));  [BUGGY]  pos  =  startPos  +  width;  while  ((pos  <=  text.length())  &&  ((c  =  text.charAt(pos))  !=  '  ')  &&  (c  !=  '\n')  &&  (c  !=  '\r'))  {  ++pos;  }  return  pos  ==  text.length()  ?  -1  :  pos;  }  [CLASS]  HelpFormatter  OptionComparator  [METHOD]  findWrapPos  [RETURN_TYPE]  int  String  text  int  width  int  startPos  [VARIABLES]  char  c  String  DEFAULT_ARG_NAME  DEFAULT_LONG_OPT_PREFIX  DEFAULT_LONG_OPT_SEPARATOR  DEFAULT_OPT_PREFIX  DEFAULT_SYNTAX_PREFIX  app  argName  cmdLineSyntax  defaultArgName  defaultLongOptPrefix  defaultNewLine  defaultOptPrefix  defaultSyntaxPrefix  dpad  footer  header  longOptSeparator  lpad  name  newline  padding  prefix  text  boolean  int  DEFAULT_DESC_PAD  DEFAULT_LEFT_PAD  DEFAULT_WIDTH  argPos  defaultDescPad  defaultLeftPad  defaultWidth  descPad  leftPad  max  nextLineTabStop  padding  pos  startPos  width  x  Comparator  comparator  optionComparator  	projects/Cli32/src/main/java/org/apache/commons/cli/HelpFormatter.java	1.0	936	936	2	replace	    char  c  =  text.charAt(pos));		non-compiled	[CE]  ';'  expected	2	None	add
124	[BUG]  [BUGGY]    char  c  =  text.charAt(0);  [CE]  variable  c  is  already  defined  in  method  findWrapPos(String,int,int)  [CONTEXT]  --pos;  }  if  (pos  >  startPos)  {  return  pos;  }    [BUGGY]    char  c  =  text.charAt(0);  [BUGGY]  pos  =  startPos  +  width;  while  ((pos  <=  text.length())  &&  ((c  =  text.charAt(pos))  !=  '  ')  &&  (c  !=  '\n')  &&  (c  !=  '\r'))  {  ++pos;  }  return  pos  ==  text.length()  ?  -1  :  pos;  }  [CLASS]  HelpFormatter  OptionComparator  [METHOD]  findWrapPos  [RETURN_TYPE]  int  String  text  int  width  int  startPos  [VARIABLES]  char  c  String  DEFAULT_ARG_NAME  DEFAULT_LONG_OPT_PREFIX  DEFAULT_LONG_OPT_SEPARATOR  DEFAULT_OPT_PREFIX  DEFAULT_SYNTAX_PREFIX  app  argName  cmdLineSyntax  defaultArgName  defaultLongOptPrefix  defaultNewLine  defaultOptPrefix  defaultSyntaxPrefix  dpad  footer  header  longOptSeparator  lpad  name  newline  padding  prefix  text  boolean  int  DEFAULT_DESC_PAD  DEFAULT_LEFT_PAD  DEFAULT_WIDTH  argPos  defaultDescPad  defaultLeftPad  defaultWidth  descPad  leftPad  max  nextLineTabStop  padding  pos  startPos  width  x  Comparator  comparator  optionComparator  	projects/Cli32/src/main/java/org/apache/commons/cli/HelpFormatter.java	1.0	936	936	2	replace	    char  c  =  text.charAt(0);		non-compiled	[CE]  variable  c  is  already  defined  in  method  findWrapPos(String,int,int)	2	None	add
125	[BUG]  [BUGGY]    text.getChars(0,  startPos,  pos);  [CE]  no  suitable  method  found  for  getChars(int,int,int)  [CONTEXT]  --pos;  }  if  (pos  >  startPos)  {  return  pos;  }    [BUGGY]    text.getChars(0,  startPos,  pos);  [BUGGY]  pos  =  startPos  +  width;  while  ((pos  <=  text.length())  &&  ((c  =  text.charAt(pos))  !=  '  ')  &&  (c  !=  '\n')  &&  (c  !=  '\r'))  {  ++pos;  }  return  pos  ==  text.length()  ?  -1  :  pos;  }  [CLASS]  HelpFormatter  OptionComparator  [METHOD]  findWrapPos  [RETURN_TYPE]  int  String  text  int  width  int  startPos  [VARIABLES]  char  c  String  DEFAULT_ARG_NAME  DEFAULT_LONG_OPT_PREFIX  DEFAULT_LONG_OPT_SEPARATOR  DEFAULT_OPT_PREFIX  DEFAULT_SYNTAX_PREFIX  app  argName  cmdLineSyntax  defaultArgName  defaultLongOptPrefix  defaultNewLine  defaultOptPrefix  defaultSyntaxPrefix  dpad  footer  header  longOptSeparator  lpad  name  newline  padding  prefix  text  boolean  int  DEFAULT_DESC_PAD  DEFAULT_LEFT_PAD  DEFAULT_WIDTH  argPos  defaultDescPad  defaultLeftPad  defaultWidth  descPad  leftPad  max  nextLineTabStop  padding  pos  startPos  width  x  Comparator  comparator  optionComparator  	projects/Cli32/src/main/java/org/apache/commons/cli/HelpFormatter.java	1.0	936	936	2	replace	    text.getChars(0,  startPos,  pos);		non-compiled	[CE]  no  suitable  method  found  for  getChars(int,int,int)	2	None	add
131	[BUG]  [BUGGY]    int  width  =  text.length();  [CE]  variable  width  is  already  defined  in  method  findWrapPos(String,int,int)  [CONTEXT]  {  int  pos;    [BUGGY]    int  width  =  text.length();  [BUGGY]  if  (((pos  =  text.indexOf('\n',  startPos))  !=  -1  &&  pos  <=  width)    ||  ((pos  =  text.indexOf('\t',  startPos))  !=  -1  &&  pos  <=  width))    {  ||  ((pos  =  text.indexOf('\t',  startPos))  !=  -1  &&  pos  <=  width))  {  return  pos  +  1;  }  else  if  (startPos  +  width  >=  text.length())  {  return  -1;  }  [CLASS]  HelpFormatter  OptionComparator  [METHOD]  findWrapPos  [RETURN_TYPE]  int  String  text  int  width  int  startPos  [VARIABLES]  char  c  String  DEFAULT_ARG_NAME  DEFAULT_LONG_OPT_PREFIX  DEFAULT_LONG_OPT_SEPARATOR  DEFAULT_OPT_PREFIX  DEFAULT_SYNTAX_PREFIX  app  argName  cmdLineSyntax  defaultArgName  defaultLongOptPrefix  defaultNewLine  defaultOptPrefix  defaultSyntaxPrefix  dpad  footer  header  longOptSeparator  lpad  name  newline  padding  prefix  text  boolean  int  DEFAULT_DESC_PAD  DEFAULT_LEFT_PAD  DEFAULT_WIDTH  argPos  defaultDescPad  defaultLeftPad  defaultWidth  descPad  leftPad  max  nextLineTabStop  padding  pos  startPos  width  x  Comparator  comparator  optionComparator  	projects/Cli32/src/main/java/org/apache/commons/cli/HelpFormatter.java	0.3086066999241838	907	909	2	replace	    int  width  =  text.length();		non-compiled	[CE]  variable  width  is  already  defined  in  method  findWrapPos(String,int,int)	17	None	add
132	[BUG]  [BUGGY]    if(startPos  >=  width)  {  if(!text.indexOf('n',  startPos)>  0)  {  return  -1;  }  [CE]  illegal  start  of  expression  [CONTEXT]  {  int  pos;    [BUGGY]    if(startPos  >=  width)  {  if(!text.indexOf('n',  startPos)>  0)  {  return  -1;  }  [BUGGY]  if  (((pos  =  text.indexOf('\n',  startPos))  !=  -1  &&  pos  <=  width)    ||  ((pos  =  text.indexOf('\t',  startPos))  !=  -1  &&  pos  <=  width))    {  ||  ((pos  =  text.indexOf('\t',  startPos))  !=  -1  &&  pos  <=  width))  {  return  pos  +  1;  }  else  if  (startPos  +  width  >=  text.length())  {  return  -1;  }  [CLASS]  HelpFormatter  OptionComparator  [METHOD]  findWrapPos  [RETURN_TYPE]  int  String  text  int  width  int  startPos  [VARIABLES]  char  c  String  DEFAULT_ARG_NAME  DEFAULT_LONG_OPT_PREFIX  DEFAULT_LONG_OPT_SEPARATOR  DEFAULT_OPT_PREFIX  DEFAULT_SYNTAX_PREFIX  app  argName  cmdLineSyntax  defaultArgName  defaultLongOptPrefix  defaultNewLine  defaultOptPrefix  defaultSyntaxPrefix  dpad  footer  header  longOptSeparator  lpad  name  newline  padding  prefix  text  boolean  int  DEFAULT_DESC_PAD  DEFAULT_LEFT_PAD  DEFAULT_WIDTH  argPos  defaultDescPad  defaultLeftPad  defaultWidth  descPad  leftPad  max  nextLineTabStop  padding  pos  startPos  width  x  Comparator  comparator  optionComparator  	projects/Cli32/src/main/java/org/apache/commons/cli/HelpFormatter.java	0.3086066999241838	907	909	2	replace	    if(startPos  >=  width)  {  if(!text.indexOf('n',  startPos)>  0)  {  return  -1;  }		non-compiled	[CE]  illegal  start  of  expression	17	None	add
133	[BUG]  [BUGGY]  [FE]  StringIndexOutOfBoundsException  testRenderWrappedTextWordCut  [CONTEXT]  {  int  pos;    [BUGGY]    pos  =  text.indexOf('n',  startPos);  [BUGGY]  if  (((pos  =  text.indexOf('\n',  startPos))  !=  -1  &&  pos  <=  width)    ||  ((pos  =  text.indexOf('\t',  startPos))  !=  -1  &&  pos  <=  width))    {  ||  ((pos  =  text.indexOf('\t',  startPos))  !=  -1  &&  pos  <=  width))  {  return  pos  +  1;  }  else  if  (startPos  +  width  >=  text.length())  {  return  -1;  }  [CLASS]  HelpFormatter  OptionComparator  [METHOD]  findWrapPos  [RETURN_TYPE]  int  String  text  int  width  int  startPos  [VARIABLES]  char  c  String  DEFAULT_ARG_NAME  DEFAULT_LONG_OPT_PREFIX  DEFAULT_LONG_OPT_SEPARATOR  DEFAULT_OPT_PREFIX  DEFAULT_SYNTAX_PREFIX  app  argName  cmdLineSyntax  defaultArgName  defaultLongOptPrefix  defaultNewLine  defaultOptPrefix  defaultSyntaxPrefix  dpad  footer  header  longOptSeparator  lpad  name  newline  padding  prefix  text  boolean  int  DEFAULT_DESC_PAD  DEFAULT_LEFT_PAD  DEFAULT_WIDTH  argPos  defaultDescPad  defaultLeftPad  defaultWidth  descPad  leftPad  max  nextLineTabStop  padding  pos  startPos  width  x  Comparator  comparator  optionComparator  	projects/Cli32/src/main/java/org/apache/commons/cli/HelpFormatter.java	0.3086066999241838	907	909	2	add	    pos  =  text.indexOf('n',  startPos);		compilable	  [FE]  StringIndexOutOfBoundsException  testRenderWrappedTextWordCut	17	2
134	[BUG]  [BUGGY]    pos  =  text.indexOf('n',  startPos);  [FE]  StringIndexOutOfBoundsException  testRenderWrappedTextWordCut  [CONTEXT]  {  int  pos;    [BUGGY]    pos  =  text.indexOf('n',  startPos);  [BUGGY]  if  (((pos  =  text.indexOf('\n',  startPos))  !=  -1  &&  pos  <=  width)    ||  ((pos  =  text.indexOf('\t',  startPos))  !=  -1  &&  pos  <=  width))    {  ||  ((pos  =  text.indexOf('\t',  startPos))  !=  -1  &&  pos  <=  width))  {  return  pos  +  1;  }  else  if  (startPos  +  width  >=  text.length())  {  return  -1;  }  [CLASS]  HelpFormatter  OptionComparator  [METHOD]  findWrapPos  [RETURN_TYPE]  int  String  text  int  width  int  startPos  [VARIABLES]  char  c  String  DEFAULT_ARG_NAME  DEFAULT_LONG_OPT_PREFIX  DEFAULT_LONG_OPT_SEPARATOR  DEFAULT_OPT_PREFIX  DEFAULT_SYNTAX_PREFIX  app  argName  cmdLineSyntax  defaultArgName  defaultLongOptPrefix  defaultNewLine  defaultOptPrefix  defaultSyntaxPrefix  dpad  footer  header  longOptSeparator  lpad  name  newline  padding  prefix  text  boolean  int  DEFAULT_DESC_PAD  DEFAULT_LEFT_PAD  DEFAULT_WIDTH  argPos  defaultDescPad  defaultLeftPad  defaultWidth  descPad  leftPad  max  nextLineTabStop  padding  pos  startPos  width  x  Comparator  comparator  optionComparator  	projects/Cli32/src/main/java/org/apache/commons/cli/HelpFormatter.java	0.3086066999241838	907	909	2	replace	    pos  =  text.indexOf('n',  startPos);		compilable	  [FE]  StringIndexOutOfBoundsException  testRenderWrappedTextWordCut	17	2	add
