bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
this_action1	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testBasicFunctions  [CONTEXT]  public  double  getL1Norm()  {  double  sum  =  0;  for  (double  a  :  data)  {  [BUGGY]  sum  +=  Math.random();  [BUGGY]  }  return  sum;  }  [CLASS]  ArrayRealVector  [METHOD]  getL1Norm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	711	711	2	add	sum  +=  Math.random();	sum  +=  Math.abs(a);  	compilable	  [FE]  AssertionFailedError  testBasicFunctions	13	2
14	[BUG]  [BUGGY]  double  sum  =  1.0;  [FE]  AssertionFailedError  testBasicFunctions  [CONTEXT]  public  double  getNorm()  {  [BUGGY]  double  sum  =  1.0;  [BUGGY]  for  (double  a  :  data)  {  sum  +=  a  *  a;  }  return  Math.sqrt(sum);  }  [CLASS]  ArrayRealVector  [METHOD]  getNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	699	699	2	replace	double  sum  =  1.0;	double  sum  =  0;  	compilable	  [FE]  AssertionFailedError  testBasicFunctions	1	2	replace
14	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testBasicFunctions  [CONTEXT]  public  double  getNorm()  {  [BUGGY]  double  sum  =  2;  [BUGGY]  for  (double  a  :  data)  {  sum  +=  a  *  a;  }  return  Math.sqrt(sum);  }  [CLASS]  ArrayRealVector  [METHOD]  getNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	699	699	2	add	double  sum  =  2;	double  sum  =  0;  	compilable	  [FE]  AssertionFailedError  testBasicFunctions	1	2
15	[BUG]  [BUGGY]  double  sum  =  2;  [FE]  AssertionFailedError  testBasicFunctions  [CONTEXT]  public  double  getNorm()  {  [BUGGY]  double  sum  =  2;  [BUGGY]  for  (double  a  :  data)  {  sum  +=  a  *  a;  }  return  Math.sqrt(sum);  }  [CLASS]  ArrayRealVector  [METHOD]  getNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	699	699	2	replace	double  sum  =  2;	double  sum  =  0;  	compilable	  [FE]  AssertionFailedError  testBasicFunctions	1	2	replace
15	[BUG]  [BUGGY]    [CE]  cannot  find  symbol  sum  [CONTEXT]  public  double  getNorm()  {  [BUGGY]    [BUGGY]  for  (double  a  :  data)  {  sum  +=  a  *  a;  }  return  Math.sqrt(sum);  }  [CLASS]  ArrayRealVector  [METHOD]  getNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	699	699	2	replace	  	double  sum  =  0;  	non-compiled	[CE]  cannot  find  symbol  sum	1	None	replace
21	[BUG]  [BUGGY]  return  a;  [CE]  cannot  find  symbol  a  [CONTEXT]  public  double  getL1Norm()  {  double  sum  =  0;  for  (double  a  :  data)  {  sum  +=  Math.abs(a);  }  [BUGGY]  return  a;  [BUGGY]  }  [CLASS]  ArrayRealVector  [METHOD]  getL1Norm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	713	713	2	replace	return  a;	return  sum;  	non-compiled	[CE]  cannot  find  symbol  a	15	None	replace
22	[BUG]  [BUGGY]  return  sum  *(a  -  sum);  [CE]  cannot  find  symbol  a  [CONTEXT]  public  double  getL1Norm()  {  double  sum  =  0;  for  (double  a  :  data)  {  sum  +=  Math.abs(a);  }  [BUGGY]  return  sum  *(a  -  sum);  [BUGGY]  }  [CLASS]  ArrayRealVector  [METHOD]  getL1Norm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	713	713	2	replace	return  sum  *(a  -  sum);	return  sum;  	non-compiled	[CE]  cannot  find  symbol  a	15	None	replace
23	[BUG]  [BUGGY]  return  sum  *(a  +  Math.rint(sum));  [CE]  cannot  find  symbol  a  [CONTEXT]  public  double  getL1Norm()  {  double  sum  =  0;  for  (double  a  :  data)  {  sum  +=  Math.abs(a);  }  [BUGGY]  return  sum  *(a  +  Math.rint(sum));  [BUGGY]  }  [CLASS]  ArrayRealVector  [METHOD]  getL1Norm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	713	713	2	replace	return  sum  *(a  +  Math.rint(sum));	return  sum;  	non-compiled	[CE]  cannot  find  symbol  a	15	None	replace
24	[BUG]  [BUGGY]  return  this.l1Norm;  [CE]  cannot  find  symbol  l1Norm  [CONTEXT]  public  double  getL1Norm()  {  double  sum  =  0;  for  (double  a  :  data)  {  sum  +=  Math.abs(a);  }  [BUGGY]  return  this.l1Norm;  [BUGGY]  }  [CLASS]  ArrayRealVector  [METHOD]  getL1Norm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	713	713	2	replace	return  this.l1Norm;	return  sum;  	non-compiled	[CE]  cannot  find  symbol  l1Norm	15	None	replace
25	[BUG]  [BUGGY]    [CE]  missing  return  statement  [CONTEXT]  public  double  getL1Norm()  {  double  sum  =  0;  for  (double  a  :  data)  {  sum  +=  Math.abs(a);  }  [BUGGY]    [BUGGY]  }  [CLASS]  ArrayRealVector  [METHOD]  getL1Norm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	713	713	2	replace	  	return  sum;  	non-compiled	[CE]  missing  return  statement	15	None	replace
31	[BUG]  [BUGGY]    double[]  data  =  getDataItemCount();  [CE]  cannot  find  symbol  [CONTEXT]  public  double  getNorm()  {  double  sum  =  0;  [BUGGY]    double[]  data  =  getDataItemCount();  [BUGGY]  for  (double  a  :  data)  {  sum  +=  a  *  a;  }  return  Math.sqrt(sum);  }  [CLASS]  ArrayRealVector  [METHOD]  getNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	700	700	2	replace	    double[]  data  =  getDataItemCount();		non-compiled	[CE]  cannot  find  symbol	4	None	add
32	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testBasicFunctions  [CONTEXT]  public  double  getNorm()  {  double  sum  =  0;  [BUGGY]    double[]  data  =  getDataRef();  [BUGGY]  for  (double  a  :  data)  {  sum  +=  a  *  a;  }  return  Math.sqrt(sum);  }  [CLASS]  ArrayRealVector  [METHOD]  getNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	700	700	2	add	    double[]  data  =  getDataRef();		compilable	  [FE]  AssertionFailedError  testBasicFunctions	4	2
33	[BUG]  [BUGGY]    double[]  data  =  getDataRef();  [FE]  AssertionFailedError  testBasicFunctions  [CONTEXT]  public  double  getNorm()  {  double  sum  =  0;  [BUGGY]    double[]  data  =  getDataRef();  [BUGGY]  for  (double  a  :  data)  {  sum  +=  a  *  a;  }  return  Math.sqrt(sum);  }  [CLASS]  ArrayRealVector  [METHOD]  getNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	700	700	2	replace	    double[]  data  =  getDataRef();		compilable	  [FE]  AssertionFailedError  testBasicFunctions	4	2	add
33	[BUG]  [BUGGY]    if(data!=  null)  {  for(double  a  :  data.length)  {  sum  =  Math.sqrt(data.length);  }  [CE]  ';'  expected  [CONTEXT]  public  double  getNorm()  {  double  sum  =  0;  [BUGGY]    if(data!=  null)  {  for(double  a  :  data.length)  {  sum  =  Math.sqrt(data.length);  }  [BUGGY]  for  (double  a  :  data)  {  sum  +=  a  *  a;  }  return  Math.sqrt(sum);  }  [CLASS]  ArrayRealVector  [METHOD]  getNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	700	700	2	replace	    if(data!=  null)  {  for(double  a  :  data.length)  {  sum  =  Math.sqrt(data.length);  }		non-compiled	[CE]  ';'  expected	4	None	add
34	[BUG]  [BUGGY]    double[]  data  =  getDataItemCount()  /  2.0;  [CE]  cannot  find  symbol  [CONTEXT]  public  double  getNorm()  {  double  sum  =  0;  [BUGGY]    double[]  data  =  getDataItemCount()  /  2.0;  [BUGGY]  for  (double  a  :  data)  {  sum  +=  a  *  a;  }  return  Math.sqrt(sum);  }  [CLASS]  ArrayRealVector  [METHOD]  getNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	700	700	2	replace	    double[]  data  =  getDataItemCount()  /  2.0;		non-compiled	[CE]  cannot  find  symbol	4	None	add
35	[BUG]  [BUGGY]    if(data!=  null)  {  for(double  a  :  data.length)  {  sum  =  Math.sqrt(data);  }  [CE]  ';'  expected  [CONTEXT]  public  double  getNorm()  {  double  sum  =  0;  [BUGGY]    if(data!=  null)  {  for(double  a  :  data.length)  {  sum  =  Math.sqrt(data);  }  [BUGGY]  for  (double  a  :  data)  {  sum  +=  a  *  a;  }  return  Math.sqrt(sum);  }  [CLASS]  ArrayRealVector  [METHOD]  getNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	700	700	2	replace	    if(data!=  null)  {  for(double  a  :  data.length)  {  sum  =  Math.sqrt(data);  }		non-compiled	[CE]  ';'  expected	4	None	add
41	[BUG]  [BUGGY]    double[]  data  =  getDataItemCount();  [CE]  cannot  find  symbol  [CONTEXT]  public  double  getLInfNorm()  {  [BUGGY]    double[]  data  =  getDataItemCount();  [BUGGY]  double  max  =  0;  for  (double  a  :  data)  {  max  +=  Math.max(max,  Math.abs(a));  }  return  max;  }  [CLASS]  ArrayRealVector  [METHOD]  getLInfNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  max  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	719	719	2	replace	    double[]  data  =  getDataItemCount();		non-compiled	[CE]  cannot  find  symbol	18	None	add
42	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testBasicFunctions  [CONTEXT]  public  double  getLInfNorm()  {  [BUGGY]    double[]  data  =  getDataRef();  [BUGGY]  double  max  =  0;  for  (double  a  :  data)  {  max  +=  Math.max(max,  Math.abs(a));  }  return  max;  }  [CLASS]  ArrayRealVector  [METHOD]  getLInfNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  max  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	719	719	2	add	    double[]  data  =  getDataRef();		compilable	  [FE]  AssertionFailedError  testBasicFunctions	18	2
43	[BUG]  [BUGGY]    double[]  data  =  getDataRef();  [FE]  AssertionFailedError  testBasicFunctions  [CONTEXT]  public  double  getLInfNorm()  {  [BUGGY]    double[]  data  =  getDataRef();  [BUGGY]  double  max  =  0;  for  (double  a  :  data)  {  max  +=  Math.max(max,  Math.abs(a));  }  return  max;  }  [CLASS]  ArrayRealVector  [METHOD]  getLInfNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  max  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	719	719	2	replace	    double[]  data  =  getDataRef();		compilable	  [FE]  AssertionFailedError  testBasicFunctions	18	2	add
43	[BUG]  [BUGGY]    double[]  data  =  this.data.getLimit();  [CE]  cannot  find  symbol  [CONTEXT]  public  double  getLInfNorm()  {  [BUGGY]    double[]  data  =  this.data.getLimit();  [BUGGY]  double  max  =  0;  for  (double  a  :  data)  {  max  +=  Math.max(max,  Math.abs(a));  }  return  max;  }  [CLASS]  ArrayRealVector  [METHOD]  getLInfNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  max  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	719	719	2	replace	    double[]  data  =  this.data.getLimit();		non-compiled	[CE]  cannot  find  symbol	18	None	add
44	[BUG]  [BUGGY]    double[]  data  =  this.data.getLength();  [CE]  cannot  find  symbol  [CONTEXT]  public  double  getLInfNorm()  {  [BUGGY]    double[]  data  =  this.data.getLength();  [BUGGY]  double  max  =  0;  for  (double  a  :  data)  {  max  +=  Math.max(max,  Math.abs(a));  }  return  max;  }  [CLASS]  ArrayRealVector  [METHOD]  getLInfNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  max  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	719	719	2	replace	    double[]  data  =  this.data.getLength();		non-compiled	[CE]  cannot  find  symbol	18	None	add
45	[BUG]  [BUGGY]    double[]  data  =  getDataItemCount()  /  2.0;  [CE]  cannot  find  symbol  [CONTEXT]  public  double  getLInfNorm()  {  [BUGGY]    double[]  data  =  getDataItemCount()  /  2.0;  [BUGGY]  double  max  =  0;  for  (double  a  :  data)  {  max  +=  Math.max(max,  Math.abs(a));  }  return  max;  }  [CLASS]  ArrayRealVector  [METHOD]  getLInfNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  max  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	719	719	2	replace	    double[]  data  =  getDataItemCount()  /  2.0;		non-compiled	[CE]  cannot  find  symbol	18	None	add
52	[BUG]  [BUGGY]  sum  +=  a  *  NON_FITTING_POSITION;  [CE]  cannot  find  symbol  NON_FITTING_POSITION  [CONTEXT]  public  double  getNorm()  {  double  sum  =  0;  for  (double  a  :  data)  {  [BUGGY]  sum  +=  a  *  NON_FITTING_POSITION;  [BUGGY]  }  return  Math.sqrt(sum);  }  [CLASS]  ArrayRealVector  [METHOD]  getNorm  [RETURN_TYPE]  double  [VARIABLES]  RealVectorFormat  DEFAULT_FORMAT  String  NON_FITTING_POSITION_AND_SIZE_MESSAGE  boolean  double[]  d  data  out  v  v1  v2  long  serialVersionUID  double  a  sum  	projects/Math77/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java	0.7071067811865475	701	701	2	replace	sum  +=  a  *  NON_FITTING_POSITION;	sum  +=  a  *  a;  	non-compiled	[CE]  cannot  find  symbol  NON_FITTING_POSITION	5	None	replace
