projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2885returnevaluatesToLocalValue(value.getFirstChild(),locals);
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2885returnevaluatesToLocalValue(value.getLastChild(),locals);
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2885returnevaluatesToLocalValue(value.getFirstChild().getNext(),locals,isImmutableValue(value.getBooleanProp(Node.INCRDECR_PROP));
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2885returnevaluatesToLocalValue(value.getFirstChild().getString(),locals);
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2885returnisImmutableValue(value.getFirstChild(),locales);
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2885returnisDeclarableValue(value.getFirstChild(),locales);
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2885returnisDecimalValue(value.getLastChild(),locales);
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2885returnevaluatesToLocalValue(value.getLastChild(),locals)&&isImmutableValue(value.getBooleanProp(Node.INCRDECR_PROP),locals);
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2885returnisDecimalValue(value.getLastChild(),locals);
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2885returnisBooleanValue(value.getLastChild(),locals);
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2885returnisBooleanValue(value.getFirstChild(),locals);
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2885returnisImmutableValue(value.getFirstChild(),locals)&&isImmutableValue(value.getLastChild());
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2885returnevaluatesToLocalValue(value.getFirstChild(),locals)&&isToLocalValue(value.getLastChild(),locals);
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2885returnisLocalValue(value.getFirstChild(),locals)&&isImmutableValue(value.getLastChild(),locals);
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2885returnisUnknownValue(value.getFirstChild(),locals)&&evaluatesToLocalValue(value.getLastChild(),locales);
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2885returnevaluatesToLocalValue(value.getFirstChild().getNext(),locales)&&evaluatesToLocalValue(value.getLastChild(),locals);
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2885returnevaluatesToLocalValue(value.getFirstChild(),locals)||evaluatesToLocalValue(value.getBooleanProp(Node.INCRDECR_PROP));
