projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right,subtree.cloneChildren());
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right,subtree.clonePosition());
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158default:returntryFoldLeftChildOp(subtree,left,right);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158result=tryFoldLeftChildOp(subtree,left,right);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158Noderesult=tryFoldLeftChildOp(subtree,left,right);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldLeftChildOp(null,left,right);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldLeftChildOp(subtree);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldBinaryOperator(subtree,left,right-1);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldLeftChildOp(subtree,left,right-1);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right,MAX_FOLD_NUMBER-1);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right-2);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right,MAX_FOLD_NUMBER+1);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right,0);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right,1);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right,double_FOLD_NUMBER);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldMutator(subtree,left,right,MAX_FOLD_NUMBER);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldMutator(subtree,left,right,MISSING_A_NON_NUMBER_ERROR);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldMutator(subtree,left,right,subtree);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldMutator(subtree,left,right,false);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldMoveChildOp(subtree,left,right,MAX_FOLD_NUMBER);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldMoveChildOp(subtree,left,right,false);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldBinaryOperatorChildOp(subtree,left,right);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldMoveChildOp(subtree,left,right,subtree);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldBinaryOperator(subtree,left,right+1);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldLeftChildOp(subtree,left,right+1);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right)+1;
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right,subtree,MAX_FOLD_NUMBER);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right,result);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldLeftChildOp(subtree,left,right,MAX_FOLD_NUMBER);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldLeftChildOp(subtree,left,right,BITWISE_OPERAND);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldLeftChildOp(subtree,left,right,false);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldLeftChildOp(subtree,left,right,subtree);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldLeftChildOp(subtree,left,right,result);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right,2);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right,4);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldBinaryOperator(subtree,left,right,FRACTIONAL_BITWISE_OPERAND);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldBinaryOperator(subtree,left,right,BITWISE_OPERAND);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldBinaryOperator(subtree,left,right,result);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldBinaryOperator(subtree);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158tryFoldLeftChildOp(subtree,left,right);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right,subtree+1);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldMutator(subtree,left,right,BITWISE_OPERAND);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldMutator(subtree,left,right+1);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldMoveChildOp(subtree,left,right,BITWISE_OPERAND);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right-1+1);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right)-1;
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldLeftChildOp(subtree,left,right,subtree.cloneTree());
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right,subtree.cloneChildOp());
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right+2);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldMinimumChildOp(subtree,left,right+1);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldMinimumChildOp(subtree,left,right-1);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldMinimumChildOp(subtree,left,right)+1;
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldMaximumChildOp(subtree,left,right);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldMinimumChildOp(null,left,right);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158Noderesult=tryFoldLeftChildOp(subtree,left,right);returntryFoldLeftChildOp(result,left,right);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158Noderesult=tryFoldLeftChildOp(subtree,left,right);returntryFoldLeftChildOp(subtree,result,right);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldLeftChildOp(subtree,left,right,value);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right,subtree,INVALID_GETELEM_INDEX_ERROR);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right,subtree,MISSING_A_NON_NUMBER_ERROR);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldMoveChildOp(subtree,left,right,this);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldMoveChildOp(subtree,left,right,subtree.cloneTree());
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right)/1;
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldMinimumChildOp(subtree,left,right,BITWISE_OPERAND);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldMinimumChildOp(subtree,left,right,this);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldMutator(subtree,left,right,MULTIPLE_BITWISE_OPERAND);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldMutator(subtree,left,right,this);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right,3);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right),MAX_FOLD_NUMBER+1);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right,subtree.cloneTree(),ROOT_LOCALE);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right,this.subtree.cloneTree());
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right,token.cloneTree());
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldBinaryOperator(subtree,left,right,result,MAX_FOLD_NUMBER);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldBinaryOperator(subtree,left,right,subtree.cloneTree());
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldBinaryOperator(subtree,left,right,MAX_FOLD_NUMBER+1);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldBinaryOperator(subtree,left,right,1);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldBinaryOperator(subtree,left,right)+1;
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldBinaryOperator(subtree,left,right,0);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right,false);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right,MAX_FOLD_NUMBER/1);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right,MAX_FOLD_NUMBER-2);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right,MAX_FOLD_NUMBER*1);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right,MAX_FOLD_NUMBER-1+1);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right,max_FOLD_NUMBER-1);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right,subtree.cloneOperator());
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right,subtree.cloneBinaryOperator(),MAX_FOLD_NUMBER);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right,subtree.cloneTreeOperator());
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right,subtree.cloneNode());
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldMinimumChildOp(subtree,left,right,MAX_FOLD_NUMBER+1);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldMinimumChildOp(subtree,left,right,double_FOLD_NUMBER);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldMinimumChildOp(subtree,left,right,2);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldMinimumChildOp(subtree,left,right,result);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldMutator(subtree,left,right,subtree,MAX_FOLD_NUMBER);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldMutator(subtree,left,right,result);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldMutator(subtree,left,right,subtree.cloneTree());
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldMutator(subtree,left,right,subtree,MISSING_A_NON_NUMBER_ERROR);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldLeftChildOp(subtree,left,right,result,MAX_FOLD_NUMBER);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldLeftChildOp(subtree,left,right,0);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right-3);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldBinaryOperator(subtree,left,right-2);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right-4);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldBinaryOperatorChildOp(subtree,left,right,MAX_FOLD_NUMBER);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldBinaryOperatorChildOp(subtree,left,right,MISSING_A_NON_NUMBER_ERROR);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldBinaryOperatorChildOp(subtree,left,right,false);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldBinaryOperatorChildOp(subtree,left,right,subtree);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldBinaryOperatorChildOp(subtree,left,right,this);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right,subtree.cloneChildOp(),MAX_FOLD_NUMBER);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right,subtree.cloneChildOp(),1);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right,subtree.cloneChildOp(),this);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldLeftChildOp(subtree,left);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldLeftChildOp(left,right);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldLeftChildOp(left,subtree);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldLeftChildOp(second,subtree);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldMoveChildOp(subtree,left,right,0);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldMoveChildOp(subtree,left,right,MAX_FOLD_NUMBER+1);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldMoveChildOp(subtree,left,right,1);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldMoveChildOp(subtree,left,right,double_FOLD_NUMBER);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldMoveChildOp(subtree,left,right,null);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldLeftChildOp(subtree,left,right,this);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldMoveChildOp(subtree,left,right,this,MAX_FOLD_NUMBER);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldBinaryOperator(subtree,left,right,INDEX_GETELEM_INDEX_ERROR);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldBinaryOperator(subtree,left,right,INVALID_GETELEM_INDEX_ERROR);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldLeftChildOp(subtree,left,right,FRACTIONAL_BITWISE_OPERAND);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldBinaryOperator(subtree,left,right,MISSING_A_NON_NUMBER_ERROR);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldBinaryOperator(subtree,left,right,DEFAULT_BITWISE_OPERAND);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldMinimumChildOp(subtree,left,right),MAX_FOLD_NUMBER+1);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldLeftChildOp(subtree,left,right,subtree.type);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldLeftChildOp(subtree,left,right,size);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldBinaryOperator(subtree,left,right,2);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right,2-1);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldMoveChildOp(subtree,left,right,true);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldChildOp(subtree,left,right,true);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldMinimumChildOp(subtree,left,right,3);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldMinimumChildOp(subtree,left,right,4);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldMinimumChildOp(subtree,left,right,5);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldBinaryOperator(subtree,left,right,4);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right,5);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158tryFoldLeftChildOp(subtree,left,right,MAX_FOLD_NUMBER);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158tryFoldLeftChildOp(subtree,left,right,MISSING_A_NON_NUMBER_ERROR);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158tryFoldLeftChildOp(subtree,left,right,BITWISE_OPERAND);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158tryFoldLeftChildOp(subtree,left,right,false);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158tryFoldLeftChildOp(subtree,left,right,subtree.cloneTree());
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158tryFoldLeftChildOp(subtree,left,right,subtree);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldMinimumChildOp(subtree,left,right,MAX_FOLD_NUMBER_ERROR);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldMinimumChildOp(subtree,left,right,MISSING_A_NON_NUMBER_ERROR,MAX_FOLD_NUMBER_ERROR);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158ReturntryFoldMinimumChildOp(subtree,left,right,MAX_FOLD_NUMBER_ERROR);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldMinimumChildOp(subtree,left,right,SHIFT_AMOUNT_OUT_OF_BOUNDS);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldMinimumChildOp(subtree,left,right,MISSING_A_NON_NUMBER_ERROR,MAX_FOLD_NUMBER);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldMinimumChildOp(subtree,left,right,MISSING_A_NON_NUMBER_ERROR,SHIFT_AMOUNT_OUT_OF_BOUNDS);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldMaximumChildOp(subtree,left,right,MAX_FOLD_NUMBER);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldMaximumChildOp(subtree,left,right,MISSING_A_NON_NUMBER_ERROR);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldMaximumChildOp(subtree,left,right,false);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldLeftChildOp(subtree,left,right,subtree,MAX_FOLD_NUMBER);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldLeftChildOp(subtree,left,right,token);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(this.subtree,left,right,subtree.cloneTree());
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right,this.subtree.cloneTree(),MAX_FOLD_NUMBER);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right,this.subtree.clone());
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right,this.subtree.cloneBinaryOperator());
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right,this.subtree.cloneTree(),this.mode);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(this.subtree,left,right,this.subtree.cloneTree());
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldMaximumChildOp(subtree,left,right,true);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldLeftChildOp(subtree,left,right,true);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldMinimumChildOp(subtree,left,right,null);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right,result,MAX_FOLD_NUMBER);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right,subtree.cloneTree(),double_FOLD_NUMBER);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right,subtree.cloneTree(),double);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right,subtree.cloneTree(),2);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right,subtree.cloneTree(),4);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldComparison(subtree,left,right,subtree.cloneTree(),3);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldBinaryOperator(subtree,left,right,null);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldBinaryOperator(subtree,left,right,this,MAX_FOLD_NUMBER);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldLeftChildOp(subtree,left,right,MAX_FOLD_NUMBER+1);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldLeftChildOp(subtree,left,right)+1;
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldRightChildOp(subtree,left,right);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldFirstChildOp(subtree,left,right);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldLaftChildOp(subtree,left,right);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldLeftChildOp(subtrae,left,right);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldLeftChildOp(subtree,right,left);
projects/Closure74/src/com/google/javascript/jscomp/PeepholeFoldConstants.java158returntryFoldMoveChildOp(subtree,left,right,result);
