bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
this_action1	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testDefaultArgName  [CONTEXT]  public  boolean  hasArgName()  {  [BUGGY]    String  argName  =  getArgName();  [BUGGY]  return  argName  !=  null  &&  argName.length()  >  0;  }  [CLASS]  Option  [METHOD]  hasArgName  [RETURN_TYPE]  boolean  [VARIABLES]  boolean  hasArg  optionalArg  required  char  valuesep  Object  type  List  values  String  argName  description  longOpt  opt  long  serialVersionUID  int  UNINITIALIZED  UNLIMITED_VALUES  numberOfArgs  	projects/Cli31/src/main/java/org/apache/commons/cli/Option.java	0.5	328	328	1	add	    String  argName  =  getArgName();		compilable	  [FE]  ComparisonFailure  testDefaultArgName	16	1
33	[BUG]  [BUGGY]  return  this.optionalArg;  [CE]  non-static  variable  this  cannot  be  referenced  from  a  static  context  [CONTEXT]  public  static  OptionBuilder  hasArg()  {  OptionBuilder.numberOfArgs  =  1;  [BUGGY]  return  this.optionalArg;  [BUGGY]  }  [CLASS]  OptionBuilder  [METHOD]  hasArg  [RETURN_TYPE]  OptionBuilder  [VARIABLES]  boolean  optionalArg  required  OptionBuilder  instance  char  valuesep  Object  type  String  argName  description  longopt  newLongopt  int  numberOfArgs  	projects/Cli31/src/main/java/org/apache/commons/cli/OptionBuilder.java	0.5	111	111	1	replace	return  this.optionalArg;	return  instance;  	non-compiled	[CE]  non-static  variable  this  cannot  be  referenced  from  a  static  context	19	None	replace
34	[BUG]  [BUGGY]  return  OptionBuilder.UNLIMITED_ARG;  [CE]  cannot  find  symbol  UNLIMITED_ARG  [CONTEXT]  public  static  OptionBuilder  hasArg()  {  OptionBuilder.numberOfArgs  =  1;  [BUGGY]  return  OptionBuilder.UNLIMITED_ARG;  [BUGGY]  }  [CLASS]  OptionBuilder  [METHOD]  hasArg  [RETURN_TYPE]  OptionBuilder  [VARIABLES]  boolean  optionalArg  required  OptionBuilder  instance  char  valuesep  Object  type  String  argName  description  longopt  newLongopt  int  numberOfArgs  	projects/Cli31/src/main/java/org/apache/commons/cli/OptionBuilder.java	0.5	111	111	1	replace	return  OptionBuilder.UNLIMITED_ARG;	return  instance;  	non-compiled	[CE]  cannot  find  symbol  UNLIMITED_ARG	19	None	replace
35	[BUG]  [BUGGY]    [CE]  missing  return  statement  [CONTEXT]  public  static  OptionBuilder  hasArg()  {  OptionBuilder.numberOfArgs  =  1;  [BUGGY]    [BUGGY]  }  [CLASS]  OptionBuilder  [METHOD]  hasArg  [RETURN_TYPE]  OptionBuilder  [VARIABLES]  boolean  optionalArg  required  OptionBuilder  instance  char  valuesep  Object  type  String  argName  description  longopt  newLongopt  int  numberOfArgs  	projects/Cli31/src/main/java/org/apache/commons/cli/OptionBuilder.java	0.5	111	111	1	replace	  	return  instance;  	non-compiled	[CE]  missing  return  statement	19	None	replace
41	[BUG]  [BUGGY]    OptionBuilder  instance  =  Option.getOption(argName);  [CE]  cannot  find  symbol  [CONTEXT]  public  static  OptionBuilder  isRequired()  {  [BUGGY]    OptionBuilder  instance  =  Option.getOption(argName);  [BUGGY]  OptionBuilder.required  =  true;  return  instance;  }  [CLASS]  OptionBuilder  [METHOD]  isRequired  [RETURN_TYPE]  OptionBuilder  [VARIABLES]  boolean  hasArg  optionalArg  required  OptionBuilder  instance  char  valuesep  Object  type  String  argName  description  longopt  name  newLongopt  int  numberOfArgs  	projects/Cli31/src/main/java/org/apache/commons/cli/OptionBuilder.java	1.0	148	148	1	replace	    OptionBuilder  instance  =  Option.getOption(argName);		non-compiled	[CE]  cannot  find  symbol	2	None	add
42	[BUG]  [BUGGY]    OptionBuilder  instance  =  options.getOptionBuilder();  [CE]  cannot  find  symbol  options  [CONTEXT]  public  static  OptionBuilder  isRequired()  {  [BUGGY]    OptionBuilder  instance  =  options.getOptionBuilder();  [BUGGY]  OptionBuilder.required  =  true;  return  instance;  }  [CLASS]  OptionBuilder  [METHOD]  isRequired  [RETURN_TYPE]  OptionBuilder  [VARIABLES]  boolean  hasArg  optionalArg  required  OptionBuilder  instance  char  valuesep  Object  type  String  argName  description  longopt  name  newLongopt  int  numberOfArgs  	projects/Cli31/src/main/java/org/apache/commons/cli/OptionBuilder.java	1.0	148	148	1	replace	    OptionBuilder  instance  =  options.getOptionBuilder();		non-compiled	[CE]  cannot  find  symbol  options	2	None	add
43	[BUG]  [BUGGY]    OptionBuilder  instance  =  option.getOptionBuilder();  [CE]  cannot  find  symbol  option  [CONTEXT]  public  static  OptionBuilder  isRequired()  {  [BUGGY]    OptionBuilder  instance  =  option.getOptionBuilder();  [BUGGY]  OptionBuilder.required  =  true;  return  instance;  }  [CLASS]  OptionBuilder  [METHOD]  isRequired  [RETURN_TYPE]  OptionBuilder  [VARIABLES]  boolean  hasArg  optionalArg  required  OptionBuilder  instance  char  valuesep  Object  type  String  argName  description  longopt  name  newLongopt  int  numberOfArgs  	projects/Cli31/src/main/java/org/apache/commons/cli/OptionBuilder.java	1.0	148	148	1	replace	    OptionBuilder  instance  =  option.getOptionBuilder();		non-compiled	[CE]  cannot  find  symbol  option	2	None	add
44	[BUG]  [BUGGY]    OptionBuilder  instance  =  getOptionBuilder();  [CE]  cannot  find  symbol  [CONTEXT]  public  static  OptionBuilder  isRequired()  {  [BUGGY]    OptionBuilder  instance  =  getOptionBuilder();  [BUGGY]  OptionBuilder.required  =  true;  return  instance;  }  [CLASS]  OptionBuilder  [METHOD]  isRequired  [RETURN_TYPE]  OptionBuilder  [VARIABLES]  boolean  hasArg  optionalArg  required  OptionBuilder  instance  char  valuesep  Object  type  String  argName  description  longopt  name  newLongopt  int  numberOfArgs  	projects/Cli31/src/main/java/org/apache/commons/cli/OptionBuilder.java	1.0	148	148	1	replace	    OptionBuilder  instance  =  getOptionBuilder();		non-compiled	[CE]  cannot  find  symbol	2	None	add
45	[BUG]  [BUGGY]    OptionBuilder  instance  =  Option.createOptionBuilder();  [CE]  cannot  find  symbol  [CONTEXT]  public  static  OptionBuilder  isRequired()  {  [BUGGY]    OptionBuilder  instance  =  Option.createOptionBuilder();  [BUGGY]  OptionBuilder.required  =  true;  return  instance;  }  [CLASS]  OptionBuilder  [METHOD]  isRequired  [RETURN_TYPE]  OptionBuilder  [VARIABLES]  boolean  hasArg  optionalArg  required  OptionBuilder  instance  char  valuesep  Object  type  String  argName  description  longopt  name  newLongopt  int  numberOfArgs  	projects/Cli31/src/main/java/org/apache/commons/cli/OptionBuilder.java	1.0	148	148	1	replace	    OptionBuilder  instance  =  Option.createOptionBuilder();		non-compiled	[CE]  cannot  find  symbol	2	None	add
53	[BUG]  [BUGGY]    if(name!=  null)  {  if(defaultArgName.length()  >  0)  {  throw  new  IllegalArgumentException( " ");  }  [CE]  illegal  start  of  expression  [CONTEXT]  public  void  setArgName(String  name)  {  [BUGGY]    if(name!=  null)  {  if(defaultArgName.length()  >  0)  {  throw  new  IllegalArgumentException( " ");  }  [BUGGY]  this.defaultArgName  =  name;  }  [CLASS]  HelpFormatter  OptionComparator  [METHOD]  setArgName  [RETURN_TYPE]  void  String  name  [VARIABLES]  String  DEFAULT_ARG_NAME  DEFAULT_LONG_OPT_PREFIX  DEFAULT_LONG_OPT_SEPARATOR  DEFAULT_OPT_PREFIX  DEFAULT_SYNTAX_PREFIX  defaultArgName  defaultLongOptPrefix  defaultNewLine  defaultOptPrefix  defaultSyntaxPrefix  longOptSeparator  name  newline  prefix  boolean  int  DEFAULT_DESC_PAD  DEFAULT_LEFT_PAD  DEFAULT_WIDTH  defaultDescPad  defaultLeftPad  defaultWidth  padding  width  Comparator  optionComparator  	projects/Cli31/src/main/java/org/apache/commons/cli/HelpFormatter.java	0.7071067811865475	314	314	1	replace	    if(name!=  null)  {  if(defaultArgName.length()  >  0)  {  throw  new  IllegalArgumentException( " ");  }		non-compiled	[CE]  illegal  start  of  expression	6	None	add
54	[BUG]  [BUGGY]    super.setArgName(name);  [CE]  cannot  find  symbol  [CONTEXT]  public  void  setArgName(String  name)  {  [BUGGY]    super.setArgName(name);  [BUGGY]  this.defaultArgName  =  name;  }  [CLASS]  HelpFormatter  OptionComparator  [METHOD]  setArgName  [RETURN_TYPE]  void  String  name  [VARIABLES]  String  DEFAULT_ARG_NAME  DEFAULT_LONG_OPT_PREFIX  DEFAULT_LONG_OPT_SEPARATOR  DEFAULT_OPT_PREFIX  DEFAULT_SYNTAX_PREFIX  defaultArgName  defaultLongOptPrefix  defaultNewLine  defaultOptPrefix  defaultSyntaxPrefix  longOptSeparator  name  newline  prefix  boolean  int  DEFAULT_DESC_PAD  DEFAULT_LEFT_PAD  DEFAULT_WIDTH  defaultDescPad  defaultLeftPad  defaultWidth  padding  width  Comparator  optionComparator  	projects/Cli31/src/main/java/org/apache/commons/cli/HelpFormatter.java	0.7071067811865475	314	314	1	replace	    super.setArgName(name);		non-compiled	[CE]  cannot  find  symbol	6	None	add
55	[BUG]  [BUGGY]    if(name!=  null)  {  if(!setDefaultArgName(name))  {  this.defaultArgName  =  name;  }  [CE]  illegal  start  of  expression  [CONTEXT]  public  void  setArgName(String  name)  {  [BUGGY]    if(name!=  null)  {  if(!setDefaultArgName(name))  {  this.defaultArgName  =  name;  }  [BUGGY]  this.defaultArgName  =  name;  }  [CLASS]  HelpFormatter  OptionComparator  [METHOD]  setArgName  [RETURN_TYPE]  void  String  name  [VARIABLES]  String  DEFAULT_ARG_NAME  DEFAULT_LONG_OPT_PREFIX  DEFAULT_LONG_OPT_SEPARATOR  DEFAULT_OPT_PREFIX  DEFAULT_SYNTAX_PREFIX  defaultArgName  defaultLongOptPrefix  defaultNewLine  defaultOptPrefix  defaultSyntaxPrefix  longOptSeparator  name  newline  prefix  boolean  int  DEFAULT_DESC_PAD  DEFAULT_LEFT_PAD  DEFAULT_WIDTH  defaultDescPad  defaultLeftPad  defaultWidth  padding  width  Comparator  optionComparator  	projects/Cli31/src/main/java/org/apache/commons/cli/HelpFormatter.java	0.7071067811865475	314	314	1	replace	    if(name!=  null)  {  if(!setDefaultArgName(name))  {  this.defaultArgName  =  name;  }		non-compiled	[CE]  illegal  start  of  expression	6	None	add
71	[BUG]  [BUGGY]    OptionBuilder  instance  =  Option.getOption(argName);  [CE]  cannot  find  symbol  [CONTEXT]  public  static  OptionBuilder  hasArg()  {  [BUGGY]    OptionBuilder  instance  =  Option.getOption(argName);  [BUGGY]  OptionBuilder.numberOfArgs  =  1;  return  instance;  }  [CLASS]  OptionBuilder  [METHOD]  hasArg  [RETURN_TYPE]  OptionBuilder  [VARIABLES]  boolean  optionalArg  required  OptionBuilder  instance  char  valuesep  Object  type  String  argName  description  longopt  newLongopt  int  numberOfArgs  	projects/Cli31/src/main/java/org/apache/commons/cli/OptionBuilder.java	0.5	109	109	1	replace	    OptionBuilder  instance  =  Option.getOption(argName);		non-compiled	[CE]  cannot  find  symbol	18	None	add
72	[BUG]  [BUGGY]    OptionBuilder  instance  =  Option.build();  [CE]  cannot  find  symbol  [CONTEXT]  public  static  OptionBuilder  hasArg()  {  [BUGGY]    OptionBuilder  instance  =  Option.build();  [BUGGY]  OptionBuilder.numberOfArgs  =  1;  return  instance;  }  [CLASS]  OptionBuilder  [METHOD]  hasArg  [RETURN_TYPE]  OptionBuilder  [VARIABLES]  boolean  optionalArg  required  OptionBuilder  instance  char  valuesep  Object  type  String  argName  description  longopt  newLongopt  int  numberOfArgs  	projects/Cli31/src/main/java/org/apache/commons/cli/OptionBuilder.java	0.5	109	109	1	replace	    OptionBuilder  instance  =  Option.build();		non-compiled	[CE]  cannot  find  symbol	18	None	add
73	[BUG]  [BUGGY]    OptionBuilder  instance  =  Option.createOption(argName);  [CE]  cannot  find  symbol  [CONTEXT]  public  static  OptionBuilder  hasArg()  {  [BUGGY]    OptionBuilder  instance  =  Option.createOption(argName);  [BUGGY]  OptionBuilder.numberOfArgs  =  1;  return  instance;  }  [CLASS]  OptionBuilder  [METHOD]  hasArg  [RETURN_TYPE]  OptionBuilder  [VARIABLES]  boolean  optionalArg  required  OptionBuilder  instance  char  valuesep  Object  type  String  argName  description  longopt  newLongopt  int  numberOfArgs  	projects/Cli31/src/main/java/org/apache/commons/cli/OptionBuilder.java	0.5	109	109	1	replace	    OptionBuilder  instance  =  Option.createOption(argName);		non-compiled	[CE]  cannot  find  symbol	18	None	add
74	[BUG]  [BUGGY]    OptionBuilder  instance  =  Option.getOption(argName);  optionBuilder.isRequired();  [CE]  cannot  find  symbol  [CONTEXT]  public  static  OptionBuilder  hasArg()  {  [BUGGY]    OptionBuilder  instance  =  Option.getOption(argName);  optionBuilder.isRequired();  [BUGGY]  OptionBuilder.numberOfArgs  =  1;  return  instance;  }  [CLASS]  OptionBuilder  [METHOD]  hasArg  [RETURN_TYPE]  OptionBuilder  [VARIABLES]  boolean  optionalArg  required  OptionBuilder  instance  char  valuesep  Object  type  String  argName  description  longopt  newLongopt  int  numberOfArgs  	projects/Cli31/src/main/java/org/apache/commons/cli/OptionBuilder.java	0.5	109	109	1	replace	    OptionBuilder  instance  =  Option.getOption(argName);  optionBuilder.isRequired();		non-compiled	[CE]  cannot  find  symbol	18	None	add
75	[BUG]  [BUGGY]    OptionBuilder  instance  =  Option.getOption(argName);  OptionBuilder.instance  =  null;  [CE]  cannot  find  symbol  [CONTEXT]  public  static  OptionBuilder  hasArg()  {  [BUGGY]    OptionBuilder  instance  =  Option.getOption(argName);  OptionBuilder.instance  =  null;  [BUGGY]  OptionBuilder.numberOfArgs  =  1;  return  instance;  }  [CLASS]  OptionBuilder  [METHOD]  hasArg  [RETURN_TYPE]  OptionBuilder  [VARIABLES]  boolean  optionalArg  required  OptionBuilder  instance  char  valuesep  Object  type  String  argName  description  longopt  newLongopt  int  numberOfArgs  	projects/Cli31/src/main/java/org/apache/commons/cli/OptionBuilder.java	0.5	109	109	1	replace	    OptionBuilder  instance  =  Option.getOption(argName);  OptionBuilder.instance  =  null;		non-compiled	[CE]  cannot  find  symbol	18	None	add
82	[BUG]  [BUGGY]    String  argName  =(String)this.values.get(argName);  [CE]  method  get  in  interface  List  cannot  be  applied  to  given  types;  [CONTEXT]  public  String  getArgName()  {  [BUGGY]    String  argName  =(String)this.values.get(argName);  [BUGGY]  return  argName;  }  [CLASS]  Option  [METHOD]  getArgName  [RETURN_TYPE]  String  [VARIABLES]  boolean  hasArg  optionalArg  required  char  valuesep  Object  type  List  values  String  argName  description  longOpt  opt  long  serialVersionUID  int  UNINITIALIZED  UNLIMITED_VALUES  numberOfArgs  	projects/Cli31/src/main/java/org/apache/commons/cli/Option.java	0.5	318	318	1	replace	    String  argName  =(String)this.values.get(argName);		non-compiled	[CE]  method  get  in  interface  List  cannot  be  applied  to  given  types;	14	None	add
83	[BUG]  [BUGGY]    String  argName  =  super.getArgName();  [CE]  cannot  find  symbol  [CONTEXT]  public  String  getArgName()  {  [BUGGY]    String  argName  =  super.getArgName();  [BUGGY]  return  argName;  }  [CLASS]  Option  [METHOD]  getArgName  [RETURN_TYPE]  String  [VARIABLES]  boolean  hasArg  optionalArg  required  char  valuesep  Object  type  List  values  String  argName  description  longOpt  opt  long  serialVersionUID  int  UNINITIALIZED  UNLIMITED_VALUES  numberOfArgs  	projects/Cli31/src/main/java/org/apache/commons/cli/Option.java	0.5	318	318	1	replace	    String  argName  =  super.getArgName();		non-compiled	[CE]  cannot  find  symbol	14	None	add
91	[BUG]  [BUGGY]  this.optionComparator.setArgName(name);  [CE]  illegal  start  of  expression  [CONTEXT]  public  void  setArgName(String  name)  {  this.defaultArgName  =  name;  [BUGGY]  this.optionComparator.setArgName(name);  [BUGGY]    [CLASS]  HelpFormatter  OptionComparator  [METHOD]  setArgName  [RETURN_TYPE]  void  String  name  [VARIABLES]  String  DEFAULT_ARG_NAME  DEFAULT_LONG_OPT_PREFIX  DEFAULT_LONG_OPT_SEPARATOR  DEFAULT_OPT_PREFIX  DEFAULT_SYNTAX_PREFIX  defaultArgName  defaultLongOptPrefix  defaultNewLine  defaultOptPrefix  defaultSyntaxPrefix  longOptSeparator  name  newline  prefix  boolean  int  DEFAULT_DESC_PAD  DEFAULT_LEFT_PAD  DEFAULT_WIDTH  defaultDescPad  defaultLeftPad  defaultWidth  padding  width  Comparator  optionComparator  	projects/Cli31/src/main/java/org/apache/commons/cli/HelpFormatter.java	0.7071067811865475	315	315	1	replace	this.optionComparator.setArgName(name);	}  	non-compiled	[CE]  illegal  start  of  expression	7	None	replace
