projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java334
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java334g2.setStroke(getItemOutlineStroke(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java334g2.setPaint(getItemOutlinePaint(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java334g2.draw(line);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java334Line2Dline=null;
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java334Line2Dline=newLine2D.Double(lowVal,rectY+rectHeight/2.0d,highVal,rectY+rectHeight/2.0d);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java334Line2Dline=newLine2D.Double(highVal,rectY+rectHeight/2.0d,highVal,rectY+rectHeight/2.0d);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java334Line2Dline=newLine2D.Double(lowVal,rectY+rectHeight/2.0d,lowVal,rectY+rectHeight/2.0d);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java334g2.setPaint(getItemOutlinePaint(row,column));g2.setPaint(getItemOutlinePaint(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java334g2.setPaint(getItemOutlinePaint(row,column));g2.setStroke(getItemOutlinePaint(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java334g2.setStroke(getItemOutlineStroke(row,column));g2.setStroke(getItemOutlineStroke(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java334g2.setStroke(getItemOutlineStroke(row,column));g2.setPaint(getItemOutlinePaint(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java334g2.setStroke(getItemOutlineStroke(row,column));g2.setFont(getItemOutlineFont(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java334g2.setPaint(getItemOutlinePaint(row,column),this.errorIndicatorPaint);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java334Line2Dline=newLine2D.Double(highVal,rectY+rectWidth/2.0d,highVal,rectY+rectHeight/2.0d);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java334Line2Dline=newLine2D.Double(lowVal,rectY+rectHeight/2.0d,highVal,rectY+rectHeight/2.0d);Line2Dline=newLine2D.Double(lowVal,rectY+rectheight/2.0d,highVal,rectY+rectHeight/2.0d);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java334g2.setPaint(getItemOutlinePaint(row,column));g2.setStroke(getItemOutlineStroke(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java334g2.draw(newLine2D.Double(lowVal,rectY,highVal,rectY));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java334Line2Dline=newLine2D.Double(highVal,rectY+rectHeight/2.0d,highVal,rectY+rectHeight/2.0d);Line2Dline=newLine2D.Double(highVal,rectY+rectHeight/2.0d,highVal,rectY+rectHeight%2.0d);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java334Line2Dline=newLine2D.Double(highVal,rectY+rectHeight/2.0d,highVal,rectY+rectHeight/2.0d);Line2Dline=newLine2D.Double(highVal,rectY+rectHeight/2.0d,highVal,rectY+rectheight/2.0d);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java334Line2Dline=newLine2D.Double(highVal,rectY+rectHeight/2.0d,highVal,rectY+rectWidth/2.0d);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java334Line2Dline=newLine2D.Double(lowVal,rectY+rectWidth/2.0d,highVal,rectY+rectHeight/2.0d);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java334Line2Dline=newLine2D.Double(lowVal,rectY+rectHeight/2.0d,lowVal,rectY+rectHeight/2.0d);Line2Dline=newLine2D.Double(lowVal,rectY+rectHeight/2.0d,lowVal,rectY+rectHeight%2.0d);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java334Line2Dline=newLine2D.Double(highVal,rectY+rectHeight/2.0d,highVal,rectY+rectHeight/2.0d);Line2Dline=newLine2D.Double(highVal,rectY+rectHeight/2.0d,highVal,rectY+rectHeight*2.0d);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java334g2.draw(bar);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java334Line2Dline=newLine2D.Double(lowVal,rectY+rectHeight/2.0d,highVal,rectY+rectHeight/2.0d);Line2Dline=newLine2D.Double(lowVal,rectY+rectWidth/2.0d,highVal,rectY+rectHeight/2.0d);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java334Line2Dline=newLine2D.Double(lowVal,rectY+rectHeight/2.0d,highVal,rectY+rectHeight/2.0d);Line2Dline=newLine2D.Double(highVal,rectY+rectHeight/2.0d,highVal,rectY+rectHeight/2.0d);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java334g2.setStroke(getItemOutlineStroke(row,column));g2.setStroke(getItemInlineStroke(row,column));
