projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java341line=newLine2D.Double(lowVal,rectY+rectHeight*0.25,lowVal,rectY+rectHeight*0.75);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java341line=newLine2D.Double(lowVal,rectY+rectHeight*0.25,highVal,rectY+rectHeight*0.75);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java341
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java341g2.setStroke(getItemOutlineStroke(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java341g2.setPaint(getItemOutlinePaint(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java341g2.draw(line);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java341line=newLine2D.Double(lowVal,rectY+rectWidth*0.25,lowVal,rectY+rectHeight*0.75);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java341g2.draw(line);g2.draw(line);line=newLine2D.Double(lowVal,rectY+rectHeight*0.25,highVal,rectY+rectHeight*0.75);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java341line=newLine2D.Double(lowVal,rectY+rectHeight*0.25,highVal,rectY+rectHeight*0.75);line=newLine2D.Double(lowVal,rectY+rectHeight*0.25,highVal,rectY+rectHeight*0.75);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java341line=newLine2D.Double(lowVal,rectY+rectHeight*0.25,highVal,rectY+rectHeight*0.75);g2.setStroke(getItemOutlineStroke(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java341line=newLine2D.Double(lowVal,rectY+rectHeight*0.25,highVal,rectY+rectHeight*0.75);g2.draw(line);line=newLine2D.Double(lowVal,rectY+rectHeight*0.25,highVal,rectY+rectHeight*0.75);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java341line=newLine2D.Double(lowVal,rectY+rectHeight*2.0d,highVal,rectY+rectHeight*0.75);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java341g2.setStroke(getItemOutlineStroke(row,column));g2.setStroke(getItemOutlineStroke(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java341g2.setStroke(getItemOutlineStroke(row,column));g2.setPaint(getItemOutlinePaint(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java341g2.setStroke(getItemOutlineStroke(row,column));g2.setPaint(getItemOutlineStroke(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java341g2.setPaint(getItemOutlinePaint(row,column));g2.setPaint(getItemOutlinePaint(row,column),bar);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java341line=newLine2D.Double(lowVal,rectY+rectWidth*0.25,lowVal,rectY+rectHeight*0.75);Line2Dline=newLine2D.Double(lowVal,rectY+rectWidth*0.25,lowVal,rectY+rectHeight*0.75);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java341g2.setPaint(getItemOutlinePaint(row,column),line);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java341line=newLine2D.Double(lowVal,rectY+rectHeight*0.25,highVal,rectY+rectHeight*0.75);Line2Dline=newLine2D.Double(lowVal,rectY+rectHeight*0.25,highVal,rectY+rectHeight*0.75);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java341line=newLine2D.Double(lowVal,rectY+rectHeight*0.25,highVal,rectY+rectHeight*0.75);g2.draw(line);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java341line=newLine2D.Double(lowVal,rectY+rectWidth*0.25,lowVal,rectY+rectHeight*0.75);g2.draw(line);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java341g2.draw(line);g2.draw(lines);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java341g2.setStroke(getItemOutlineStroke(row,column));g2.setStroke(getItemInlineStroke(row,column));
