projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321intsampleSize=getSampleSize();
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321intsampleSize=getNumberOfSuccesses();
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321IntegersampleSize=getSampleSize();
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321returnFastMath.min(getNumberOfSuccesses(),getSampleSize());
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321returnFastMath.min(getSampleSize(),getNumberOfSuccesses());
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321returnFastMath.min(getNumberOfSuccesses(),getSampleSize()+1);
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321returnFastMath.min(getNumberOfSuccesses(),getUpperBound());
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321returnFastMath.min(getSampleSize(),getNumberOfSuccesses()+1);
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321returnFastMath.min(getSampleSize(),getNumberOfSuccesses()-1);
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321returnFastMath.min(getNumberOfSuccesses(),getSampleSize()+1);intsampleSize=FastMath.min(getNumberOfSuccesses(),getSampleSize()+1);
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321returnFastMath.min(getNumberOfSuccesses(),getSampleSize()+1);intsampleSize=FastMath.max(getNumberOfSuccesses(),getSampleSize()+1);
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321returnFastMath.min(getNumberOfSuccesses(),getSampleSize()+1);intsampleSize=FastMath.min(getNumberOfSuccesses()+1,getSampleSize()+1);
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321intsampleSize=getPopulationSize();
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321returnFastMath.min(getNumberOfSuccesses(),getLowerBound());
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321returnFastMath.min(getSampleSize(),getNumberOfSuccesses());intsampleSize=FastMath.min(getSampleSize(),getNumberOfSuccesses());
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321intsampleSize=getSampleSize();IntegersampleSize=getSampleSize();
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321returnFastMath.max(getNumberOfSuccesses(),getSampleSize());
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321intsampleSize=getNumberOfSuccesses();IntsampleSize=getNumberOfSuccesses();
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321returnFastMath.max(getNumberOfSuccesses(),getSampleSize());intsampleSize=getSampleSize();
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321returnFastMath.max(getNumberOfSuccesses(),getSampleSize());intsampleSize=FastMath.max(getNumberOfSuccesses(),getSampleSize());
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321returnFastMath.max(getNumberOfSuccesses(),getSampleSize());intsampleSize=getNumberOfSuccesses();
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321intsampleSize=FastMath.min(getSampleSize(),getNumberOfSuccesses());
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321n=FastMath.min(getSampleSize(),getNumberOfSuccesses());intsampleSize=FastMath.min(getSampleSize(),getNumberOfSuccesses());
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321IntsampleSize=getSampleSize();
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321intsampleSize=FastMath.max(getNumberOfSuccesses(),getSampleSize());
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321returnFastMath.min(getSampleSize()+1,getNumberOfSuccesses()+1);
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321returnFastMath.min(getNumberOfSuccesses(),getSampleSize());intsampleSize=getSampleSize();
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321IntegersampleSize=getNumberOfSuccesses();intsampleSize=getSampleSize();
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321returnFastMath.min(getSampleSize(),getNumberOfSuccesses()-1);intsampleSize=getSampleSize();
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321returnFastMath.min(getSampleSize(),getNumberOfSuccesses()-1);intsampleSize=getNumberOfSuccesses();
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321returnFastMath.min(getSampleSize(),getNumberOfSuccesses()-1);intsampleSize=getNumberOfSuccesses()-1;
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321intsampleSize=getNumberOfSuccesses();IntegersampleSize=getSampleSize();
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321IntegersampleSize=getNumberOfSuccesses()-1;
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321intsampleSize=FastMath.min(getNumberOfSuccesses(),getSampleSize());
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321intsampleSize=getNumberOfSuccesses()+1;
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321returnFastMath.max(getSampleSize(),getNumberOfSuccesses());
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321intsampleSize=FastMath.min(getNumberOfSuccesses()+1,getSampleSize());
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321returnFastMath.min(getSampleSize(),getNumberOfSuccesses()+1);intsampleSize=getSampleSize();
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321returnFastMath.min(getSampleSize(),getNumberOfSuccesses()+1);intsampleSize=getNumberOfSuccesses()+1;
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321returnFastMath.min(getSampleSize(),getNumberOfSuccesses()+1);intsampleSize=getNumberOfSuccesses();
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321IntegersampleSize=getPopulationSize();intsampleSize=getSampleSize();
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321returnFastMath.max(getNumberOfSuccesses(),getSampleSize());intsampleSize=FastMath.min(getNumberOfSuccesses(),getSampleSize());
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321returnFastMath.min(getSampleSize(),getNumberOfSuccesses()+1);intsampleSize=FastMath.min(getSampleSize(),getNumberOfSuccesses()+1);
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321returnFastMath.min(getSampleSize(),getNumberOfSuccesses()-1);intsampleSize=FastMath.min(getSampleSize(),getNumberOfSuccesses()-1);
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321intsampleSize=getPopulationSize();IntsampleSize=getSampleSize();
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321intsampleSize=FastMath.min(getNumberOfSuccesses(),getNumberOfSuccesses());
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321intsampleSize=getNumberOfSuccesses();IntsampleSize=getSampleSize();
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321returnFastMath.min(getNumberOfSuccesses(),getUpperBound()/1);
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321intsampleSize=getSampleSize()-1;
projects/Math2/src/main/java/org/apache/commons/math3/distribution/HypergeometricDistribution.java321returnFastMath.min(getSampleSize(),getNumberOfSuccesses()-1);intsampleSize=FastMath.min(getSampleSize()-1,getNumberOfSuccesses()-1);
