projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107protectedint_tokenInputRow=1;
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107protectedint_tokenInputRow=0;
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107protectedint_tokenInputRow=2;
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107finalint_tokenInputRow=1;
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107finalprotectedint_tokenInputRow=1;
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107protectedlong_tokenInputRow=1L;
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107finalprotectedint_tokenInputRow=0;
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107finalint_tokenInputRow=0;
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107protectedint_tokenInputRow=2;finalJsonParseExceptionjsonParseException=null;
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107protectedint_tokenInputRow=2;JsonParserBase.this.reportError("msg.bad.invalid.tokenInput",_tokenInputRow);
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107protectedint_tokenInputRow=2;JsonParserBase.this.reportError("msg.bad.token.input.json",_tokenInputRow);
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107protectedint_tokenInputRow=2;JsonParserBase.this.reportError("msg.bad.invalid.tokenInput.");
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107protectedint_tokenInputRow=0;_reportUnsupportedOperation();
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107protectedint_tokenInputRow=0;JsonParseExceptionjp=newJsonParseException("JsonParseException:"+getMessage());
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107protectedint_tokenInputRow=0;JsonParserBase.this.reportError("msg.bad.token.input.error",_tokenInputRow);
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107protectedint_tokenInputRow=0;JsonParserBase.this.reportError("msg.bad.token.input.key",_tokenInputRow);
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107finalprotectedint_tokenInputRow=2;
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107finalprotectedint_tokenInputRow=1L;
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107protectedint_tokenInputRow=0;finalJsonParseExceptionexception=newJsonParseException("");
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107protectedint_tokenInputRow=0;finalJsonParseExceptionexception=newJsonParseException();
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107protectedint_tokenInputRow=0;JsonParseExceptionjp=newJsonParseException("Invalidrow:"+getClass().getName());
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107protectedint_tokenInputRow=0;finalJsonParseExceptionexception=newJsonParseException("Unexpected'"+_tokenInputRow+"':"+getMessage());
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107protectedint_tokenInputRow=0;finalJsonParseExceptionexception=newJsonParseException("Unexpected'"+_tokenInputRow+"':"+getText());
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107protectedint_tokenInputRow=2;JsonParseExceptionjsonParseException=newJsonParseException();
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107protectedint_tokenInputRow=2;JsonParseExceptionjsonParser=newJsonParser();
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107protectedint_tokenInputRow=2;JsonParseExceptionjsonParseException=newJsonParseException(""));
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107protectedint_tokenInputRow=2;JsonParseExceptionjsonParseException=newJsonParseException("JsonParseException:"+getMessage());
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107finalprotectedint_tokenInputRow=1;finalprotectedint_tokenInputRow=Math.min(_tokenInputRow,_tokenInputRow);
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107finalprotectedint_tokenInputRow=1;finalprotectedint_tokenInputRow=Math.min(_tokenInputRow,_tokenInputColumn);
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107finalprotectedint_tokenInputRow=1;finalprotectedint_tokenInputRow=Math.max(0,_tokenInputRow);
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107protectedint_tokenInputRow=0L;
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107finalint_tokenInputRow=1;finalint_tokenInputRow=Math.min(_tokenInputRow,_tokenInputRow)+1;
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107JsonParserBase.this.reportError("Cannotparse'"+_tokenInputRow+"'.");
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107JsonParserBase.this.reportError("Cannotparse'"+getMessage());
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107JsonParserBase.this.reportError("Cannotparse'"+_tokenInputRow+"',expecting'"+_tokenInputString+"'");
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107JsonParserBase.this.reportError("Cannotparse'"+_tokenInputRow+"',expecting'"+_tokenInputName+"'");
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107finalprotectedint_tokenInputRow=1;finalprotectedint_tokenInputRow=Math.max(1,_tokenInputRow);
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107finalprotectedint_tokenInputRow=1;finalprotectedint_tokenInputRow=Math.min(_tokenInputCount,_tokenInputRow);
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107protectedint_tokenInputRow=0;finalJsonParseExceptionex=(JsonParseException)super.getCurrentStructure();
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107protectedint_tokenInputRow=0;finalJsonParseExceptionex=(JsonParseException)super.clone();
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107protectedint_tokenInputRow=0;finalJsonParseExceptionex=(JsonParseException)super.getMessage();
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107protectedint_tokenInputRow=0;finalJsonParseExceptionex=(JsonParseException)super.getCurrentToken();
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107parser.parseSyntaxError("msg.bad.tokenInput",JsonToken.VALUE_NULL);
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107parser.addError("msg.bad.tokenInput");
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107parser.parseSyntaxError("msg.bad.tokenInputRow",JsonToken.VALUE_NULL);
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107parser.parseSyntaxError("msg.bad.tokenInput");
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107protectedint_tokenInputRow=2;JsonParseExceptionex=(JsonParseException)super.getCurrentStructure();
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107protectedint_tokenInputRow=2;JsonParseExceptionex=(JsonParseException)super.getMessage();
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107protectedint_tokenInputRow=2;JsonParseExceptionex=(JsonParseException)super.getCurrentStructure();returnex;
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107protectedint_tokenInputRow=2;JsonParseExceptionex=(JsonParseException)super.getCurrentToken();
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107protectedint_tokenInputRow=2;JsonParseExceptionex=(JsonParseException)super.getCause();
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107finalint_tokenInputRow=1;finalint_tokenInputRow=Math.max(0,_tokenInputRow);
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107finalint_tokenInputRow=1;finalint_tokenInputRow=Math.min(_tokenInputCount,_tokenInputRow);
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107finalint_tokenInputRow=1;finalint_tokenInputRow=getCurrentTokenInput();
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107protectedint_tokenInputRow=JsonToken.VALUE_STRING;
projects/JacksonCore24/src/main/java/com/fasterxml/jackson/core/base/ParserBase.java107protectedint_tokenInputRow=JsonToken.VALUE_NULL;
