projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java107_outputEnd=_outputBuffer.length;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java107_outputEnd=_outputBuffer.length-3;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java107_outputEnd=_outputBuffer.length-1;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java107_outputEnd=_outputBuffer.length+1;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java107_outputEnd=_outputBuffer.length-4;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java107
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java107_outputEnd=_outputBuffer.length-2;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java107_outputTail=ctxt.allocWriteEncodingBuffer();
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java107_outputTail=ctxt.allocOutputTail();
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java107_outputEnd=_outputBuffer.length-2;_outputStart=_outputBuffer.length-2;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java107_outputEnd=_outputBuffer.length-2;(_outputEnd=_outputBuffer.length-2);
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java107_outputEnd=_outputBuffer.length-3;_outputEnd=_outputBuffer.length-3;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java107_outputEnd=_outputBuffer.length-3;_outputEnd=_outputBuffer.length-4;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java107_outputEnd=_outputBuffer.length-3;_outputStart=_outputBuffer.length-3;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java107_outputEnd=_outputBuffer.length-3;(_outputEnd=_outputBuffer.length-3);
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java107_outputEnd=_outputBuffer.length+1;_outputBuffer=_outputBuffer.length+1;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java107_outputEnd=_outputBuffer.length-3;(_outputEnd=_outputBuffer.length-3;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java107_outputEnd=_outputBuffer.length-2;_outputBuffer=_outputBuffer.length-2;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java107_outputEnd=_outputBuffer.length-4;_outputStart=_outputBuffer.length-4;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java107_outputEnd=_outputBuffer.length-1;_outputBuffer=_outputBuffer.length-1;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java107_outputTail=out;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java107if(_outputTail>MAX_BYTES_TO_BUFFER){_outputEnd=MAX_BYTES_TO_BUFFER;_outputTail=out;_outputEnd=MAX_BYTES_TO_BUFFER
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java107_outputTail=out.readLine();
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java107_outputTail=ctxt.allocOutputBuffer();
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java107_outputEnd=_outputBuffer.length-1;if(_outputEnd>0){_outputBuffer.length-1;}
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java107_outputEnd=_outputBuffer.length-2;_outputEnd=_outputBuffer.length-2);
