projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mLocale,TimeZone.SHORT);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558Rulerule=newTimeZoneNameRule(mTimeZone,mLocale,TimeZone.SHORT);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mField,TimeZone.SHORT);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mStandard,TimeZone.SHORT);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mLocale,TimeZone.MILLIS);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mStandard,TimeZone.SHORT,tokenLen);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mField,mMaxLengthEstimate,TimeZone.SHORT);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mField,mMinLengthEstimate,TimeZone.SHORT);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mField,mStandard,TimeZone.SHORT);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mLocale,TimeZone.BOTTOM,tokenLen);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mField,mLocale,TimeZone.BOTTOM);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newRule(mTimeZone,mLocale,TimeZone.SHORT,tokenLen);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mField,mLocale,TimeZone.MILLIS);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mLocale,TimeZone.MILLIS,tokenLen);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mField,TimeZone.SHORT,tokenLen);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mField,TimeZone.LONG);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mLocale,TimeZone.SHORT,tokenLen+1);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558Rulerule=newRule(mTimeZone,mLocale,TimeZone.SHORT,tokenLen);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558Rulerule=newRule(mTimeZone,mField,mLocale,TimeZone.SHORT);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mField,mLocale,TimeZone.LONG);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mLocale,TimeZone.LONG,tokenLen);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mMinLengthEstimate,TimeZone.LONG);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(timeZone,mLocale,TimeZone.MILLIS);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mField,TimeZone.MILLIS);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558Rulerule=newTimeZoneNameRule(mTimeZone,mField,TimeZone.SHORT);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newRule(mTimeZone,mField,TimeZone.SHORT);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mMinLengthEstimate,TimeZone.SHORT);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mStandard,TimeZone.LONG);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mLocale,TimeZone.START);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mColon,TimeZone.LONG);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mField,TimeZone.SHORT,mMaxLengthEstimate);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558Rulerule=newRule(mTimeZone,mField,TimeZone.SHORT);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558Rulerule=newRule(mTimeZone,mMinLengthEstimate,TimeZone.SHORT);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mLocale,TimeZone.MILLIS,Token.SHORT);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newRule(mTimeZone,mMinLengthEstimate,TimeZone.SHORT);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newRule(mTimeZone,mStyle,TimeZone.SHORT);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mLocale,TimeZone.BOTTOM,Token.SHORT);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mLocale,TimeZone.SHORT,2);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558Rulerule=newRule(mTimeZone,mStyle,TimeZone.SHORT);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558Rulerule=newTimeZoneNameRule(mTimeZone,mStyle,TimeZone.SHORT);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mLocale,TimeZone.DATE,true);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mLocale,TimeZone.DATE,tokenLen+1);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mMaxLengthEstimate,TimeZone.SHORT);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mMinLengthEstimate,TimeZone.SHORT,tokenLen);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mLocale,TimeZone.START,tokenLen);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mField,mLocale,TimeZone.START);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mField,TimeZone.BOTTOM,Token.SHORT);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mStandard,TimeZone.BOTTOM,Token.SHORT);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mStyle,TimeZone.BOTTOM,Token.SHORT);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mLocale,mStandard,TimeZone.SHORT);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mStandard,TimeZone.MILLIS);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mLocale,TimeZone.MINUTE);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mField,TimeZone.MILLIS,Token.SHORT);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mLocale,TimeZone.MILLIS,Token.SHORT,tokenLen);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newRule(mTimeZone,mField,TimeZone.SHORT,tokenLen);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mField,mMaxLengthEstimate,TimeZone.DATE);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mField,timeStyle,TimeZone.DATE);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mStandard,mField,TimeZone.DATE);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558Rulerule=newRule(mTimeZone,mStyle,TimeZone.SHORT,tokenLen);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558Rulerule=newRule(mTimeZone,mStyle,TimeZone.SHORT,mMaxLengthEstimate);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mLocale,TimeZone.SHORT,tokenLen+2);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mLocale,TimeZone.SHORT,tokenLen+4);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mLocale,TimeZone.SHORT,tokenLen+3);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mPattern,TimeZone.SHORT,tokenLen);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mPattern,TimeZone.LONG);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558Rulerule=newTimeZoneNameRule(mTimeZone,mField,mMaxLengthEstimate,TimeZone.SHORT);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558Rulerule=newTimeZoneNameRule(mTimeZone,mField,mStandard,TimeZone.SHORT);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558Rulerule=newTimeZoneNameRule(mTimeZone,mField,mMinLengthEstimate,TimeZone.SHORT);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mField,TimeZone.MILLIS,tokenLen);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mField,mMaxLengthEstimate,TimeZone.BOTTOM);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mField,timeStyle,TimeZone.BOTTOM);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mField,mStandard,TimeZone.BOTTOM);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mLocale,TimeZone.BOTTOM,tokenLen+1);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mField,TimeZone.BOTTOM,tokenLen);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mLocale,TimeZone.MILLIS,tokenLen+1);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newRule(mTimeZone,mMaxLengthEstimate,TimeZone.SHORT);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newRule(mTimeZone,mMinLengthEstimate,TimeZone.SHORT,tokenLen);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558Rulerule=newRule(mTimeZone,mMaxLengthEstimate,TimeZone.SHORT);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558Rulerule=newRule(mTimeZone,mMinLengthEstimate,TimeZone.SHORT,tokenLen);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newRule(mTimeZone,mLocale,TimeZone.SHORT,tokenLen+1);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newRule(mTimeZone,mMaxLengthEstimate,TimeZone.SHORT,tokenLen);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558Rulerule=newRule(mTimeZone,mField,TimeZone.SHORT,tokenLen);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558Rulerule=newRule(mTimeZone,mField,TimeZone.LONG);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558Rulerule=newTimeZoneNameRule(mTimeZone,mField,TimeZone.SHORT,tokenLen);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mStandard,TimeZone.SHORT,tokenLen+1);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mField,timeStyle,TimeZone.MILLIS);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mField,mMaxLengthEstimate,TimeZone.MILLIS);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558Rulerule=newTimeZoneNameRule(mTimeZone,mStyle,TimeZone.SHORT,tokenLen);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558Rulerule=newTimeZoneNameRule(mTimeZone,mStyle,TimeZone.LONG);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mMaxLengthEstimate,TimeZone.LONG);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mMinLengthEstimate,TimeZone.LONG,mMaxLengthEstimate);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mMinLengthEstimate,TimeZone.LONG,tokenLen);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mLocale,mMaxLengthEstimate,TimeZone.SHORT);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mField,mSize,TimeZone.SHORT);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mField,mMaxLengthEstimate,TimeZone.SHORT,tokenLen);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mLocale,TimeZone.SHORT,1);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mLocale,TimeZone.SHORT,3);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mLocale,TimeZone.SHORT,4);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mUrl,mColon,TimeZone.LONG);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mColon,TimeZone.LONG,tokenLen);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558Rulerule=newRule(mTimeZone,mMaxLengthEstimate,TimeZone.SHORT,tokenLen);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558Rulerule=newRule(mTimeZone,mLocale,TimeZone.SHORT,tokenLen+1);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558Rulerule=newRule(mTimeZone,mField,mMaxLengthEstimate,TimeZone.SHORT);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558Rulerule=newRule(mTimeZone,mField,mMinLengthEstimate,TimeZone.SHORT);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558Rulerule=newRule(mTimeZone,mField,mStandard,TimeZone.SHORT);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mLocale,TimeZone.SHORT,mMaxLengthEstimate);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newRule(mTimeZone,mStyle,TimeZone.SHORT,tokenLen);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newRule(mTimeZone,mStyle,TimeZone.SHORT,mMaxLengthEstimate);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558Rulerule=newTimeZoneNameRule(mTimeZone,mStandard,TimeZone.SHORT,tokenLen);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558Rulerule=newTimeZoneNameRule(mTimeZone,mMinLengthEstimate,TimeZone.SHORT,tokenLen);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mField,mMaxLengthEstimate,TimeZone.LONG);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mField,mMinLengthEstimate,TimeZone.LONG);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mField,tokenLen,TimeZone.LONG);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mField,mStandard,TimeZone.LONG);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mField,TimeZone.LONG,tokenLen);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mMaxLengthEstimate,TimeZone.LONG,tokenLen);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mField,TimeZone.SHORT,tokenLen+1);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mLocale,TimeZone.DATE,false);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mLocale,TimeZone.SHORT,true);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mStandard,TimeZone.DATE,true);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mField,TimeZone.DATE,true);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mLocale,mMinLengthEstimate,TimeZone.SHORT);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mField,mColon,TimeZone.LONG);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mField,TimeZone.SHORT,TimeZone.MILLIS);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mStandard,mField,TimeZone.BOTTOM);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mField,TimeZone.BOTTOM,mMaxLengthEstimate);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558Rulerule=newTimeZoneNameRule(mTimeZone,mField,TimeZone.LONG);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newRule(mTimeZone,mMinLengthEstimate,TimeZone.SHORT,mMaxLengthEstimate);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(timeZone,mField,TimeZone.SHORT);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mField,TimeZone.START);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558Rulerule=newTimeZoneNameRule(mTimeZone,mPattern,mLocale,TimeZone.SHORT);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mField,TimeZone.SHORT,1);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newRule(mTimeZone,mSize,TimeZone.SHORT);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newRule(mTimeZone,mField,TimeZone.SHORT,mMaxLengthEstimate);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newRule(mTimeZone,mField,TimeZone.LONG);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newRule(mTimeZone,mField,TimeZone.SHORT,mMinLengthEstimate);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mLocale,TimeZone.MILLIS,1);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mLocale,TimeZone.MILLIS,3);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(timeZone,mLocale,TimeZone.SHORT);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mColon,TimeZone.SHORT);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(timeZone,mColon,TimeZone.LONG);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newRule(mTimeZone,mLocale,TimeZone.SHORT,1);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mField,TimeZone.DATE,mMaxLengthEstimate);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558Rulerule=newRule(mTimeZone,mField,TimeZone.SHORT,mMaxLengthEstimate);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mLocale,TimeZone.HOUR_OF_DAY);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(timeZone,mLocale,TimeZone.DATE,false);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558Rulerule=newRule(mTimeZone,mSize,TimeZone.SHORT);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(timeZone,mLocale,TimeZone.BOTTOM,Token.SHORT);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mMinLengthEstimate,TimeZone.BOTTOM,Token.SHORT);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mField,TimeZone.SHORT,2);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558Rulerule=newTimeZoneNameRule(mTimeZone,mLocale,TimeZone.SHORT,tokenLen+1);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mMinLengthEstimate,TimeZone.MILLIS,Token.SHORT);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mLocale,TimeZone.LONG,tokenLen+1);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mLocale,TimeZone.DATE,1);
projects/Lang18/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java558rule=newTimeZoneNameRule(mTimeZone,mLocale,TimeZone.DATE,3);
