bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
this_action1	[BUG]  [BUGGY]  [FE]  StringIndexOutOfBoundsException  testForgottenImaginaryCharacter  [CONTEXT]  default  :    pos.setIndex(initialIndex);  pos.setErrorIndex(startIndex);  return  null;  }    [BUGGY]    parseAndIgnoreWhitespace(source,  pos);  [BUGGY]  parseAndIgnoreWhitespace(source,  pos);  Number  im  =  parseNumber(source,  getRealFormat(),  pos);  if  (im  ==  null)  {    pos.setIndex(initialIndex);  return  null;  }  [CLASS]  ComplexFormat  [METHOD]  parse  [RETURN_TYPE]  Complex  String  source  ParsePosition  pos  [VARIABLES]  boolean  Number  im  re  char  c  String  DEFAULT_IMAGINARY_CHARACTER  imaginaryCharacter  source  long  serialVersionUID  int  endIndex  initialIndex  n  sign  startIndex  NumberFormat  f  format  imaginaryFormat  nf  realFormat  ParsePosition  pos  	projects/Math101/src/java/org/apache/commons/math/complex/ComplexFormat.java	0.2886751345948129	361	361	2	add	    parseAndIgnoreWhitespace(source,  pos);		compilable	  [FE]  StringIndexOutOfBoundsException  testForgottenImaginaryCharacter	12	2
24	[BUG]  [BUGGY]  sign  =  +1;  [FE]  StringIndexOutOfBoundsException  testForgottenImaginaryCharacter  [CONTEXT]  int  sign  =  0;  switch  (c)  {  case  0  :    return  new  Complex(re.doubleValue(),  0.0);  case  '-'  :  sign  =  -1;  break;  case  '+'  :  [BUGGY]  sign  =  +1;  [BUGGY]  break;  default  :    pos.setIndex(initialIndex);  pos.setErrorIndex(startIndex);  return  null;  }  [CLASS]  ComplexFormat  [METHOD]  parse  [RETURN_TYPE]  Complex  String  source  ParsePosition  pos  [VARIABLES]  boolean  Number  im  re  char  c  String  DEFAULT_IMAGINARY_CHARACTER  imaginaryCharacter  source  long  serialVersionUID  int  endIndex  initialIndex  n  sign  startIndex  NumberFormat  f  format  imaginaryFormat  nf  realFormat  ParsePosition  pos  	projects/Math101/src/java/org/apache/commons/math/complex/ComplexFormat.java	0.3779644730092272	349	349	2	replace	sign  =  +1;	sign  =  1;  	compilable	  [FE]  StringIndexOutOfBoundsException  testForgottenImaginaryCharacter	1	2	replace
31	[BUG]  [BUGGY]  this(DEFAULT_IMAGINARY_CHARACTER,  getImaginaryCharacter());  [CE]  cannot  reference  this  before  supertype  constructor  has  been  called  [CONTEXT]  public  ComplexFormat()  {  [BUGGY]  this(DEFAULT_IMAGINARY_CHARACTER,  getImaginaryCharacter());  [BUGGY]  }  [CLASS]  ComplexFormat  [METHOD]  <init>  [RETURN_TYPE]  ComplexFormat()  [VARIABLES]  String  DEFAULT_IMAGINARY_CHARACTER  imaginaryCharacter  boolean  long  serialVersionUID  NumberFormat  imaginaryFormat  realFormat  	projects/Math101/src/java/org/apache/commons/math/complex/ComplexFormat.java	0.35355339059327373	58	58	2	replace	this(DEFAULT_IMAGINARY_CHARACTER,  getImaginaryCharacter());	this(DEFAULT_IMAGINARY_CHARACTER,  getDefaultNumberFormat());  	non-compiled	[CE]  cannot  reference  this  before  supertype  constructor  has  been  called	5	None	replace
32	[BUG]  [BUGGY]  this(DEFAULT_IMAGINARY_CHARACTER,  getImaginaryFormat());  [CE]  cannot  reference  this  before  supertype  constructor  has  been  called  [CONTEXT]  public  ComplexFormat()  {  [BUGGY]  this(DEFAULT_IMAGINARY_CHARACTER,  getImaginaryFormat());  [BUGGY]  }  [CLASS]  ComplexFormat  [METHOD]  <init>  [RETURN_TYPE]  ComplexFormat()  [VARIABLES]  String  DEFAULT_IMAGINARY_CHARACTER  imaginaryCharacter  boolean  long  serialVersionUID  NumberFormat  imaginaryFormat  realFormat  	projects/Math101/src/java/org/apache/commons/math/complex/ComplexFormat.java	0.35355339059327373	58	58	2	replace	this(DEFAULT_IMAGINARY_CHARACTER,  getImaginaryFormat());	this(DEFAULT_IMAGINARY_CHARACTER,  getDefaultNumberFormat());  	non-compiled	[CE]  cannot  reference  this  before  supertype  constructor  has  been  called	5	None	replace
33	[BUG]  [BUGGY]  this(DEFAULT_IMAGINARY_CHARACTER,  getImaginaryCharacterFormat());  [CE]  cannot  find  symbol  [CONTEXT]  public  ComplexFormat()  {  [BUGGY]  this(DEFAULT_IMAGINARY_CHARACTER,  getImaginaryCharacterFormat());  [BUGGY]  }  [CLASS]  ComplexFormat  [METHOD]  <init>  [RETURN_TYPE]  ComplexFormat()  [VARIABLES]  String  DEFAULT_IMAGINARY_CHARACTER  imaginaryCharacter  boolean  long  serialVersionUID  NumberFormat  imaginaryFormat  realFormat  	projects/Math101/src/java/org/apache/commons/math/complex/ComplexFormat.java	0.35355339059327373	58	58	2	replace	this(DEFAULT_IMAGINARY_CHARACTER,  getImaginaryCharacterFormat());	this(DEFAULT_IMAGINARY_CHARACTER,  getDefaultNumberFormat());  	non-compiled	[CE]  cannot  find  symbol	5	None	replace
34	[BUG]  [BUGGY]  this(DEFAULT_IMAGINARY_CHARACTER,  realFormat,  getDefaultNumberFormat());  [CE]  cannot  reference  realFormat  before  supertype  constructor  has  been  called  [CONTEXT]  public  ComplexFormat()  {  [BUGGY]  this(DEFAULT_IMAGINARY_CHARACTER,  realFormat,  getDefaultNumberFormat());  [BUGGY]  }  [CLASS]  ComplexFormat  [METHOD]  <init>  [RETURN_TYPE]  ComplexFormat()  [VARIABLES]  String  DEFAULT_IMAGINARY_CHARACTER  imaginaryCharacter  boolean  long  serialVersionUID  NumberFormat  imaginaryFormat  realFormat  	projects/Math101/src/java/org/apache/commons/math/complex/ComplexFormat.java	0.35355339059327373	58	58	2	replace	this(DEFAULT_IMAGINARY_CHARACTER,  realFormat,  getDefaultNumberFormat());	this(DEFAULT_IMAGINARY_CHARACTER,  getDefaultNumberFormat());  	non-compiled	[CE]  cannot  reference  realFormat  before  supertype  constructor  has  been  called	5	None	replace
35	[BUG]  [BUGGY]  [FE]  NullPointerException  testForgottenImaginaryCharacter  [CONTEXT]  public  ComplexFormat()  {  [BUGGY]    [BUGGY]  }  [CLASS]  ComplexFormat  [METHOD]  <init>  [RETURN_TYPE]  ComplexFormat()  [VARIABLES]  String  DEFAULT_IMAGINARY_CHARACTER  imaginaryCharacter  boolean  long  serialVersionUID  NumberFormat  imaginaryFormat  realFormat  	projects/Math101/src/java/org/apache/commons/math/complex/ComplexFormat.java	0.35355339059327373	58	58	2	add	  	this(DEFAULT_IMAGINARY_CHARACTER,  getDefaultNumberFormat());  	compilable	  [FE]  NullPointerException  testForgottenImaginaryCharacter	5	2
36	[BUG]  [BUGGY]    [FE]  NullPointerException  testForgottenImaginaryCharacter  [CONTEXT]  public  ComplexFormat()  {  [BUGGY]    [BUGGY]  }  [CLASS]  ComplexFormat  [METHOD]  <init>  [RETURN_TYPE]  ComplexFormat()  [VARIABLES]  String  DEFAULT_IMAGINARY_CHARACTER  imaginaryCharacter  boolean  long  serialVersionUID  NumberFormat  imaginaryFormat  realFormat  	projects/Math101/src/java/org/apache/commons/math/complex/ComplexFormat.java	0.35355339059327373	58	58	2	replace	  	this(DEFAULT_IMAGINARY_CHARACTER,  getDefaultNumberFormat());  	compilable	  [FE]  NullPointerException  testForgottenImaginaryCharacter	5	2	replace
42	[BUG]  [BUGGY]  pos.removeIndex(startIndex);  break;  [CE]  cannot  find  symbol  [CONTEXT]  switch  (c)  {  case  0  :    return  new  Complex(re.doubleValue(),  0.0);  case  '-'  :  sign  =  -1;  break;  case  '+'  :  sign  =  1;  [BUGGY]  pos.removeIndex(startIndex);  break;  [BUGGY]  default  :    pos.setIndex(initialIndex);  pos.setErrorIndex(startIndex);  return  null;  }    [CLASS]  ComplexFormat  [METHOD]  parse  [RETURN_TYPE]  Complex  String  source  ParsePosition  pos  [VARIABLES]  boolean  Number  im  re  char  c  String  DEFAULT_IMAGINARY_CHARACTER  imaginaryCharacter  source  long  serialVersionUID  int  endIndex  initialIndex  n  sign  startIndex  NumberFormat  f  format  imaginaryFormat  nf  realFormat  ParsePosition  pos  	projects/Math101/src/java/org/apache/commons/math/complex/ComplexFormat.java	0.3779644730092272	350	350	2	replace	pos.removeIndex(startIndex);  break;	break;  	non-compiled	[CE]  cannot  find  symbol	3	None	replace
43	[BUG]  [BUGGY]  pos.removeIndex(startIndex);  [CE]  cannot  find  symbol  [CONTEXT]  switch  (c)  {  case  0  :    return  new  Complex(re.doubleValue(),  0.0);  case  '-'  :  sign  =  -1;  break;  case  '+'  :  sign  =  1;  [BUGGY]  pos.removeIndex(startIndex);  [BUGGY]  default  :    pos.setIndex(initialIndex);  pos.setErrorIndex(startIndex);  return  null;  }    [CLASS]  ComplexFormat  [METHOD]  parse  [RETURN_TYPE]  Complex  String  source  ParsePosition  pos  [VARIABLES]  boolean  Number  im  re  char  c  String  DEFAULT_IMAGINARY_CHARACTER  imaginaryCharacter  source  long  serialVersionUID  int  endIndex  initialIndex  n  sign  startIndex  NumberFormat  f  format  imaginaryFormat  nf  realFormat  ParsePosition  pos  	projects/Math101/src/java/org/apache/commons/math/complex/ComplexFormat.java	0.3779644730092272	350	350	2	replace	pos.removeIndex(startIndex);	break;  	non-compiled	[CE]  cannot  find  symbol	3	None	replace
44	[BUG]  [BUGGY]  [FE]  StringIndexOutOfBoundsException  testForgottenImaginaryCharacter  [CONTEXT]  switch  (c)  {  case  0  :    return  new  Complex(re.doubleValue(),  0.0);  case  '-'  :  sign  =  -1;  break;  case  '+'  :  sign  =  1;  [BUGGY]  pos.setErrorIndex(startIndex);  break;  [BUGGY]  default  :    pos.setIndex(initialIndex);  pos.setErrorIndex(startIndex);  return  null;  }    [CLASS]  ComplexFormat  [METHOD]  parse  [RETURN_TYPE]  Complex  String  source  ParsePosition  pos  [VARIABLES]  boolean  Number  im  re  char  c  String  DEFAULT_IMAGINARY_CHARACTER  imaginaryCharacter  source  long  serialVersionUID  int  endIndex  initialIndex  n  sign  startIndex  NumberFormat  f  format  imaginaryFormat  nf  realFormat  ParsePosition  pos  	projects/Math101/src/java/org/apache/commons/math/complex/ComplexFormat.java	0.3779644730092272	350	350	2	add	pos.setErrorIndex(startIndex);  break;	break;  	compilable	  [FE]  StringIndexOutOfBoundsException  testForgottenImaginaryCharacter	3	2
45	[BUG]  [BUGGY]  pos.setErrorIndex(startIndex);  break;  [FE]  StringIndexOutOfBoundsException  testForgottenImaginaryCharacter  [CONTEXT]  switch  (c)  {  case  0  :    return  new  Complex(re.doubleValue(),  0.0);  case  '-'  :  sign  =  -1;  break;  case  '+'  :  sign  =  1;  [BUGGY]  pos.setErrorIndex(startIndex);  break;  [BUGGY]  default  :    pos.setIndex(initialIndex);  pos.setErrorIndex(startIndex);  return  null;  }    [CLASS]  ComplexFormat  [METHOD]  parse  [RETURN_TYPE]  Complex  String  source  ParsePosition  pos  [VARIABLES]  boolean  Number  im  re  char  c  String  DEFAULT_IMAGINARY_CHARACTER  imaginaryCharacter  source  long  serialVersionUID  int  endIndex  initialIndex  n  sign  startIndex  NumberFormat  f  format  imaginaryFormat  nf  realFormat  ParsePosition  pos  	projects/Math101/src/java/org/apache/commons/math/complex/ComplexFormat.java	0.3779644730092272	350	350	2	replace	pos.setErrorIndex(startIndex);  break;	break;  	compilable	  [FE]  StringIndexOutOfBoundsException  testForgottenImaginaryCharacter	3	2	replace
53	[BUG]  [BUGGY]    pos.setIndex(initialIndex);  return  null;  [CE]  unreachable  statement  [CONTEXT]  switch  (c)  {  case  0  :    return  new  Complex(re.doubleValue(),  0.0);  case  '-'  :  sign  =  -1;  break;  case  '+'  :  sign  =  1;  [BUGGY]    pos.setIndex(initialIndex);  return  null;  [BUGGY]  break;  default  :    pos.setIndex(initialIndex);  pos.setErrorIndex(startIndex);  return  null;  }    [CLASS]  ComplexFormat  [METHOD]  parse  [RETURN_TYPE]  Complex  String  source  ParsePosition  pos  [VARIABLES]  boolean  Number  im  re  char  c  String  DEFAULT_IMAGINARY_CHARACTER  imaginaryCharacter  source  long  serialVersionUID  int  endIndex  initialIndex  n  sign  startIndex  NumberFormat  f  format  imaginaryFormat  nf  realFormat  ParsePosition  pos  	projects/Math101/src/java/org/apache/commons/math/complex/ComplexFormat.java	0.3779644730092272	350	350	2	replace	    pos.setIndex(initialIndex);  return  null;		non-compiled	[CE]  unreachable  statement	4	None	add
54	[BUG]  [BUGGY]    pos.setIndex(initialIndex);  pos.setErrorIndex(startIndex);  return  null;  [CE]  unreachable  statement  [CONTEXT]  switch  (c)  {  case  0  :    return  new  Complex(re.doubleValue(),  0.0);  case  '-'  :  sign  =  -1;  break;  case  '+'  :  sign  =  1;  [BUGGY]    pos.setIndex(initialIndex);  pos.setErrorIndex(startIndex);  return  null;  [BUGGY]  break;  default  :    pos.setIndex(initialIndex);  pos.setErrorIndex(startIndex);  return  null;  }    [CLASS]  ComplexFormat  [METHOD]  parse  [RETURN_TYPE]  Complex  String  source  ParsePosition  pos  [VARIABLES]  boolean  Number  im  re  char  c  String  DEFAULT_IMAGINARY_CHARACTER  imaginaryCharacter  source  long  serialVersionUID  int  endIndex  initialIndex  n  sign  startIndex  NumberFormat  f  format  imaginaryFormat  nf  realFormat  ParsePosition  pos  	projects/Math101/src/java/org/apache/commons/math/complex/ComplexFormat.java	0.3779644730092272	350	350	2	replace	    pos.setIndex(initialIndex);  pos.setErrorIndex(startIndex);  return  null;		non-compiled	[CE]  unreachable  statement	4	None	add
55	[BUG]  [BUGGY]    pos.setIndex(startIndex);  return  null;  [CE]  unreachable  statement  [CONTEXT]  switch  (c)  {  case  0  :    return  new  Complex(re.doubleValue(),  0.0);  case  '-'  :  sign  =  -1;  break;  case  '+'  :  sign  =  1;  [BUGGY]    pos.setIndex(startIndex);  return  null;  [BUGGY]  break;  default  :    pos.setIndex(initialIndex);  pos.setErrorIndex(startIndex);  return  null;  }    [CLASS]  ComplexFormat  [METHOD]  parse  [RETURN_TYPE]  Complex  String  source  ParsePosition  pos  [VARIABLES]  boolean  Number  im  re  char  c  String  DEFAULT_IMAGINARY_CHARACTER  imaginaryCharacter  source  long  serialVersionUID  int  endIndex  initialIndex  n  sign  startIndex  NumberFormat  f  format  imaginaryFormat  nf  realFormat  ParsePosition  pos  	projects/Math101/src/java/org/apache/commons/math/complex/ComplexFormat.java	0.3779644730092272	350	350	2	replace	    pos.setIndex(startIndex);  return  null;		non-compiled	[CE]  unreachable  statement	4	None	add
61	[BUG]  [BUGGY]    int  startIndex  =  pos.getIndex();  [CE]  variable  startIndex  is  already  defined  in  method  parse(String,ParsePosition)  [CONTEXT]  Number  im  =  parseNumber(source,  getRealFormat(),  pos);  if  (im  ==  null)  {    pos.setIndex(initialIndex);  return  null;  }    [BUGGY]    int  startIndex  =  pos.getIndex();  [BUGGY]  int  n  =  getImaginaryCharacter().length();  startIndex  =  pos.getIndex();  int  endIndex  =  startIndex  +  n;  if  (  source.substring(startIndex,  endIndex).compareTo(  getImaginaryCharacter())  !=  0)  {    pos.setIndex(initialIndex);  pos.setErrorIndex(startIndex);  return  null;  [CLASS]  ComplexFormat  [METHOD]  parse  [RETURN_TYPE]  Complex  String  source  ParsePosition  pos  [VARIABLES]  boolean  Number  im  re  char  c  String  DEFAULT_IMAGINARY_CHARACTER  imaginaryCharacter  source  long  serialVersionUID  int  endIndex  initialIndex  n  sign  startIndex  NumberFormat  f  format  imaginaryFormat  nf  realFormat  ParsePosition  pos  	projects/Math101/src/java/org/apache/commons/math/complex/ComplexFormat.java	0.2886751345948129	374	374	2	replace	    int  startIndex  =  pos.getIndex();		non-compiled	[CE]  variable  startIndex  is  already  defined  in  method  parse(String,ParsePosition)	18	None	add
