bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
this_action1	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  [BUGGY]  if(!group.isRequired())  {  [BUGGY]  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	71	72	1	add	if(!group.isRequired())  {	if  (group.isRequired())  {  	compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	10	1
16	[BUG]  [BUGGY]    [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  if  (group.isRequired())  {  [BUGGY]    [BUGGY]  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  addOption(option);  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	73	73	1	replace	  	requiredOpts.add(group);  	compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	12	1	replace
21	[BUG]  [BUGGY]    option.setShortOpts(false);  [CE]  cannot  find  symbol  [CONTEXT]  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  [BUGGY]    option.setShortOpts(false);  [BUGGY]  addOption(option);  optionGroups.put(option.getKey(),  group);  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	82	82	1	replace	    option.setShortOpts(false);		non-compiled	[CE]  cannot  find  symbol	19	None	add
22	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  [BUGGY]    requiredOpts.add(option);  [BUGGY]  addOption(option);  optionGroups.put(option.getKey(),  group);  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	82	82	1	add	    requiredOpts.add(option);		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	19	1
23	[BUG]  [BUGGY]    requiredOpts.add(option);  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  [BUGGY]    requiredOpts.add(option);  [BUGGY]  addOption(option);  optionGroups.put(option.getKey(),  group);  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	82	82	1	replace	    requiredOpts.add(option);		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	19	1	add
23	[BUG]  [BUGGY]    option.setShortOpts(true);  [CE]  cannot  find  symbol  [CONTEXT]  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  [BUGGY]    option.setShortOpts(true);  [BUGGY]  addOption(option);  optionGroups.put(option.getKey(),  group);  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	82	82	1	replace	    option.setShortOpts(true);		non-compiled	[CE]  cannot  find  symbol	19	None	add
24	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  [BUGGY]    requiredOpts.add(group);  [BUGGY]  addOption(option);  optionGroups.put(option.getKey(),  group);  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	82	82	1	add	    requiredOpts.add(group);		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	19	1
25	[BUG]  [BUGGY]    requiredOpts.add(group);  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  [BUGGY]    requiredOpts.add(group);  [BUGGY]  addOption(option);  optionGroups.put(option.getKey(),  group);  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	82	82	1	replace	    requiredOpts.add(group);		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	19	1	add
25	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  [BUGGY]    requiredOpts.remove(option.getKey());  [BUGGY]  addOption(option);  optionGroups.put(option.getKey(),  group);  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	82	82	1	add	    requiredOpts.remove(option.getKey());		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	19	1
26	[BUG]  [BUGGY]    requiredOpts.remove(option.getKey());  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  {  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  [BUGGY]    requiredOpts.remove(option.getKey());  [BUGGY]  addOption(option);  optionGroups.put(option.getKey(),  group);  }  return  this;  }  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	82	82	1	replace	    requiredOpts.remove(option.getKey());		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	19	1	add
32	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  if  (group.isRequired())  {  [BUGGY]    group.setRequired(true);  [BUGGY]  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  addOption(option);  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	73	73	1	add	    group.setRequired(true);		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	13	1
33	[BUG]  [BUGGY]    group.setRequired(true);  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  if  (group.isRequired())  {  [BUGGY]    group.setRequired(true);  [BUGGY]  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  addOption(option);  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	73	73	1	replace	    group.setRequired(true);		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	13	1	add
33	[BUG]  [BUGGY]    group.setRequired(false);  addOption(group);  [CE]  no  suitable  method  found  for  addOption(OptionGroup)  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  if  (group.isRequired())  {  [BUGGY]    group.setRequired(false);  addOption(group);  [BUGGY]  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  addOption(option);  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	73	73	1	replace	    group.setRequired(false);  addOption(group);		non-compiled	[CE]  no  suitable  method  found  for  addOption(OptionGroup)	13	None	add
34	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  if  (group.isRequired())  {  [BUGGY]    group.setRequired(false);  [BUGGY]  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  addOption(option);  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	73	73	1	add	    group.setRequired(false);		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	13	1
35	[BUG]  [BUGGY]    group.setRequired(false);  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  if  (group.isRequired())  {  [BUGGY]    group.setRequired(false);  [BUGGY]  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  addOption(option);  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	73	73	1	replace	    group.setRequired(false);		compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	13	1	add
35	[BUG]  [BUGGY]    group.setRequired(true);  addOption(group);  [CE]  no  suitable  method  found  for  addOption(OptionGroup)  [CONTEXT]  public  Options  addOptionGroup(OptionGroup  group)  {  if  (group.isRequired())  {  [BUGGY]    group.setRequired(true);  addOption(group);  [BUGGY]  requiredOpts.add(group);  }  for  (Option  option  :  group.getOptions())  {    option.setRequired(false);  addOption(option);  [CLASS]  Options  [METHOD]  addOptionGroup  [RETURN_TYPE]  Options  OptionGroup  group  [VARIABLES]  List  requiredOpts  Option  option  OptionGroup  group  boolean  Map  longOpts  optionGroups  shortOpts  long  serialVersionUID  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	73	73	1	replace	    group.setRequired(true);  addOption(group);		non-compiled	[CE]  no  suitable  method  found  for  addOption(OptionGroup)	13	None	add
42	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]    [BUGGY]  private  static  final  Map  <  String,  Option>  shortOpts  =  new  LinkedHashMap  <  String,  Option>();  [BUGGY]    [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	50	50	1	add	private  static  final  Map  <  String,  Option>  shortOpts  =  new  LinkedHashMap  <  String,  Option>();	private  final  Map<String,  Option>  shortOpts  =  new  LinkedHashMap<String,  Option>();  	compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	2	1
43	[BUG]  [BUGGY]  private  static  final  Map  <  String,  Option>  shortOpts  =  new  LinkedHashMap  <  String,  Option>();  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]    [BUGGY]  private  static  final  Map  <  String,  Option>  shortOpts  =  new  LinkedHashMap  <  String,  Option>();  [BUGGY]    [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	50	50	1	replace	private  static  final  Map  <  String,  Option>  shortOpts  =  new  LinkedHashMap  <  String,  Option>();	private  final  Map<String,  Option>  shortOpts  =  new  LinkedHashMap<String,  Option>();  	compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	2	1	replace
43	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]    [BUGGY]  private  final  Map  <  String,  Option>  shortOpts  =  new  HashMap  <  String,  Option>();  [BUGGY]    [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	50	50	1	add	private  final  Map  <  String,  Option>  shortOpts  =  new  HashMap  <  String,  Option>();	private  final  Map<String,  Option>  shortOpts  =  new  LinkedHashMap<String,  Option>();  	compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	2	1
44	[BUG]  [BUGGY]  private  final  Map  <  String,  Option>  shortOpts  =  new  HashMap  <  String,  Option>();  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]    [BUGGY]  private  final  Map  <  String,  Option>  shortOpts  =  new  HashMap  <  String,  Option>();  [BUGGY]    [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	50	50	1	replace	private  final  Map  <  String,  Option>  shortOpts  =  new  HashMap  <  String,  Option>();	private  final  Map<String,  Option>  shortOpts  =  new  LinkedHashMap<String,  Option>();  	compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	2	1	replace
44	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]    [BUGGY]  private  static  final  Map  <  String,  Option>  shortOpts  =  new  HashMap  <  String,  Option>();  [BUGGY]    [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	50	50	1	add	private  static  final  Map  <  String,  Option>  shortOpts  =  new  HashMap  <  String,  Option>();	private  final  Map<String,  Option>  shortOpts  =  new  LinkedHashMap<String,  Option>();  	compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	2	1
45	[BUG]  [BUGGY]  private  static  final  Map  <  String,  Option>  shortOpts  =  new  HashMap  <  String,  Option>();  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder  [CONTEXT]    [BUGGY]  private  static  final  Map  <  String,  Option>  shortOpts  =  new  HashMap  <  String,  Option>();  [BUGGY]    [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	50	50	1	replace	private  static  final  Map  <  String,  Option>  shortOpts  =  new  HashMap  <  String,  Option>();	private  final  Map<String,  Option>  shortOpts  =  new  LinkedHashMap<String,  Option>();  	compilable	  [FE]  ComparisonFailure  testOptionComparatorInsertedOrder	2	1	replace
45	[BUG]  [BUGGY]    [CE]  cannot  find  symbol  shortOpts  [CONTEXT]    [BUGGY]    [BUGGY]    [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	50	50	1	replace	  	private  final  Map<String,  Option>  shortOpts  =  new  LinkedHashMap<String,  Option>();  	non-compiled	[CE]  cannot  find  symbol  shortOpts	2	None	replace
51	[BUG]  [BUGGY]    return  new  LinkedHashMap  <  String,  Option>();  [CE]  illegal  start  of  type  [CONTEXT]    [BUGGY]    return  new  LinkedHashMap  <  String,  Option>();  [BUGGY]  private  final  Map<String,  Option>  shortOpts  =  new  LinkedHashMap<String,  Option>();  [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	50	50	1	replace	    return  new  LinkedHashMap  <  String,  Option>();		non-compiled	[CE]  illegal  start  of  type	3	None	add
52	[BUG]  [BUGGY]    return  new  LinkedHashMap  <  String,  Option>(shortOpts);  [CE]  illegal  start  of  type  [CONTEXT]    [BUGGY]    return  new  LinkedHashMap  <  String,  Option>(shortOpts);  [BUGGY]  private  final  Map<String,  Option>  shortOpts  =  new  LinkedHashMap<String,  Option>();  [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	50	50	1	replace	    return  new  LinkedHashMap  <  String,  Option>(shortOpts);		non-compiled	[CE]  illegal  start  of  type	3	None	add
54	[BUG]  [BUGGY]    return  ShortOpts.valueOf(shortOpts);  [CE]  illegal  start  of  type  [CONTEXT]    [BUGGY]    return  ShortOpts.valueOf(shortOpts);  [BUGGY]  private  final  Map<String,  Option>  shortOpts  =  new  LinkedHashMap<String,  Option>();  [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	50	50	1	replace	    return  ShortOpts.valueOf(shortOpts);		non-compiled	[CE]  illegal  start  of  type	3	None	add
55	[BUG]  [BUGGY]    return(Map  <  String,  Option>)shortOpts.clone();  [CE]  illegal  start  of  type  [CONTEXT]    [BUGGY]    return(Map  <  String,  Option>)shortOpts.clone();  [BUGGY]  private  final  Map<String,  Option>  shortOpts  =  new  LinkedHashMap<String,  Option>();  [CLASS]  Options  [VARIABLES]  	projects/Cli36/src/main/java/org/apache/commons/cli/Options.java	0.7071067811865475	50	50	1	replace	    return(Map  <  String,  Option>)shortOpts.clone();		non-compiled	[CE]  illegal  start  of  type	3	None	add
