projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112ColorgroupPaint=Color.black;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112this.groupPaint=Color.black;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112this.groupPaint=Color.white;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112privatetransientPaintgroupPaint=Color.black;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112privatetransientPaintgroupPaint=Color.blue;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112privatetransientPaintgroupPaint=Color.white;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112Preconditions.checkNotNull(groupPaint);
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112Preconditions.checkState(groupPaint!=null);
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112protectedtransientPaintgroupPaint=Color.black;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112protectedtransientPaintgroupPaint=Color.white;this.groupPaint=Color.black;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112protectedtransientPaintgroupPaint=Color.white;this.groupPaint=Color.white;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112privatefinaltransientPaintgroupPaint=Color.white;ColorgroupPaint=Color.black;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112privatetransientfinalPaintgroupPaint=Color.white;ColorgroupPaint=Color.black;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112privatefinaltransientPaintgroupPaint=Color.blue;intgroupPaint=Color.blue;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112privatetransientfinalPaintgroupPaint=Color.blue;intgroupPaint=Color.blue;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112protectedtransientPaintgroupPaint=Color.white;Preconditions.checkState(groupPaint==null);
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112privatefinaltransientPaintgroupPaint=Color.white;Preconditions.checkState(groupPaint==null);
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112protectedtransientPaintgroupPaint=Color.blue;ColorgroupPaint=Color.blue;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112protectedtransientPaintgroupPaint=Color.blue;this.groupPaint=Color.blue;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112protectedtransientPaintgroupPaint=Color.blue;this.groupPaint=Color.black;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112finalprotectedtransientPaintgroupPaint=Color.black;ColorgroupPaint=newColor(0.0,1.0);
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112protectedfinaltransientPaintgroupPaint=Color.black;ColorgroupPaint=newColor(0.0,1.0);
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112finalprotectedtransientPaintgroupPaint=Color.black;this.groupPaint=Color.black;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112protectedfinaltransientPaintgroupPaint=Color.black;this.groupPaint=Color.black;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112finalprotectedtransientPaintgroupPaint=Color.black;ColorgroupPaint=Color.black;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112finalprotectedtransientPaintgroupPaint=Color.black;ColorgroupPaint=Color.white;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112privatefinaltransientPaintgroupPaint=Color.white;this.groupPaint=Color.white;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112finaltransientPaintgroupPaint=Color.white;this.groupPaint=Color.white;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112privatefinaltransientPaintgroupPaint=Color.blue;this.groupPaint=Color.blue;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112privatetransientfinalPaintgroupPaint=Color.blue;this.groupPaint=Color.blue;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112privatefinaltransientPaintgroupPaint=Color.blue;ColorgroupPaint=newColor(0,0);
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112privatetransientfinalPaintgroupPaint=Color.blue;ColorgroupPaint=newColor(0,0);
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112privatefinaltransientPaintgroupPaint=Color.blue;ColorgroupPaint=Color.blue;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112privatetransientfinalPaintgroupPaint=Color.blue;ColorgroupPaint=Color.blue;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112finalprotectedtransientPaintgroupPaint=Color.black;this.groupPaint=Color.white;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112finalprotectedtransientPaintgroupPaint=Color.black;AssertionFailedError.this.groupPaint=Color.black;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112AssertionFailedError.this.groupPaint=Color.black;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112privatefinaltransientPaintgroupPaint=Color.white;ColorgroupPaint=newColor(0,0);
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112privatetransientfinalPaintgroupPaint=Color.white;ColorgroupPaint=newColor(0,0);
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112protectedtransientPaintgroupPaint=Color.white;Preconditions.checkState(groupPaint!=null);
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112privatefinaltransientPaintgroupPaint=Color.white;Preconditions.checkState(groupPaint!=null);
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112privatefinaltransientPaintgroupPaint=Color.blue;ColorgroupPaint=Color.black;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112privatetransientfinalPaintgroupPaint=Color.blue;ColorgroupPaint=Color.black;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112protectedfinaltransientPaintgroupPaint=Color.black;AssertionFailedError.this.groupPaint=Color.black;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112protectedtransientPaintgroupPaint=Color.blue;AssertionFailedError.this.groupPaint=groupPaint;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112protectedtransientPaintgroupPaint=Color.blue;AssertionFailedError.this.groupPaint=Color.blue;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112protectedtransientfinalPaintgroupPaint=Color.black;this.groupPaint=Color.black;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112protectedfinaltransientPaintgroupPaint=Color.black;AssertionFailedError.this.groupPaint=groupPaint;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112protectedtransientPaintgroupPaint=Color.white;AssertionFailedError.this.groupPaint=groupPaint;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112protectedtransientPaintgroupPaint=Color.white;AssertionFailedError.this.groupPaint=Color.white;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112protectedtransientfinalPaintgroupPaint=Color.black;this.groupPaint=Color.white;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112privatetransientfinalPaintgroupPaint=Color.white;this.groupPaint=Color.white;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112protectedtransientfinalPaintgroupPaint=Color.black;ColorgroupPaint=Color.black;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112protectedtransientfinalPaintgroupPaint=Color.black;ColorgroupPaint=newColor(0.0,1.0);
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112protectedtransientColorgroupPaint=Color.black;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112finalprotectedtransientPaintgroupPaint=Color.white;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112protectedtransientfinalPaintgroupPaint=Color.black;AssertionFailedError.this.groupPaint=groupPaint;
projects/Chart23/source/org/jfree/chart/renderer/category/MinMaxCategoryRenderer.java112protectedtransientPaintgroupPaint=Color.blue;ColorgroupPaint=Color.black;
