patch is same with buggy,96,replace,, this.value  =(double)(value  /  2);  ,this.value =(double)(value / 2);
compilation error,96,add,[CE] cannot find symbol, ,if(outlineStroke!= null) { this.value = outlineStroke.get(stroke); } else { this.value = value % 7; }
compilation error,96,add,[CE] incompatible types, ,if(outlineStroke!= null) { this.value = outlineStroke; } else { this.value = value / 7; }
compilation error,96,add,[CE] ')' expected, ,this.value =(double)(this.value / 2;
compilation error,96,replace,[CE] illegal start of expression, if(this.value  >  0.0)  {  this.value  =(double)(this.value  /  2);  }  else  {  this.value  =(double)(this.value  /  2);  }  ,if(this.value > value) { this.value =(double)(this.value / 2); if(this.value < alpha) { this.value =(double)(this.value / 2); }
compilation error,96,replace,[CE] illegal start of expression, if(this.value  >  value)  {  this.value  =(double)(this.value  /  2);  }  else  {  this.value  =(double)(this.value  /  2);  }  ,if(this.value!= 0.0) { this.value =(double)(this.value / 2); if(this.value < 0.0) { this.value =(double)(this.value / 2); }
compilation error,96,add,[CE] not a statement, ,if(this.value > 0.0) { this.value =(double)(this.value / 2.0); meanwhile if(this.value!= 0.0) { this.value =(double)(this.value / 2.0); }
compilation error,96,add,[CE] not a statement, ,if(this.value > 0.0) { this.value =(double)(this.value / 2.0); meanwhile if(this.value < 0.0) { this.value =(double)(this.value / 2.0); }
compilation error,96,replace,[CE] illegal start of expression, if(this.value  >  0.0)  {  this.value  =(double)(this.value  /  2.0);  }  else  {  this.value  =(double)(this.value  %  2.0);  }  ,if(this.value < 0.0) { if(this.value > 0.0) { this.value =(double)(this.value / 2.0); } else { this.value =(double)(this.value % 2.0); }
compilation error,96,add,[CE] cannot find symbol, ,if(outlineStroke!= null) { this.value = stroke.doubleValue(); } else { this.value = outlineStroke + stroke.doubleValue(); }
compilation error,96,replace,[CE] '(' expected, if(this.value  >  0.0)  {  this.value  =(double)(this.value  /  2.0);  }  else  {  this.value  =(double)(this.value  %  2.0);  }  ,if(this.value > 0.0) { this.value =(double)(this.value / 2.0); if else { this.value =(double)(this.value / 2.0); }
compilation error,96,replace,[CE] '(' expected, if(this.value  >  0.0)  {  this.value  =(double)(this.value  /  2.0);  }  else  {  this.value  =(double)(this.value  /  2.0);  }  ,if(this.value!= 0.0) { this.value =(double)(this.value / 2.0); if else { this.value =(double)(this.value / 2.0); }
patch is same with buggy,96,replace,, this.value  =  value  /  7;  ,this.value = value / 7;
compilation error,96,replace,[CE] '(' expected, if(this.value  >  0.0)  {  this.value  =(double)(this.value  /  2.0);  }  else  {  this.value  =(double)(this.value  %  2.0);  }  ,if(this.value < 0.0) { this.value =(double)(this.value / 2.0); if else { this.value =(double)(this.value % 2.0); }
compilation error,96,add,[CE] cannot find symbol This, ,this.value =(double)(This.value / 2 - 1);
compilation error,96,add,[CE] cannot find symbol This, ,this.value =(double)(This.value / 2 + 1);
patch is same with buggy,96,replace,, if(this.value  >  0.0)  {  this.value  =(double)(this.value  /  2.0);  }  else  {  this.value  =(double)(this.value  /  2.0);  }  ,if(this.value > 0.0) { this.value =(double)(this.value / 2.0); } else { this.value =(double)(this.value / 2.0); }
compilation error,96,add,[CE] no suitable constructor found for ValueMarker(double,Stroke,Paint,Stroke,float), ,if(this.value > 0.0) { this.value =(float)(this.value / 2); } else { this.value = new ValueMarker(value, stroke, outlinePaint, outlineStroke, alpha); }
compilation error,96,add,[CE] incompatible types, ,if(this.value > 0.0) { this.value =(float)(this.value / 2); } else { this.value = new ValueMarker(value, paint, stroke, outlinePaint, outlineStroke, alpha); }
compilation error,96,add,[CE] ')' expected, ,if(this.value > 0.0) { if(this.value =(double)(this.value / 2); } else if( this.value < alpha) { this.value =(double)(this.value / 2); }
compilation error,96,replace,[CE] '(' expected, if(this.value  >  0.0)  {  this.value  =(double)(this.value  /  2);  }  else  {  this.value  =(double)(this.value  /  2);  }  ,if(this.value < 0.0) { this.value =(double)(this.value / 2); if else { this.value =(double)(this.value / 2); }
compilation error,96,add,[CE] illegal start of expression, ,if(this.value > 0.0) { if(this.value < 0.0) { this.value =(double)(this.value / 2); } else { this.value =(double)(this.value / 2); }
patch is same with buggy,96,replace,, this.value  =(double)(value  /  2.0);  ,this.value =(double)(value / 2.0);
patch is same with buggy,96,replace,, this.value  =  value  %  20.0;  ,this.value = value % 20.0;
compilation error,96,add,[CE] no suitable constructor found for ValueMarker(double,Stroke,Paint,Stroke,float), ,if(value < 0.0) { this.value =(double)(value / 2.0); } else { this.value = new ValueMarker(value, stroke, outlinePaint, outlineStroke, alpha); }
compilation error,96,add,[CE] no suitable constructor found for ValueMarker(ValueMarker,float,Stroke,Paint,Stroke,float), ,if(value < 0.0) { this.value =(double)(value / 2.0); } else { this.value = new ValueMarker(this,(float)value, stroke, outlinePaint, outlineStroke, alpha); }
patch is same with buggy,96,replace,, this.value  =(double)(this.value  /  2  -  1);  ,this.value =(double)(this.value / 2 - 1);
compilation error,96,add,[CE] inconvertible types, ,this.value = value * 4 +(( ValueMarker)value).doubleValue();
compilation error,96,add,[CE] ')' expected, ,this.value = value * 4 +(0.0, 0.0, 0.0, 0.0));
compilation error,96,replace,[CE] '(' expected, if(this.value  >  0.0)  {  this.value  =(double)(this.value  /  2.0);  }  else  {  this.value  =(double)(this.value  /  2.0);  }  ,if(this.value < 0.0) { this.value =(double)(this.value / 2.0); if else { this.value =(double)(this.value / 2.0); }
compilation error,96,replace,[CE] '(' expected, if(this.value  >  0.0)  {  this.value  =(double)(this.value  /  2);  }  else  {  this.value  =(double)(this.value  /  2);  }  ,if(this.value > 0.0) { this.value =(double)(this.value / 2); if else { this.value =(double)(this.value / 2); }
compilation error,96,replace,[CE] '(' expected, if(this.value  >  value)  {  this.value  =(double)(this.value  /  2);  }  else  {  this.value  =(double)(this.value  /  2);  }  ,if(this.value!= 0.0) { this.value =(double)(this.value / 2); if else { this.value =(double)(this.value / 2); }
compilation error,96,replace,[CE] '(' expected, if(this.value  >  value)  {  this.value  =(double)(this.value  /  2);  }  else  {  this.value  =(double)(this.value  /  2);  }  ,if(this.value!= 0.0) { this.value =(double)(this.value / 2); } else if this.value =(double)(this.value / 2); }
compilation error,96,add,[CE] no suitable constructor found for ValueMarker(double,Stroke,Paint,Stroke,float), ,if(value < this.value) { this.value =(float)(this.value / 2.0); } else { this.value = new ValueMarker(value, stroke, outlinePaint, outlineStroke, alpha); }
compilation error,96,add,[CE] no suitable constructor found for Double(double,Stroke,Paint,Stroke,float), ,if(value < this.value) { this.value =(double)(this.value / 2.0); } else { this.value = new Double(value, stroke, outlinePaint, outlineStroke, alpha); }
compilation error,96,replace,[CE] '(' expected, if(this.value  >  value)  {  this.value  =(double)(this.value  /  2);  }  else  {  this.value  =(double)(this.value  /  2);  }  ,if(this.value < value) { this.value =(double)(this.value / 2); if else { this.value =(double)(this.value / 2); }
compilation error,96,replace,[CE] '(' expected, if(this.value  >  value)  {  this.value  =(double)(this.value  /  2);  }  else  {  this.value  =(double)(this.value  /  2);  }  ,if(this.value > value) { this.value =(double)(this.value / 2); } else if this.value =(double)(this.value / 2); }
compilation error,96,add,[CE] incompatible types, ,if(this.value!= value) { this.value = new Double(value); } else { this.value = new Double(value, stroke, outlinePaint, outlineStroke, alpha); }
compilation error,96,add,[CE] incompatible types, ,if(this.value!= value) { this.value = new Double(value); } else { this.value = new Double(value); }
compilation error,96,replace,[CE] illegal start of expression, if(this.value  >  0.0)  {  this.value  =(double)(this.value  /  2.0);  }  else  {  this.value  =(double)(this.value  /  2.0);  }  ,if(this.value > 0.0) { if(this.value < 0.0) { this.value =(double)(this.value / 2.0); } else { this.value =(double)(this.value / 2.0); }
compilation error,96,add,[CE] no suitable constructor found for Double(double,Stroke,Paint,Stroke,float), ,if(value < 0.0) { this.value =(double)(value / 2); } else { this.value = new Double(value, stroke, outlinePaint, outlineStroke, alpha); }
compilation error,96,add,[CE] no suitable method found for max(double,Stroke,Paint), ,if(value < 0.0) { this.value =(double)(value / 2); } else { this.value = Math.max(value, outlineStroke, outlinePaint); }
compilation error,96,replace,[CE] illegal start of expression, if(this.value  >  0.0)  {  this.value  =(double)(this.value  /  2);  }  else  {  this.value  =(double)(this.value  /  2);  }  ,if(this.value!= 0.0) { if(this.value == 0.0) { this.value =(double)(this.value / 2); } else { this.value =(double)(this.value / 2); }
