bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
this_action1	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testRegularizedGammaPositivePositive  [CONTEXT]    ret  =  1.0  -  regularizedGammaQ(a,  x,  epsilon,  maxIterations);  }  else  {  double  n  =  0.0;  //  current  element  index  double  an  =  1.0  /  a;  //  n-th  element  in  the  series  double  sum  =  an;  //  partial  sum  while  (Math.abs(an)  >  epsilon  &&  n  <  maxIterations)  {    [BUGGY]    ret  =  Math.exp(-x  +(a  *  Math.log(x))  -  logGamma(a))  *  sum;  [BUGGY]  n  =  n  +  1.0;  an  =  an  *  (x  /  (a  +  n));  sum  =  sum  +  an;  }  if  (n  >=  maxIterations)  {  throw  new  MaxIterationsExceededException(maxIterations);  }  else  {  ret  =  Math.exp(-x  +  (a  *  Math.log(x))  -  logGamma(a))  *  sum;  }  [CLASS]  Gamma  1  [METHOD]  regularizedGammaP  [RETURN_TYPE]  double  double  a  double  x  double  epsilon  int  maxIterations  [VARIABLES]  boolean  double[]  lanczos  double  DEFAULT_EPSILON  HALF_LOG_2_PI  a  an  epsilon  g  n  ret  sum  tmp  x  long  serialVersionUID  int  maxIterations  	projects/Math104/src/java/org/apache/commons/math/special/Gamma.java	1.0	173	173	1	add	    ret  =  Math.exp(-x  +(a  *  Math.log(x))  -  logGamma(a))  *  sum;		compilable	  [FE]  AssertionFailedError  testRegularizedGammaPositivePositive	12	1
75	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testRegularizedGammaPositivePositive  [CONTEXT]  }  else  if  (x  ==  0.0)  {  ret  =  0.0;  }  else  if  (a  >=  1.0  &&  x  >  a)  {    ret  =  1.0  -  regularizedGammaQ(a,  x,  epsilon,  maxIterations);  }  else  {  double  n  =  0.0;  //  current  element  index  double  an  =  1.0  /  a;  //  n-th  element  in  the  series  [BUGGY]    n  =  regularizedGammaQ(x,  an,  epsilon,  maxIterations);  [BUGGY]  double  sum  =  an;  //  partial  sum    while  (Math.abs(an)  >  epsilon  &&  n  <  maxIterations)  {  while  (Math.abs(an)  >  epsilon  &&  n  <  maxIterations)  {  n  =  n  +  1.0;  an  =  an  *  (x  /  (a  +  n));  sum  =  sum  +  an;  }  if  (n  >=  maxIterations)  {  throw  new  MaxIterationsExceededException(maxIterations);  [CLASS]  Gamma  1  [METHOD]  regularizedGammaP  [RETURN_TYPE]  double  double  a  double  x  double  epsilon  int  maxIterations  [VARIABLES]  boolean  double[]  lanczos  double  DEFAULT_EPSILON  HALF_LOG_2_PI  a  an  epsilon  g  n  ret  sum  tmp  x  long  serialVersionUID  int  maxIterations  	projects/Math104/src/java/org/apache/commons/math/special/Gamma.java	1.0	170	171	1	add	    n  =  regularizedGammaQ(x,  an,  epsilon,  maxIterations);		compilable	  [FE]  AssertionFailedError  testRegularizedGammaPositivePositive	8	1
76	[BUG]  [BUGGY]    n  =  regularizedGammaQ(x,  an,  epsilon,  maxIterations);  [FE]  AssertionFailedError  testRegularizedGammaPositivePositive  [CONTEXT]  }  else  if  (x  ==  0.0)  {  ret  =  0.0;  }  else  if  (a  >=  1.0  &&  x  >  a)  {    ret  =  1.0  -  regularizedGammaQ(a,  x,  epsilon,  maxIterations);  }  else  {  double  n  =  0.0;  //  current  element  index  double  an  =  1.0  /  a;  //  n-th  element  in  the  series  [BUGGY]    n  =  regularizedGammaQ(x,  an,  epsilon,  maxIterations);  [BUGGY]  double  sum  =  an;  //  partial  sum    while  (Math.abs(an)  >  epsilon  &&  n  <  maxIterations)  {  while  (Math.abs(an)  >  epsilon  &&  n  <  maxIterations)  {  n  =  n  +  1.0;  an  =  an  *  (x  /  (a  +  n));  sum  =  sum  +  an;  }  if  (n  >=  maxIterations)  {  throw  new  MaxIterationsExceededException(maxIterations);  [CLASS]  Gamma  1  [METHOD]  regularizedGammaP  [RETURN_TYPE]  double  double  a  double  x  double  epsilon  int  maxIterations  [VARIABLES]  boolean  double[]  lanczos  double  DEFAULT_EPSILON  HALF_LOG_2_PI  a  an  epsilon  g  n  ret  sum  tmp  x  long  serialVersionUID  int  maxIterations  	projects/Math104/src/java/org/apache/commons/math/special/Gamma.java	1.0	170	171	1	replace	    n  =  regularizedGammaQ(x,  an,  epsilon,  maxIterations);		compilable	  [FE]  AssertionFailedError  testRegularizedGammaPositivePositive	8	1	add
81	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testRegularizedGammaPositivePositive  [CONTEXT]  double  an  =  1.0  /  a;  //  n-th  element  in  the  series  double  sum  =  an;  //  partial  sum  while  (Math.abs(an)  >  epsilon  &&  n  <  maxIterations)  {  n  =  n  +  1.0;  an  =  an  *  (x  /  (a  +  n));  sum  =  sum  +  an;  }  [BUGGY]  if(n  >  maxIterations)  {  [BUGGY]  throw  new  MaxIterationsExceededException(maxIterations);  }  else  {  ret  =  Math.exp(-x  +  (a  *  Math.log(x))  -  logGamma(a))  *  sum;  }  }  return  ret;  }  [CLASS]  Gamma  1  [METHOD]  regularizedGammaP  [RETURN_TYPE]  double  double  a  double  x  double  epsilon  int  maxIterations  [VARIABLES]  boolean  double[]  lanczos  double  DEFAULT_EPSILON  HALF_LOG_2_PI  a  an  epsilon  g  n  ret  sum  tmp  x  long  serialVersionUID  int  maxIterations  	projects/Math104/src/java/org/apache/commons/math/special/Gamma.java	1.0	179	179	1	add	if(n  >  maxIterations)  {	if  (n  >=  maxIterations)  {  	compilable	  [FE]  AssertionFailedError  testRegularizedGammaPositivePositive	17	1
82	[BUG]  [BUGGY]  if(n  >  maxIterations)  {  [FE]  AssertionFailedError  testRegularizedGammaPositivePositive  [CONTEXT]  double  an  =  1.0  /  a;  //  n-th  element  in  the  series  double  sum  =  an;  //  partial  sum  while  (Math.abs(an)  >  epsilon  &&  n  <  maxIterations)  {  n  =  n  +  1.0;  an  =  an  *  (x  /  (a  +  n));  sum  =  sum  +  an;  }  [BUGGY]  if(n  >  maxIterations)  {  [BUGGY]  throw  new  MaxIterationsExceededException(maxIterations);  }  else  {  ret  =  Math.exp(-x  +  (a  *  Math.log(x))  -  logGamma(a))  *  sum;  }  }  return  ret;  }  [CLASS]  Gamma  1  [METHOD]  regularizedGammaP  [RETURN_TYPE]  double  double  a  double  x  double  epsilon  int  maxIterations  [VARIABLES]  boolean  double[]  lanczos  double  DEFAULT_EPSILON  HALF_LOG_2_PI  a  an  epsilon  g  n  ret  sum  tmp  x  long  serialVersionUID  int  maxIterations  	projects/Math104/src/java/org/apache/commons/math/special/Gamma.java	1.0	179	179	1	replace	if(n  >  maxIterations)  {	if  (n  >=  maxIterations)  {  	compilable	  [FE]  AssertionFailedError  testRegularizedGammaPositivePositive	17	1	replace
83	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testRegularizedGammaPositivePositive  [CONTEXT]  double  an  =  1.0  /  a;  //  n-th  element  in  the  series  double  sum  =  an;  //  partial  sum  while  (Math.abs(an)  >  epsilon  &&  n  <  maxIterations)  {  n  =  n  +  1.0;  an  =  an  *  (x  /  (a  +  n));  sum  =  sum  +  an;  }  [BUGGY]  if(n  <  maxIterations)  {  [BUGGY]  throw  new  MaxIterationsExceededException(maxIterations);  }  else  {  ret  =  Math.exp(-x  +  (a  *  Math.log(x))  -  logGamma(a))  *  sum;  }  }  return  ret;  }  [CLASS]  Gamma  1  [METHOD]  regularizedGammaP  [RETURN_TYPE]  double  double  a  double  x  double  epsilon  int  maxIterations  [VARIABLES]  boolean  double[]  lanczos  double  DEFAULT_EPSILON  HALF_LOG_2_PI  a  an  epsilon  g  n  ret  sum  tmp  x  long  serialVersionUID  int  maxIterations  	projects/Math104/src/java/org/apache/commons/math/special/Gamma.java	1.0	179	179	1	add	if(n  <  maxIterations)  {	if  (n  >=  maxIterations)  {  	compilable	  [FE]  AssertionFailedError  testRegularizedGammaPositivePositive	17	1
84	[BUG]  [BUGGY]  if(n  <  maxIterations)  {  [FE]  AssertionFailedError  testRegularizedGammaPositivePositive  [CONTEXT]  double  an  =  1.0  /  a;  //  n-th  element  in  the  series  double  sum  =  an;  //  partial  sum  while  (Math.abs(an)  >  epsilon  &&  n  <  maxIterations)  {  n  =  n  +  1.0;  an  =  an  *  (x  /  (a  +  n));  sum  =  sum  +  an;  }  [BUGGY]  if(n  <  maxIterations)  {  [BUGGY]  throw  new  MaxIterationsExceededException(maxIterations);  }  else  {  ret  =  Math.exp(-x  +  (a  *  Math.log(x))  -  logGamma(a))  *  sum;  }  }  return  ret;  }  [CLASS]  Gamma  1  [METHOD]  regularizedGammaP  [RETURN_TYPE]  double  double  a  double  x  double  epsilon  int  maxIterations  [VARIABLES]  boolean  double[]  lanczos  double  DEFAULT_EPSILON  HALF_LOG_2_PI  a  an  epsilon  g  n  ret  sum  tmp  x  long  serialVersionUID  int  maxIterations  	projects/Math104/src/java/org/apache/commons/math/special/Gamma.java	1.0	179	179	1	replace	if(n  <  maxIterations)  {	if  (n  >=  maxIterations)  {  	compilable	  [FE]  AssertionFailedError  testRegularizedGammaPositivePositive	17	1	replace
84	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testRegularizedGammaPositivePositive  [CONTEXT]  double  an  =  1.0  /  a;  //  n-th  element  in  the  series  double  sum  =  an;  //  partial  sum  while  (Math.abs(an)  >  epsilon  &&  n  <  maxIterations)  {  n  =  n  +  1.0;  an  =  an  *  (x  /  (a  +  n));  sum  =  sum  +  an;  }  [BUGGY]  if(n  <=  maxIterations)  {  [BUGGY]  throw  new  MaxIterationsExceededException(maxIterations);  }  else  {  ret  =  Math.exp(-x  +  (a  *  Math.log(x))  -  logGamma(a))  *  sum;  }  }  return  ret;  }  [CLASS]  Gamma  1  [METHOD]  regularizedGammaP  [RETURN_TYPE]  double  double  a  double  x  double  epsilon  int  maxIterations  [VARIABLES]  boolean  double[]  lanczos  double  DEFAULT_EPSILON  HALF_LOG_2_PI  a  an  epsilon  g  n  ret  sum  tmp  x  long  serialVersionUID  int  maxIterations  	projects/Math104/src/java/org/apache/commons/math/special/Gamma.java	1.0	179	179	1	add	if(n  <=  maxIterations)  {	if  (n  >=  maxIterations)  {  	compilable	  [FE]  AssertionFailedError  testRegularizedGammaPositivePositive	17	1
85	[BUG]  [BUGGY]  if(n  <=  maxIterations)  {  [FE]  AssertionFailedError  testRegularizedGammaPositivePositive  [CONTEXT]  double  an  =  1.0  /  a;  //  n-th  element  in  the  series  double  sum  =  an;  //  partial  sum  while  (Math.abs(an)  >  epsilon  &&  n  <  maxIterations)  {  n  =  n  +  1.0;  an  =  an  *  (x  /  (a  +  n));  sum  =  sum  +  an;  }  [BUGGY]  if(n  <=  maxIterations)  {  [BUGGY]  throw  new  MaxIterationsExceededException(maxIterations);  }  else  {  ret  =  Math.exp(-x  +  (a  *  Math.log(x))  -  logGamma(a))  *  sum;  }  }  return  ret;  }  [CLASS]  Gamma  1  [METHOD]  regularizedGammaP  [RETURN_TYPE]  double  double  a  double  x  double  epsilon  int  maxIterations  [VARIABLES]  boolean  double[]  lanczos  double  DEFAULT_EPSILON  HALF_LOG_2_PI  a  an  epsilon  g  n  ret  sum  tmp  x  long  serialVersionUID  int  maxIterations  	projects/Math104/src/java/org/apache/commons/math/special/Gamma.java	1.0	179	179	1	replace	if(n  <=  maxIterations)  {	if  (n  >=  maxIterations)  {  	compilable	  [FE]  AssertionFailedError  testRegularizedGammaPositivePositive	17	1	replace
85	[BUG]  [BUGGY]    [CE]  'else'  without  'if'  [CONTEXT]  double  an  =  1.0  /  a;  //  n-th  element  in  the  series  double  sum  =  an;  //  partial  sum  while  (Math.abs(an)  >  epsilon  &&  n  <  maxIterations)  {  n  =  n  +  1.0;  an  =  an  *  (x  /  (a  +  n));  sum  =  sum  +  an;  }  [BUGGY]    [BUGGY]  throw  new  MaxIterationsExceededException(maxIterations);  }  else  {  ret  =  Math.exp(-x  +  (a  *  Math.log(x))  -  logGamma(a))  *  sum;  }  }  return  ret;  }  [CLASS]  Gamma  1  [METHOD]  regularizedGammaP  [RETURN_TYPE]  double  double  a  double  x  double  epsilon  int  maxIterations  [VARIABLES]  boolean  double[]  lanczos  double  DEFAULT_EPSILON  HALF_LOG_2_PI  a  an  epsilon  g  n  ret  sum  tmp  x  long  serialVersionUID  int  maxIterations  	projects/Math104/src/java/org/apache/commons/math/special/Gamma.java	1.0	179	179	1	replace	  	if  (n  >=  maxIterations)  {  	non-compiled	[CE]  'else'  without  'if'	17	None	replace
93	[BUG]  [BUGGY]  ret  =  Math.exp(-x  +(a  *  Math.log(x))  -  logGamma(a))  *  Sum;  [CE]  cannot  find  symbol  Sum  [CONTEXT]    n  =  n  +  1.0;  an  =  an  *  (x  /  (a  +  n));  sum  =  sum  +  an;  }  if  (n  >=  maxIterations)  {  throw  new  MaxIterationsExceededException(maxIterations);  }  else  {  [BUGGY]  ret  =  Math.exp(-x  +(a  *  Math.log(x))  -  logGamma(a))  *  Sum;  [BUGGY]  }  }  [CLASS]  Gamma  1  [METHOD]  regularizedGammaP  [RETURN_TYPE]  double  double  a  double  x  double  epsilon  int  maxIterations  [VARIABLES]  boolean  double[]  lanczos  double  DEFAULT_EPSILON  HALF_LOG_2_PI  a  an  epsilon  g  n  ret  sum  tmp  x  long  serialVersionUID  int  maxIterations  	projects/Math104/src/java/org/apache/commons/math/special/Gamma.java	1.0	182	182	1	replace	ret  =  Math.exp(-x  +(a  *  Math.log(x))  -  logGamma(a))  *  Sum;	ret  =  Math.exp(-x  +  (a  *  Math.log(x))  -  logGamma(a))  *  sum;  	non-compiled	[CE]  cannot  find  symbol  Sum	19	None	replace
94	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testRegularizedGammaPositivePositive  [CONTEXT]    n  =  n  +  1.0;  an  =  an  *  (x  /  (a  +  n));  sum  =  sum  +  an;  }  if  (n  >=  maxIterations)  {  throw  new  MaxIterationsExceededException(maxIterations);  }  else  {  [BUGGY]  ret  =  Math.exp(-x  +(a  *  Math.log(x))  /  logGamma(a))  *  sum;  [BUGGY]  }  }  [CLASS]  Gamma  1  [METHOD]  regularizedGammaP  [RETURN_TYPE]  double  double  a  double  x  double  epsilon  int  maxIterations  [VARIABLES]  boolean  double[]  lanczos  double  DEFAULT_EPSILON  HALF_LOG_2_PI  a  an  epsilon  g  n  ret  sum  tmp  x  long  serialVersionUID  int  maxIterations  	projects/Math104/src/java/org/apache/commons/math/special/Gamma.java	1.0	182	182	1	add	ret  =  Math.exp(-x  +(a  *  Math.log(x))  /  logGamma(a))  *  sum;	ret  =  Math.exp(-x  +  (a  *  Math.log(x))  -  logGamma(a))  *  sum;  	compilable	  [FE]  AssertionFailedError  testRegularizedGammaPositivePositive	19	1
95	[BUG]  [BUGGY]  ret  =  Math.exp(-x  +(a  *  Math.log(x))  /  logGamma(a))  *  sum;  [FE]  AssertionFailedError  testRegularizedGammaPositivePositive  [CONTEXT]    n  =  n  +  1.0;  an  =  an  *  (x  /  (a  +  n));  sum  =  sum  +  an;  }  if  (n  >=  maxIterations)  {  throw  new  MaxIterationsExceededException(maxIterations);  }  else  {  [BUGGY]  ret  =  Math.exp(-x  +(a  *  Math.log(x))  /  logGamma(a))  *  sum;  [BUGGY]  }  }  [CLASS]  Gamma  1  [METHOD]  regularizedGammaP  [RETURN_TYPE]  double  double  a  double  x  double  epsilon  int  maxIterations  [VARIABLES]  boolean  double[]  lanczos  double  DEFAULT_EPSILON  HALF_LOG_2_PI  a  an  epsilon  g  n  ret  sum  tmp  x  long  serialVersionUID  int  maxIterations  	projects/Math104/src/java/org/apache/commons/math/special/Gamma.java	1.0	182	182	1	replace	ret  =  Math.exp(-x  +(a  *  Math.log(x))  /  logGamma(a))  *  sum;	ret  =  Math.exp(-x  +  (a  *  Math.log(x))  -  logGamma(a))  *  sum;  	compilable	  [FE]  AssertionFailedError  testRegularizedGammaPositivePositive	19	1	replace
95	[BUG]  [BUGGY]    [CE]  variable  ret  might  not  have  been  initialized  [CONTEXT]    n  =  n  +  1.0;  an  =  an  *  (x  /  (a  +  n));  sum  =  sum  +  an;  }  if  (n  >=  maxIterations)  {  throw  new  MaxIterationsExceededException(maxIterations);  }  else  {  [BUGGY]    [BUGGY]  }  }  [CLASS]  Gamma  1  [METHOD]  regularizedGammaP  [RETURN_TYPE]  double  double  a  double  x  double  epsilon  int  maxIterations  [VARIABLES]  boolean  double[]  lanczos  double  DEFAULT_EPSILON  HALF_LOG_2_PI  a  an  epsilon  g  n  ret  sum  tmp  x  long  serialVersionUID  int  maxIterations  	projects/Math104/src/java/org/apache/commons/math/special/Gamma.java	1.0	182	182	1	replace	  	ret  =  Math.exp(-x  +  (a  *  Math.log(x))  -  logGamma(a))  *  sum;  	non-compiled	[CE]  variable  ret  might  not  have  been  initialized	19	None	replace
102	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testRegularizedGammaPositivePositive  [CONTEXT]  ret  =  0.0;  }  else  if  (a  >=  1.0  &&  x  >  a)  {    ret  =  1.0  -  regularizedGammaQ(a,  x,  epsilon,  maxIterations);  }  else  {  double  n  =  0.0;  //  current  element  index  double  an  =  1.0  /  a;  //  n-th  element  in  the  series  double  sum  =  an;  //  partial  sum  [BUGGY]  while(Math.abs(an)>  epsilon  &&  n  <=  maxIterations)  {  [BUGGY]    n  =  n  +  1.0;  an  =  an  *  (x  /  (a  +  n));  sum  =  sum  +  an;  }  if  (n  >=  maxIterations)  {  throw  new  MaxIterationsExceededException(maxIterations);  }  else  {  [CLASS]  Gamma  1  [METHOD]  regularizedGammaP  [RETURN_TYPE]  double  double  a  double  x  double  epsilon  int  maxIterations  [VARIABLES]  boolean  double[]  lanczos  double  DEFAULT_EPSILON  HALF_LOG_2_PI  a  an  epsilon  g  n  ret  sum  tmp  x  long  serialVersionUID  int  maxIterations  	projects/Math104/src/java/org/apache/commons/math/special/Gamma.java	1.0	171	171	1	add	while(Math.abs(an)>  epsilon  &&  n  <=  maxIterations)  {	while  (Math.abs(an)  >  epsilon  &&  n  <  maxIterations)  {  	compilable	  [FE]  AssertionFailedError  testRegularizedGammaPositivePositive	9	1
103	[BUG]  [BUGGY]  while(Math.abs(an)>  epsilon  &&  n  <=  maxIterations)  {  [FE]  AssertionFailedError  testRegularizedGammaPositivePositive  [CONTEXT]  ret  =  0.0;  }  else  if  (a  >=  1.0  &&  x  >  a)  {    ret  =  1.0  -  regularizedGammaQ(a,  x,  epsilon,  maxIterations);  }  else  {  double  n  =  0.0;  //  current  element  index  double  an  =  1.0  /  a;  //  n-th  element  in  the  series  double  sum  =  an;  //  partial  sum  [BUGGY]  while(Math.abs(an)>  epsilon  &&  n  <=  maxIterations)  {  [BUGGY]    n  =  n  +  1.0;  an  =  an  *  (x  /  (a  +  n));  sum  =  sum  +  an;  }  if  (n  >=  maxIterations)  {  throw  new  MaxIterationsExceededException(maxIterations);  }  else  {  [CLASS]  Gamma  1  [METHOD]  regularizedGammaP  [RETURN_TYPE]  double  double  a  double  x  double  epsilon  int  maxIterations  [VARIABLES]  boolean  double[]  lanczos  double  DEFAULT_EPSILON  HALF_LOG_2_PI  a  an  epsilon  g  n  ret  sum  tmp  x  long  serialVersionUID  int  maxIterations  	projects/Math104/src/java/org/apache/commons/math/special/Gamma.java	1.0	171	171	1	replace	while(Math.abs(an)>  epsilon  &&  n  <=  maxIterations)  {	while  (Math.abs(an)  >  epsilon  &&  n  <  maxIterations)  {  	compilable	  [FE]  AssertionFailedError  testRegularizedGammaPositivePositive	9	1	replace
103	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testRegularizedGammaPositivePositive  [CONTEXT]  ret  =  0.0;  }  else  if  (a  >=  1.0  &&  x  >  a)  {    ret  =  1.0  -  regularizedGammaQ(a,  x,  epsilon,  maxIterations);  }  else  {  double  n  =  0.0;  //  current  element  index  double  an  =  1.0  /  a;  //  n-th  element  in  the  series  double  sum  =  an;  //  partial  sum  [BUGGY]  while(Math.abs(an)>  epsilon  ||  n  <  maxIterations)  {  [BUGGY]    n  =  n  +  1.0;  an  =  an  *  (x  /  (a  +  n));  sum  =  sum  +  an;  }  if  (n  >=  maxIterations)  {  throw  new  MaxIterationsExceededException(maxIterations);  }  else  {  [CLASS]  Gamma  1  [METHOD]  regularizedGammaP  [RETURN_TYPE]  double  double  a  double  x  double  epsilon  int  maxIterations  [VARIABLES]  boolean  double[]  lanczos  double  DEFAULT_EPSILON  HALF_LOG_2_PI  a  an  epsilon  g  n  ret  sum  tmp  x  long  serialVersionUID  int  maxIterations  	projects/Math104/src/java/org/apache/commons/math/special/Gamma.java	1.0	171	171	1	add	while(Math.abs(an)>  epsilon  ||  n  <  maxIterations)  {	while  (Math.abs(an)  >  epsilon  &&  n  <  maxIterations)  {  	compilable	  [FE]  AssertionFailedError  testRegularizedGammaPositivePositive	9	1
104	[BUG]  [BUGGY]  while(Math.abs(an)>  epsilon  ||  n  <  maxIterations)  {  [FE]  AssertionFailedError  testRegularizedGammaPositivePositive  [CONTEXT]  ret  =  0.0;  }  else  if  (a  >=  1.0  &&  x  >  a)  {    ret  =  1.0  -  regularizedGammaQ(a,  x,  epsilon,  maxIterations);  }  else  {  double  n  =  0.0;  //  current  element  index  double  an  =  1.0  /  a;  //  n-th  element  in  the  series  double  sum  =  an;  //  partial  sum  [BUGGY]  while(Math.abs(an)>  epsilon  ||  n  <  maxIterations)  {  [BUGGY]    n  =  n  +  1.0;  an  =  an  *  (x  /  (a  +  n));  sum  =  sum  +  an;  }  if  (n  >=  maxIterations)  {  throw  new  MaxIterationsExceededException(maxIterations);  }  else  {  [CLASS]  Gamma  1  [METHOD]  regularizedGammaP  [RETURN_TYPE]  double  double  a  double  x  double  epsilon  int  maxIterations  [VARIABLES]  boolean  double[]  lanczos  double  DEFAULT_EPSILON  HALF_LOG_2_PI  a  an  epsilon  g  n  ret  sum  tmp  x  long  serialVersionUID  int  maxIterations  	projects/Math104/src/java/org/apache/commons/math/special/Gamma.java	1.0	171	171	1	replace	while(Math.abs(an)>  epsilon  ||  n  <  maxIterations)  {	while  (Math.abs(an)  >  epsilon  &&  n  <  maxIterations)  {  	compilable	  [FE]  AssertionFailedError  testRegularizedGammaPositivePositive	9	1	replace
104	[BUG]  [BUGGY]  while(Math.abs(an)>  epsilon  &&  n  <  maximalIterations)  {  [CE]  cannot  find  symbol  maximalIterations  [CONTEXT]  ret  =  0.0;  }  else  if  (a  >=  1.0  &&  x  >  a)  {    ret  =  1.0  -  regularizedGammaQ(a,  x,  epsilon,  maxIterations);  }  else  {  double  n  =  0.0;  //  current  element  index  double  an  =  1.0  /  a;  //  n-th  element  in  the  series  double  sum  =  an;  //  partial  sum  [BUGGY]  while(Math.abs(an)>  epsilon  &&  n  <  maximalIterations)  {  [BUGGY]    n  =  n  +  1.0;  an  =  an  *  (x  /  (a  +  n));  sum  =  sum  +  an;  }  if  (n  >=  maxIterations)  {  throw  new  MaxIterationsExceededException(maxIterations);  }  else  {  [CLASS]  Gamma  1  [METHOD]  regularizedGammaP  [RETURN_TYPE]  double  double  a  double  x  double  epsilon  int  maxIterations  [VARIABLES]  boolean  double[]  lanczos  double  DEFAULT_EPSILON  HALF_LOG_2_PI  a  an  epsilon  g  n  ret  sum  tmp  x  long  serialVersionUID  int  maxIterations  	projects/Math104/src/java/org/apache/commons/math/special/Gamma.java	1.0	171	171	1	replace	while(Math.abs(an)>  epsilon  &&  n  <  maximalIterations)  {	while  (Math.abs(an)  >  epsilon  &&  n  <  maxIterations)  {  	non-compiled	[CE]  cannot  find  symbol  maximalIterations	9	None	replace
105	[BUG]  [BUGGY]    [CE]  illegal  start  of  type  [CONTEXT]  ret  =  0.0;  }  else  if  (a  >=  1.0  &&  x  >  a)  {    ret  =  1.0  -  regularizedGammaQ(a,  x,  epsilon,  maxIterations);  }  else  {  double  n  =  0.0;  //  current  element  index  double  an  =  1.0  /  a;  //  n-th  element  in  the  series  double  sum  =  an;  //  partial  sum  [BUGGY]    [BUGGY]    n  =  n  +  1.0;  an  =  an  *  (x  /  (a  +  n));  sum  =  sum  +  an;  }  if  (n  >=  maxIterations)  {  throw  new  MaxIterationsExceededException(maxIterations);  }  else  {  [CLASS]  Gamma  1  [METHOD]  regularizedGammaP  [RETURN_TYPE]  double  double  a  double  x  double  epsilon  int  maxIterations  [VARIABLES]  boolean  double[]  lanczos  double  DEFAULT_EPSILON  HALF_LOG_2_PI  a  an  epsilon  g  n  ret  sum  tmp  x  long  serialVersionUID  int  maxIterations  	projects/Math104/src/java/org/apache/commons/math/special/Gamma.java	1.0	171	171	1	replace	  	while  (Math.abs(an)  >  epsilon  &&  n  <  maxIterations)  {  	non-compiled	[CE]  illegal  start  of  type	9	None	replace
111	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testRegularizedGammaPositivePositive  [CONTEXT]  double  an  =  1.0  /  a;  //  n-th  element  in  the  series  double  sum  =  an;  //  partial  sum  while  (Math.abs(an)  >  epsilon  &&  n  <  maxIterations)  {  n  =  n  +  1.0;  an  =  an  *  (x  /  (a  +  n));  sum  =  sum  +  an;  }  [BUGGY]    ret  =  Math.exp(-x  +(a  *  Math.log(x))  -  logGamma(a))  *  sum;  [BUGGY]  if  (n  >=  maxIterations)  {  throw  new  MaxIterationsExceededException(maxIterations);  }  else  {  ret  =  Math.exp(-x  +  (a  *  Math.log(x))  -  logGamma(a))  *  sum;  }  }  return  ret;  }  [CLASS]  Gamma  1  [METHOD]  regularizedGammaP  [RETURN_TYPE]  double  double  a  double  x  double  epsilon  int  maxIterations  [VARIABLES]  boolean  double[]  lanczos  double  DEFAULT_EPSILON  HALF_LOG_2_PI  a  an  epsilon  g  n  ret  sum  tmp  x  long  serialVersionUID  int  maxIterations  	projects/Math104/src/java/org/apache/commons/math/special/Gamma.java	1.0	179	179	1	add	    ret  =  Math.exp(-x  +(a  *  Math.log(x))  -  logGamma(a))  *  sum;		compilable	  [FE]  AssertionFailedError  testRegularizedGammaPositivePositive	18	1
112	[BUG]  [BUGGY]    ret  =  Math.exp(-x  +(a  *  Math.log(x))  -  logGamma(a))  *  sum;  [FE]  AssertionFailedError  testRegularizedGammaPositivePositive  [CONTEXT]  double  an  =  1.0  /  a;  //  n-th  element  in  the  series  double  sum  =  an;  //  partial  sum  while  (Math.abs(an)  >  epsilon  &&  n  <  maxIterations)  {  n  =  n  +  1.0;  an  =  an  *  (x  /  (a  +  n));  sum  =  sum  +  an;  }  [BUGGY]    ret  =  Math.exp(-x  +(a  *  Math.log(x))  -  logGamma(a))  *  sum;  [BUGGY]  if  (n  >=  maxIterations)  {  throw  new  MaxIterationsExceededException(maxIterations);  }  else  {  ret  =  Math.exp(-x  +  (a  *  Math.log(x))  -  logGamma(a))  *  sum;  }  }  return  ret;  }  [CLASS]  Gamma  1  [METHOD]  regularizedGammaP  [RETURN_TYPE]  double  double  a  double  x  double  epsilon  int  maxIterations  [VARIABLES]  boolean  double[]  lanczos  double  DEFAULT_EPSILON  HALF_LOG_2_PI  a  an  epsilon  g  n  ret  sum  tmp  x  long  serialVersionUID  int  maxIterations  	projects/Math104/src/java/org/apache/commons/math/special/Gamma.java	1.0	179	179	1	replace	    ret  =  Math.exp(-x  +(a  *  Math.log(x))  -  logGamma(a))  *  sum;		compilable	  [FE]  AssertionFailedError  testRegularizedGammaPositivePositive	18	1	add
