bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
this_action3	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testPropertyOptionGroup  [CONTEXT]  else  if  (!( "yes ".equalsIgnoreCase(value)  ||   "true ".equalsIgnoreCase(value)  ||   "1 ".equalsIgnoreCase(value)))  {    continue;  }  cmd.addOption(opt);  [BUGGY]  requiredOptions.clear();  [BUGGY]  }  [CLASS]  Parser  [METHOD]  processProperties  [RETURN_TYPE]  void  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  Enumeration  e  RuntimeException  exp  boolean  List  requiredOptions  tokenList  Option  opt  String  option  value  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.3333333333333333	296	296	9	add	requiredOptions.clear();	updateRequiredOptions(opt);  	compilable	  [FE]  AssertionFailedError  testPropertyOptionGroup	19	9
25	[BUG]  [BUGGY]    properties  =  getProperties();  [CE]  cannot  find  symbol  [CONTEXT]  {  if  (properties  ==  null)  {  return;  }  [BUGGY]    properties  =  getProperties();  [BUGGY]  for  (Enumeration  e  =  properties.propertyNames();  e.hasMoreElements();)  {  {  String  option  =  e.nextElement().toString();  if  (!cmd.hasOption(option))  {  Option  opt  =  getOptions().getOption(option);    [CLASS]  Parser  [METHOD]  processProperties  [RETURN_TYPE]  void  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  Enumeration  e  RuntimeException  exp  boolean  List  requiredOptions  tokenList  Option  opt  String  option  value  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.49746833816309105	259	260	9	replace	    properties  =  getProperties();		non-compiled	[CE]  cannot  find  symbol	10	None	add
31	[BUG]  [BUGGY]    if(e.hasMoreElements())  {  if(!cmd.hasMoreProperty(property))  {  return;  }  [CE]  illegal  start  of  expression  [CONTEXT]  {  if  (properties  ==  null)  {  return;  }  for  (Enumeration  e  =  properties.propertyNames();  e.hasMoreElements();)  {  [BUGGY]    if(e.hasMoreElements())  {  if(!cmd.hasMoreProperty(property))  {  return;  }  [BUGGY]  String  option  =  e.nextElement().toString();  if  (!cmd.hasOption(option))  {  Option  opt  =  getOptions().getOption(option);    String  value  =  properties.getProperty(option);  [CLASS]  Parser  [METHOD]  processProperties  [RETURN_TYPE]  void  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  Enumeration  e  RuntimeException  exp  boolean  List  requiredOptions  tokenList  Option  opt  String  option  value  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.49746833816309105	261	261	9	replace	    if(e.hasMoreElements())  {  if(!cmd.hasMoreProperty(property))  {  return;  }		non-compiled	[CE]  illegal  start  of  expression	12	None	add
32	[BUG]  [BUGGY]    if(e.hasMoreElements())  {  if(!cmd.hasMoreProperty(properties))  {  return;  }  [CE]  illegal  start  of  expression  [CONTEXT]  {  if  (properties  ==  null)  {  return;  }  for  (Enumeration  e  =  properties.propertyNames();  e.hasMoreElements();)  {  [BUGGY]    if(e.hasMoreElements())  {  if(!cmd.hasMoreProperty(properties))  {  return;  }  [BUGGY]  String  option  =  e.nextElement().toString();  if  (!cmd.hasOption(option))  {  Option  opt  =  getOptions().getOption(option);    String  value  =  properties.getProperty(option);  [CLASS]  Parser  [METHOD]  processProperties  [RETURN_TYPE]  void  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  Enumeration  e  RuntimeException  exp  boolean  List  requiredOptions  tokenList  Option  opt  String  option  value  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.49746833816309105	261	261	9	replace	    if(e.hasMoreElements())  {  if(!cmd.hasMoreProperty(properties))  {  return;  }		non-compiled	[CE]  illegal  start  of  expression	12	None	add
33	[BUG]  [BUGGY]    if(e.hasMoreElements())  {  if(!cmd.hasMoreElements())  {  return;  }  [CE]  illegal  start  of  expression  [CONTEXT]  {  if  (properties  ==  null)  {  return;  }  for  (Enumeration  e  =  properties.propertyNames();  e.hasMoreElements();)  {  [BUGGY]    if(e.hasMoreElements())  {  if(!cmd.hasMoreElements())  {  return;  }  [BUGGY]  String  option  =  e.nextElement().toString();  if  (!cmd.hasOption(option))  {  Option  opt  =  getOptions().getOption(option);    String  value  =  properties.getProperty(option);  [CLASS]  Parser  [METHOD]  processProperties  [RETURN_TYPE]  void  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  Enumeration  e  RuntimeException  exp  boolean  List  requiredOptions  tokenList  Option  opt  String  option  value  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.49746833816309105	261	261	9	replace	    if(e.hasMoreElements())  {  if(!cmd.hasMoreElements())  {  return;  }		non-compiled	[CE]  illegal  start  of  expression	12	None	add
34	[BUG]  [BUGGY]    if(e.hasMoreElements())  {  if(!cmd.hasMoreProperties())  {  return;  }  [CE]  illegal  start  of  expression  [CONTEXT]  {  if  (properties  ==  null)  {  return;  }  for  (Enumeration  e  =  properties.propertyNames();  e.hasMoreElements();)  {  [BUGGY]    if(e.hasMoreElements())  {  if(!cmd.hasMoreProperties())  {  return;  }  [BUGGY]  String  option  =  e.nextElement().toString();  if  (!cmd.hasOption(option))  {  Option  opt  =  getOptions().getOption(option);    String  value  =  properties.getProperty(option);  [CLASS]  Parser  [METHOD]  processProperties  [RETURN_TYPE]  void  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  Enumeration  e  RuntimeException  exp  boolean  List  requiredOptions  tokenList  Option  opt  String  option  value  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.49746833816309105	261	261	9	replace	    if(e.hasMoreElements())  {  if(!cmd.hasMoreProperties())  {  return;  }		non-compiled	[CE]  illegal  start  of  expression	12	None	add
35	[BUG]  [BUGGY]    if(e.hasMoreElements())  {  if(!cmd.hasMoreOptions())  {  return;  }  [CE]  illegal  start  of  expression  [CONTEXT]  {  if  (properties  ==  null)  {  return;  }  for  (Enumeration  e  =  properties.propertyNames();  e.hasMoreElements();)  {  [BUGGY]    if(e.hasMoreElements())  {  if(!cmd.hasMoreOptions())  {  return;  }  [BUGGY]  String  option  =  e.nextElement().toString();  if  (!cmd.hasOption(option))  {  Option  opt  =  getOptions().getOption(option);    String  value  =  properties.getProperty(option);  [CLASS]  Parser  [METHOD]  processProperties  [RETURN_TYPE]  void  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  Enumeration  e  RuntimeException  exp  boolean  List  requiredOptions  tokenList  Option  opt  String  option  value  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.49746833816309105	261	261	9	replace	    if(e.hasMoreElements())  {  if(!cmd.hasMoreOptions())  {  return;  }		non-compiled	[CE]  illegal  start  of  expression	12	None	add
41	[BUG]  [BUGGY]    cmd.parse(options,  arguments,  properties);  [CE]  cannot  find  symbol  [CONTEXT]  public  CommandLine  parse(Options  options,  String[]  arguments,  Properties  properties)  throws  ParseException  {  [BUGGY]    cmd.parse(options,  arguments,  properties);  [BUGGY]  return  parse(options,  arguments,  properties,  false);  }  [CLASS]  Parser  [METHOD]  parse  [RETURN_TYPE]  CommandLine  Options  options  String[]  arguments  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  List  requiredOptions  String[]  arguments  boolean  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.49746833816309105	103	103	9	replace	    cmd.parse(options,  arguments,  properties);		non-compiled	[CE]  cannot  find  symbol	8	None	add
42	[BUG]  [BUGGY]    cmd.parse(options,  arguments,  properties,  true);  [CE]  cannot  find  symbol  [CONTEXT]  public  CommandLine  parse(Options  options,  String[]  arguments,  Properties  properties)  throws  ParseException  {  [BUGGY]    cmd.parse(options,  arguments,  properties,  true);  [BUGGY]  return  parse(options,  arguments,  properties,  false);  }  [CLASS]  Parser  [METHOD]  parse  [RETURN_TYPE]  CommandLine  Options  options  String[]  arguments  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  List  requiredOptions  String[]  arguments  boolean  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.49746833816309105	103	103	9	replace	    cmd.parse(options,  arguments,  properties,  true);		non-compiled	[CE]  cannot  find  symbol	8	None	add
43	[BUG]  [BUGGY]    cmd.parse(options,  arguments,  properties);  requiredOptions  =  new  ArrayList  <  Option>();  [CE]  generics  are  not  supported  in  -source  1.4  [CONTEXT]  public  CommandLine  parse(Options  options,  String[]  arguments,  Properties  properties)  throws  ParseException  {  [BUGGY]    cmd.parse(options,  arguments,  properties);  requiredOptions  =  new  ArrayList  <  Option>();  [BUGGY]  return  parse(options,  arguments,  properties,  false);  }  [CLASS]  Parser  [METHOD]  parse  [RETURN_TYPE]  CommandLine  Options  options  String[]  arguments  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  List  requiredOptions  String[]  arguments  boolean  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.49746833816309105	103	103	9	replace	    cmd.parse(options,  arguments,  properties);  requiredOptions  =  new  ArrayList  <  Option>();		non-compiled	[CE]  generics  are  not  supported  in  -source  1.4	8	None	add
44	[BUG]  [BUGGY]    cmd.parse(options,  arguments,  properties);  requiredOptions  =  new  ArrayList  <  CommandLine>();  [CE]  generics  are  not  supported  in  -source  1.4  [CONTEXT]  public  CommandLine  parse(Options  options,  String[]  arguments,  Properties  properties)  throws  ParseException  {  [BUGGY]    cmd.parse(options,  arguments,  properties);  requiredOptions  =  new  ArrayList  <  CommandLine>();  [BUGGY]  return  parse(options,  arguments,  properties,  false);  }  [CLASS]  Parser  [METHOD]  parse  [RETURN_TYPE]  CommandLine  Options  options  String[]  arguments  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  List  requiredOptions  String[]  arguments  boolean  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.49746833816309105	103	103	9	replace	    cmd.parse(options,  arguments,  properties);  requiredOptions  =  new  ArrayList  <  CommandLine>();		non-compiled	[CE]  generics  are  not  supported  in  -source  1.4	8	None	add
45	[BUG]  [BUGGY]    cmd.parse(options,  arguments,  properties);  requiredOptions  =  options.getRequiredOptions();  [CE]  cannot  find  symbol  [CONTEXT]  public  CommandLine  parse(Options  options,  String[]  arguments,  Properties  properties)  throws  ParseException  {  [BUGGY]    cmd.parse(options,  arguments,  properties);  requiredOptions  =  options.getRequiredOptions();  [BUGGY]  return  parse(options,  arguments,  properties,  false);  }  [CLASS]  Parser  [METHOD]  parse  [RETURN_TYPE]  CommandLine  Options  options  String[]  arguments  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  List  requiredOptions  String[]  arguments  boolean  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.49746833816309105	103	103	9	replace	    cmd.parse(options,  arguments,  properties);  requiredOptions  =  options.getRequiredOptions();		non-compiled	[CE]  cannot  find  symbol	8	None	add
51	[BUG]  [BUGGY]  [FE]  AlreadySelectedException  testPropertyOptionGroup  [CONTEXT]  public  CommandLine  parse(Options  options,  String[]  arguments,  Properties  properties)  throws  ParseException  {  [BUGGY]  return  parse(options,  arguments,  properties,  true);  [BUGGY]  }  [CLASS]  Parser  [METHOD]  parse  [RETURN_TYPE]  CommandLine  Options  options  String[]  arguments  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  List  requiredOptions  String[]  arguments  boolean  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.49746833816309105	103	103	9	add	return  parse(options,  arguments,  properties,  true);	return  parse(options,  arguments,  properties,  false);  	compilable	  [FE]  AlreadySelectedException  testPropertyOptionGroup	7	9
52	[BUG]  [BUGGY]  return  parse(options,  arguments,  properties,  true);  [FE]  AlreadySelectedException  testPropertyOptionGroup  [CONTEXT]  public  CommandLine  parse(Options  options,  String[]  arguments,  Properties  properties)  throws  ParseException  {  [BUGGY]  return  parse(options,  arguments,  properties,  true);  [BUGGY]  }  [CLASS]  Parser  [METHOD]  parse  [RETURN_TYPE]  CommandLine  Options  options  String[]  arguments  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  List  requiredOptions  String[]  arguments  boolean  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.49746833816309105	103	103	9	replace	return  parse(options,  arguments,  properties,  true);	return  parse(options,  arguments,  properties,  false);  	compilable	  [FE]  AlreadySelectedException  testPropertyOptionGroup	7	9	replace
53	[BUG]  [BUGGY]  return  parseOptions(options,  arguments,  properties,  true);  [CE]  cannot  find  symbol  [CONTEXT]  public  CommandLine  parse(Options  options,  String[]  arguments,  Properties  properties)  throws  ParseException  {  [BUGGY]  return  parseOptions(options,  arguments,  properties,  true);  [BUGGY]  }  [CLASS]  Parser  [METHOD]  parse  [RETURN_TYPE]  CommandLine  Options  options  String[]  arguments  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  List  requiredOptions  String[]  arguments  boolean  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.49746833816309105	103	103	9	replace	return  parseOptions(options,  arguments,  properties,  true);	return  parse(options,  arguments,  properties,  false);  	non-compiled	[CE]  cannot  find  symbol	7	None	replace
54	[BUG]  [BUGGY]  return  parse(options,  arguments,  properties,  null);  [CE]  no  suitable  method  found  for  parse(Options,String[],Properties,<null>)  [CONTEXT]  public  CommandLine  parse(Options  options,  String[]  arguments,  Properties  properties)  throws  ParseException  {  [BUGGY]  return  parse(options,  arguments,  properties,  null);  [BUGGY]  }  [CLASS]  Parser  [METHOD]  parse  [RETURN_TYPE]  CommandLine  Options  options  String[]  arguments  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  List  requiredOptions  String[]  arguments  boolean  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.49746833816309105	103	103	9	replace	return  parse(options,  arguments,  properties,  null);	return  parse(options,  arguments,  properties,  false);  	non-compiled	[CE]  no  suitable  method  found  for  parse(Options,String[],Properties,<null>)	7	None	replace
61	[BUG]  [BUGGY]  [FE]  AlreadySelectedException  testPropertyOptionGroup  [CONTEXT]  if  (!cmd.hasOption(option))  {  Option  opt  =  getOptions().getOption(option);    String  value  =  properties.getProperty(option);  [BUGGY]  if(opt.hasArg()  &&  value!=  null)  {  [BUGGY]  {  if  (opt.getValues()  ==  null  ||  opt.getValues().length  ==  0)  {  try  {  opt.addValueForProcessing(value);  }  catch  (RuntimeException  exp)  {  [CLASS]  Parser  [METHOD]  processProperties  [RETURN_TYPE]  void  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  Enumeration  e  RuntimeException  exp  boolean  List  requiredOptions  tokenList  Option  opt  String  option  value  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.5353033790313108	272	273	9	add	if(opt.hasArg()  &&  value!=  null)  {	if  (opt.hasArg())  {  	compilable	  [FE]  AlreadySelectedException  testPropertyOptionGroup	5	9
62	[BUG]  [BUGGY]  if(opt.hasArg()  &&  value!=  null)  {  [FE]  AlreadySelectedException  testPropertyOptionGroup  [CONTEXT]  if  (!cmd.hasOption(option))  {  Option  opt  =  getOptions().getOption(option);    String  value  =  properties.getProperty(option);  [BUGGY]  if(opt.hasArg()  &&  value!=  null)  {  [BUGGY]  {  if  (opt.getValues()  ==  null  ||  opt.getValues().length  ==  0)  {  try  {  opt.addValueForProcessing(value);  }  catch  (RuntimeException  exp)  {  [CLASS]  Parser  [METHOD]  processProperties  [RETURN_TYPE]  void  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  Enumeration  e  RuntimeException  exp  boolean  List  requiredOptions  tokenList  Option  opt  String  option  value  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.5353033790313108	272	273	9	replace	if(opt.hasArg()  &&  value!=  null)  {	if  (opt.hasArg())  {  	compilable	  [FE]  AlreadySelectedException  testPropertyOptionGroup	5	9	replace
64	[BUG]  [BUGGY]  [FE]  AlreadySelectedException  testPropertyOptionGroup  [CONTEXT]  if  (!cmd.hasOption(option))  {  Option  opt  =  getOptions().getOption(option);    String  value  =  properties.getProperty(option);  [BUGGY]  if(opt.hasArg()  ||  opt.hasArg())  {  [BUGGY]  {  if  (opt.getValues()  ==  null  ||  opt.getValues().length  ==  0)  {  try  {  opt.addValueForProcessing(value);  }  catch  (RuntimeException  exp)  {  [CLASS]  Parser  [METHOD]  processProperties  [RETURN_TYPE]  void  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  Enumeration  e  RuntimeException  exp  boolean  List  requiredOptions  tokenList  Option  opt  String  option  value  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.5353033790313108	272	273	9	add	if(opt.hasArg()  ||  opt.hasArg())  {	if  (opt.hasArg())  {  	compilable	  [FE]  AlreadySelectedException  testPropertyOptionGroup	5	9
65	[BUG]  [BUGGY]  if(opt.hasArg()  ||  opt.hasArg())  {  [FE]  AlreadySelectedException  testPropertyOptionGroup  [CONTEXT]  if  (!cmd.hasOption(option))  {  Option  opt  =  getOptions().getOption(option);    String  value  =  properties.getProperty(option);  [BUGGY]  if(opt.hasArg()  ||  opt.hasArg())  {  [BUGGY]  {  if  (opt.getValues()  ==  null  ||  opt.getValues().length  ==  0)  {  try  {  opt.addValueForProcessing(value);  }  catch  (RuntimeException  exp)  {  [CLASS]  Parser  [METHOD]  processProperties  [RETURN_TYPE]  void  Properties  properties  [VARIABLES]  Options  options  opts  CommandLine  cmd  Enumeration  e  RuntimeException  exp  boolean  List  requiredOptions  tokenList  Option  opt  String  option  value  Properties  properties  	projects/Cli30/src/main/java/org/apache/commons/cli/Parser.java	0.5353033790313108	272	273	9	replace	if(opt.hasArg()  ||  opt.hasArg())  {	if  (opt.hasArg())  {  	compilable	  [FE]  AlreadySelectedException  testPropertyOptionGroup	5	9	replace
