bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
this_action3	[BUG]  [BUGGY]  [FE]  NullPointerException  testGetParsedOptionValue  [CONTEXT]  public  boolean  hasArg()  {  [BUGGY]  return  numberOfArgs  >  1  ||  numberOfArgs  ==  UNLIMITED_VALUES;  [BUGGY]  }  [CLASS]  Option  [METHOD]  hasArg  [RETURN_TYPE]  boolean  [VARIABLES]  boolean  hasArg  optionalArg  required  char  valuesep  Class  type  List  values  String  argName  description  longOpt  opt  long  serialVersionUID  int  UNINITIALIZED  UNLIMITED_VALUES  numberOfArgs  	projects/Cli34/src/main/java/org/apache/commons/cli/Option.java	0.5773502691896258	257	257	2	add	return  numberOfArgs  >  1  ||  numberOfArgs  ==  UNLIMITED_VALUES;	return  numberOfArgs  >  0  ||  numberOfArgs  ==  UNLIMITED_VALUES;  	compilable	  [FE]  NullPointerException  testGetParsedOptionValue	15	2
25	[BUG]  [BUGGY]  [FE]  NullPointerException  testGetParsedOptionValue  [CONTEXT]  public  static  OptionBuilder  hasArg()  {  [BUGGY]    [BUGGY]    return  instance;  }  [CLASS]  OptionBuilder  [METHOD]  hasArg  [RETURN_TYPE]  OptionBuilder  [VARIABLES]  boolean  optionalArg  required  OptionBuilder  instance  char  valuesep  Class  type  String  argName  description  longopt  newLongopt  int  numberOfArgs  	projects/Cli34/src/main/java/org/apache/commons/cli/OptionBuilder.java	0.7071067811865475	111	111	2	add	  	OptionBuilder.numberOfArgs  =  1;  	compilable	  [FE]  NullPointerException  testGetParsedOptionValue	7	2
26	[BUG]  [BUGGY]    [FE]  NullPointerException  testGetParsedOptionValue  [CONTEXT]  public  static  OptionBuilder  hasArg()  {  [BUGGY]    [BUGGY]    return  instance;  }  [CLASS]  OptionBuilder  [METHOD]  hasArg  [RETURN_TYPE]  OptionBuilder  [VARIABLES]  boolean  optionalArg  required  OptionBuilder  instance  char  valuesep  Class  type  String  argName  description  longopt  newLongopt  int  numberOfArgs  	projects/Cli34/src/main/java/org/apache/commons/cli/OptionBuilder.java	0.7071067811865475	111	111	2	replace	  	OptionBuilder.numberOfArgs  =  1;  	compilable	  [FE]  NullPointerException  testGetParsedOptionValue	7	2	replace
32	[BUG]  [BUGGY]  [FE]  NullPointerException  testGetParsedOptionValue  [CONTEXT]  public  String  getOpt()  {  [BUGGY]  return  this.opt;  [BUGGY]  }  [CLASS]  Option  [METHOD]  getOpt  [RETURN_TYPE]  String  [VARIABLES]  boolean  hasArg  optionalArg  required  char  valuesep  Class  type  List  values  String  argName  description  longOpt  opt  long  serialVersionUID  int  UNINITIALIZED  UNLIMITED_VALUES  numberOfArgs  	projects/Cli34/src/main/java/org/apache/commons/cli/Option.java	0.5345224838248488	178	178	2	add	return  this.opt;	return  opt;  	compilable	  [FE]  NullPointerException  testGetParsedOptionValue	17	2
33	[BUG]  [BUGGY]  return  this.opt;  [FE]  NullPointerException  testGetParsedOptionValue  [CONTEXT]  public  String  getOpt()  {  [BUGGY]  return  this.opt;  [BUGGY]  }  [CLASS]  Option  [METHOD]  getOpt  [RETURN_TYPE]  String  [VARIABLES]  boolean  hasArg  optionalArg  required  char  valuesep  Class  type  List  values  String  argName  description  longOpt  opt  long  serialVersionUID  int  UNINITIALIZED  UNLIMITED_VALUES  numberOfArgs  	projects/Cli34/src/main/java/org/apache/commons/cli/Option.java	0.5345224838248488	178	178	2	replace	return  this.opt;	return  opt;  	compilable	  [FE]  NullPointerException  testGetParsedOptionValue	17	2	replace
35	[BUG]  [BUGGY]    [CE]  missing  return  statement  [CONTEXT]  public  String  getOpt()  {  [BUGGY]    [BUGGY]  }  [CLASS]  Option  [METHOD]  getOpt  [RETURN_TYPE]  String  [VARIABLES]  boolean  hasArg  optionalArg  required  char  valuesep  Class  type  List  values  String  argName  description  longOpt  opt  long  serialVersionUID  int  UNINITIALIZED  UNLIMITED_VALUES  numberOfArgs  	projects/Cli34/src/main/java/org/apache/commons/cli/Option.java	0.5345224838248488	178	178	2	replace	  	return  opt;  	non-compiled	[CE]  missing  return  statement	17	None	replace
41	[BUG]  [BUGGY]    OptionBuilder  instance  =  newType.getOptionBuilder();  [CE]  cannot  find  symbol  [CONTEXT]  public  static  OptionBuilder  withType(Class  newType)  {  [BUGGY]    OptionBuilder  instance  =  newType.getOptionBuilder();  [BUGGY]  OptionBuilder.type  =  newType;  return  instance;  }  [CLASS]  OptionBuilder  [METHOD]  withType  [RETURN_TYPE]  OptionBuilder  Class  newType  [VARIABLES]  boolean  hasArg  newRequired  optionalArg  required  OptionBuilder  instance  char  sep  valuesep  Class  newType  type  String  argName  description  longopt  name  newLongopt  int  num  numArgs  numberOfArgs  	projects/Cli34/src/main/java/org/apache/commons/cli/OptionBuilder.java	0.8164965809277261	292	292	2	replace	    OptionBuilder  instance  =  newType.getOptionBuilder();		non-compiled	[CE]  cannot  find  symbol	2	None	add
42	[BUG]  [BUGGY]    OptionBuilder  instance  =  getOptionBuilder().withType(newType);  [CE]  cannot  find  symbol  [CONTEXT]  public  static  OptionBuilder  withType(Class  newType)  {  [BUGGY]    OptionBuilder  instance  =  getOptionBuilder().withType(newType);  [BUGGY]  OptionBuilder.type  =  newType;  return  instance;  }  [CLASS]  OptionBuilder  [METHOD]  withType  [RETURN_TYPE]  OptionBuilder  Class  newType  [VARIABLES]  boolean  hasArg  newRequired  optionalArg  required  OptionBuilder  instance  char  sep  valuesep  Class  newType  type  String  argName  description  longopt  name  newLongopt  int  num  numArgs  numberOfArgs  	projects/Cli34/src/main/java/org/apache/commons/cli/OptionBuilder.java	0.8164965809277261	292	292	2	replace	    OptionBuilder  instance  =  getOptionBuilder().withType(newType);		non-compiled	[CE]  cannot  find  symbol	2	None	add
44	[BUG]  [BUGGY]    OptionBuilder  instance  =  getOptionBuilder().with(newType);  [CE]  cannot  find  symbol  [CONTEXT]  public  static  OptionBuilder  withType(Class  newType)  {  [BUGGY]    OptionBuilder  instance  =  getOptionBuilder().with(newType);  [BUGGY]  OptionBuilder.type  =  newType;  return  instance;  }  [CLASS]  OptionBuilder  [METHOD]  withType  [RETURN_TYPE]  OptionBuilder  Class  newType  [VARIABLES]  boolean  hasArg  newRequired  optionalArg  required  OptionBuilder  instance  char  sep  valuesep  Class  newType  type  String  argName  description  longopt  name  newLongopt  int  num  numArgs  numberOfArgs  	projects/Cli34/src/main/java/org/apache/commons/cli/OptionBuilder.java	0.8164965809277261	292	292	2	replace	    OptionBuilder  instance  =  getOptionBuilder().with(newType);		non-compiled	[CE]  cannot  find  symbol	2	None	add
45	[BUG]  [BUGGY]    OptionBuilder  instance  =  withOption(newType);  [CE]  cannot  find  symbol  [CONTEXT]  public  static  OptionBuilder  withType(Class  newType)  {  [BUGGY]    OptionBuilder  instance  =  withOption(newType);  [BUGGY]  OptionBuilder.type  =  newType;  return  instance;  }  [CLASS]  OptionBuilder  [METHOD]  withType  [RETURN_TYPE]  OptionBuilder  Class  newType  [VARIABLES]  boolean  hasArg  newRequired  optionalArg  required  OptionBuilder  instance  char  sep  valuesep  Class  newType  type  String  argName  description  longopt  name  newLongopt  int  num  numArgs  numberOfArgs  	projects/Cli34/src/main/java/org/apache/commons/cli/OptionBuilder.java	0.8164965809277261	292	292	2	replace	    OptionBuilder  instance  =  withOption(newType);		non-compiled	[CE]  cannot  find  symbol	2	None	add
51	[BUG]  [BUGGY]    OptionBuilder  instance  =  Option.getOption(argName);  [CE]  cannot  find  symbol  [CONTEXT]  public  static  OptionBuilder  hasArg()  {  [BUGGY]    OptionBuilder  instance  =  Option.getOption(argName);  [BUGGY]  OptionBuilder.numberOfArgs  =  1;  return  instance;  }  [CLASS]  OptionBuilder  [METHOD]  hasArg  [RETURN_TYPE]  OptionBuilder  [VARIABLES]  boolean  optionalArg  required  OptionBuilder  instance  char  valuesep  Class  type  String  argName  description  longopt  newLongopt  int  numberOfArgs  	projects/Cli34/src/main/java/org/apache/commons/cli/OptionBuilder.java	0.7071067811865475	111	111	2	replace	    OptionBuilder  instance  =  Option.getOption(argName);		non-compiled	[CE]  cannot  find  symbol	8	None	add
52	[BUG]  [BUGGY]    OptionBuilder  instance  =  Option.build();  [CE]  cannot  find  symbol  [CONTEXT]  public  static  OptionBuilder  hasArg()  {  [BUGGY]    OptionBuilder  instance  =  Option.build();  [BUGGY]  OptionBuilder.numberOfArgs  =  1;  return  instance;  }  [CLASS]  OptionBuilder  [METHOD]  hasArg  [RETURN_TYPE]  OptionBuilder  [VARIABLES]  boolean  optionalArg  required  OptionBuilder  instance  char  valuesep  Class  type  String  argName  description  longopt  newLongopt  int  numberOfArgs  	projects/Cli34/src/main/java/org/apache/commons/cli/OptionBuilder.java	0.7071067811865475	111	111	2	replace	    OptionBuilder  instance  =  Option.build();		non-compiled	[CE]  cannot  find  symbol	8	None	add
53	[BUG]  [BUGGY]    OptionBuilder  instance  =  Option.createOption(argName);  [CE]  cannot  find  symbol  [CONTEXT]  public  static  OptionBuilder  hasArg()  {  [BUGGY]    OptionBuilder  instance  =  Option.createOption(argName);  [BUGGY]  OptionBuilder.numberOfArgs  =  1;  return  instance;  }  [CLASS]  OptionBuilder  [METHOD]  hasArg  [RETURN_TYPE]  OptionBuilder  [VARIABLES]  boolean  optionalArg  required  OptionBuilder  instance  char  valuesep  Class  type  String  argName  description  longopt  newLongopt  int  numberOfArgs  	projects/Cli34/src/main/java/org/apache/commons/cli/OptionBuilder.java	0.7071067811865475	111	111	2	replace	    OptionBuilder  instance  =  Option.createOption(argName);		non-compiled	[CE]  cannot  find  symbol	8	None	add
54	[BUG]  [BUGGY]    OptionBuilder  instance  =  Option.createOptionBuilder();  [CE]  cannot  find  symbol  [CONTEXT]  public  static  OptionBuilder  hasArg()  {  [BUGGY]    OptionBuilder  instance  =  Option.createOptionBuilder();  [BUGGY]  OptionBuilder.numberOfArgs  =  1;  return  instance;  }  [CLASS]  OptionBuilder  [METHOD]  hasArg  [RETURN_TYPE]  OptionBuilder  [VARIABLES]  boolean  optionalArg  required  OptionBuilder  instance  char  valuesep  Class  type  String  argName  description  longopt  newLongopt  int  numberOfArgs  	projects/Cli34/src/main/java/org/apache/commons/cli/OptionBuilder.java	0.7071067811865475	111	111	2	replace	    OptionBuilder  instance  =  Option.createOptionBuilder();		non-compiled	[CE]  cannot  find  symbol	8	None	add
55	[BUG]  [BUGGY]    OptionBuilder  instance  =  optionBuilder.hasArg();  [CE]  cannot  find  symbol  optionBuilder  [CONTEXT]  public  static  OptionBuilder  hasArg()  {  [BUGGY]    OptionBuilder  instance  =  optionBuilder.hasArg();  [BUGGY]  OptionBuilder.numberOfArgs  =  1;  return  instance;  }  [CLASS]  OptionBuilder  [METHOD]  hasArg  [RETURN_TYPE]  OptionBuilder  [VARIABLES]  boolean  optionalArg  required  OptionBuilder  instance  char  valuesep  Class  type  String  argName  description  longopt  newLongopt  int  numberOfArgs  	projects/Cli34/src/main/java/org/apache/commons/cli/OptionBuilder.java	0.7071067811865475	111	111	2	replace	    OptionBuilder  instance  =  optionBuilder.hasArg();		non-compiled	[CE]  cannot  find  symbol  optionBuilder	8	None	add
61	[BUG]  [BUGGY]  return  newType;  [CE]  incompatible  types  [CONTEXT]  public  static  OptionBuilder  withType(Class  newType)  {  OptionBuilder.type  =  newType;  [BUGGY]  return  newType;  [BUGGY]  }  [CLASS]  OptionBuilder  [METHOD]  withType  [RETURN_TYPE]  OptionBuilder  Class  newType  [VARIABLES]  boolean  hasArg  newRequired  optionalArg  required  OptionBuilder  instance  char  sep  valuesep  Class  newType  type  String  argName  description  longopt  name  newLongopt  int  num  numArgs  numberOfArgs  	projects/Cli34/src/main/java/org/apache/commons/cli/OptionBuilder.java	0.8164965809277261	294	294	2	replace	return  newType;	return  instance;  	non-compiled	[CE]  incompatible  types	3	None	replace
62	[BUG]  [BUGGY]  return  type;  [CE]  incompatible  types  [CONTEXT]  public  static  OptionBuilder  withType(Class  newType)  {  OptionBuilder.type  =  newType;  [BUGGY]  return  type;  [BUGGY]  }  [CLASS]  OptionBuilder  [METHOD]  withType  [RETURN_TYPE]  OptionBuilder  Class  newType  [VARIABLES]  boolean  hasArg  newRequired  optionalArg  required  OptionBuilder  instance  char  sep  valuesep  Class  newType  type  String  argName  description  longopt  name  newLongopt  int  num  numArgs  numberOfArgs  	projects/Cli34/src/main/java/org/apache/commons/cli/OptionBuilder.java	0.8164965809277261	294	294	2	replace	return  type;	return  instance;  	non-compiled	[CE]  incompatible  types	3	None	replace
63	[BUG]  [BUGGY]  return(newType  ==  type)?  type  :  newType;  [CE]  incompatible  types  [CONTEXT]  public  static  OptionBuilder  withType(Class  newType)  {  OptionBuilder.type  =  newType;  [BUGGY]  return(newType  ==  type)?  type  :  newType;  [BUGGY]  }  [CLASS]  OptionBuilder  [METHOD]  withType  [RETURN_TYPE]  OptionBuilder  Class  newType  [VARIABLES]  boolean  hasArg  newRequired  optionalArg  required  OptionBuilder  instance  char  sep  valuesep  Class  newType  type  String  argName  description  longopt  name  newLongopt  int  num  numArgs  numberOfArgs  	projects/Cli34/src/main/java/org/apache/commons/cli/OptionBuilder.java	0.8164965809277261	294	294	2	replace	return(newType  ==  type)?  type  :  newType;	return  instance;  	non-compiled	[CE]  incompatible  types	3	None	replace
64	[BUG]  [BUGGY]  return(newType  ==  null)?  type  :  newType;  [CE]  incompatible  types  [CONTEXT]  public  static  OptionBuilder  withType(Class  newType)  {  OptionBuilder.type  =  newType;  [BUGGY]  return(newType  ==  null)?  type  :  newType;  [BUGGY]  }  [CLASS]  OptionBuilder  [METHOD]  withType  [RETURN_TYPE]  OptionBuilder  Class  newType  [VARIABLES]  boolean  hasArg  newRequired  optionalArg  required  OptionBuilder  instance  char  sep  valuesep  Class  newType  type  String  argName  description  longopt  name  newLongopt  int  num  numArgs  numberOfArgs  	projects/Cli34/src/main/java/org/apache/commons/cli/OptionBuilder.java	0.8164965809277261	294	294	2	replace	return(newType  ==  null)?  type  :  newType;	return  instance;  	non-compiled	[CE]  incompatible  types	3	None	replace
65	[BUG]  [BUGGY]    [CE]  missing  return  statement  [CONTEXT]  public  static  OptionBuilder  withType(Class  newType)  {  OptionBuilder.type  =  newType;  [BUGGY]    [BUGGY]  }  [CLASS]  OptionBuilder  [METHOD]  withType  [RETURN_TYPE]  OptionBuilder  Class  newType  [VARIABLES]  boolean  hasArg  newRequired  optionalArg  required  OptionBuilder  instance  char  sep  valuesep  Class  newType  type  String  argName  description  longopt  name  newLongopt  int  num  numArgs  numberOfArgs  	projects/Cli34/src/main/java/org/apache/commons/cli/OptionBuilder.java	0.8164965809277261	294	294	2	replace	  	return  instance;  	non-compiled	[CE]  missing  return  statement	3	None	replace
71	[BUG]  [BUGGY]    longOpt  =(String)this.values.get(opt);  [CE]  method  get  in  interface  List  cannot  be  applied  to  given  types;  [CONTEXT]  public  String  getOpt()  {  [BUGGY]    longOpt  =(String)this.values.get(opt);  [BUGGY]  return  opt;  }  [CLASS]  Option  [METHOD]  getOpt  [RETURN_TYPE]  String  [VARIABLES]  boolean  hasArg  optionalArg  required  char  valuesep  Class  type  List  values  String  argName  description  longOpt  opt  long  serialVersionUID  int  UNINITIALIZED  UNLIMITED_VALUES  numberOfArgs  	projects/Cli34/src/main/java/org/apache/commons/cli/Option.java	0.5345224838248488	178	178	2	replace	    longOpt  =(String)this.values.get(opt);		non-compiled	[CE]  method  get  in  interface  List  cannot  be  applied  to  given  types;	18	None	add
73	[BUG]  [BUGGY]    longOpt  =  this.values.get(opt);  [CE]  method  get  in  interface  List  cannot  be  applied  to  given  types;  [CONTEXT]  public  String  getOpt()  {  [BUGGY]    longOpt  =  this.values.get(opt);  [BUGGY]  return  opt;  }  [CLASS]  Option  [METHOD]  getOpt  [RETURN_TYPE]  String  [VARIABLES]  boolean  hasArg  optionalArg  required  char  valuesep  Class  type  List  values  String  argName  description  longOpt  opt  long  serialVersionUID  int  UNINITIALIZED  UNLIMITED_VALUES  numberOfArgs  	projects/Cli34/src/main/java/org/apache/commons/cli/Option.java	0.5345224838248488	178	178	2	replace	    longOpt  =  this.values.get(opt);		non-compiled	[CE]  method  get  in  interface  List  cannot  be  applied  to  given  types;	18	None	add
75	[BUG]  [BUGGY]    longOpt  =  getValue();  opt.addChildToBack(this);  [CE]  cannot  find  symbol  [CONTEXT]  public  String  getOpt()  {  [BUGGY]    longOpt  =  getValue();  opt.addChildToBack(this);  [BUGGY]  return  opt;  }  [CLASS]  Option  [METHOD]  getOpt  [RETURN_TYPE]  String  [VARIABLES]  boolean  hasArg  optionalArg  required  char  valuesep  Class  type  List  values  String  argName  description  longOpt  opt  long  serialVersionUID  int  UNINITIALIZED  UNLIMITED_VALUES  numberOfArgs  	projects/Cli34/src/main/java/org/apache/commons/cli/Option.java	0.5345224838248488	178	178	2	replace	    longOpt  =  getValue();  opt.addChildToBack(this);		non-compiled	[CE]  cannot  find  symbol	18	None	add
81	[BUG]  [BUGGY]    Class  <?>  type  =  getRawClass();  [CE]  generics  are  not  supported  in  -source  1.4  [CONTEXT]  public  Object  getType()  {  [BUGGY]    Class  <?>  type  =  getRawClass();  [BUGGY]  return  type;  }  [CLASS]  Option  [METHOD]  getType  [RETURN_TYPE]  Object  [VARIABLES]  boolean  hasArg  optionalArg  required  char  valuesep  Class  type  List  values  String  argName  description  longOpt  opt  long  serialVersionUID  int  UNINITIALIZED  UNLIMITED_VALUES  numberOfArgs  	projects/Cli34/src/main/java/org/apache/commons/cli/Option.java	0.8164965809277261	188	188	2	replace	    Class  <?>  type  =  getRawClass();		non-compiled	[CE]  generics  are  not  supported  in  -source  1.4	6	None	add
82	[BUG]  [BUGGY]    Class  <?>  type  =  getClass();  [CE]  generics  are  not  supported  in  -source  1.4  [CONTEXT]  public  Object  getType()  {  [BUGGY]    Class  <?>  type  =  getClass();  [BUGGY]  return  type;  }  [CLASS]  Option  [METHOD]  getType  [RETURN_TYPE]  Object  [VARIABLES]  boolean  hasArg  optionalArg  required  char  valuesep  Class  type  List  values  String  argName  description  longOpt  opt  long  serialVersionUID  int  UNINITIALIZED  UNLIMITED_VALUES  numberOfArgs  	projects/Cli34/src/main/java/org/apache/commons/cli/Option.java	0.8164965809277261	188	188	2	replace	    Class  <?>  type  =  getClass();		non-compiled	[CE]  generics  are  not  supported  in  -source  1.4	6	None	add
83	[BUG]  [BUGGY]    Class  <?>  type  =  getRValues();  [CE]  generics  are  not  supported  in  -source  1.4  [CONTEXT]  public  Object  getType()  {  [BUGGY]    Class  <?>  type  =  getRValues();  [BUGGY]  return  type;  }  [CLASS]  Option  [METHOD]  getType  [RETURN_TYPE]  Object  [VARIABLES]  boolean  hasArg  optionalArg  required  char  valuesep  Class  type  List  values  String  argName  description  longOpt  opt  long  serialVersionUID  int  UNINITIALIZED  UNLIMITED_VALUES  numberOfArgs  	projects/Cli34/src/main/java/org/apache/commons/cli/Option.java	0.8164965809277261	188	188	2	replace	    Class  <?>  type  =  getRValues();		non-compiled	[CE]  generics  are  not  supported  in  -source  1.4	6	None	add
