bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
this_action1	[BUG]  [BUGGY]  [FE]  ArrayIndexOutOfBoundsException  testRemoveColumnByKey  [CONTEXT]  public  void  removeValue(Comparable  key)  {  int  index  =  getIndex(key);  [BUGGY]  if(index  >=  0)  {  [BUGGY]  return;  }  removeValue(index);  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  Comparable  key  [VARIABLES]  ArrayList  keys  values  Comparable  key  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	334	334	4	add	if(index  >=  0)  {	if  (index  <  0)  {  	compilable	  [FE]  ArrayIndexOutOfBoundsException  testRemoveColumnByKey	11	4
24	[BUG]  [BUGGY]  if(index  <  0  &&  index  <  this.values.size())  {  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey  [CONTEXT]  public  void  removeValue(int  index)  {  this.keys.remove(index);  this.values.remove(index);  [BUGGY]  if(index  <  0  &&  index  <  this.values.size())  {  [BUGGY]  rebuildIndex();  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  int  index  [VARIABLES]  ArrayList  keys  values  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	318	318	4	replace	if(index  <  0  &&  index  <  this.values.size())  {	if  (index  <  this.keys.size())  {  	compilable	  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey	5	4	replace
24	[BUG]  [BUGGY]  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey  [CONTEXT]  public  void  removeValue(int  index)  {  this.keys.remove(index);  this.values.remove(index);  [BUGGY]  if(index  >=  0  &&  index  <  this.keys.size())  {  [BUGGY]  rebuildIndex();  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  int  index  [VARIABLES]  ArrayList  keys  values  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	318	318	4	add	if(index  >=  0  &&  index  <  this.keys.size())  {	if  (index  <  this.keys.size())  {  	compilable	  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey	5	4
25	[BUG]  [BUGGY]  if(index  >=  0  &&  index  <  this.keys.size())  {  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey  [CONTEXT]  public  void  removeValue(int  index)  {  this.keys.remove(index);  this.values.remove(index);  [BUGGY]  if(index  >=  0  &&  index  <  this.keys.size())  {  [BUGGY]  rebuildIndex();  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  int  index  [VARIABLES]  ArrayList  keys  values  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	318	318	4	replace	if(index  >=  0  &&  index  <  this.keys.size())  {	if  (index  <  this.keys.size())  {  	compilable	  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey	5	4	replace
25	[BUG]  [BUGGY]    [CE]  class  or  interface  expected  [CONTEXT]  public  void  removeValue(int  index)  {  this.keys.remove(index);  this.values.remove(index);  [BUGGY]    [BUGGY]  rebuildIndex();  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  int  index  [VARIABLES]  ArrayList  keys  values  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	318	318	4	replace	  	if  (index  <  this.keys.size())  {  	non-compiled	[CE]  class  or  interface  expected	5	None	replace
31	[BUG]  [BUGGY]  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey  [CONTEXT]  private  void  rebuildIndex  ()  {  this.indexMap.clear();  for  (int  i  =  0;  i  <  this.keys.size();  i++)  {  final  Object  key  =  this.keys.get(i);  [BUGGY]    final  Object  value  =  this.values.get(i);  [BUGGY]  this.indexMap.put(key,  new  Integer(i));  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  rebuildIndex  [RETURN_TYPE]  void  [VARIABLES]  ArrayList  keys  values  Object  key  boolean  HashMap  indexMap  long  serialVersionUID  int  i  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.35355339059327373	302	302	4	add	    final  Object  value  =  this.values.get(i);		compilable	  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey	44	4
32	[BUG]  [BUGGY]    final  Object  value  =  this.values.get(i);  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey  [CONTEXT]  private  void  rebuildIndex  ()  {  this.indexMap.clear();  for  (int  i  =  0;  i  <  this.keys.size();  i++)  {  final  Object  key  =  this.keys.get(i);  [BUGGY]    final  Object  value  =  this.values.get(i);  [BUGGY]  this.indexMap.put(key,  new  Integer(i));  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  rebuildIndex  [RETURN_TYPE]  void  [VARIABLES]  ArrayList  keys  values  Object  key  boolean  HashMap  indexMap  long  serialVersionUID  int  i  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.35355339059327373	302	302	4	replace	    final  Object  value  =  this.values.get(i);		compilable	  [FE]  java.lang.IndexOutOfBoundsException:  Index:  0  testRemoveColumnByKey	44	4	add
32	[BUG]  [BUGGY]    if(key!=  null)  {  final  Object  value  =  this.values.get(i);  if(value!=  null)  {  throw  new  IndexOutOfBoundsException( " ");  }  [CE]  illegal  start  of  expression  [CONTEXT]  private  void  rebuildIndex  ()  {  this.indexMap.clear();  for  (int  i  =  0;  i  <  this.keys.size();  i++)  {  final  Object  key  =  this.keys.get(i);  [BUGGY]    if(key!=  null)  {  final  Object  value  =  this.values.get(i);  if(value!=  null)  {  throw  new  IndexOutOfBoundsException( " ");  }  [BUGGY]  this.indexMap.put(key,  new  Integer(i));  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  rebuildIndex  [RETURN_TYPE]  void  [VARIABLES]  ArrayList  keys  values  Object  key  boolean  HashMap  indexMap  long  serialVersionUID  int  i  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.35355339059327373	302	302	4	replace	    if(key!=  null)  {  final  Object  value  =  this.values.get(i);  if(value!=  null)  {  throw  new  IndexOutOfBoundsException( " ");  }		non-compiled	[CE]  illegal  start  of  expression	44	None	add
33	[BUG]  [BUGGY]    if(key!=  null)  {  final  Object  key  =  this.values.get(i);  if(!this.values.contains(key))  {  throw  new  IndexOutOfBoundsException( " ");  }  [CE]  illegal  start  of  expression  [CONTEXT]  private  void  rebuildIndex  ()  {  this.indexMap.clear();  for  (int  i  =  0;  i  <  this.keys.size();  i++)  {  final  Object  key  =  this.keys.get(i);  [BUGGY]    if(key!=  null)  {  final  Object  key  =  this.values.get(i);  if(!this.values.contains(key))  {  throw  new  IndexOutOfBoundsException( " ");  }  [BUGGY]  this.indexMap.put(key,  new  Integer(i));  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  rebuildIndex  [RETURN_TYPE]  void  [VARIABLES]  ArrayList  keys  values  Object  key  boolean  HashMap  indexMap  long  serialVersionUID  int  i  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.35355339059327373	302	302	4	replace	    if(key!=  null)  {  final  Object  key  =  this.values.get(i);  if(!this.values.contains(key))  {  throw  new  IndexOutOfBoundsException( " ");  }		non-compiled	[CE]  illegal  start  of  expression	44	None	add
34	[BUG]  [BUGGY]    if(key!=  null)  {  final  Object  value  =  this.values.get(i);  if(value!=  null)  {  throw  new  IllegalArgumentException( " ");  }  [CE]  illegal  start  of  expression  [CONTEXT]  private  void  rebuildIndex  ()  {  this.indexMap.clear();  for  (int  i  =  0;  i  <  this.keys.size();  i++)  {  final  Object  key  =  this.keys.get(i);  [BUGGY]    if(key!=  null)  {  final  Object  value  =  this.values.get(i);  if(value!=  null)  {  throw  new  IllegalArgumentException( " ");  }  [BUGGY]  this.indexMap.put(key,  new  Integer(i));  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  rebuildIndex  [RETURN_TYPE]  void  [VARIABLES]  ArrayList  keys  values  Object  key  boolean  HashMap  indexMap  long  serialVersionUID  int  i  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.35355339059327373	302	302	4	replace	    if(key!=  null)  {  final  Object  value  =  this.values.get(i);  if(value!=  null)  {  throw  new  IllegalArgumentException( " ");  }		non-compiled	[CE]  illegal  start  of  expression	44	None	add
35	[BUG]  [BUGGY]    if(key!=  null)  {  final  Object  key  =  this.values.get(i);  if(!this.values.contains(key))  {  throw  new  IllegalArgumentException( " ");  }  [CE]  illegal  start  of  expression  [CONTEXT]  private  void  rebuildIndex  ()  {  this.indexMap.clear();  for  (int  i  =  0;  i  <  this.keys.size();  i++)  {  final  Object  key  =  this.keys.get(i);  [BUGGY]    if(key!=  null)  {  final  Object  key  =  this.values.get(i);  if(!this.values.contains(key))  {  throw  new  IllegalArgumentException( " ");  }  [BUGGY]  this.indexMap.put(key,  new  Integer(i));  }  }  [CLASS]  DefaultKeyedValues  [METHOD]  rebuildIndex  [RETURN_TYPE]  void  [VARIABLES]  ArrayList  keys  values  Object  key  boolean  HashMap  indexMap  long  serialVersionUID  int  i  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	0.35355339059327373	302	302	4	replace	    if(key!=  null)  {  final  Object  key  =  this.values.get(i);  if(!this.values.contains(key))  {  throw  new  IllegalArgumentException( " ");  }		non-compiled	[CE]  illegal  start  of  expression	44	None	add
41	[BUG]  [BUGGY]    Iterator  =(DefaultKeyedValues)iterator.next();  [CE]  cannot  find  symbol  Iterator  [CONTEXT]  public  void  removeColumn(Comparable  columnKey)  {  Iterator  iterator  =  this.rows.iterator();  while  (iterator.hasNext())  {  [BUGGY]    Iterator  =(DefaultKeyedValues)iterator.next();  [BUGGY]  DefaultKeyedValues  rowData  =  (DefaultKeyedValues)  iterator.next();  rowData.removeValue(columnKey);  }  this.columnKeys.remove(columnKey);  }  [CLASS]  DefaultKeyedValues2D  [METHOD]  removeColumn  [RETURN_TYPE]  void  Comparable  columnKey  [VARIABLES]  Iterator  iterator  List  columnKeys  rowKeys  rows  Comparable  columnKey  boolean  allNull  sortRowKeys  DefaultKeyedValues  rowData  long  serialVersionUID  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java	0.7071067811865475	457	457	4	replace	    Iterator  =(DefaultKeyedValues)iterator.next();		non-compiled	[CE]  cannot  find  symbol  Iterator	24	None	add
42	[BUG]  [BUGGY]    Iterator  =(DefaultKeyedValues)iterator.next();  this.rows.remove(columnKey);  [CE]  cannot  find  symbol  Iterator  [CONTEXT]  public  void  removeColumn(Comparable  columnKey)  {  Iterator  iterator  =  this.rows.iterator();  while  (iterator.hasNext())  {  [BUGGY]    Iterator  =(DefaultKeyedValues)iterator.next();  this.rows.remove(columnKey);  [BUGGY]  DefaultKeyedValues  rowData  =  (DefaultKeyedValues)  iterator.next();  rowData.removeValue(columnKey);  }  this.columnKeys.remove(columnKey);  }  [CLASS]  DefaultKeyedValues2D  [METHOD]  removeColumn  [RETURN_TYPE]  void  Comparable  columnKey  [VARIABLES]  Iterator  iterator  List  columnKeys  rowKeys  rows  Comparable  columnKey  boolean  allNull  sortRowKeys  DefaultKeyedValues  rowData  long  serialVersionUID  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java	0.7071067811865475	457	457	4	replace	    Iterator  =(DefaultKeyedValues)iterator.next();  this.rows.remove(columnKey);		non-compiled	[CE]  cannot  find  symbol  Iterator	24	None	add
43	[BUG]  [BUGGY]    Iterator  =(DefaultKeyedValues)iterator.next();  this.rows.remove(rowKey);  [CE]  cannot  find  symbol  Iterator  [CONTEXT]  public  void  removeColumn(Comparable  columnKey)  {  Iterator  iterator  =  this.rows.iterator();  while  (iterator.hasNext())  {  [BUGGY]    Iterator  =(DefaultKeyedValues)iterator.next();  this.rows.remove(rowKey);  [BUGGY]  DefaultKeyedValues  rowData  =  (DefaultKeyedValues)  iterator.next();  rowData.removeValue(columnKey);  }  this.columnKeys.remove(columnKey);  }  [CLASS]  DefaultKeyedValues2D  [METHOD]  removeColumn  [RETURN_TYPE]  void  Comparable  columnKey  [VARIABLES]  Iterator  iterator  List  columnKeys  rowKeys  rows  Comparable  columnKey  boolean  allNull  sortRowKeys  DefaultKeyedValues  rowData  long  serialVersionUID  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java	0.7071067811865475	457	457	4	replace	    Iterator  =(DefaultKeyedValues)iterator.next();  this.rows.remove(rowKey);		non-compiled	[CE]  cannot  find  symbol  Iterator	24	None	add
44	[BUG]  [BUGGY]    Iterator  =(DefaultKeyedValues)iterator.next();  columnKeys.remove(columnKey);  [CE]  cannot  find  symbol  Iterator  [CONTEXT]  public  void  removeColumn(Comparable  columnKey)  {  Iterator  iterator  =  this.rows.iterator();  while  (iterator.hasNext())  {  [BUGGY]    Iterator  =(DefaultKeyedValues)iterator.next();  columnKeys.remove(columnKey);  [BUGGY]  DefaultKeyedValues  rowData  =  (DefaultKeyedValues)  iterator.next();  rowData.removeValue(columnKey);  }  this.columnKeys.remove(columnKey);  }  [CLASS]  DefaultKeyedValues2D  [METHOD]  removeColumn  [RETURN_TYPE]  void  Comparable  columnKey  [VARIABLES]  Iterator  iterator  List  columnKeys  rowKeys  rows  Comparable  columnKey  boolean  allNull  sortRowKeys  DefaultKeyedValues  rowData  long  serialVersionUID  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java	0.7071067811865475	457	457	4	replace	    Iterator  =(DefaultKeyedValues)iterator.next();  columnKeys.remove(columnKey);		non-compiled	[CE]  cannot  find  symbol  Iterator	24	None	add
45	[BUG]  [BUGGY]    Iterator.next();  this.rows.remove(columnKey);  [CE]  non-static  method  next()  cannot  be  referenced  from  a  static  context  [CONTEXT]  public  void  removeColumn(Comparable  columnKey)  {  Iterator  iterator  =  this.rows.iterator();  while  (iterator.hasNext())  {  [BUGGY]    Iterator.next();  this.rows.remove(columnKey);  [BUGGY]  DefaultKeyedValues  rowData  =  (DefaultKeyedValues)  iterator.next();  rowData.removeValue(columnKey);  }  this.columnKeys.remove(columnKey);  }  [CLASS]  DefaultKeyedValues2D  [METHOD]  removeColumn  [RETURN_TYPE]  void  Comparable  columnKey  [VARIABLES]  Iterator  iterator  List  columnKeys  rowKeys  rows  Comparable  columnKey  boolean  allNull  sortRowKeys  DefaultKeyedValues  rowData  long  serialVersionUID  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues2D.java	0.7071067811865475	457	457	4	replace	    Iterator.next();  this.rows.remove(columnKey);		non-compiled	[CE]  non-static  method  next()  cannot  be  referenced  from  a  static  context	24	None	add
51	[BUG]  [BUGGY]  this.values.remove(index);  [CE]  illegal  start  of  expression  [CONTEXT]  public  void  removeValue(int  index)  {  this.keys.remove(index);  this.values.remove(index);  if  (index  <  this.keys.size())  {  rebuildIndex();  }  [BUGGY]  this.values.remove(index);  [BUGGY]    [CLASS]  DefaultKeyedValues  [METHOD]  removeValue  [RETURN_TYPE]  void  int  index  [VARIABLES]  ArrayList  keys  values  boolean  HashMap  indexMap  long  serialVersionUID  int  index  	projects/Chart18/source/org/jfree/data/DefaultKeyedValues.java	1.0	321	321	4	replace	this.values.remove(index);	}  	non-compiled	[CE]  illegal  start  of  expression	7	None	replace
