bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
this_action1	[BUG]  [BUGGY]  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom  [CONTEXT]  protected  double  getDomainLowerBound(double  p)  {  [BUGGY]  return  0.0  /  denominatorDegreesOfFreedom  *  getNumeratorDegreesOfFreedom();  [BUGGY]  }  [CLASS]  FDistributionImpl  [METHOD]  getDomainLowerBound  [RETURN_TYPE]  double  double  p  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.5773502691896258	119	119	1	add	return  0.0  /  denominatorDegreesOfFreedom  *  getNumeratorDegreesOfFreedom();	return  0.0;  	compilable	  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom	1	1
22	[BUG]  [BUGGY]    super.getDomainUpperBound(p);  [CE]  abstract  method  getDomainUpperBound(double)  in  AbstractContinuousDistribution  cannot  be  accessed  directly  [CONTEXT]  protected  double  getDomainUpperBound(double  p)  {  [BUGGY]    super.getDomainUpperBound(p);  [BUGGY]  return  Double.MAX_VALUE;  }  [CLASS]  FDistributionImpl  [METHOD]  getDomainUpperBound  [RETURN_TYPE]  double  double  p  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.5773502691896258	132	132	1	replace	    super.getDomainUpperBound(p);		non-compiled	[CE]  abstract  method  getDomainUpperBound(double)  in  AbstractContinuousDistribution  cannot  be  accessed  directly	4	None	add
23	[BUG]  [BUGGY]    double  ret  =  getDenominatorDegreesOfFreedom().doubleValue()  *  p;  [CE]  double  cannot  be  dereferenced  [CONTEXT]  protected  double  getDomainUpperBound(double  p)  {  [BUGGY]    double  ret  =  getDenominatorDegreesOfFreedom().doubleValue()  *  p;  [BUGGY]  return  Double.MAX_VALUE;  }  [CLASS]  FDistributionImpl  [METHOD]  getDomainUpperBound  [RETURN_TYPE]  double  double  p  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.5773502691896258	132	132	1	replace	    double  ret  =  getDenominatorDegreesOfFreedom().doubleValue()  *  p;		non-compiled	[CE]  double  cannot  be  dereferenced	4	None	add
24	[BUG]  [BUGGY]    if(DomainUpperBound  ==  p)  {  double  ret  =  getDenominatorDegreesOfFreedom();  if(ret  >  0)  {  return  ret;  }  [CE]  illegal  start  of  expression  [CONTEXT]  protected  double  getDomainUpperBound(double  p)  {  [BUGGY]    if(DomainUpperBound  ==  p)  {  double  ret  =  getDenominatorDegreesOfFreedom();  if(ret  >  0)  {  return  ret;  }  [BUGGY]  return  Double.MAX_VALUE;  }  [CLASS]  FDistributionImpl  [METHOD]  getDomainUpperBound  [RETURN_TYPE]  double  double  p  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.5773502691896258	132	132	1	replace	    if(DomainUpperBound  ==  p)  {  double  ret  =  getDenominatorDegreesOfFreedom();  if(ret  >  0)  {  return  ret;  }		non-compiled	[CE]  illegal  start  of  expression	4	None	add
25	[BUG]  [BUGGY]    if(DomainUpperBound  ==  p)  {  double  ret  =  getDenominatorDegreesOfFreedom().doubleValue();  if(ret  >  0)  {  return  ret;  }  [CE]  illegal  start  of  expression  [CONTEXT]  protected  double  getDomainUpperBound(double  p)  {  [BUGGY]    if(DomainUpperBound  ==  p)  {  double  ret  =  getDenominatorDegreesOfFreedom().doubleValue();  if(ret  >  0)  {  return  ret;  }  [BUGGY]  return  Double.MAX_VALUE;  }  [CLASS]  FDistributionImpl  [METHOD]  getDomainUpperBound  [RETURN_TYPE]  double  double  p  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.5773502691896258	132	132	1	replace	    if(DomainUpperBound  ==  p)  {  double  ret  =  getDenominatorDegreesOfFreedom().doubleValue();  if(ret  >  0)  {  return  ret;  }		non-compiled	[CE]  illegal  start  of  expression	4	None	add
31	[BUG]  [BUGGY]  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom  [CONTEXT]  protected  double  getInitialDomain(double  p)  {  double  ret;  double  d  =  getDenominatorDegreesOfFreedom();    [BUGGY]    double  m  =  getNumeratorDegreesOfFreedom();  [BUGGY]  ret  =  d  /  (d  -  2.0);  return  ret;  }  [CLASS]  FDistributionImpl  [METHOD]  getInitialDomain  [RETURN_TYPE]  double  double  p  [VARIABLES]  double  d  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.5773502691896258	147	147	1	add	    double  m  =  getNumeratorDegreesOfFreedom();		compilable	  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom	8	1
32	[BUG]  [BUGGY]    double  m  =  getNumeratorDegreesOfFreedom();  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom  [CONTEXT]  protected  double  getInitialDomain(double  p)  {  double  ret;  double  d  =  getDenominatorDegreesOfFreedom();    [BUGGY]    double  m  =  getNumeratorDegreesOfFreedom();  [BUGGY]  ret  =  d  /  (d  -  2.0);  return  ret;  }  [CLASS]  FDistributionImpl  [METHOD]  getInitialDomain  [RETURN_TYPE]  double  double  p  [VARIABLES]  double  d  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.5773502691896258	147	147	1	replace	    double  m  =  getNumeratorDegreesOfFreedom();		compilable	  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom	8	1	add
32	[BUG]  [BUGGY]  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom  [CONTEXT]  protected  double  getInitialDomain(double  p)  {  double  ret;  double  d  =  getDenominatorDegreesOfFreedom();    [BUGGY]    d  =  getNumeratorDegreesOfFreedom();  [BUGGY]  ret  =  d  /  (d  -  2.0);  return  ret;  }  [CLASS]  FDistributionImpl  [METHOD]  getInitialDomain  [RETURN_TYPE]  double  double  p  [VARIABLES]  double  d  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.5773502691896258	147	147	1	add	    d  =  getNumeratorDegreesOfFreedom();		compilable	  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom	8	1
33	[BUG]  [BUGGY]    d  =  getNumeratorDegreesOfFreedom();  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom  [CONTEXT]  protected  double  getInitialDomain(double  p)  {  double  ret;  double  d  =  getDenominatorDegreesOfFreedom();    [BUGGY]    d  =  getNumeratorDegreesOfFreedom();  [BUGGY]  ret  =  d  /  (d  -  2.0);  return  ret;  }  [CLASS]  FDistributionImpl  [METHOD]  getInitialDomain  [RETURN_TYPE]  double  double  p  [VARIABLES]  double  d  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.5773502691896258	147	147	1	replace	    d  =  getNumeratorDegreesOfFreedom();		compilable	  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom	8	1	add
34	[BUG]  [BUGGY]  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom  [CONTEXT]  protected  double  getInitialDomain(double  p)  {  double  ret;  double  d  =  getDenominatorDegreesOfFreedom();    [BUGGY]    double  m  =  getNumeratorDegreesOfFreedom()  *  d;  [BUGGY]  ret  =  d  /  (d  -  2.0);  return  ret;  }  [CLASS]  FDistributionImpl  [METHOD]  getInitialDomain  [RETURN_TYPE]  double  double  p  [VARIABLES]  double  d  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.5773502691896258	147	147	1	add	    double  m  =  getNumeratorDegreesOfFreedom()  *  d;		compilable	  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom	8	1
35	[BUG]  [BUGGY]    double  m  =  getNumeratorDegreesOfFreedom()  *  d;  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom  [CONTEXT]  protected  double  getInitialDomain(double  p)  {  double  ret;  double  d  =  getDenominatorDegreesOfFreedom();    [BUGGY]    double  m  =  getNumeratorDegreesOfFreedom()  *  d;  [BUGGY]  ret  =  d  /  (d  -  2.0);  return  ret;  }  [CLASS]  FDistributionImpl  [METHOD]  getInitialDomain  [RETURN_TYPE]  double  double  p  [VARIABLES]  double  d  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.5773502691896258	147	147	1	replace	    double  m  =  getNumeratorDegreesOfFreedom()  *  d;		compilable	  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom	8	1	add
35	[BUG]  [BUGGY]  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom  [CONTEXT]  protected  double  getInitialDomain(double  p)  {  double  ret;  double  d  =  getDenominatorDegreesOfFreedom();    [BUGGY]    double  m  =  getNumeratorDegreesOfFreedom()  *  p;  [BUGGY]  ret  =  d  /  (d  -  2.0);  return  ret;  }  [CLASS]  FDistributionImpl  [METHOD]  getInitialDomain  [RETURN_TYPE]  double  double  p  [VARIABLES]  double  d  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.5773502691896258	147	147	1	add	    double  m  =  getNumeratorDegreesOfFreedom()  *  p;		compilable	  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom	8	1
36	[BUG]  [BUGGY]    double  m  =  getNumeratorDegreesOfFreedom()  *  p;  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom  [CONTEXT]  protected  double  getInitialDomain(double  p)  {  double  ret;  double  d  =  getDenominatorDegreesOfFreedom();    [BUGGY]    double  m  =  getNumeratorDegreesOfFreedom()  *  p;  [BUGGY]  ret  =  d  /  (d  -  2.0);  return  ret;  }  [CLASS]  FDistributionImpl  [METHOD]  getInitialDomain  [RETURN_TYPE]  double  double  p  [VARIABLES]  double  d  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.5773502691896258	147	147	1	replace	    double  m  =  getNumeratorDegreesOfFreedom()  *  p;		compilable	  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom	8	1	add
41	[BUG]  [BUGGY]    double  x  =  getDenominatorDegreesOfFreedom();  [CE]  variable  x  is  already  defined  in  method  cumulativeProbability(double)  [CONTEXT]  public  double  cumulativeProbability(double  x)  throws  MathException  {  double  ret;  if  (x  <=  0.0)  {  ret  =  0.0;  }  else  {  double  n  =  getNumeratorDegreesOfFreedom();  [BUGGY]    double  x  =  getDenominatorDegreesOfFreedom();  [BUGGY]  double  m  =  getDenominatorDegreesOfFreedom();  ret  =  Beta.regularizedBeta((n  *  x)  /  (m  +  n  *  x),  0.5  *  n,  0.5  *  m);  }  return  ret;  }  [CLASS]  FDistributionImpl  [METHOD]  cumulativeProbability  [RETURN_TYPE]  double  double  x  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.4472135954999579	76	76	1	replace	    double  x  =  getDenominatorDegreesOfFreedom();		non-compiled	[CE]  variable  x  is  already  defined  in  method  cumulativeProbability(double)	16	None	add
42	[BUG]  [BUGGY]    double  n  =  getDenominatorDegreesOfFreedom();  [CE]  variable  n  is  already  defined  in  method  cumulativeProbability(double)  [CONTEXT]  public  double  cumulativeProbability(double  x)  throws  MathException  {  double  ret;  if  (x  <=  0.0)  {  ret  =  0.0;  }  else  {  double  n  =  getNumeratorDegreesOfFreedom();  [BUGGY]    double  n  =  getDenominatorDegreesOfFreedom();  [BUGGY]  double  m  =  getDenominatorDegreesOfFreedom();  ret  =  Beta.regularizedBeta((n  *  x)  /  (m  +  n  *  x),  0.5  *  n,  0.5  *  m);  }  return  ret;  }  [CLASS]  FDistributionImpl  [METHOD]  cumulativeProbability  [RETURN_TYPE]  double  double  x  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.4472135954999579	76	76	1	replace	    double  n  =  getDenominatorDegreesOfFreedom();		non-compiled	[CE]  variable  n  is  already  defined  in  method  cumulativeProbability(double)	16	None	add
43	[BUG]  [BUGGY]    ret  =  Beta.regularizedBeta((  n  *  x)/  getNumeratorDegreesOfFreedom());  [CE]  no  suitable  method  found  for  regularizedBeta(double)  [CONTEXT]  public  double  cumulativeProbability(double  x)  throws  MathException  {  double  ret;  if  (x  <=  0.0)  {  ret  =  0.0;  }  else  {  double  n  =  getNumeratorDegreesOfFreedom();  [BUGGY]    ret  =  Beta.regularizedBeta((  n  *  x)/  getNumeratorDegreesOfFreedom());  [BUGGY]  double  m  =  getDenominatorDegreesOfFreedom();  ret  =  Beta.regularizedBeta((n  *  x)  /  (m  +  n  *  x),  0.5  *  n,  0.5  *  m);  }  return  ret;  }  [CLASS]  FDistributionImpl  [METHOD]  cumulativeProbability  [RETURN_TYPE]  double  double  x  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.4472135954999579	76	76	1	replace	    ret  =  Beta.regularizedBeta((  n  *  x)/  getNumeratorDegreesOfFreedom());		non-compiled	[CE]  no  suitable  method  found  for  regularizedBeta(double)	16	None	add
44	[BUG]  [BUGGY]    double  x  =  getComparatorDegreesOfFreedom();  [CE]  variable  x  is  already  defined  in  method  cumulativeProbability(double)  [CONTEXT]  public  double  cumulativeProbability(double  x)  throws  MathException  {  double  ret;  if  (x  <=  0.0)  {  ret  =  0.0;  }  else  {  double  n  =  getNumeratorDegreesOfFreedom();  [BUGGY]    double  x  =  getComparatorDegreesOfFreedom();  [BUGGY]  double  m  =  getDenominatorDegreesOfFreedom();  ret  =  Beta.regularizedBeta((n  *  x)  /  (m  +  n  *  x),  0.5  *  n,  0.5  *  m);  }  return  ret;  }  [CLASS]  FDistributionImpl  [METHOD]  cumulativeProbability  [RETURN_TYPE]  double  double  x  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.4472135954999579	76	76	1	replace	    double  x  =  getComparatorDegreesOfFreedom();		non-compiled	[CE]  variable  x  is  already  defined  in  method  cumulativeProbability(double)	16	None	add
45	[BUG]  [BUGGY]    ret  =  Beta.regularizedBeta((  n  *  x)*  getNumeratorDegreesOfFreedom());  [CE]  no  suitable  method  found  for  regularizedBeta(double)  [CONTEXT]  public  double  cumulativeProbability(double  x)  throws  MathException  {  double  ret;  if  (x  <=  0.0)  {  ret  =  0.0;  }  else  {  double  n  =  getNumeratorDegreesOfFreedom();  [BUGGY]    ret  =  Beta.regularizedBeta((  n  *  x)*  getNumeratorDegreesOfFreedom());  [BUGGY]  double  m  =  getDenominatorDegreesOfFreedom();  ret  =  Beta.regularizedBeta((n  *  x)  /  (m  +  n  *  x),  0.5  *  n,  0.5  *  m);  }  return  ret;  }  [CLASS]  FDistributionImpl  [METHOD]  cumulativeProbability  [RETURN_TYPE]  double  double  x  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.4472135954999579	76	76	1	replace	    ret  =  Beta.regularizedBeta((  n  *  x)*  getNumeratorDegreesOfFreedom());		non-compiled	[CE]  no  suitable  method  found  for  regularizedBeta(double)	16	None	add
51	[BUG]  [BUGGY]    if(p  ==  0)  {  if(p  ==  0)  {  return  0d;  }  [CE]  illegal  start  of  expression  [CONTEXT]  public  double  inverseCumulativeProbability(final  double  p)  throws  MathException  {  [BUGGY]    if(p  ==  0)  {  if(p  ==  0)  {  return  0d;  }  [BUGGY]  if  (p  ==  0)  {  return  0d;  }  if  (p  ==  1)  {  return  Double.POSITIVE_INFINITY;  }  return  super.inverseCumulativeProbability(p);  }  [CLASS]  FDistributionImpl  [METHOD]  inverseCumulativeProbability  [RETURN_TYPE]  double  final  double  p  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.4472135954999579	100	100	1	replace	    if(p  ==  0)  {  if(p  ==  0)  {  return  0d;  }		non-compiled	[CE]  illegal  start  of  expression	20	None	add
52	[BUG]  [BUGGY]    if(p  ==  0)  {  if(p  ==  0)  {  return  0;  }  [CE]  illegal  start  of  expression  [CONTEXT]  public  double  inverseCumulativeProbability(final  double  p)  throws  MathException  {  [BUGGY]    if(p  ==  0)  {  if(p  ==  0)  {  return  0;  }  [BUGGY]  if  (p  ==  0)  {  return  0d;  }  if  (p  ==  1)  {  return  Double.POSITIVE_INFINITY;  }  return  super.inverseCumulativeProbability(p);  }  [CLASS]  FDistributionImpl  [METHOD]  inverseCumulativeProbability  [RETURN_TYPE]  double  final  double  p  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.4472135954999579	100	100	1	replace	    if(p  ==  0)  {  if(p  ==  0)  {  return  0;  }		non-compiled	[CE]  illegal  start  of  expression	20	None	add
