projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,BLOCK_SIZE,encoding);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,encoding,BLOCK_SIZE);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,CpioArchiveEntry.class,encoding,BLOCK_SIZE);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,BLOCK_SIZE,encoding,CpioArchiveEntry.class,entry);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,BLOCK_SIZE,encoding,CpioArchiveEntry.class,entryEOF);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,BLOCK_SIZE,CpioArchiveEntry.class,encoding);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,BLOCK_SIZE,encoding,CpioArchiveEntry.class,zipEncoding);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,encoding,BLOCK_SIZE,READ_BYTES_BUF);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,encoding,BLOCK_SIZE,TIME_BYTES_BUF);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,encoding,BLOCK_SIZE,TWO_BYTES_BUF);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,encoding,BLOCK_SIZE,BYTES_BUF);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,encoding,BLOCK_SIZE,DEFAULT_TYPE);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,encoding,BLOCK_SIZE,DEFAULT_NAME);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,encoding,BLOCK_SIZE,0);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,BLOCK_SIZE,encoding,SYNTHETIC_BYTES_BUF);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,BLOCK_SIZE,encoding,NUMBER_BYTES_BUF);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,BLOCK_SIZE,encoding,MISSING_BYTES_BUF);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,BLOCK_SIZE,encoding,SIX_BYTES_BUF);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,encoding,BLOCK_SIZE,CpioArchiveEntry.DEFAULT_ENCODING);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,encoding,CpioArchiveEntry.DEFAULT_ENCODING);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,BLOCK_SIZE,encoding,CpioArchiveEntry.DEFAULT_ENCODING,entryEOF);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,BLOCK_SIZE,encoding,CpioArchiveEntry.DEFAULT_ENCODING,entry);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,CpioArchiveEntry.DEFAULT_ENCODING,encoding,BLOCK_SIZE);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,BLOCK_SIZE,encoding,CpioArchiveEntry.DEFAULT_PREFIX);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,encoding,null);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122super(in,encoding);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,encoding,false);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,encoding,true);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,encoding);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,encoding,CpioArchiveEntry.DEFAULT_ZIP_ENCODING);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,encoding,BLOCK_SIZE,ZipEncoding.UTF8);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,BLOCK_SIZE,zipEncoding,ZipEncoding.UTF8);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,BLOCK_SIZE,encoding,ZipEncoding.US_ASCII);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,BLOCK_SIZE,encoding,ZipEncoding.UTF8,zipEncoding);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,encoding,BLOCK_SIZE,CpioArchiveEntry.DEFAULT);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,BLOCK_SIZE,encoding,CpioArchiveEntry.DEFAULT,entryEOF);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,BLOCK_SIZE,encoding,CpioArchiveEntry.DEFAULT,entry);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,encoding,CpioArchiveEntry.DEFAULT);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,CpioArchiveEntry.DEFAULT,encoding,BLOCK_SIZE);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,zipEncoding,BLOCK_SIZE,ZipEncoding.UTF8);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,encoding,ZipEncoding.UTF8);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,BLOCK_SIZE,encoding,CpioArchiveEntry.DEFAULT_ENCODING,zipEncoding);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,BLOCK_SIZE,encoding,CpioArchiveEntry.DEFAULT_NAME);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,CpioArchiveEntry.DEFAULT_ENCODING,encoding);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,BLOCK_SIZE,encoding,HEAD_BYTES_BUF);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,BLOCK_SIZE,encoding,DELETE);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,encoding,BLOCK_SIZE,FOUR_BYTES_BUF);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,encoding,BLOCK_SIZE,2);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,encoding,BLOCK_SIZE,1);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,BLOCK_SIZE,TWO_BYTES_BUF,encoding);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,BLOCK_SIZE,zipEncoding,CpioArchiveEntry.class);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,encoding,File.separator);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,BLOCK_SIZE,encoding,CpioArchiveEntry.DEFAULT_FRACTIONAL_ENCODING);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,encoding,CpioArchiveEntry.DEFAULT_SIZE);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,BLOCK_SIZE,encoding,CpioArchiveEntry.DEFAULT,zipEncoding);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,encoding,BLOCK_SIZE,zipEncoding);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,encoding,TWO_BYTES_BUF,BLOCK_SIZE);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,encoding,BLOCK_SIZE,EXTENDS);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,encoding,BLOCK_SIZE,DEFAULT_BYTES_BUF);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,encoding,zipEncoding,ZipEncoding.UTF8);
