projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,ref);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(n.getFirstChild(),ref);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,ref,alias,true);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,originalName,alias);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(n.getFirstChild(),originalName);parent.replaceChild(n,ref);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(ref.getFirstChild(),alias);parent.replaceChild(n,ref);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(n.getFirstChild(),ref);parent.replaceChild(n,originalName);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(n.getFirstChild(),alias);parent.replaceChild(n,ref);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(ref.getFirstChild(),n);parent.replaceChild(n,ref);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(n.getLastChild(),ref);parent.replaceChild(n,ref);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,newNode(Token.NAMESPACE_REDEFINED,originalName),ref);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,ref,newNode(Token.NAMESPACE_REDEFINED),originalName);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,ref,newNode(Token.NAMESPACE_REDEFINED));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,newNode(Token.NAMESPACE_REDEFINED),originalName);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,newNode(Token.NAMESPACE_REDEFINED,alias));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,newNode(Token.NAMESPACE_REDEFINED,ref.name));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,ref,newNode(Token.NAMESPACE_REDEFINED,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,newNode(Token.NAMESPACE_REDEFINED,nameMap));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,newNode(Token.NAMESPACE_REDEFINED,originalName,alias));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,newNode(Token.NAMESPACE_REDEFINED,ref.originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,newNode(Token.NAMESPACE,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,newNode(Token.NAMESPACE),ref);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,newNode(Token.NAMESPACE,ref.name));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,newNode(Token.NAMESPACE,ref.originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,newNode(Token.NAMESPACE,alias));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,newNode(Token.NAMESPACE,ref.type));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,ref,NAMESPACE_REDEFINED_WARNING,globalNames);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,ref,NAMESPACE_REDEFINED_WARNING);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,ref,UNKNOWN_SIGNATURES);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,ref,false);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(n.getFirstChild(),parent);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429Nodeparent=ref.getParent();
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(n.getLastChild(),parent);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(n.getLastChild(),originalName);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(ref.getFirstChild(),originalName);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(n.getFirstChild(),alias);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(parent.getFirstChild(),originalName);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(n.getFirstChild(),originalName,ref);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(n.getFirstChild(),originalName,parent);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(ref.getFirstChild(),n);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(n.getFirstChild(),ref,originalName);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(parent.getFirstChild(),ref);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(n.getFirstChild(),ref,parent);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,ref,originalName,alias);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,ref,NAMESPACE_REDEFINED_WARNING,originalName);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,ref,originalName,isQName);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,ref,originalName,UNSAFE_THIS);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(ref.getLastChild(),n);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(parent.getLastChild(),ref);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(n,ref.getLastChild(),originalName);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(n,ref.getLastChild(),parent);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,newNode(Token.NAMESPACE_REDEFINED_WARNING,alias));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,newNode(Token.NAMESPACE_REDEFINED_WARNING,originalName),ref);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,ref,newNode(Token.NAMESPACE_REDEFINED_WARNING,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,newNode(Token.NAMESPACE_REDEFINED_WARNING,nameMap));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,newNode(Token.NAMESPACE_REDEFINED_WARNING,name));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429n.replaceChild(ref,newNode(Token.NAMESPACE_REDEFINED_WARNING,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(n,ref.getFirstChild(),originalName);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,ref,1);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,ref,null);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(n.getLastChild(),ref,originalName);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(n,ref.getLastChild(),ref);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(n.getLastChild(),ref,parent);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(ref.getFirstChild(),ref);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429n.replaceChild(parent,newNode(Token.NAMESPACE_REDEFINED),ref);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(ref.getFirstChild(),ref);parent.replaceChild(n,ref);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(n.getFirstChild(),ref,parent.replaceChild(n,ref);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(parent.getFirstChild(),ref);parent.replaceChild(n,ref);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,newNode(Token.NAMESPACE_REDEFINED,ref));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,newNode(Token.NAMESPACE_REDEFINED,ref.toString()));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,newNode(Token.NAMESPACE_REDEFINED,name));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,newNode(Token.NAMESPACE_REDEFINED,ref.getString()));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,newNode(Token.NAMESPACE_REDEFINED_WARNING,ref.name));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,newNode(Token.NAMESPACE_REDEFINED_WARNING,ref));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429Nodeparent=ref.replaceChild(n,newNode(Token.NAMESPACE_REDEFINED));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429n.replaceChild(parent,newNode(Token.NAMESPACE_REDEFINED));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,ref,alias,false);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,newNode(Token.NAMESPACE,ref));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,newNode(Token.NAMESPACE,nameMap));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(n.getFirstChild(),ref);compiler.reportCodeChange();
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(n,ref);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,ref,newGlobalNames(alias));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,newNode(Token.NAMESPACE,ref.cloneTree()));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(n,ref.getFirstChild(),ref);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,ref,newNode(Token.NAMESPACE_REDEFINED_WARNING,alias));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,ref,newNode(Token.NAMESPACE));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,ref,newGlobalNames());
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,newNode(Token.NAMESPACE_REDEFINED_WARNING,ref.cloneTree()));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,newNode(Token.NAMESPACE_REDEFINED,ref.cloneTree()));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429n.replaceChild(parent,newNode(Token.NAMESPACE_REDEFINED,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(ref.getFirstChild(),originalName);parent.replaceChild(n,ref);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(n.getFirstChild(),originalName,ref);parent.replaceChild(n,ref);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(n.getLastChild(),originalName);parent.replaceChild(n,ref);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(parent.getFirstChild(),originalName);parent.replaceChild(n,ref);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,newNode(Token.NAMESPACE,ref.cloneTree(),originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,newNode(Token.NAMESPACE,ref.getQualifiedName()));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,newNode(Token.NAMESPACE,ref.name()));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,newNode(Token.NAMESPACE,ref.toString()));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,newNode(Token.NAMESPACE,ref.getName()));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,newNode(Token.NAMESPACE,ref.cloneTree(),nameMap));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,newNode(Token.NAMESPACE_REDEFINED,alias,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,newNode(Token.NAMESPACE_REDEFINED,alias),ref);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,newNode(Token.NAMESPACE_REDEFINED,alias,true));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,newNode(Token.NAMESPACE_REDEFINED,alias,nameMap));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,ref,newNode(Token.NAMESPACE_REDEFINED,alias));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429n.replaceChild(parent,newNode(Token.NAMESPACE_REDEFINED_WARNING,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429n.replaceChild(n,newNode(Token.NAMESPACE_REDEFINED_WARNING,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429n.replaceChild(ref,newNode(Token.NAMESPACE_REDEFINED_WARNING,alias));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429n.replaceChild(compiler,newNode(Token.NAMESPACE_REDEFINED_WARNING,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429n.replaceChild(nameMap.get(alias,ref),newNode(Token.NAMESPACE_REDEFINED_WARNING,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429n.replaceChild(ref,newNode(Token.NAMESPACE_REDEFINED_WARNING,nameMap));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,ref,true);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,ref,false,alias);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,alias,UNSAFE_THIS);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,alias,originalName,ref);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,alias,originalName,isQName);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429n.replaceChild(parent,alias,originalName);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,newNode(Token.NAMESPACE_REDEFINED,originalName,ref.toString()));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,newNode(Token.NAMESPACE_REDEFINED,ref.getName()));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,newNode(Token.NAMESPACE_REDEFINED,ref.getQualifiedName()));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,newNode(Token.NAMESPACE_REDEFINED,nameMap.toString()));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,newNode(Token.NAMESPACE_REDEFINED,alias.toString()));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429n.replaceChild(ref,newNode(Token.NAMESPACE_REDEFINED,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429Nodeparent=ref.getParent();n.replaceChild(parent,newNode(Token.NAMESPACE_REDEFINED,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429n.replaceChild(n,newNode(Token.NAMESPACE_REDEFINED,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429node.replaceChild(n,newNode(Token.NAMESPACE_REDEFINED,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429Nodeparent=ref.getParent();n.replaceChild(n,newNode(Token.NAMESPACE_REDEFINED,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429Preconditions.checkState(n.replaceChild(n,newNode(Token.NAMESPACE_REDEFINED,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(ref.getLastChild(),n);parent.replaceChild(n,ref);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(ref.getLastChild(),alias);parent.replaceChild(n,ref);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(ref.getLastChild(),ref);parent.replaceChild(n,ref);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(parent.getLastChild(),ref);parent.replaceChild(n,ref);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(n.getFirstChild(),ref,parent.replaceChild(n,originalName);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(ref.getFirstChild(),n,parent.replaceChild(n,originalName);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(ref.getFirstChild(),n,parent.replaceChild(n,ref);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(ref.getFirstChild(),alias,parent.replaceChild(n,ref);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(parent.getFirstChild(),n,ref.replaceChild(n,ref);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(n.getFirstChild(),ref,parent.replaceChild(n,UNSAFE_THIS);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(n.getFirstChild(),alias,parent.replaceChild(n,ref);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,newNode(Token.NAMESPACE,alias,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,newNode(Token.NAMESPACE,alias),ref);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,ref,newNode(Token.NAMESPACE,alias));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,newNode(Token.NAMESPACE,alias,true));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,newNode(Token.NAMESPACE_REDEFINED,ref.nameMap));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,newNode(Token.NAMESPACE_REDEFINED,ref),nameMap));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,newNode(Token.NAMESPACE_REDEFINED,ref),nameMap);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,newNode(Token.NAMESPACE,UNSAFE_THIS));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429n.replaceChild(parent,newNode(Token.NAMESPACE,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,newNode(Token.NAMESPACE,ref),originalName);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,ref,NAMESPACE_REDEFINED_WARNING,alias);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,ref,UNSAFE_THIS,alias);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,ref,originalName,alias,UNSAFE_THIS);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,ref,UNKNOWN_SIGNATURES,alias);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,ref,UNKNOWN_SIGNATURES,originalName);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,ref,0);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,ref,UNKNOWN_SIGNATURES,nameMap);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,ref,UNKNOWN_SIGNATURES,true);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(n,parent.getLastChild(),originalName);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(ref,n.getFirstChild(),originalName);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(parent,n.getLastChild(),originalName);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(ref,parent.getLastChild(),originalName);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(ref,n.getLastChild(),originalName);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(parent,ref.getLastChild(),originalName);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,ref,UNSAFE_THIS,originalName);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,ref,alias,UNSAFE_THIS,originalName);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,ref,alias,NAMESPACE_REDEFINED_WARNING);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,ref,false,UNSAFE_THIS);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(ref.getFirstChild(),n,originalName);parent.replaceChild(n,ref);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(parent.getFirstChild(),n);parent.replaceChild(n,ref);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(nameMap.getFirstChild(),n);parent.replaceChild(n,ref);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,ref,newNode(Token.NAMESPACE_REDEFINED_WARNING,alias,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,ref,newNode(Token.NAMESPACE_REDEFINED_WARNING,alias),UNSAFE_THIS);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,ref,newNode(Token.NAMESPACE_REDEFINED_WARNING,alias,UNSAFE_THIS));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,ref,newNode(Token.NAMESPACE_REDEFINED_WARNING,alias,true));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,ref,newNode(Token.NAMESPACE_REDEFINED_WARNING,alias),false);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(ref.getFirstChild(),n,parent);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(n.getFirstChild(),alias,parent);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(n.getFirstChild(),ref,parent,originalName);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(parent.getFirstChild(),n,ref);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(parent.getFirstChild(),ref,n);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429n.replaceChild(ref,newNode(Token.NAMESPACE_REDEFINED));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429n.replaceChild(n,newNode(Token.NAMESPACE_REDEFINED));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429Nodeparent=ref.getParent();n.replaceChild(parent,newNode(Token.NAMESPACE_REDEFINED));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429node.replaceChild(n,newNode(Token.NAMESPACE_REDEFINED));
