bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
this_action1	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionGroupLong  [CONTEXT]  if  (option  ==  null)  {  selected  =  null;  return;  }      [BUGGY]  if(selected  ==  null  ||  option.equals(option.getOpt()))  {  [BUGGY]  {  selected  =  option.getOpt();  }  else  {  throw  new  AlreadySelectedException(this,  option);  }  }  [CLASS]  OptionGroup  [METHOD]  setSelected  [RETURN_TYPE]  void  Option  option  [VARIABLES]  Option  option  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.7071067811865476	98	99	3	add	if(selected  ==  null  ||  option.equals(option.getOpt()))  {	if  (selected  ==  null  ||  selected.equals(option.getOpt()))  {  	compilable	  [FE]  ComparisonFailure  testOptionGroupLong	1	3
42	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionGroupLong  [CONTEXT]  public  String  getSelected()  {  [BUGGY]  return  selected  ==  null?  null  :  selected;  [BUGGY]  }  [CLASS]  OptionGroup  [METHOD]  getSelected  [RETURN_TYPE]  String  [VARIABLES]  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.7071067811865476	113	113	3	add	return  selected  ==  null?  null  :  selected;	return  selected;  	compilable	  [FE]  ComparisonFailure  testOptionGroupLong	7	3
43	[BUG]  [BUGGY]  return  selected  ==  null?  null  :  selected;  [FE]  ComparisonFailure  testOptionGroupLong  [CONTEXT]  public  String  getSelected()  {  [BUGGY]  return  selected  ==  null?  null  :  selected;  [BUGGY]  }  [CLASS]  OptionGroup  [METHOD]  getSelected  [RETURN_TYPE]  String  [VARIABLES]  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.7071067811865476	113	113	3	replace	return  selected  ==  null?  null  :  selected;	return  selected;  	compilable	  [FE]  ComparisonFailure  testOptionGroupLong	7	3	replace
44	[BUG]  [BUGGY]  return  selected  ==  null?  this  :  selected;  [CE]  incompatible  types  for  ?:  neither  is  a  subtype  of  the  other  [CONTEXT]  public  String  getSelected()  {  [BUGGY]  return  selected  ==  null?  this  :  selected;  [BUGGY]  }  [CLASS]  OptionGroup  [METHOD]  getSelected  [RETURN_TYPE]  String  [VARIABLES]  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.7071067811865476	113	113	3	replace	return  selected  ==  null?  this  :  selected;	return  selected;  	non-compiled	[CE]  incompatible  types  for  ?:  neither  is  a  subtype  of  the  other	7	None	replace
45	[BUG]  [BUGGY]    [CE]  missing  return  statement  [CONTEXT]  public  String  getSelected()  {  [BUGGY]    [BUGGY]  }  [CLASS]  OptionGroup  [METHOD]  getSelected  [RETURN_TYPE]  String  [VARIABLES]  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.7071067811865476	113	113	3	replace	  	return  selected;  	non-compiled	[CE]  missing  return  statement	7	None	replace
53	[BUG]  [BUGGY]    String  selected  =  optionMap.getSelected();  [CE]  cannot  find  symbol  [CONTEXT]  public  String  getSelected()  {  [BUGGY]    String  selected  =  optionMap.getSelected();  [BUGGY]  return  selected;  }  [CLASS]  OptionGroup  [METHOD]  getSelected  [RETURN_TYPE]  String  [VARIABLES]  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.7071067811865476	113	113	3	replace	    String  selected  =  optionMap.getSelected();		non-compiled	[CE]  cannot  find  symbol	8	None	add
54	[BUG]  [BUGGY]    String  selected  =  optionMap.get( "selected ");  [CE]  incompatible  types  [CONTEXT]  public  String  getSelected()  {  [BUGGY]    String  selected  =  optionMap.get( "selected ");  [BUGGY]  return  selected;  }  [CLASS]  OptionGroup  [METHOD]  getSelected  [RETURN_TYPE]  String  [VARIABLES]  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.7071067811865476	113	113	3	replace	    String  selected  =  optionMap.get( "selected ");		non-compiled	[CE]  incompatible  types	8	None	add
55	[BUG]  [BUGGY]    String  selected  =  optionMap.keySet();  [CE]  incompatible  types  [CONTEXT]  public  String  getSelected()  {  [BUGGY]    String  selected  =  optionMap.keySet();  [BUGGY]  return  selected;  }  [CLASS]  OptionGroup  [METHOD]  getSelected  [RETURN_TYPE]  String  [VARIABLES]  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.7071067811865476	113	113	3	replace	    String  selected  =  optionMap.keySet();		non-compiled	[CE]  incompatible  types	8	None	add
61	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionGroupLong  [CONTEXT]    if  (selected  ==  null  ||  selected.equals(option.getOpt()))  {  selected  =  option.getOpt();  }  else  {  throw  new  AlreadySelectedException(this,  option);  }  [BUGGY]    optionMap.put(option.getKey(),  option);  [BUGGY]  }  [CLASS]  OptionGroup  [METHOD]  setSelected  [RETURN_TYPE]  void  Option  option  [VARIABLES]  Option  option  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.7071067811865476	106	106	3	add	    optionMap.put(option.getKey(),  option);		compilable	  [FE]  ComparisonFailure  testOptionGroupLong	6	3
62	[BUG]  [BUGGY]    optionMap.put(option.getKey(),  option);  [FE]  ComparisonFailure  testOptionGroupLong  [CONTEXT]    if  (selected  ==  null  ||  selected.equals(option.getOpt()))  {  selected  =  option.getOpt();  }  else  {  throw  new  AlreadySelectedException(this,  option);  }  [BUGGY]    optionMap.put(option.getKey(),  option);  [BUGGY]  }  [CLASS]  OptionGroup  [METHOD]  setSelected  [RETURN_TYPE]  void  Option  option  [VARIABLES]  Option  option  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.7071067811865476	106	106	3	replace	    optionMap.put(option.getKey(),  option);		compilable	  [FE]  ComparisonFailure  testOptionGroupLong	6	3	add
62	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionGroupLong  [CONTEXT]    if  (selected  ==  null  ||  selected.equals(option.getOpt()))  {  selected  =  option.getOpt();  }  else  {  throw  new  AlreadySelectedException(this,  option);  }  [BUGGY]    optionMap.put(option.getKey(),  selected);  [BUGGY]  }  [CLASS]  OptionGroup  [METHOD]  setSelected  [RETURN_TYPE]  void  Option  option  [VARIABLES]  Option  option  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.7071067811865476	106	106	3	add	    optionMap.put(option.getKey(),  selected);		compilable	  [FE]  ComparisonFailure  testOptionGroupLong	6	3
63	[BUG]  [BUGGY]    optionMap.put(option.getKey(),  selected);  [FE]  ComparisonFailure  testOptionGroupLong  [CONTEXT]    if  (selected  ==  null  ||  selected.equals(option.getOpt()))  {  selected  =  option.getOpt();  }  else  {  throw  new  AlreadySelectedException(this,  option);  }  [BUGGY]    optionMap.put(option.getKey(),  selected);  [BUGGY]  }  [CLASS]  OptionGroup  [METHOD]  setSelected  [RETURN_TYPE]  void  Option  option  [VARIABLES]  Option  option  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.7071067811865476	106	106	3	replace	    optionMap.put(option.getKey(),  selected);		compilable	  [FE]  ComparisonFailure  testOptionGroupLong	6	3	add
63	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionGroupLong  [CONTEXT]    if  (selected  ==  null  ||  selected.equals(option.getOpt()))  {  selected  =  option.getOpt();  }  else  {  throw  new  AlreadySelectedException(this,  option);  }  [BUGGY]    this.optionMap.put(option.getKey(),  option);  [BUGGY]  }  [CLASS]  OptionGroup  [METHOD]  setSelected  [RETURN_TYPE]  void  Option  option  [VARIABLES]  Option  option  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.7071067811865476	106	106	3	add	    this.optionMap.put(option.getKey(),  option);		compilable	  [FE]  ComparisonFailure  testOptionGroupLong	6	3
64	[BUG]  [BUGGY]    this.optionMap.put(option.getKey(),  option);  [FE]  ComparisonFailure  testOptionGroupLong  [CONTEXT]    if  (selected  ==  null  ||  selected.equals(option.getOpt()))  {  selected  =  option.getOpt();  }  else  {  throw  new  AlreadySelectedException(this,  option);  }  [BUGGY]    this.optionMap.put(option.getKey(),  option);  [BUGGY]  }  [CLASS]  OptionGroup  [METHOD]  setSelected  [RETURN_TYPE]  void  Option  option  [VARIABLES]  Option  option  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.7071067811865476	106	106	3	replace	    this.optionMap.put(option.getKey(),  option);		compilable	  [FE]  ComparisonFailure  testOptionGroupLong	6	3	add
64	[BUG]  [BUGGY]    if(selected.equals(option.getLongOpt()))  throw  new  IllegalArgumentException( " ");  }  [CE]  class  or  interface  expected  [CONTEXT]    if  (selected  ==  null  ||  selected.equals(option.getOpt()))  {  selected  =  option.getOpt();  }  else  {  throw  new  AlreadySelectedException(this,  option);  }  [BUGGY]    if(selected.equals(option.getLongOpt()))  throw  new  IllegalArgumentException( " ");  }  [BUGGY]  }  [CLASS]  OptionGroup  [METHOD]  setSelected  [RETURN_TYPE]  void  Option  option  [VARIABLES]  Option  option  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.7071067811865476	106	106	3	replace	    if(selected.equals(option.getLongOpt()))  throw  new  IllegalArgumentException( " ");  }		non-compiled	[CE]  class  or  interface  expected	6	None	add
65	[BUG]  [BUGGY]    if(selected.equals(option.getLongOpt()))  {  map.put(option.getKey(),  option);  }  else  {  setSelected(selected);  }  [CE]  cannot  find  symbol  map  [CONTEXT]    if  (selected  ==  null  ||  selected.equals(option.getOpt()))  {  selected  =  option.getOpt();  }  else  {  throw  new  AlreadySelectedException(this,  option);  }  [BUGGY]    if(selected.equals(option.getLongOpt()))  {  map.put(option.getKey(),  option);  }  else  {  setSelected(selected);  }  [BUGGY]  }  [CLASS]  OptionGroup  [METHOD]  setSelected  [RETURN_TYPE]  void  Option  option  [VARIABLES]  Option  option  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.7071067811865476	106	106	3	replace	    if(selected.equals(option.getLongOpt()))  {  map.put(option.getKey(),  option);  }  else  {  setSelected(selected);  }		non-compiled	[CE]  cannot  find  symbol  map	6	None	add
71	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionGroup  [CONTEXT]    selected  =  null;  return;  }    if  (selected  ==  null  ||  selected.equals(option.getOpt()))  {  [BUGGY]  selected  =  option.getLongOpt();  [BUGGY]  }  else  {  throw  new  AlreadySelectedException(this,  option);  }  }  [CLASS]  OptionGroup  [METHOD]  setSelected  [RETURN_TYPE]  void  Option  option  [VARIABLES]  Option  option  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.7071067811865476	100	100	3	add	selected  =  option.getLongOpt();	selected  =  option.getOpt();  	compilable	  [FE]  ComparisonFailure  testOptionGroup	3	3
72	[BUG]  [BUGGY]  selected  =  option.getLongOpt();  [FE]  ComparisonFailure  testOptionGroup  [CONTEXT]    selected  =  null;  return;  }    if  (selected  ==  null  ||  selected.equals(option.getOpt()))  {  [BUGGY]  selected  =  option.getLongOpt();  [BUGGY]  }  else  {  throw  new  AlreadySelectedException(this,  option);  }  }  [CLASS]  OptionGroup  [METHOD]  setSelected  [RETURN_TYPE]  void  Option  option  [VARIABLES]  Option  option  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.7071067811865476	100	100	3	replace	selected  =  option.getLongOpt();	selected  =  option.getOpt();  	compilable	  [FE]  ComparisonFailure  testOptionGroup	3	3	replace
72	[BUG]  [BUGGY]  selected  =  option.getSelected();  [CE]  cannot  find  symbol  [CONTEXT]    selected  =  null;  return;  }    if  (selected  ==  null  ||  selected.equals(option.getOpt()))  {  [BUGGY]  selected  =  option.getSelected();  [BUGGY]  }  else  {  throw  new  AlreadySelectedException(this,  option);  }  }  [CLASS]  OptionGroup  [METHOD]  setSelected  [RETURN_TYPE]  void  Option  option  [VARIABLES]  Option  option  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.7071067811865476	100	100	3	replace	selected  =  option.getSelected();	selected  =  option.getOpt();  	non-compiled	[CE]  cannot  find  symbol	3	None	replace
81	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionGroupLong  [CONTEXT]  public  Collection  getOptions()  {    [BUGGY]    optionMap.remove(selected);  [BUGGY]  return  optionMap.values();  }  [CLASS]  OptionGroup  [METHOD]  getOptions  [RETURN_TYPE]  Collection  [VARIABLES]  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.5773502691896257	76	76	3	add	    optionMap.remove(selected);		compilable	  [FE]  ComparisonFailure  testOptionGroupLong	18	3
82	[BUG]  [BUGGY]    optionMap.remove(selected);  [FE]  ComparisonFailure  testOptionGroupLong  [CONTEXT]  public  Collection  getOptions()  {    [BUGGY]    optionMap.remove(selected);  [BUGGY]  return  optionMap.values();  }  [CLASS]  OptionGroup  [METHOD]  getOptions  [RETURN_TYPE]  Collection  [VARIABLES]  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.5773502691896257	76	76	3	replace	    optionMap.remove(selected);		compilable	  [FE]  ComparisonFailure  testOptionGroupLong	18	3	add
83	[BUG]  [BUGGY]    optionMap.remove(getKey());  [CE]  cannot  find  symbol  [CONTEXT]  public  Collection  getOptions()  {    [BUGGY]    optionMap.remove(getKey());  [BUGGY]  return  optionMap.values();  }  [CLASS]  OptionGroup  [METHOD]  getOptions  [RETURN_TYPE]  Collection  [VARIABLES]  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.5773502691896257	76	76	3	replace	    optionMap.remove(getKey());		non-compiled	[CE]  cannot  find  symbol	18	None	add
84	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionGroupLong  [CONTEXT]  public  Collection  getOptions()  {    [BUGGY]    optionMap.keySet();  [BUGGY]  return  optionMap.values();  }  [CLASS]  OptionGroup  [METHOD]  getOptions  [RETURN_TYPE]  Collection  [VARIABLES]  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.5773502691896257	76	76	3	add	    optionMap.keySet();		compilable	  [FE]  ComparisonFailure  testOptionGroupLong	18	3
85	[BUG]  [BUGGY]    optionMap.keySet();  [FE]  ComparisonFailure  testOptionGroupLong  [CONTEXT]  public  Collection  getOptions()  {    [BUGGY]    optionMap.keySet();  [BUGGY]  return  optionMap.values();  }  [CLASS]  OptionGroup  [METHOD]  getOptions  [RETURN_TYPE]  Collection  [VARIABLES]  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.5773502691896257	76	76	3	replace	    optionMap.keySet();		compilable	  [FE]  ComparisonFailure  testOptionGroupLong	18	3	add
85	[BUG]  [BUGGY]    optionMap.put( "Option ",  true);  [CE]  method  put  in  interface  Map  cannot  be  applied  to  given  types;  [CONTEXT]  public  Collection  getOptions()  {    [BUGGY]    optionMap.put( "Option ",  true);  [BUGGY]  return  optionMap.values();  }  [CLASS]  OptionGroup  [METHOD]  getOptions  [RETURN_TYPE]  Collection  [VARIABLES]  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.5773502691896257	76	76	3	replace	    optionMap.put( "Option ",  true);		non-compiled	[CE]  method  put  in  interface  Map  cannot  be  applied  to  given  types;	18	None	add
91	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionGroupLong  [CONTEXT]  public  OptionGroup  addOption(Option  option)  {    optionMap.put(option.getKey(),  option);  [BUGGY]  return  null;  [BUGGY]  }  [CLASS]  OptionGroup  [METHOD]  addOption  [RETURN_TYPE]  OptionGroup  Option  option  [VARIABLES]  Option  option  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.5773502691896257	57	57	3	add	return  null;	return  this;  	compilable	  [FE]  ComparisonFailure  testOptionGroupLong	15	3
92	[BUG]  [BUGGY]  return  null;  [FE]  ComparisonFailure  testOptionGroupLong  [CONTEXT]  public  OptionGroup  addOption(Option  option)  {    optionMap.put(option.getKey(),  option);  [BUGGY]  return  null;  [BUGGY]  }  [CLASS]  OptionGroup  [METHOD]  addOption  [RETURN_TYPE]  OptionGroup  Option  option  [VARIABLES]  Option  option  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.5773502691896257	57	57	3	replace	return  null;	return  this;  	compilable	  [FE]  ComparisonFailure  testOptionGroupLong	15	3	replace
92	[BUG]  [BUGGY]  return(option.getValue()  ==  null)?  this  :  option;  [CE]  incompatible  types  for  ?:  neither  is  a  subtype  of  the  other  [CONTEXT]  public  OptionGroup  addOption(Option  option)  {    optionMap.put(option.getKey(),  option);  [BUGGY]  return(option.getValue()  ==  null)?  this  :  option;  [BUGGY]  }  [CLASS]  OptionGroup  [METHOD]  addOption  [RETURN_TYPE]  OptionGroup  Option  option  [VARIABLES]  Option  option  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.5773502691896257	57	57	3	replace	return(option.getValue()  ==  null)?  this  :  option;	return  this;  	non-compiled	[CE]  incompatible  types  for  ?:  neither  is  a  subtype  of  the  other	15	None	replace
93	[BUG]  [BUGGY]  return(option.hasOption(option))?  this  :  null;  [CE]  cannot  find  symbol  [CONTEXT]  public  OptionGroup  addOption(Option  option)  {    optionMap.put(option.getKey(),  option);  [BUGGY]  return(option.hasOption(option))?  this  :  null;  [BUGGY]  }  [CLASS]  OptionGroup  [METHOD]  addOption  [RETURN_TYPE]  OptionGroup  Option  option  [VARIABLES]  Option  option  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.5773502691896257	57	57	3	replace	return(option.hasOption(option))?  this  :  null;	return  this;  	non-compiled	[CE]  cannot  find  symbol	15	None	replace
