projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73this(newBaseUnivariateRealOptimizer<FUNC>(),newRandomGenerator<FUNC>());
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73super(generator);
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73this(newBaseUnivariateRealOptimizer<FUNC>(generator),newRandomGenerator<FUNC>());
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73this(newBaseUnivariateRealOptimizer<FUNC>(),newRandomGenerator<FUNC>(),generator,optimizer);
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73super(generator.starts,generator);
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73this(newBaseUnivariateRealOptimizer<FUNC>(),newRandomGenerator<FUNC>(),generator,starts);
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73this(newUnivariateRealPointValuePair[0],newRandomGenerator<FUNC>(starts,generator));
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73this(newUnivariateRealPointValuePair[0],newRandomGenerator<FUNC>(generator),starts);
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73this(newUnivariateRealPointValuePair[0],newRandomGenerator<FUNC>(generator),optimizer);
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73this.optimizer=optimizator;
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73this(newBaseUnivariateRealOptimizer<FUNC>(generator),newRandomGenerator<FUNC>(),starts);
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73this(optimizer,starts,generator,null);
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73this(optimizer,starts,generator,false);
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73super(generator,starts,GeneratorType.UNDEFINED);
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73super(newBaseUnivariateRealOptimizer<FUNC>(optimizer),starts,generator,maxEvaluations);
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73this(newUnivariateRealPointValuePair[0],newRandomGenerator<FUNC>(),optimizer);
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73this(newUnivariateRealPointValuePair[0],newRandomGenerator<FUNC>(),starts);
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73this(newBaseUnivariateRealOptimizer<FUNC>(),newRandomGenerator<FUNC>(),generator,optimization);
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73this(newBaseUnivariateRealOptimizer<FUNC>(generator),newRandomGenerator<FUNC>(),optimizer);
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73super(newBaseUnivariateRealOptimizer<FUNC>(optimizer),starts,generator,generator);
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73super(newBaseUnivariateRealOptimizer<FUNC>(autoRandomGenerator),starts,generator);
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73super(generator,starts,Generator.UNDEFINED);
