bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
this_action2	[BUG]  [BUGGY]  [FE]  ClassCastException  testIssue780  [CONTEXT]  protected  void  computeGeometricalProperties()  {  final  Vector2D[][]  v  =  getVertices();  if  (v.length  ==  0)  {  final  BSPTree<Euclidean2D>  tree  =  getTree(false);  [BUGGY]  if(!(Boolean)tree.getAttribute())  {  [BUGGY]    setSize(Double.POSITIVE_INFINITY);  setBarycenter(Vector2D.NaN);  }  else  {  setSize(0);  setBarycenter(new  Vector2D(0,  0));  }  }  else  if  (v[0][0]  ==  null)  {  setSize(Double.POSITIVE_INFINITY);  [CLASS]  PolygonsSet  ComparableSegment  SegmentsBuilder  [METHOD]  computeGeometricalProperties  [RETURN_TYPE]  void  [VARIABLES]  BSPTree  tree  boolean  Vector2D  point  double  factor  sum  sumX  sumY  x0  x1  y0  y1  AVLTree  sorted  OrderedTuple  sortingKey  Vector2D[][]  v  vertices  Vector2D[]  loop  	projects/Math32/src/main/java/org/apache/commons/math3/geometry/euclidean/twod/PolygonsSet.java	1.0	136	136	1	add	if(!(Boolean)tree.getAttribute())  {	if  ((Boolean)  tree.getAttribute())  {  	compilable	  [FE]  ClassCastException  testIssue780	7	1
24	[BUG]  [BUGGY]    setSize(new  Vector2D(v,  0,  v.length));  [CE]  no  suitable  constructor  found  for  Vector2D(Vector2D[][],int,int)  [CONTEXT]  protected  void  computeGeometricalProperties()  {  final  Vector2D[][]  v  =  getVertices();  if  (v.length  ==  0)  {  final  BSPTree<Euclidean2D>  tree  =  getTree(false);  [BUGGY]    setSize(new  Vector2D(v,  0,  v.length));  [BUGGY]  if  ((Boolean)  tree.getAttribute())  {  setSize(Double.POSITIVE_INFINITY);  setBarycenter(Vector2D.NaN);  }  else  {  setSize(0);  setBarycenter(new  Vector2D(0,  0));  }  }  else  if  (v[0][0]  ==  null)  {  setSize(Double.POSITIVE_INFINITY);  [CLASS]  PolygonsSet  ComparableSegment  SegmentsBuilder  [METHOD]  computeGeometricalProperties  [RETURN_TYPE]  void  [VARIABLES]  BSPTree  tree  boolean  Vector2D  point  double  factor  sum  sumX  sumY  x0  x1  y0  y1  AVLTree  sorted  OrderedTuple  sortingKey  Vector2D[][]  v  vertices  Vector2D[]  loop  	projects/Math32/src/main/java/org/apache/commons/math3/geometry/euclidean/twod/PolygonsSet.java	1.0	136	136	1	replace	    setSize(new  Vector2D(v,  0,  v.length));		non-compiled	[CE]  no  suitable  constructor  found  for  Vector2D(Vector2D[][],int,int)	8	None	add
25	[BUG]  [BUGGY]    v[0][0]  =  getTree(true);  [CE]  incompatible  types  [CONTEXT]  protected  void  computeGeometricalProperties()  {  final  Vector2D[][]  v  =  getVertices();  if  (v.length  ==  0)  {  final  BSPTree<Euclidean2D>  tree  =  getTree(false);  [BUGGY]    v[0][0]  =  getTree(true);  [BUGGY]  if  ((Boolean)  tree.getAttribute())  {  setSize(Double.POSITIVE_INFINITY);  setBarycenter(Vector2D.NaN);  }  else  {  setSize(0);  setBarycenter(new  Vector2D(0,  0));  }  }  else  if  (v[0][0]  ==  null)  {  setSize(Double.POSITIVE_INFINITY);  [CLASS]  PolygonsSet  ComparableSegment  SegmentsBuilder  [METHOD]  computeGeometricalProperties  [RETURN_TYPE]  void  [VARIABLES]  BSPTree  tree  boolean  Vector2D  point  double  factor  sum  sumX  sumY  x0  x1  y0  y1  AVLTree  sorted  OrderedTuple  sortingKey  Vector2D[][]  v  vertices  Vector2D[]  loop  	projects/Math32/src/main/java/org/apache/commons/math3/geometry/euclidean/twod/PolygonsSet.java	1.0	136	136	1	replace	    v[0][0]  =  getTree(true);		non-compiled	[CE]  incompatible  types	8	None	add
31	[BUG]  [BUGGY]    SortedTuple  sortingKey  =  SortedTuple.sort(tree);  sortingKey  =  new  SortedTuple();  [CE]  cannot  find  symbol  [CONTEXT]  public  PolygonsSet(final  BSPTree<Euclidean2D>  tree)  {  super(tree);  [BUGGY]    SortedTuple  sortingKey  =  SortedTuple.sort(tree);  sortingKey  =  new  SortedTuple();  [BUGGY]  }  [CLASS]  PolygonsSet  ComparableSegment  SegmentsBuilder  [METHOD]  <init>  [RETURN_TYPE]  BSPTree)  Euclidean2D>  tree  [VARIABLES]  AVLTree  sorted  BSPTree  tree  OrderedTuple  sortingKey  boolean  Vector2D[][]  vertices  	projects/Math32/src/main/java/org/apache/commons/math3/geometry/euclidean/twod/PolygonsSet.java	0.4082482904638631	64	64	1	replace	    SortedTuple  sortingKey  =  SortedTuple.sort(tree);  sortingKey  =  new  SortedTuple();		non-compiled	[CE]  cannot  find  symbol	18	None	add
32	[BUG]  [BUGGY]    SortedTuple  sortingKey  =  SortedTuple.sorted();  SortedTuple[][]  vertices  =  new  SortedTuple();  [CE]  cannot  find  symbol  [CONTEXT]  public  PolygonsSet(final  BSPTree<Euclidean2D>  tree)  {  super(tree);  [BUGGY]    SortedTuple  sortingKey  =  SortedTuple.sorted();  SortedTuple[][]  vertices  =  new  SortedTuple();  [BUGGY]  }  [CLASS]  PolygonsSet  ComparableSegment  SegmentsBuilder  [METHOD]  <init>  [RETURN_TYPE]  BSPTree)  Euclidean2D>  tree  [VARIABLES]  AVLTree  sorted  BSPTree  tree  OrderedTuple  sortingKey  boolean  Vector2D[][]  vertices  	projects/Math32/src/main/java/org/apache/commons/math3/geometry/euclidean/twod/PolygonsSet.java	0.4082482904638631	64	64	1	replace	    SortedTuple  sortingKey  =  SortedTuple.sorted();  SortedTuple[][]  vertices  =  new  SortedTuple();		non-compiled	[CE]  cannot  find  symbol	18	None	add
33	[BUG]  [BUGGY]    SortedTuple  sortingKey  =  SortedTuple.sorted();  SortedTuple.sort(vertices,  tree);  [CE]  cannot  find  symbol  [CONTEXT]  public  PolygonsSet(final  BSPTree<Euclidean2D>  tree)  {  super(tree);  [BUGGY]    SortedTuple  sortingKey  =  SortedTuple.sorted();  SortedTuple.sort(vertices,  tree);  [BUGGY]  }  [CLASS]  PolygonsSet  ComparableSegment  SegmentsBuilder  [METHOD]  <init>  [RETURN_TYPE]  BSPTree)  Euclidean2D>  tree  [VARIABLES]  AVLTree  sorted  BSPTree  tree  OrderedTuple  sortingKey  boolean  Vector2D[][]  vertices  	projects/Math32/src/main/java/org/apache/commons/math3/geometry/euclidean/twod/PolygonsSet.java	0.4082482904638631	64	64	1	replace	    SortedTuple  sortingKey  =  SortedTuple.sorted();  SortedTuple.sort(vertices,  tree);		non-compiled	[CE]  cannot  find  symbol	18	None	add
34	[BUG]  [BUGGY]    sortingKey  =  SortedTuple.sort(tree);  [CE]  cannot  find  symbol  sortingKey  [CONTEXT]  public  PolygonsSet(final  BSPTree<Euclidean2D>  tree)  {  super(tree);  [BUGGY]    sortingKey  =  SortedTuple.sort(tree);  [BUGGY]  }  [CLASS]  PolygonsSet  ComparableSegment  SegmentsBuilder  [METHOD]  <init>  [RETURN_TYPE]  BSPTree)  Euclidean2D>  tree  [VARIABLES]  AVLTree  sorted  BSPTree  tree  OrderedTuple  sortingKey  boolean  Vector2D[][]  vertices  	projects/Math32/src/main/java/org/apache/commons/math3/geometry/euclidean/twod/PolygonsSet.java	0.4082482904638631	64	64	1	replace	    sortingKey  =  SortedTuple.sort(tree);		non-compiled	[CE]  cannot  find  symbol  sortingKey	18	None	add
35	[BUG]  [BUGGY]    SortedTuple  sortingKey  =  SortedTuple.sort(tree);  [CE]  cannot  find  symbol  [CONTEXT]  public  PolygonsSet(final  BSPTree<Euclidean2D>  tree)  {  super(tree);  [BUGGY]    SortedTuple  sortingKey  =  SortedTuple.sort(tree);  [BUGGY]  }  [CLASS]  PolygonsSet  ComparableSegment  SegmentsBuilder  [METHOD]  <init>  [RETURN_TYPE]  BSPTree)  Euclidean2D>  tree  [VARIABLES]  AVLTree  sorted  BSPTree  tree  OrderedTuple  sortingKey  boolean  Vector2D[][]  vertices  	projects/Math32/src/main/java/org/apache/commons/math3/geometry/euclidean/twod/PolygonsSet.java	0.4082482904638631	64	64	1	replace	    SortedTuple  sortingKey  =  SortedTuple.sort(tree);		non-compiled	[CE]  cannot  find  symbol	18	None	add
41	[BUG]  [BUGGY]  [FE]  ClassCastException  testIssue780  [CONTEXT]  protected  void  computeGeometricalProperties()  {  final  Vector2D[][]  v  =  getVertices();  if  (v.length  ==  0)  {  [BUGGY]    setSize(Double.NEGATIVE_INFINITY);  [BUGGY]  final  BSPTree<Euclidean2D>  tree  =  getTree(false);  if  ((Boolean)  tree.getAttribute())  {  setSize(Double.POSITIVE_INFINITY);  setBarycenter(Vector2D.NaN);  }  else  {  setSize(0);  setBarycenter(new  Vector2D(0,  0));  }  }  else  if  (v[0][0]  ==  null)  {  [CLASS]  PolygonsSet  ComparableSegment  SegmentsBuilder  [METHOD]  computeGeometricalProperties  [RETURN_TYPE]  void  [VARIABLES]  BSPTree  tree  boolean  Vector2D  point  double  factor  sum  sumX  sumY  x0  x1  y0  y1  AVLTree  sorted  OrderedTuple  sortingKey  Vector2D[][]  v  vertices  Vector2D[]  loop  	projects/Math32/src/main/java/org/apache/commons/math3/geometry/euclidean/twod/PolygonsSet.java	1.0	135	135	1	add	    setSize(Double.NEGATIVE_INFINITY);		compilable	  [FE]  ClassCastException  testIssue780	6	1
42	[BUG]  [BUGGY]    setSize(Double.NEGATIVE_INFINITY);  [FE]  ClassCastException  testIssue780  [CONTEXT]  protected  void  computeGeometricalProperties()  {  final  Vector2D[][]  v  =  getVertices();  if  (v.length  ==  0)  {  [BUGGY]    setSize(Double.NEGATIVE_INFINITY);  [BUGGY]  final  BSPTree<Euclidean2D>  tree  =  getTree(false);  if  ((Boolean)  tree.getAttribute())  {  setSize(Double.POSITIVE_INFINITY);  setBarycenter(Vector2D.NaN);  }  else  {  setSize(0);  setBarycenter(new  Vector2D(0,  0));  }  }  else  if  (v[0][0]  ==  null)  {  [CLASS]  PolygonsSet  ComparableSegment  SegmentsBuilder  [METHOD]  computeGeometricalProperties  [RETURN_TYPE]  void  [VARIABLES]  BSPTree  tree  boolean  Vector2D  point  double  factor  sum  sumX  sumY  x0  x1  y0  y1  AVLTree  sorted  OrderedTuple  sortingKey  Vector2D[][]  v  vertices  Vector2D[]  loop  	projects/Math32/src/main/java/org/apache/commons/math3/geometry/euclidean/twod/PolygonsSet.java	1.0	135	135	1	replace	    setSize(Double.NEGATIVE_INFINITY);		compilable	  [FE]  ClassCastException  testIssue780	6	1	add
42	[BUG]  [BUGGY]  [FE]  ClassCastException  testIssue780  [CONTEXT]  protected  void  computeGeometricalProperties()  {  final  Vector2D[][]  v  =  getVertices();  if  (v.length  ==  0)  {  [BUGGY]    setSize(Double.POSITIVE_INFINITY);  [BUGGY]  final  BSPTree<Euclidean2D>  tree  =  getTree(false);  if  ((Boolean)  tree.getAttribute())  {  setSize(Double.POSITIVE_INFINITY);  setBarycenter(Vector2D.NaN);  }  else  {  setSize(0);  setBarycenter(new  Vector2D(0,  0));  }  }  else  if  (v[0][0]  ==  null)  {  [CLASS]  PolygonsSet  ComparableSegment  SegmentsBuilder  [METHOD]  computeGeometricalProperties  [RETURN_TYPE]  void  [VARIABLES]  BSPTree  tree  boolean  Vector2D  point  double  factor  sum  sumX  sumY  x0  x1  y0  y1  AVLTree  sorted  OrderedTuple  sortingKey  Vector2D[][]  v  vertices  Vector2D[]  loop  	projects/Math32/src/main/java/org/apache/commons/math3/geometry/euclidean/twod/PolygonsSet.java	1.0	135	135	1	add	    setSize(Double.POSITIVE_INFINITY);		compilable	  [FE]  ClassCastException  testIssue780	6	1
43	[BUG]  [BUGGY]    setSize(Double.POSITIVE_INFINITY);  [FE]  ClassCastException  testIssue780  [CONTEXT]  protected  void  computeGeometricalProperties()  {  final  Vector2D[][]  v  =  getVertices();  if  (v.length  ==  0)  {  [BUGGY]    setSize(Double.POSITIVE_INFINITY);  [BUGGY]  final  BSPTree<Euclidean2D>  tree  =  getTree(false);  if  ((Boolean)  tree.getAttribute())  {  setSize(Double.POSITIVE_INFINITY);  setBarycenter(Vector2D.NaN);  }  else  {  setSize(0);  setBarycenter(new  Vector2D(0,  0));  }  }  else  if  (v[0][0]  ==  null)  {  [CLASS]  PolygonsSet  ComparableSegment  SegmentsBuilder  [METHOD]  computeGeometricalProperties  [RETURN_TYPE]  void  [VARIABLES]  BSPTree  tree  boolean  Vector2D  point  double  factor  sum  sumX  sumY  x0  x1  y0  y1  AVLTree  sorted  OrderedTuple  sortingKey  Vector2D[][]  v  vertices  Vector2D[]  loop  	projects/Math32/src/main/java/org/apache/commons/math3/geometry/euclidean/twod/PolygonsSet.java	1.0	135	135	1	replace	    setSize(Double.POSITIVE_INFINITY);		compilable	  [FE]  ClassCastException  testIssue780	6	1	add
43	[BUG]  [BUGGY]    super.computeGeometricalProperties();  [CE]  abstract  method  computeGeometricalProperties()  in  AbstractRegion  cannot  be  accessed  directly  [CONTEXT]  protected  void  computeGeometricalProperties()  {  final  Vector2D[][]  v  =  getVertices();  if  (v.length  ==  0)  {  [BUGGY]    super.computeGeometricalProperties();  [BUGGY]  final  BSPTree<Euclidean2D>  tree  =  getTree(false);  if  ((Boolean)  tree.getAttribute())  {  setSize(Double.POSITIVE_INFINITY);  setBarycenter(Vector2D.NaN);  }  else  {  setSize(0);  setBarycenter(new  Vector2D(0,  0));  }  }  else  if  (v[0][0]  ==  null)  {  [CLASS]  PolygonsSet  ComparableSegment  SegmentsBuilder  [METHOD]  computeGeometricalProperties  [RETURN_TYPE]  void  [VARIABLES]  BSPTree  tree  boolean  Vector2D  point  double  factor  sum  sumX  sumY  x0  x1  y0  y1  AVLTree  sorted  OrderedTuple  sortingKey  Vector2D[][]  v  vertices  Vector2D[]  loop  	projects/Math32/src/main/java/org/apache/commons/math3/geometry/euclidean/twod/PolygonsSet.java	1.0	135	135	1	replace	    super.computeGeometricalProperties();		non-compiled	[CE]  abstract  method  computeGeometricalProperties()  in  AbstractRegion  cannot  be  accessed  directly	6	None	add
44	[BUG]  [BUGGY]    setSize(0,  v.length);  [CE]  method  setSize  in  class  AbstractRegion<S,T>  cannot  be  applied  to  given  types;  [CONTEXT]  protected  void  computeGeometricalProperties()  {  final  Vector2D[][]  v  =  getVertices();  if  (v.length  ==  0)  {  [BUGGY]    setSize(0,  v.length);  [BUGGY]  final  BSPTree<Euclidean2D>  tree  =  getTree(false);  if  ((Boolean)  tree.getAttribute())  {  setSize(Double.POSITIVE_INFINITY);  setBarycenter(Vector2D.NaN);  }  else  {  setSize(0);  setBarycenter(new  Vector2D(0,  0));  }  }  else  if  (v[0][0]  ==  null)  {  [CLASS]  PolygonsSet  ComparableSegment  SegmentsBuilder  [METHOD]  computeGeometricalProperties  [RETURN_TYPE]  void  [VARIABLES]  BSPTree  tree  boolean  Vector2D  point  double  factor  sum  sumX  sumY  x0  x1  y0  y1  AVLTree  sorted  OrderedTuple  sortingKey  Vector2D[][]  v  vertices  Vector2D[]  loop  	projects/Math32/src/main/java/org/apache/commons/math3/geometry/euclidean/twod/PolygonsSet.java	1.0	135	135	1	replace	    setSize(0,  v.length);		non-compiled	[CE]  method  setSize  in  class  AbstractRegion<S,T>  cannot  be  applied  to  given  types;	6	None	add
