bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
this_action2	[BUG]  [BUGGY]  timeout  [CONTEXT]   "invalid  bracketing  parameters:lower  bound={0},initial={1},  upper  bound={2} ",  lowerBound,  initial,  upperBound);  }  double  a  =  initial;  double  b  =  initial;  double  fa;  double  fb;  int  numIterations  =  0  ;  do  {  [BUGGY]  a  =  Math.max(a  +  1.0,  lowerBound);  [BUGGY]  b  =  Math.min(b  +  1.0,  upperBound);  fa  =  function.value(a);  fb  =  function.value(b);  numIterations++  ;  }  while  ((fa  *  fb  >  0.0)  &&  (numIterations  <  maximumIterations)  &&  ((a  >  lowerBound)  ||  (b  <  upperBound)));  if  (fa  *  fb  >=  0.0  )  {  throw  new  ConvergenceException(  [CLASS]  UnivariateRealSolverUtils  LazyHolder  [METHOD]  bracket  [RETURN_TYPE]  double[]  UnivariateRealFunction  function  double  initial  double  lowerBound  double  upperBound  int  maximumIterations  [VARIABLES]  UnivariateRealSolverFactory  FACTORY  UnivariateRealFunction  function  boolean  double  a  b  fa  fb  initial  lowerBound  upperBound  int  maximumIterations  numIterations  	projects/Math85/src/java/org/apache/commons/math/analysis/solvers/UnivariateRealSolverUtils.java	0.7071067811865475	189	189	1	add	a  =  Math.max(a  +  1.0,  lowerBound);	a  =  Math.max(a  -  1.0,  lowerBound);  	compilable	timeout	17	1
93	[BUG]  [BUGGY]    double  b  =  function.value(a);  [CE]  variable  b  is  already  defined  in  method  bracket(UnivariateRealFunction,double,double,double,int)  [CONTEXT]  if  (maximumIterations  <=  0){  throw  MathRuntimeException.createIllegalArgumentException(   "bad  value  for  maximum  iterations  number:  {0} ",  maximumIterations);  }  if  (initial  <  lowerBound  ||  initial  >  upperBound  ||  lowerBound  >=  upperBound)  {  throw  MathRuntimeException.createIllegalArgumentException(   "invalid  bracketing  parameters:lower  bound={0},initial={1},  upper  bound={2} ",  lowerBound,  initial,  upperBound);  }  double  a  =  initial;  [BUGGY]    double  b  =  function.value(a);  [BUGGY]  double  b  =  initial;  double  fa;  double  fb;  int  numIterations  =  0  ;  do  {  a  =  Math.max(a  -  1.0,  lowerBound);  b  =  Math.min(b  +  1.0,  upperBound);  fa  =  function.value(a);  fb  =  function.value(b);  [CLASS]  UnivariateRealSolverUtils  LazyHolder  [METHOD]  bracket  [RETURN_TYPE]  double[]  UnivariateRealFunction  function  double  initial  double  lowerBound  double  upperBound  int  maximumIterations  [VARIABLES]  UnivariateRealSolverFactory  FACTORY  UnivariateRealFunction  function  boolean  double  a  b  fa  fb  initial  lowerBound  upperBound  int  maximumIterations  numIterations  	projects/Math85/src/java/org/apache/commons/math/analysis/solvers/UnivariateRealSolverUtils.java	0.7071067811865475	183	183	1	replace	    double  b  =  function.value(a);		non-compiled	[CE]  variable  b  is  already  defined  in  method  bracket(UnivariateRealFunction,double,double,double,int)	14	None	add
94	[BUG]  [BUGGY]    double  fa  =  function.value(a);  [CE]  variable  fa  is  already  defined  in  method  bracket(UnivariateRealFunction,double,double,double,int)  [CONTEXT]  if  (maximumIterations  <=  0){  throw  MathRuntimeException.createIllegalArgumentException(   "bad  value  for  maximum  iterations  number:  {0} ",  maximumIterations);  }  if  (initial  <  lowerBound  ||  initial  >  upperBound  ||  lowerBound  >=  upperBound)  {  throw  MathRuntimeException.createIllegalArgumentException(   "invalid  bracketing  parameters:lower  bound={0},initial={1},  upper  bound={2} ",  lowerBound,  initial,  upperBound);  }  double  a  =  initial;  [BUGGY]    double  fa  =  function.value(a);  [BUGGY]  double  b  =  initial;  double  fa;  double  fb;  int  numIterations  =  0  ;  do  {  a  =  Math.max(a  -  1.0,  lowerBound);  b  =  Math.min(b  +  1.0,  upperBound);  fa  =  function.value(a);  fb  =  function.value(b);  [CLASS]  UnivariateRealSolverUtils  LazyHolder  [METHOD]  bracket  [RETURN_TYPE]  double[]  UnivariateRealFunction  function  double  initial  double  lowerBound  double  upperBound  int  maximumIterations  [VARIABLES]  UnivariateRealSolverFactory  FACTORY  UnivariateRealFunction  function  boolean  double  a  b  fa  fb  initial  lowerBound  upperBound  int  maximumIterations  numIterations  	projects/Math85/src/java/org/apache/commons/math/analysis/solvers/UnivariateRealSolverUtils.java	0.7071067811865475	183	183	1	replace	    double  fa  =  function.value(a);		non-compiled	[CE]  variable  fa  is  already  defined  in  method  bracket(UnivariateRealFunction,double,double,double,int)	14	None	add
95	[BUG]  [BUGGY]    double  b  =  upperBound;  [CE]  variable  b  is  already  defined  in  method  bracket(UnivariateRealFunction,double,double,double,int)  [CONTEXT]  if  (maximumIterations  <=  0){  throw  MathRuntimeException.createIllegalArgumentException(   "bad  value  for  maximum  iterations  number:  {0} ",  maximumIterations);  }  if  (initial  <  lowerBound  ||  initial  >  upperBound  ||  lowerBound  >=  upperBound)  {  throw  MathRuntimeException.createIllegalArgumentException(   "invalid  bracketing  parameters:lower  bound={0},initial={1},  upper  bound={2} ",  lowerBound,  initial,  upperBound);  }  double  a  =  initial;  [BUGGY]    double  b  =  upperBound;  [BUGGY]  double  b  =  initial;  double  fa;  double  fb;  int  numIterations  =  0  ;  do  {  a  =  Math.max(a  -  1.0,  lowerBound);  b  =  Math.min(b  +  1.0,  upperBound);  fa  =  function.value(a);  fb  =  function.value(b);  [CLASS]  UnivariateRealSolverUtils  LazyHolder  [METHOD]  bracket  [RETURN_TYPE]  double[]  UnivariateRealFunction  function  double  initial  double  lowerBound  double  upperBound  int  maximumIterations  [VARIABLES]  UnivariateRealSolverFactory  FACTORY  UnivariateRealFunction  function  boolean  double  a  b  fa  fb  initial  lowerBound  upperBound  int  maximumIterations  numIterations  	projects/Math85/src/java/org/apache/commons/math/analysis/solvers/UnivariateRealSolverUtils.java	0.7071067811865475	183	183	1	replace	    double  b  =  upperBound;		non-compiled	[CE]  variable  b  is  already  defined  in  method  bracket(UnivariateRealFunction,double,double,double,int)	14	None	add
104	[BUG]  [BUGGY]  [FE]  MathException  testMath280  [CONTEXT]  }  if  (maximumIterations  <=  0){  throw  MathRuntimeException.createIllegalArgumentException(   "bad  value  for  maximum  iterations  number:  {0} ",  maximumIterations);  }  if  (initial  <  lowerBound  ||  initial  >  upperBound  ||  lowerBound  >=  upperBound)  {  throw  MathRuntimeException.createIllegalArgumentException(   "invalid  bracketing  parameters:lower  bound={0},initial={1},  upper  bound={2} ",  lowerBound,  initial,  upperBound);  }  [BUGGY]  double  a  =  initial  +  1;  [BUGGY]  double  b  =  initial;  double  fa;  double  fb;  int  numIterations  =  0  ;  do  {  a  =  Math.max(a  -  1.0,  lowerBound);  b  =  Math.min(b  +  1.0,  upperBound);  fa  =  function.value(a);  [CLASS]  UnivariateRealSolverUtils  LazyHolder  [METHOD]  bracket  [RETURN_TYPE]  double[]  UnivariateRealFunction  function  double  initial  double  lowerBound  double  upperBound  int  maximumIterations  [VARIABLES]  UnivariateRealSolverFactory  FACTORY  UnivariateRealFunction  function  boolean  double  a  b  fa  fb  initial  lowerBound  upperBound  int  maximumIterations  numIterations  	projects/Math85/src/java/org/apache/commons/math/analysis/solvers/UnivariateRealSolverUtils.java	0.7071067811865475	182	182	1	add	double  a  =  initial  +  1;	double  a  =  initial;  	compilable	  [FE]  MathException  testMath280	11	1
105	[BUG]  [BUGGY]  double  a  =  initial  +  1;  [FE]  MathException  testMath280  [CONTEXT]  }  if  (maximumIterations  <=  0){  throw  MathRuntimeException.createIllegalArgumentException(   "bad  value  for  maximum  iterations  number:  {0} ",  maximumIterations);  }  if  (initial  <  lowerBound  ||  initial  >  upperBound  ||  lowerBound  >=  upperBound)  {  throw  MathRuntimeException.createIllegalArgumentException(   "invalid  bracketing  parameters:lower  bound={0},initial={1},  upper  bound={2} ",  lowerBound,  initial,  upperBound);  }  [BUGGY]  double  a  =  initial  +  1;  [BUGGY]  double  b  =  initial;  double  fa;  double  fb;  int  numIterations  =  0  ;  do  {  a  =  Math.max(a  -  1.0,  lowerBound);  b  =  Math.min(b  +  1.0,  upperBound);  fa  =  function.value(a);  [CLASS]  UnivariateRealSolverUtils  LazyHolder  [METHOD]  bracket  [RETURN_TYPE]  double[]  UnivariateRealFunction  function  double  initial  double  lowerBound  double  upperBound  int  maximumIterations  [VARIABLES]  UnivariateRealSolverFactory  FACTORY  UnivariateRealFunction  function  boolean  double  a  b  fa  fb  initial  lowerBound  upperBound  int  maximumIterations  numIterations  	projects/Math85/src/java/org/apache/commons/math/analysis/solvers/UnivariateRealSolverUtils.java	0.7071067811865475	182	182	1	replace	double  a  =  initial  +  1;	double  a  =  initial;  	compilable	  [FE]  MathException  testMath280	11	1	replace
105	[BUG]  [BUGGY]    [CE]  cannot  find  symbol  a  [CONTEXT]  }  if  (maximumIterations  <=  0){  throw  MathRuntimeException.createIllegalArgumentException(   "bad  value  for  maximum  iterations  number:  {0} ",  maximumIterations);  }  if  (initial  <  lowerBound  ||  initial  >  upperBound  ||  lowerBound  >=  upperBound)  {  throw  MathRuntimeException.createIllegalArgumentException(   "invalid  bracketing  parameters:lower  bound={0},initial={1},  upper  bound={2} ",  lowerBound,  initial,  upperBound);  }  [BUGGY]    [BUGGY]  double  b  =  initial;  double  fa;  double  fb;  int  numIterations  =  0  ;  do  {  a  =  Math.max(a  -  1.0,  lowerBound);  b  =  Math.min(b  +  1.0,  upperBound);  fa  =  function.value(a);  [CLASS]  UnivariateRealSolverUtils  LazyHolder  [METHOD]  bracket  [RETURN_TYPE]  double[]  UnivariateRealFunction  function  double  initial  double  lowerBound  double  upperBound  int  maximumIterations  [VARIABLES]  UnivariateRealSolverFactory  FACTORY  UnivariateRealFunction  function  boolean  double  a  b  fa  fb  initial  lowerBound  upperBound  int  maximumIterations  numIterations  	projects/Math85/src/java/org/apache/commons/math/analysis/solvers/UnivariateRealSolverUtils.java	0.7071067811865475	182	182	1	replace	  	double  a  =  initial;  	non-compiled	[CE]  cannot  find  symbol  a	11	None	replace
111	[BUG]  [BUGGY]  [FE]  MathException  testMath280  [CONTEXT]  a  =  Math.max(a  -  1.0,  lowerBound);  b  =  Math.min(b  +  1.0,  upperBound);  fa  =  function.value(a);  fb  =  function.value(b);  numIterations++  ;  }  while  ((fa  *  fb  >  0.0)  &&  (numIterations  <  maximumIterations)  &&  ((a  >  lowerBound)  ||  (b  <  upperBound)));  if  (fa  *  fb  >=  0.0  )  {  [BUGGY]    numIterations  +=  Math.max(a  -  1.0,  lowerBound);  b  =  Math.min(b  -  1.0,  upperBound);  [BUGGY]  throw  new  ConvergenceException(       "number  of  iterations={0},  maximum  iterations={1},   "  +             "initial={2},  lower  bound={3},  upper  bound={4},  final  a  value={5},   "  +   "number  of  iterations={0},  maximum  iterations={1},   "  +   "initial={2},  lower  bound={3},  upper  bound={4},  final  a  value={5},   "  +   "final  b  value={6},  f(a)={7},  f(b)={8} ",  numIterations,  maximumIterations,  initial,  lowerBound,  upperBound,  a,  b,  fa,  fb);  }  return  new  double[]{a,  b};  }  [CLASS]  UnivariateRealSolverUtils  LazyHolder  [METHOD]  bracket  [RETURN_TYPE]  double[]  UnivariateRealFunction  function  double  initial  double  lowerBound  double  upperBound  int  maximumIterations  [VARIABLES]  UnivariateRealSolverFactory  FACTORY  UnivariateRealFunction  function  boolean  double  a  b  fa  fb  initial  lowerBound  upperBound  int  maximumIterations  numIterations  	projects/Math85/src/java/org/apache/commons/math/analysis/solvers/UnivariateRealSolverUtils.java	1.0	199	201	1	add	    numIterations  +=  Math.max(a  -  1.0,  lowerBound);  b  =  Math.min(b  -  1.0,  upperBound);		compilable	  [FE]  MathException  testMath280	2	1
112	[BUG]  [BUGGY]    numIterations  +=  Math.max(a  -  1.0,  lowerBound);  b  =  Math.min(b  -  1.0,  upperBound);  [FE]  MathException  testMath280  [CONTEXT]  a  =  Math.max(a  -  1.0,  lowerBound);  b  =  Math.min(b  +  1.0,  upperBound);  fa  =  function.value(a);  fb  =  function.value(b);  numIterations++  ;  }  while  ((fa  *  fb  >  0.0)  &&  (numIterations  <  maximumIterations)  &&  ((a  >  lowerBound)  ||  (b  <  upperBound)));  if  (fa  *  fb  >=  0.0  )  {  [BUGGY]    numIterations  +=  Math.max(a  -  1.0,  lowerBound);  b  =  Math.min(b  -  1.0,  upperBound);  [BUGGY]  throw  new  ConvergenceException(       "number  of  iterations={0},  maximum  iterations={1},   "  +             "initial={2},  lower  bound={3},  upper  bound={4},  final  a  value={5},   "  +   "number  of  iterations={0},  maximum  iterations={1},   "  +   "initial={2},  lower  bound={3},  upper  bound={4},  final  a  value={5},   "  +   "final  b  value={6},  f(a)={7},  f(b)={8} ",  numIterations,  maximumIterations,  initial,  lowerBound,  upperBound,  a,  b,  fa,  fb);  }  return  new  double[]{a,  b};  }  [CLASS]  UnivariateRealSolverUtils  LazyHolder  [METHOD]  bracket  [RETURN_TYPE]  double[]  UnivariateRealFunction  function  double  initial  double  lowerBound  double  upperBound  int  maximumIterations  [VARIABLES]  UnivariateRealSolverFactory  FACTORY  UnivariateRealFunction  function  boolean  double  a  b  fa  fb  initial  lowerBound  upperBound  int  maximumIterations  numIterations  	projects/Math85/src/java/org/apache/commons/math/analysis/solvers/UnivariateRealSolverUtils.java	1.0	199	201	1	replace	    numIterations  +=  Math.max(a  -  1.0,  lowerBound);  b  =  Math.min(b  -  1.0,  upperBound);		compilable	  [FE]  MathException  testMath280	2	1	add
112	[BUG]  [BUGGY]  [FE]  MathException  testMath280  [CONTEXT]  a  =  Math.max(a  -  1.0,  lowerBound);  b  =  Math.min(b  +  1.0,  upperBound);  fa  =  function.value(a);  fb  =  function.value(b);  numIterations++  ;  }  while  ((fa  *  fb  >  0.0)  &&  (numIterations  <  maximumIterations)  &&  ((a  >  lowerBound)  ||  (b  <  upperBound)));  if  (fa  *  fb  >=  0.0  )  {  [BUGGY]    numIterations++;  [BUGGY]  throw  new  ConvergenceException(       "number  of  iterations={0},  maximum  iterations={1},   "  +             "initial={2},  lower  bound={3},  upper  bound={4},  final  a  value={5},   "  +   "number  of  iterations={0},  maximum  iterations={1},   "  +   "initial={2},  lower  bound={3},  upper  bound={4},  final  a  value={5},   "  +   "final  b  value={6},  f(a)={7},  f(b)={8} ",  numIterations,  maximumIterations,  initial,  lowerBound,  upperBound,  a,  b,  fa,  fb);  }  return  new  double[]{a,  b};  }  [CLASS]  UnivariateRealSolverUtils  LazyHolder  [METHOD]  bracket  [RETURN_TYPE]  double[]  UnivariateRealFunction  function  double  initial  double  lowerBound  double  upperBound  int  maximumIterations  [VARIABLES]  UnivariateRealSolverFactory  FACTORY  UnivariateRealFunction  function  boolean  double  a  b  fa  fb  initial  lowerBound  upperBound  int  maximumIterations  numIterations  	projects/Math85/src/java/org/apache/commons/math/analysis/solvers/UnivariateRealSolverUtils.java	1.0	199	201	1	add	    numIterations++;		compilable	  [FE]  MathException  testMath280	2	1
113	[BUG]  [BUGGY]    numIterations++;  [FE]  MathException  testMath280  [CONTEXT]  a  =  Math.max(a  -  1.0,  lowerBound);  b  =  Math.min(b  +  1.0,  upperBound);  fa  =  function.value(a);  fb  =  function.value(b);  numIterations++  ;  }  while  ((fa  *  fb  >  0.0)  &&  (numIterations  <  maximumIterations)  &&  ((a  >  lowerBound)  ||  (b  <  upperBound)));  if  (fa  *  fb  >=  0.0  )  {  [BUGGY]    numIterations++;  [BUGGY]  throw  new  ConvergenceException(       "number  of  iterations={0},  maximum  iterations={1},   "  +             "initial={2},  lower  bound={3},  upper  bound={4},  final  a  value={5},   "  +   "number  of  iterations={0},  maximum  iterations={1},   "  +   "initial={2},  lower  bound={3},  upper  bound={4},  final  a  value={5},   "  +   "final  b  value={6},  f(a)={7},  f(b)={8} ",  numIterations,  maximumIterations,  initial,  lowerBound,  upperBound,  a,  b,  fa,  fb);  }  return  new  double[]{a,  b};  }  [CLASS]  UnivariateRealSolverUtils  LazyHolder  [METHOD]  bracket  [RETURN_TYPE]  double[]  UnivariateRealFunction  function  double  initial  double  lowerBound  double  upperBound  int  maximumIterations  [VARIABLES]  UnivariateRealSolverFactory  FACTORY  UnivariateRealFunction  function  boolean  double  a  b  fa  fb  initial  lowerBound  upperBound  int  maximumIterations  numIterations  	projects/Math85/src/java/org/apache/commons/math/analysis/solvers/UnivariateRealSolverUtils.java	1.0	199	201	1	replace	    numIterations++;		compilable	  [FE]  MathException  testMath280	2	1	add
113	[BUG]  [BUGGY]    numIterations  =  Math.max(a  -  1.0,  lowerBound);  b  =  Math.min(b  -  1.0,  upperBound);  [CE]  possible  loss  of  precision  [CONTEXT]  a  =  Math.max(a  -  1.0,  lowerBound);  b  =  Math.min(b  +  1.0,  upperBound);  fa  =  function.value(a);  fb  =  function.value(b);  numIterations++  ;  }  while  ((fa  *  fb  >  0.0)  &&  (numIterations  <  maximumIterations)  &&  ((a  >  lowerBound)  ||  (b  <  upperBound)));  if  (fa  *  fb  >=  0.0  )  {  [BUGGY]    numIterations  =  Math.max(a  -  1.0,  lowerBound);  b  =  Math.min(b  -  1.0,  upperBound);  [BUGGY]  throw  new  ConvergenceException(       "number  of  iterations={0},  maximum  iterations={1},   "  +             "initial={2},  lower  bound={3},  upper  bound={4},  final  a  value={5},   "  +   "number  of  iterations={0},  maximum  iterations={1},   "  +   "initial={2},  lower  bound={3},  upper  bound={4},  final  a  value={5},   "  +   "final  b  value={6},  f(a)={7},  f(b)={8} ",  numIterations,  maximumIterations,  initial,  lowerBound,  upperBound,  a,  b,  fa,  fb);  }  return  new  double[]{a,  b};  }  [CLASS]  UnivariateRealSolverUtils  LazyHolder  [METHOD]  bracket  [RETURN_TYPE]  double[]  UnivariateRealFunction  function  double  initial  double  lowerBound  double  upperBound  int  maximumIterations  [VARIABLES]  UnivariateRealSolverFactory  FACTORY  UnivariateRealFunction  function  boolean  double  a  b  fa  fb  initial  lowerBound  upperBound  int  maximumIterations  numIterations  	projects/Math85/src/java/org/apache/commons/math/analysis/solvers/UnivariateRealSolverUtils.java	1.0	199	201	1	replace	    numIterations  =  Math.max(a  -  1.0,  lowerBound);  b  =  Math.min(b  -  1.0,  upperBound);		non-compiled	[CE]  possible  loss  of  precision	2	None	add
114	[BUG]  [BUGGY]    numIterations  =  Math.max(a  -  1.0,  lowerBound);  b  -  1.0,  upperBound;  [CE]  not  a  statement  [CONTEXT]  a  =  Math.max(a  -  1.0,  lowerBound);  b  =  Math.min(b  +  1.0,  upperBound);  fa  =  function.value(a);  fb  =  function.value(b);  numIterations++  ;  }  while  ((fa  *  fb  >  0.0)  &&  (numIterations  <  maximumIterations)  &&  ((a  >  lowerBound)  ||  (b  <  upperBound)));  if  (fa  *  fb  >=  0.0  )  {  [BUGGY]    numIterations  =  Math.max(a  -  1.0,  lowerBound);  b  -  1.0,  upperBound;  [BUGGY]  throw  new  ConvergenceException(       "number  of  iterations={0},  maximum  iterations={1},   "  +             "initial={2},  lower  bound={3},  upper  bound={4},  final  a  value={5},   "  +   "number  of  iterations={0},  maximum  iterations={1},   "  +   "initial={2},  lower  bound={3},  upper  bound={4},  final  a  value={5},   "  +   "final  b  value={6},  f(a)={7},  f(b)={8} ",  numIterations,  maximumIterations,  initial,  lowerBound,  upperBound,  a,  b,  fa,  fb);  }  return  new  double[]{a,  b};  }  [CLASS]  UnivariateRealSolverUtils  LazyHolder  [METHOD]  bracket  [RETURN_TYPE]  double[]  UnivariateRealFunction  function  double  initial  double  lowerBound  double  upperBound  int  maximumIterations  [VARIABLES]  UnivariateRealSolverFactory  FACTORY  UnivariateRealFunction  function  boolean  double  a  b  fa  fb  initial  lowerBound  upperBound  int  maximumIterations  numIterations  	projects/Math85/src/java/org/apache/commons/math/analysis/solvers/UnivariateRealSolverUtils.java	1.0	199	201	1	replace	    numIterations  =  Math.max(a  -  1.0,  lowerBound);  b  -  1.0,  upperBound;		non-compiled	[CE]  not  a  statement	2	None	add
115	[BUG]  [BUGGY]    numIterations  =  Math.max(a,  b);  [CE]  possible  loss  of  precision  [CONTEXT]  a  =  Math.max(a  -  1.0,  lowerBound);  b  =  Math.min(b  +  1.0,  upperBound);  fa  =  function.value(a);  fb  =  function.value(b);  numIterations++  ;  }  while  ((fa  *  fb  >  0.0)  &&  (numIterations  <  maximumIterations)  &&  ((a  >  lowerBound)  ||  (b  <  upperBound)));  if  (fa  *  fb  >=  0.0  )  {  [BUGGY]    numIterations  =  Math.max(a,  b);  [BUGGY]  throw  new  ConvergenceException(       "number  of  iterations={0},  maximum  iterations={1},   "  +             "initial={2},  lower  bound={3},  upper  bound={4},  final  a  value={5},   "  +   "number  of  iterations={0},  maximum  iterations={1},   "  +   "initial={2},  lower  bound={3},  upper  bound={4},  final  a  value={5},   "  +   "final  b  value={6},  f(a)={7},  f(b)={8} ",  numIterations,  maximumIterations,  initial,  lowerBound,  upperBound,  a,  b,  fa,  fb);  }  return  new  double[]{a,  b};  }  [CLASS]  UnivariateRealSolverUtils  LazyHolder  [METHOD]  bracket  [RETURN_TYPE]  double[]  UnivariateRealFunction  function  double  initial  double  lowerBound  double  upperBound  int  maximumIterations  [VARIABLES]  UnivariateRealSolverFactory  FACTORY  UnivariateRealFunction  function  boolean  double  a  b  fa  fb  initial  lowerBound  upperBound  int  maximumIterations  numIterations  	projects/Math85/src/java/org/apache/commons/math/analysis/solvers/UnivariateRealSolverUtils.java	1.0	199	201	1	replace	    numIterations  =  Math.max(a,  b);		non-compiled	[CE]  possible  loss  of  precision	2	None	add
121	[BUG]  [BUGGY]    if(initial  <  lowerBound  ||  initial  >  upperBound  ||  lowerBound  >=  upperBound)  {  if(maximumIterations  >  0)  {  throw  MathRuntimeException.createIllegalArgumentException( " ");  }  [CE]  illegal  start  of  expression  [CONTEXT]  FunctionEvaluationException  {  if  (function  ==  null)  {  throw  MathRuntimeException.createIllegalArgumentException( "function  is  null ");  }  [BUGGY]    if(initial  <  lowerBound  ||  initial  >  upperBound  ||  lowerBound  >=  upperBound)  {  if(maximumIterations  >  0)  {  throw  MathRuntimeException.createIllegalArgumentException( " ");  }  [BUGGY]  if  (maximumIterations  <=  0){  throw  MathRuntimeException.createIllegalArgumentException(   "bad  value  for  maximum  iterations  number:  {0} ",  maximumIterations);  }  if  (initial  <  lowerBound  ||  initial  >  upperBound  ||  lowerBound  >=  upperBound)  {  throw  MathRuntimeException.createIllegalArgumentException(   "invalid  bracketing  parameters:lower  bound={0},initial={1},  upper  bound={2} ",  lowerBound,  initial,  upperBound);  }  double  a  =  initial;  double  b  =  initial;  [CLASS]  UnivariateRealSolverUtils  LazyHolder  [METHOD]  bracket  [RETURN_TYPE]  double[]  UnivariateRealFunction  function  double  initial  double  lowerBound  double  upperBound  int  maximumIterations  [VARIABLES]  UnivariateRealSolverFactory  FACTORY  UnivariateRealFunction  function  boolean  double  a  b  fa  fb  initial  lowerBound  upperBound  int  maximumIterations  numIterations  	projects/Math85/src/java/org/apache/commons/math/analysis/solvers/UnivariateRealSolverUtils.java	0.7071067811865475	173	173	1	replace	    if(initial  <  lowerBound  ||  initial  >  upperBound  ||  lowerBound  >=  upperBound)  {  if(maximumIterations  >  0)  {  throw  MathRuntimeException.createIllegalArgumentException( " ");  }		non-compiled	[CE]  illegal  start  of  expression	8	None	add
122	[BUG]  [BUGGY]    if(initial  <  lowerBound  ||  initial  >  upperBound  ||  lowerBound  >=  upperBound)  {  if(maximumIterations  <=  0)  {  throw  MathRuntimeException.createIllegalArgumentException( " ");  }  [CE]  illegal  start  of  expression  [CONTEXT]  FunctionEvaluationException  {  if  (function  ==  null)  {  throw  MathRuntimeException.createIllegalArgumentException( "function  is  null ");  }  [BUGGY]    if(initial  <  lowerBound  ||  initial  >  upperBound  ||  lowerBound  >=  upperBound)  {  if(maximumIterations  <=  0)  {  throw  MathRuntimeException.createIllegalArgumentException( " ");  }  [BUGGY]  if  (maximumIterations  <=  0){  throw  MathRuntimeException.createIllegalArgumentException(   "bad  value  for  maximum  iterations  number:  {0} ",  maximumIterations);  }  if  (initial  <  lowerBound  ||  initial  >  upperBound  ||  lowerBound  >=  upperBound)  {  throw  MathRuntimeException.createIllegalArgumentException(   "invalid  bracketing  parameters:lower  bound={0},initial={1},  upper  bound={2} ",  lowerBound,  initial,  upperBound);  }  double  a  =  initial;  double  b  =  initial;  [CLASS]  UnivariateRealSolverUtils  LazyHolder  [METHOD]  bracket  [RETURN_TYPE]  double[]  UnivariateRealFunction  function  double  initial  double  lowerBound  double  upperBound  int  maximumIterations  [VARIABLES]  UnivariateRealSolverFactory  FACTORY  UnivariateRealFunction  function  boolean  double  a  b  fa  fb  initial  lowerBound  upperBound  int  maximumIterations  numIterations  	projects/Math85/src/java/org/apache/commons/math/analysis/solvers/UnivariateRealSolverUtils.java	0.7071067811865475	173	173	1	replace	    if(initial  <  lowerBound  ||  initial  >  upperBound  ||  lowerBound  >=  upperBound)  {  if(maximumIterations  <=  0)  {  throw  MathRuntimeException.createIllegalArgumentException( " ");  }		non-compiled	[CE]  illegal  start  of  expression	8	None	add
123	[BUG]  [BUGGY]    int  maximumIterations  =  Math.max(initial,  lowerBound,  initial,  upperBound);  [CE]  variable  maximumIterations  is  already  defined  in  method  bracket(UnivariateRealFunction,double,double,double,int)  [CONTEXT]  FunctionEvaluationException  {  if  (function  ==  null)  {  throw  MathRuntimeException.createIllegalArgumentException( "function  is  null ");  }  [BUGGY]    int  maximumIterations  =  Math.max(initial,  lowerBound,  initial,  upperBound);  [BUGGY]  if  (maximumIterations  <=  0){  throw  MathRuntimeException.createIllegalArgumentException(   "bad  value  for  maximum  iterations  number:  {0} ",  maximumIterations);  }  if  (initial  <  lowerBound  ||  initial  >  upperBound  ||  lowerBound  >=  upperBound)  {  throw  MathRuntimeException.createIllegalArgumentException(   "invalid  bracketing  parameters:lower  bound={0},initial={1},  upper  bound={2} ",  lowerBound,  initial,  upperBound);  }  double  a  =  initial;  double  b  =  initial;  [CLASS]  UnivariateRealSolverUtils  LazyHolder  [METHOD]  bracket  [RETURN_TYPE]  double[]  UnivariateRealFunction  function  double  initial  double  lowerBound  double  upperBound  int  maximumIterations  [VARIABLES]  UnivariateRealSolverFactory  FACTORY  UnivariateRealFunction  function  boolean  double  a  b  fa  fb  initial  lowerBound  upperBound  int  maximumIterations  numIterations  	projects/Math85/src/java/org/apache/commons/math/analysis/solvers/UnivariateRealSolverUtils.java	0.7071067811865475	173	173	1	replace	    int  maximumIterations  =  Math.max(initial,  lowerBound,  initial,  upperBound);		non-compiled	[CE]  variable  maximumIterations  is  already  defined  in  method  bracket(UnivariateRealFunction,double,double,double,int)	8	None	add
