bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
this_action1	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testPcts  [CONTEXT]  }  }  catch  (ClassCastException  ex)  {  return  result;  //  v  is  not  comparable  }  if  (c.compare(v,  freqTable.firstKey())  <  0)  {  return  0;//  v  is  comparable,  but  less  than  first  value  }  if  (c.compare(v,  freqTable.lastKey())  >=  0)  {  [BUGGY]    result  +=  getCount(v);  [BUGGY]  return  getSumFreq();//  v  is  comparable,  but  greater  than  the  last  value  }  }  Iterator<Comparable<?>>  values  =  valuesIterator();  while  (values.hasNext())  {  Comparable<?>  nextValue  =  values.next();  if  (c.compare(v,  nextValue)  >  0)  {  result  +=  getCount(nextValue);  }  else  {  return  result;  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  getCumFreq  [RETURN_TYPE]  long  Comparable<?>  v  [VARIABLES]  Comparable  nextValue  v  boolean  ClassCastException  ex  Long  value  Iterator  values  TreeMap  freqTable  long  result  serialVersionUID  sumFreq  v  Comparator  c  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.5	408	409	1	add	    result  +=  getCount(v);		compilable	  [FE]  AssertionFailedError  testPcts	18	1
14	[BUG]  [BUGGY]    if(v  instanceof  Number)  {  long  result  =(Number)freqTable.get(v);  if(result  >  0)  {  return  getResult();  }  [CE]  illegal  start  of  expression  [CONTEXT]  public  double  getPct(Object  v)  {  [BUGGY]    if(v  instanceof  Number)  {  long  result  =(Number)freqTable.get(v);  if(result  >  0)  {  return  getResult();  }  [BUGGY]  return  getCumPct((Comparable<?>)  v);  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  getPct  [RETURN_TYPE]  double  Object  v  [VARIABLES]  Object  v  boolean  TreeMap  freqTable  long  result  serialVersionUID  v  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	1.0	303	303	1	replace	    if(v  instanceof  Number)  {  long  result  =(Number)freqTable.get(v);  if(result  >  0)  {  return  getResult();  }		non-compiled	[CE]  illegal  start  of  expression	2	None	add
15	[BUG]  [BUGGY]    if(v  instanceof  Number)  {  long  result  =(Number)freqTable.get(v);  if(result  >  0)  {  return  getPct(new  Long(v));  }  [CE]  illegal  start  of  expression  [CONTEXT]  public  double  getPct(Object  v)  {  [BUGGY]    if(v  instanceof  Number)  {  long  result  =(Number)freqTable.get(v);  if(result  >  0)  {  return  getPct(new  Long(v));  }  [BUGGY]  return  getCumPct((Comparable<?>)  v);  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  getPct  [RETURN_TYPE]  double  Object  v  [VARIABLES]  Object  v  boolean  TreeMap  freqTable  long  result  serialVersionUID  v  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	1.0	303	303	1	replace	    if(v  instanceof  Number)  {  long  result  =(Number)freqTable.get(v);  if(result  >  0)  {  return  getPct(new  Long(v));  }		non-compiled	[CE]  illegal  start  of  expression	2	None	add
21	[BUG]  [BUGGY]  return  0;//  v  is  comparable,  but  greater  than  the  last  value  &&  [CE]  illegal  start  of  expression  [CONTEXT]  }  }  catch  (ClassCastException  ex)  {  return  result;  //  v  is  not  comparable  }  if  (c.compare(v,  freqTable.firstKey())  <  0)  {  return  0;//  v  is  comparable,  but  less  than  first  value  }  if  (c.compare(v,  freqTable.lastKey())  >=  0)  {  [BUGGY]  return  0;//  v  is  comparable,  but  greater  than  the  last  value  &&  [BUGGY]  }  Iterator<Comparable<?>>  values  =  valuesIterator();  while  (values.hasNext())  {  Comparable<?>  nextValue  =  values.next();  if  (c.compare(v,  nextValue)  >  0)  {  result  +=  getCount(nextValue);  }  else  {  return  result;  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  getCumFreq  [RETURN_TYPE]  long  Comparable<?>  v  [VARIABLES]  Comparable  nextValue  v  boolean  ClassCastException  ex  Long  value  Iterator  values  TreeMap  freqTable  long  result  serialVersionUID  sumFreq  v  Comparator  c  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.5	408	409	1	replace	return  0;//  v  is  comparable,  but  greater  than  the  last  value  &&	return  getSumFreq();//  v  is  comparable,  but  greater  than  the  last  value  }  	non-compiled	[CE]  illegal  start  of  expression	17	None	replace
22	[BUG]  [BUGGY]  return  getSumFreq();//  v  is  comparable,  but  greater  than  first  value  }  [CE]  illegal  start  of  expression  [CONTEXT]  }  }  catch  (ClassCastException  ex)  {  return  result;  //  v  is  not  comparable  }  if  (c.compare(v,  freqTable.firstKey())  <  0)  {  return  0;//  v  is  comparable,  but  less  than  first  value  }  if  (c.compare(v,  freqTable.lastKey())  >=  0)  {  [BUGGY]  return  getSumFreq();//  v  is  comparable,  but  greater  than  first  value  }  [BUGGY]  }  Iterator<Comparable<?>>  values  =  valuesIterator();  while  (values.hasNext())  {  Comparable<?>  nextValue  =  values.next();  if  (c.compare(v,  nextValue)  >  0)  {  result  +=  getCount(nextValue);  }  else  {  return  result;  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  getCumFreq  [RETURN_TYPE]  long  Comparable<?>  v  [VARIABLES]  Comparable  nextValue  v  boolean  ClassCastException  ex  Long  value  Iterator  values  TreeMap  freqTable  long  result  serialVersionUID  sumFreq  v  Comparator  c  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.5	408	409	1	replace	return  getSumFreq();//  v  is  comparable,  but  greater  than  first  value  }	return  getSumFreq();//  v  is  comparable,  but  greater  than  the  last  value  }  	non-compiled	[CE]  illegal  start  of  expression	17	None	replace
23	[BUG]  [BUGGY]  return  getCumFreq();//  v  is  comparable,  but  greater  than  the  last  value  }  [CE]  illegal  start  of  expression  [CONTEXT]  }  }  catch  (ClassCastException  ex)  {  return  result;  //  v  is  not  comparable  }  if  (c.compare(v,  freqTable.firstKey())  <  0)  {  return  0;//  v  is  comparable,  but  less  than  first  value  }  if  (c.compare(v,  freqTable.lastKey())  >=  0)  {  [BUGGY]  return  getCumFreq();//  v  is  comparable,  but  greater  than  the  last  value  }  [BUGGY]  }  Iterator<Comparable<?>>  values  =  valuesIterator();  while  (values.hasNext())  {  Comparable<?>  nextValue  =  values.next();  if  (c.compare(v,  nextValue)  >  0)  {  result  +=  getCount(nextValue);  }  else  {  return  result;  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  getCumFreq  [RETURN_TYPE]  long  Comparable<?>  v  [VARIABLES]  Comparable  nextValue  v  boolean  ClassCastException  ex  Long  value  Iterator  values  TreeMap  freqTable  long  result  serialVersionUID  sumFreq  v  Comparator  c  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.5	408	409	1	replace	return  getCumFreq();//  v  is  comparable,  but  greater  than  the  last  value  }	return  getSumFreq();//  v  is  comparable,  but  greater  than  the  last  value  }  	non-compiled	[CE]  illegal  start  of  expression	17	None	replace
24	[BUG]  [BUGGY]  return  getSumFreq();//  v  is  comparable,  but  greater  than  the  first  value  &&  [CE]  illegal  start  of  expression  [CONTEXT]  }  }  catch  (ClassCastException  ex)  {  return  result;  //  v  is  not  comparable  }  if  (c.compare(v,  freqTable.firstKey())  <  0)  {  return  0;//  v  is  comparable,  but  less  than  first  value  }  if  (c.compare(v,  freqTable.lastKey())  >=  0)  {  [BUGGY]  return  getSumFreq();//  v  is  comparable,  but  greater  than  the  first  value  &&  [BUGGY]  }  Iterator<Comparable<?>>  values  =  valuesIterator();  while  (values.hasNext())  {  Comparable<?>  nextValue  =  values.next();  if  (c.compare(v,  nextValue)  >  0)  {  result  +=  getCount(nextValue);  }  else  {  return  result;  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  getCumFreq  [RETURN_TYPE]  long  Comparable<?>  v  [VARIABLES]  Comparable  nextValue  v  boolean  ClassCastException  ex  Long  value  Iterator  values  TreeMap  freqTable  long  result  serialVersionUID  sumFreq  v  Comparator  c  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.5	408	409	1	replace	return  getSumFreq();//  v  is  comparable,  but  greater  than  the  first  value  &&	return  getSumFreq();//  v  is  comparable,  but  greater  than  the  last  value  }  	non-compiled	[CE]  illegal  start  of  expression	17	None	replace
31	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testPcts  [CONTEXT]  public  double  getPct(long  v)  {  [BUGGY]    freqTable.put(v,  new  Long(v));  [BUGGY]  return  getPct(Long.valueOf(v));  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  getPct  [RETURN_TYPE]  double  long  v  [VARIABLES]  TreeMap  freqTable  long  result  serialVersionUID  sumFreq  v  boolean  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	1.0	342	342	1	add	    freqTable.put(v,  new  Long(v));		compilable	  [FE]  AssertionFailedError  testPcts	4	1
32	[BUG]  [BUGGY]    freqTable.put(v,  new  Long(v));  [FE]  AssertionFailedError  testPcts  [CONTEXT]  public  double  getPct(long  v)  {  [BUGGY]    freqTable.put(v,  new  Long(v));  [BUGGY]  return  getPct(Long.valueOf(v));  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  getPct  [RETURN_TYPE]  double  long  v  [VARIABLES]  TreeMap  freqTable  long  result  serialVersionUID  sumFreq  v  boolean  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	1.0	342	342	1	replace	    freqTable.put(v,  new  Long(v));		compilable	  [FE]  AssertionFailedError  testPcts	4	1	add
32	[BUG]  [BUGGY]    if(v  >  0)  {  long  result  =  getSumFreq();  if(v  <  sumFreq)  {  return  result;  }  [CE]  illegal  start  of  expression  [CONTEXT]  public  double  getPct(long  v)  {  [BUGGY]    if(v  >  0)  {  long  result  =  getSumFreq();  if(v  <  sumFreq)  {  return  result;  }  [BUGGY]  return  getPct(Long.valueOf(v));  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  getPct  [RETURN_TYPE]  double  long  v  [VARIABLES]  TreeMap  freqTable  long  result  serialVersionUID  sumFreq  v  boolean  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	1.0	342	342	1	replace	    if(v  >  0)  {  long  result  =  getSumFreq();  if(v  <  sumFreq)  {  return  result;  }		non-compiled	[CE]  illegal  start  of  expression	4	None	add
33	[BUG]  [BUGGY]    if(v  >  0)  {  long  result  =  getSumFreq().doubleValue();  if(v  <  sumFreq)  {  return  result;  }  [CE]  illegal  start  of  expression  [CONTEXT]  public  double  getPct(long  v)  {  [BUGGY]    if(v  >  0)  {  long  result  =  getSumFreq().doubleValue();  if(v  <  sumFreq)  {  return  result;  }  [BUGGY]  return  getPct(Long.valueOf(v));  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  getPct  [RETURN_TYPE]  double  long  v  [VARIABLES]  TreeMap  freqTable  long  result  serialVersionUID  sumFreq  v  boolean  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	1.0	342	342	1	replace	    if(v  >  0)  {  long  result  =  getSumFreq().doubleValue();  if(v  <  sumFreq)  {  return  result;  }		non-compiled	[CE]  illegal  start  of  expression	4	None	add
34	[BUG]  [BUGGY]    result  +=  Math.pow(10,  v);  [CE]  cannot  find  symbol  result  [CONTEXT]  public  double  getPct(long  v)  {  [BUGGY]    result  +=  Math.pow(10,  v);  [BUGGY]  return  getPct(Long.valueOf(v));  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  getPct  [RETURN_TYPE]  double  long  v  [VARIABLES]  TreeMap  freqTable  long  result  serialVersionUID  sumFreq  v  boolean  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	1.0	342	342	1	replace	    result  +=  Math.pow(10,  v);		non-compiled	[CE]  cannot  find  symbol  result	4	None	add
35	[BUG]  [BUGGY]    if(v  >  0)  {  long  result  =  getSumFreq().doubleValue();  if(v  <  null)  {  return  result;  }  [CE]  illegal  start  of  expression  [CONTEXT]  public  double  getPct(long  v)  {  [BUGGY]    if(v  >  0)  {  long  result  =  getSumFreq().doubleValue();  if(v  <  null)  {  return  result;  }  [BUGGY]  return  getPct(Long.valueOf(v));  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  getPct  [RETURN_TYPE]  double  long  v  [VARIABLES]  TreeMap  freqTable  long  result  serialVersionUID  sumFreq  v  boolean  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	1.0	342	342	1	replace	    if(v  >  0)  {  long  result  =  getSumFreq().doubleValue();  if(v  <  null)  {  return  result;  }		non-compiled	[CE]  illegal  start  of  expression	4	None	add
44	[BUG]  [BUGGY]  freqTable.put(obj,  Long.valueOf(count.longValue()  2));  [CE]  ')'  expected  [CONTEXT]  public  void  addValue(Comparable<?>  v){  Comparable<?>  obj  =  v;  if  (v  instanceof  Integer)  {  obj  =  Long.valueOf(((Integer)  v).longValue());  }  try  {  Long  count  =  freqTable.get(obj);  if  (count  ==  null)  {  freqTable.put(obj,  Long.valueOf(1));  }  else  {  [BUGGY]  freqTable.put(obj,  Long.valueOf(count.longValue()  2));  [BUGGY]  }  }  catch  (ClassCastException  ex)  {  throw  MathRuntimeException.createIllegalArgumentException(   "instance  of  class  {0}  not  comparable  to  existing  values ",  v.getClass().getName());  }  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  addValue  [RETURN_TYPE]  void  Comparable<?>  v  [VARIABLES]  Long  count  Comparable  obj  v  boolean  TreeMap  freqTable  long  serialVersionUID  ClassCastException  ex  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	0.4472135954999579	142	142	1	replace	freqTable.put(obj,  Long.valueOf(count.longValue()  2));	freqTable.put(obj,  Long.valueOf(count.longValue()  +  1));  	non-compiled	[CE]  ')'  expected	19	None	replace
52	[BUG]  [BUGGY]  return  getPct(Long.parseLong(v));  [CE]  no  suitable  method  found  for  parseLong(long)  [CONTEXT]  public  double  getPct(long  v)  {  [BUGGY]  return  getPct(Long.parseLong(v));  [BUGGY]  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  getPct  [RETURN_TYPE]  double  long  v  [VARIABLES]  TreeMap  freqTable  long  result  serialVersionUID  sumFreq  v  boolean  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	1.0	342	342	1	replace	return  getPct(Long.parseLong(v));	return  getPct(Long.valueOf(v));  	non-compiled	[CE]  no  suitable  method  found  for  parseLong(long)	3	None	replace
53	[BUG]  [BUGGY]  return  getPct(Long.toLongBits(v));  [CE]  cannot  find  symbol  [CONTEXT]  public  double  getPct(long  v)  {  [BUGGY]  return  getPct(Long.toLongBits(v));  [BUGGY]  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  getPct  [RETURN_TYPE]  double  long  v  [VARIABLES]  TreeMap  freqTable  long  result  serialVersionUID  sumFreq  v  boolean  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	1.0	342	342	1	replace	return  getPct(Long.toLongBits(v));	return  getPct(Long.valueOf(v));  	non-compiled	[CE]  cannot  find  symbol	3	None	replace
54	[BUG]  [BUGGY]  return  getPct(Long.get(v));  [CE]  cannot  find  symbol  [CONTEXT]  public  double  getPct(long  v)  {  [BUGGY]  return  getPct(Long.get(v));  [BUGGY]  }  [CLASS]  Frequency  NaturalComparator  [METHOD]  getPct  [RETURN_TYPE]  double  long  v  [VARIABLES]  TreeMap  freqTable  long  result  serialVersionUID  sumFreq  v  boolean  	projects/Math75/src/main/java/org/apache/commons/math/stat/Frequency.java	1.0	342	342	1	replace	return  getPct(Long.get(v));	return  getPct(Long.valueOf(v));  	non-compiled	[CE]  cannot  find  symbol	3	None	replace
