bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
this_action2	[BUG]  [BUGGY]  [FE]  NullPointerException  testMath369  [CONTEXT]    [BUGGY]  verifyInterval(min,max);  [BUGGY]  verifyInterval(min,max);  double  m;  double  fm;  double  fmin;  int  i  =  0;  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	79	79	1	add	verifyInterval(min,max);	clearResult();  	compilable	  [FE]  NullPointerException  testMath369	5	1
31	[BUG]  [BUGGY]    super();  [CE]  call  to  super  must  be  first  statement  in  constructor  [CONTEXT]    [BUGGY]    super();  [BUGGY]  }  [CLASS]  BisectionSolver  [METHOD]  <init>  [RETURN_TYPE]  BisectionSolver()  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.30151134457776363	53	53	1	replace	    super();		non-compiled	[CE]  call  to  super  must  be  first  statement  in  constructor	20	None	add
32	[BUG]  [BUGGY]    Preconditions.checkNotNull(BisectionSolver.size());  [CE]  cannot  find  symbol  [CONTEXT]    [BUGGY]    Preconditions.checkNotNull(BisectionSolver.size());  [BUGGY]  }  [CLASS]  BisectionSolver  [METHOD]  <init>  [RETURN_TYPE]  BisectionSolver()  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.30151134457776363	53	53	1	replace	    Preconditions.checkNotNull(BisectionSolver.size());		non-compiled	[CE]  cannot  find  symbol	20	None	add
33	[BUG]  [BUGGY]    Preconditions.checkNotNull(BisectionSolver.SIZE);  [CE]  cannot  find  symbol  SIZE  [CONTEXT]    [BUGGY]    Preconditions.checkNotNull(BisectionSolver.SIZE);  [BUGGY]  }  [CLASS]  BisectionSolver  [METHOD]  <init>  [RETURN_TYPE]  BisectionSolver()  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.30151134457776363	53	53	1	replace	    Preconditions.checkNotNull(BisectionSolver.SIZE);		non-compiled	[CE]  cannot  find  symbol  SIZE	20	None	add
34	[BUG]  [BUGGY]    Preconditions.checkNotNull(BisectionSolver.class);  [CE]  cannot  find  symbol  Preconditions  [CONTEXT]    [BUGGY]    Preconditions.checkNotNull(BisectionSolver.class);  [BUGGY]  }  [CLASS]  BisectionSolver  [METHOD]  <init>  [RETURN_TYPE]  BisectionSolver()  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.30151134457776363	53	53	1	replace	    Preconditions.checkNotNull(BisectionSolver.class);		non-compiled	[CE]  cannot  find  symbol  Preconditions	20	None	add
35	[BUG]  [BUGGY]    this(null,  null);  [CE]  call  to  this  must  be  first  statement  in  constructor  [CONTEXT]    [BUGGY]    this(null,  null);  [BUGGY]  }  [CLASS]  BisectionSolver  [METHOD]  <init>  [RETURN_TYPE]  BisectionSolver()  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.30151134457776363	53	53	1	replace	    this(null,  null);		non-compiled	[CE]  call  to  this  must  be  first  statement  in  constructor	20	None	add
41	[BUG]  [BUGGY]  double  i  =  0;  [CE]  no  suitable  method  found  for  setResult(double,double)  [CONTEXT]    [BUGGY]  double  i  =  0;  [BUGGY]  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	85	85	1	replace	double  i  =  0;	int  i  =  0;  	non-compiled	[CE]  no  suitable  method  found  for  setResult(double,double)	9	None	replace
42	[BUG]  [BUGGY]  [FE]  NullPointerException  testMath369  [CONTEXT]    [BUGGY]  int  i  =  1;  [BUGGY]  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	85	85	1	add	int  i  =  1;	int  i  =  0;  	compilable	  [FE]  NullPointerException  testMath369	9	1
43	[BUG]  [BUGGY]  int  i  =  1;  [FE]  NullPointerException  testMath369  [CONTEXT]    [BUGGY]  int  i  =  1;  [BUGGY]  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	85	85	1	replace	int  i  =  1;	int  i  =  0;  	compilable	  [FE]  NullPointerException  testMath369	9	1	replace
44	[BUG]  [BUGGY]  long  i  =  0;  [CE]  no  suitable  method  found  for  setResult(double,long)  [CONTEXT]    [BUGGY]  long  i  =  0;  [BUGGY]  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	85	85	1	replace	long  i  =  0;	int  i  =  0;  	non-compiled	[CE]  no  suitable  method  found  for  setResult(double,long)	9	None	replace
45	[BUG]  [BUGGY]    [CE]  cannot  find  symbol  i  [CONTEXT]    [BUGGY]    [BUGGY]  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	85	85	1	replace	  	int  i  =  0;  	non-compiled	[CE]  cannot  find  symbol  i	9	None	replace
51	[BUG]  [BUGGY]    double  min  =  UnivariateRealSolverUtils.midpoint(min,  max);  [CE]  variable  min  is  already  defined  in  method  solve(UnivariateRealFunction,double,double)  [CONTEXT]    [BUGGY]    double  min  =  UnivariateRealSolverUtils.midpoint(min,  max);  [BUGGY]  clearResult();  verifyInterval(min,max);  double  m;  double  fm;  double  fmin;  int  i  =  0;  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	79	79	1	replace	    double  min  =  UnivariateRealSolverUtils.midpoint(min,  max);		non-compiled	[CE]  variable  min  is  already  defined  in  method  solve(UnivariateRealFunction,double,double)	6	None	add
52	[BUG]  [BUGGY]    double  min  =  UnivariateRealSolverUtils.midpoint(min,  max);  fm  =  UnivariateRealSolverUtils.midpoint(min,  max);  [CE]  variable  min  is  already  defined  in  method  solve(UnivariateRealFunction,double,double)  [CONTEXT]    [BUGGY]    double  min  =  UnivariateRealSolverUtils.midpoint(min,  max);  fm  =  UnivariateRealSolverUtils.midpoint(min,  max);  [BUGGY]  clearResult();  verifyInterval(min,max);  double  m;  double  fm;  double  fmin;  int  i  =  0;  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	79	79	1	replace	    double  min  =  UnivariateRealSolverUtils.midpoint(min,  max);  fm  =  UnivariateRealSolverUtils.midpoint(min,  max);		non-compiled	[CE]  variable  min  is  already  defined  in  method  solve(UnivariateRealFunction,double,double)	6	None	add
54	[BUG]  [BUGGY]    min  =  UnivariateRealSolverUtils.midpoint(min,  max);  fm  =  UnivariateRealSolverUtils.midpoint(min,  max);  [CE]  cannot  find  symbol  fm  [CONTEXT]    [BUGGY]    min  =  UnivariateRealSolverUtils.midpoint(min,  max);  fm  =  UnivariateRealSolverUtils.midpoint(min,  max);  [BUGGY]  clearResult();  verifyInterval(min,max);  double  m;  double  fm;  double  fmin;  int  i  =  0;  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	79	79	1	replace	    min  =  UnivariateRealSolverUtils.midpoint(min,  max);  fm  =  UnivariateRealSolverUtils.midpoint(min,  max);		non-compiled	[CE]  cannot  find  symbol  fm	6	None	add
61	[BUG]  [BUGGY]    super();  [CE]  no  suitable  constructor  found  for  UnivariateRealSolverImpl()  [CONTEXT]    [BUGGY]    super();  [BUGGY]  super(100,  1E-6);  }  [CLASS]  BisectionSolver  [METHOD]  <init>  [RETURN_TYPE]  BisectionSolver()  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.30151134457776363	52	52	1	replace	    super();		non-compiled	[CE]  no  suitable  constructor  found  for  UnivariateRealSolverImpl()	18	None	add
62	[BUG]  [BUGGY]    Preconditions.checkNotNull(Math.PI);  [CE]  no  suitable  constructor  found  for  UnivariateRealSolverImpl()  [CONTEXT]    [BUGGY]    Preconditions.checkNotNull(Math.PI);  [BUGGY]  super(100,  1E-6);  }  [CLASS]  BisectionSolver  [METHOD]  <init>  [RETURN_TYPE]  BisectionSolver()  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.30151134457776363	52	52	1	replace	    Preconditions.checkNotNull(Math.PI);		non-compiled	[CE]  no  suitable  constructor  found  for  UnivariateRealSolverImpl()	18	None	add
63	[BUG]  [BUGGY]    Preconditions.checkNotNull(Math.pow(10,  1E-6));  [CE]  no  suitable  constructor  found  for  UnivariateRealSolverImpl()  [CONTEXT]    [BUGGY]    Preconditions.checkNotNull(Math.pow(10,  1E-6));  [BUGGY]  super(100,  1E-6);  }  [CLASS]  BisectionSolver  [METHOD]  <init>  [RETURN_TYPE]  BisectionSolver()  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.30151134457776363	52	52	1	replace	    Preconditions.checkNotNull(Math.pow(10,  1E-6));		non-compiled	[CE]  no  suitable  constructor  found  for  UnivariateRealSolverImpl()	18	None	add
64	[BUG]  [BUGGY]    Preconditions.checkNotNull(Math.pow(10,  1E-6),  true);  [CE]  no  suitable  constructor  found  for  UnivariateRealSolverImpl()  [CONTEXT]    [BUGGY]    Preconditions.checkNotNull(Math.pow(10,  1E-6),  true);  [BUGGY]  super(100,  1E-6);  }  [CLASS]  BisectionSolver  [METHOD]  <init>  [RETURN_TYPE]  BisectionSolver()  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.30151134457776363	52	52	1	replace	    Preconditions.checkNotNull(Math.pow(10,  1E-6),  true);		non-compiled	[CE]  no  suitable  constructor  found  for  UnivariateRealSolverImpl()	18	None	add
65	[BUG]  [BUGGY]    Preconditions.checkNotNull(Math.pow(10,  0));  [CE]  no  suitable  constructor  found  for  UnivariateRealSolverImpl()  [CONTEXT]    [BUGGY]    Preconditions.checkNotNull(Math.pow(10,  0));  [BUGGY]  super(100,  1E-6);  }  [CLASS]  BisectionSolver  [METHOD]  <init>  [RETURN_TYPE]  BisectionSolver()  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.30151134457776363	52	52	1	replace	    Preconditions.checkNotNull(Math.pow(10,  0));		non-compiled	[CE]  no  suitable  constructor  found  for  UnivariateRealSolverImpl()	18	None	add
71	[BUG]  [BUGGY]    i  =  UnivariateRealSolverUtils.midpoint(min,  max);  [CE]  possible  loss  of  precision  [CONTEXT]    [BUGGY]    i  =  UnivariateRealSolverUtils.midpoint(min,  max);  [BUGGY]  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  max  =  m;  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	86	86	1	replace	    i  =  UnivariateRealSolverUtils.midpoint(min,  max);		non-compiled	[CE]  possible  loss  of  precision	12	None	add
72	[BUG]  [BUGGY]    int  i  =  UnivariateRealSolverUtils.midpoint(min,  max);  [CE]  variable  i  is  already  defined  in  method  solve(UnivariateRealFunction,double,double)  [CONTEXT]    [BUGGY]    int  i  =  UnivariateRealSolverUtils.midpoint(min,  max);  [BUGGY]  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  max  =  m;  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	86	86	1	replace	    int  i  =  UnivariateRealSolverUtils.midpoint(min,  max);		non-compiled	[CE]  variable  i  is  already  defined  in  method  solve(UnivariateRealFunction,double,double)	12	None	add
73	[BUG]  [BUGGY]    double  min  =  UnivariateRealSolverUtils.midpoint(min,  max);  [CE]  variable  min  is  already  defined  in  method  solve(UnivariateRealFunction,double,double)  [CONTEXT]    [BUGGY]    double  min  =  UnivariateRealSolverUtils.midpoint(min,  max);  [BUGGY]  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  max  =  m;  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	86	86	1	replace	    double  min  =  UnivariateRealSolverUtils.midpoint(min,  max);		non-compiled	[CE]  variable  min  is  already  defined  in  method  solve(UnivariateRealFunction,double,double)	12	None	add
74	[BUG]  [BUGGY]    f  =  UnivariateRealSolverUtils.midpoint(min,  max);  [CE]  incompatible  types  [CONTEXT]    [BUGGY]    f  =  UnivariateRealSolverUtils.midpoint(min,  max);  [BUGGY]  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  max  =  m;  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	86	86	1	replace	    f  =  UnivariateRealSolverUtils.midpoint(min,  max);		non-compiled	[CE]  incompatible  types	12	None	add
75	[BUG]  [BUGGY]    solve(min,  max);  i  =  UnivariateRealSolverUtils.midpoint(min,  max);  [CE]  possible  loss  of  precision  [CONTEXT]    [BUGGY]    solve(min,  max);  i  =  UnivariateRealSolverUtils.midpoint(min,  max);  [BUGGY]  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  if  (fm  *  fmin  >  0.0)  {  min  =  m;  }  else  {  max  =  m;  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	86	86	1	replace	    solve(min,  max);  i  =  UnivariateRealSolverUtils.midpoint(min,  max);		non-compiled	[CE]  possible  loss  of  precision	12	None	add
81	[BUG]  [BUGGY]  [FE]  NullPointerException  testMath369  [CONTEXT]    [BUGGY]    solve(min,  max);  [BUGGY]  return  solve(min,  max);  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  double  initial  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	1.0	72	72	1	add	    solve(min,  max);		compilable	  [FE]  NullPointerException  testMath369	2	1
82	[BUG]  [BUGGY]    solve(min,  max);  [FE]  NullPointerException  testMath369  [CONTEXT]    [BUGGY]    solve(min,  max);  [BUGGY]  return  solve(min,  max);  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  double  initial  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	1.0	72	72	1	replace	    solve(min,  max);		compilable	  [FE]  NullPointerException  testMath369	2	1	add
82	[BUG]  [BUGGY]  [FE]  NullPointerException  testMath369  [CONTEXT]    [BUGGY]    initial  =  Math.min(min,  max);  initial  =  Math.max(initial,  max);  [BUGGY]  return  solve(min,  max);  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  double  initial  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	1.0	72	72	1	add	    initial  =  Math.min(min,  max);  initial  =  Math.max(initial,  max);		compilable	  [FE]  NullPointerException  testMath369	2	1
83	[BUG]  [BUGGY]    initial  =  Math.min(min,  max);  initial  =  Math.max(initial,  max);  [FE]  NullPointerException  testMath369  [CONTEXT]    [BUGGY]    initial  =  Math.min(min,  max);  initial  =  Math.max(initial,  max);  [BUGGY]  return  solve(min,  max);  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  double  initial  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	1.0	72	72	1	replace	    initial  =  Math.min(min,  max);  initial  =  Math.max(initial,  max);		compilable	  [FE]  NullPointerException  testMath369	2	1	add
83	[BUG]  [BUGGY]    double  min  =  Math.min(min,  max);  initial  =  Math.max(initial,  max);  [CE]  variable  min  is  already  defined  in  method  solve(UnivariateRealFunction,double,double,double)  [CONTEXT]    [BUGGY]    double  min  =  Math.min(min,  max);  initial  =  Math.max(initial,  max);  [BUGGY]  return  solve(min,  max);  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  double  initial  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	1.0	72	72	1	replace	    double  min  =  Math.min(min,  max);  initial  =  Math.max(initial,  max);		non-compiled	[CE]  variable  min  is  already  defined  in  method  solve(UnivariateRealFunction,double,double,double)	2	None	add
