projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.reportCodeChange();
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,n,UNSAFE_THIS));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(sourceName,n,UNSAFE_THIS,originalName,isQName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(sourceName,n,UNKNOWN_SIGNATURES,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,n,UNSAFE_NAMESPACE_WARNING));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,n,UNSAFE_THIS,NAMESPACE_REDEFINED_WARNING));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,n,UNSAFE_NAMESPACE_REDEFINED_WARNING));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(n,alias,NAMESPACE_REDEFINED_WARNING));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(sourceName,n,UNSAFE_NAMESPACE_WARNING,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(sourceName,n,UNSAFE_NAMESPACE_REDEFINED_WARNING,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(sourceName,n,NAMESPACE_REDEFINED_WARNING,alias));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430parser.report(JSError.make(sourceName,n,NAMESPACE_REDEFINED_WARNING,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(sourceName,n,UNKNOWN_SYNTHETIC_ERROR,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,n,NAMESPACE_REDEFINED_WARNING,UNSAFE_THIS));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,n,NAMESPACE_REDEFINED_WARNING,nameMap));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,n,INVALID_NAMESPACE_REDEFINED_WARNING,UNSAFE_THIS));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,n,NAMESPACE_REDEFINED_WARNING,true));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(compiler,n,NAMESPACE_REDEFINED_WARNING,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(compiler,n,UNSAFE_THIS,alias));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(compiler,alias,n,UNSAFE_THIS,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(compiler,n,UNKNOWN_SYNTHETIC_WARNING,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(compiler,n,UNKNOWN_SYNTHETIC_ERROR,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(compiler,n,UNKNOWN_SIGNATURES,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(compiler,n,UNKNOWN_EXTERN_WARNING,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430NodeUtil.copyNameAnnotations(n.getFirstChild(),originalName);parent.replaceChild(n,ref);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430NodeUtil.copyNameAnnotations(n.getFirstChild(),originalName);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430NodeUtil.copyNameAnnotations(n.getFirstChild(),originalName);compiler.reportCodeChange();
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430NodeUtil.copyNameAnnotations(n.getLastChild(),originalName);parent.replaceChild(n,ref);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430NodeUtil.copyNameAnnotations(parent.getFirstChild(),alias,originalName);parent.replaceChild(n,ref);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430NodeUtil.copyNameAnnotations(n.getLastChild(),originalName);compiler.reportCodeChange();
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430NodeUtil.copyNameAnnotations(parent.getFirstChild(),alias,originalName);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,NAMESPACE_REDEFINED_WARNING));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(n,UNSAFE_NAMESPACE_WARNING,alias));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(n,parent,NAMESPACE_REDEFINED_WARNING,alias));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(n,UNSAFE_NAMESPACE_REDEFINED_WARNING,alias));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430parser.report(JSError.make(n,NAMESPACE_REDEFINED_WARNING,alias));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(n,NAMESPACE_REDEFINED_WARNING,alias,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,n,INVALID_NAMESPACE_REDEFINED_WARNING,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,n,SHORT_NAMESPACE_REDEFINED_WARNING,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,n,parent,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,NAMESPACE_REDEFINED_WARNING,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,UNSAFE_THIS,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,originalName,UNSAFE_THIS));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,n));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,parent,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430parser.report(JSError.make(alias,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430NodeUtil.copyNameAnnotations(n.getFirstChild(),ref);parent.replaceChild(n,ref);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430NodeUtil.copyNameAnnotations(n.getFirstChild(),ref);compiler.reportCodeChange();
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430NodeUtil.copyNameAnnotations(n.getLastChild(),ref);parent.replaceChild(n,ref);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430NodeUtil.copyNameAnnotations(n.getFirstChild(),ref);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430NodeUtil.copyNameAnnotations(n.getLastChild(),ref);compiler.reportCodeChange();
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(compiler,n,UNSAFE_NAMESPACE_WARNING,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(compiler,n,UNSAFE_THIS,name));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(compiler,n,UNKNOWN_EXTERN_ERROR,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,ref,NAMESPACE_REDEFINED_WARNING));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(nameMap,n,NAMESPACE_REDEFINED_WARNING));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(n,alias,UNSAFE_NAMESPACE_WARNING));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(nameMap,n,NAMESPACE_REDEFINED_WARNING,alias));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(n,ref,alias));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,ref,NAMESPACE_REDEFINED_WARNING,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,n,UNKNOWN_SYNTHETIC_ERROR,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(n,alias,UNSAFE_NAMESPACE_WARNING,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,n,UNSAFE_THIS,name));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(sourceName,ref,UNSAFE_THIS,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(sourceName,n,UNSAFE_THIS,nameMap));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(sourceName,n,UNKNOWN_EXTERN_ERROR,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,originalName,NAMESPACE_REDEFINED_WARNING));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(nameMap,alias,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(sourceName,ref,NAMESPACE_REDEFINED_WARNING,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(sourceName,n,DEFAULT_NAMESPACE_WARNING,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,n,originalName,UNSAFE_THIS));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430writer.report(JSError.make(alias,n,NAMESPACE_REDEFINED_WARNING,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430parser.report(JSError.make(sourceName,n,UNSAFE_NAMESPACE_WARNING,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430Context.report(JSError.make(sourceName,n,NAMESPACE_REDEFINED_WARNING,alias));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430report(JSError.make(alias,n,NAMESPACE_REDEFINED_WARNING,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(nameMap,n,UNSAFE_THIS,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,n,UNKNOWN_EXTERNS_WARNING,UNSAFE_THIS));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,n,INVALID_NAMESPACE_WARNING,UNSAFE_THIS));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(sourceName,n,UNKNOWN_EXTERNS_WARNING,UNSAFE_THIS));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(sourceName,n,UNKNOWN_SYNTHETIC_WARNING,UNSAFE_THIS));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430NodeUtil.copyNameAnnotations(parent.getFirstChild(),n,originalName);parent.replaceChild(n,ref);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,n,UNSAFE_THIS,originalName),n);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,n,UNSAFE_THIS,originalName),n.getLastChild());
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430writer.report(JSError.make(alias,n,UNSAFE_NAMESPACE_WARNING));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430parser.report(JSError.make(alias,n,UNSAFE_NAMESPACE_WARNING));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430JSError.make(alias,n,NAMESPACE_REDEFINED_WARNING,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,n,UNKNOWN_EXTERNS_ERROR,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,n,UNKNOWN_EXTERNS_WARNING,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430parser.report(JSError.make(alias,n,UNSAFE_NAMESPACE_WARNING,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430Context.report(JSError.make(alias,n,UNSAFE_NAMESPACE_WARNING,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430Context.report(JSError.make(alias,n,NAMESPACE_REDEFINED_WARNING,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430writer.report(JSError.make(alias,NAMESPACE_REDEFINED_WARNING));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(sourceName,alias,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,ref.node,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,DN,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430report(JSError.make(nameMap,n,NAMESPACE_REDEFINED_WARNING,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430report(JSError.make(n,alias,NAMESPACE_REDEFINED_WARNING,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430report(JSError.make(alias,n,UNSAFE_NAMESPACE_REDEFINED_WARNING,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430report(JSError.make(alias,n,UNKNOWN_SYNTHETIC_WARNING,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430Reporter.make(nameMap,n,NAMESPACE_REDEFINED_WARNING,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,parent,NAMESPACE_REDEFINED_WARNING));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,parent,NAMESPACE_REDEFINED_WARNING,n));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(n,parent,UNSAFE_NAMESPACE_WARNING,alias));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(n,parent,alias,UNSAFE_NAMESPACE_REDEFINED_WARNING));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(n,parent,UNSAFE_NAMESPACE_REDEFINED_WARNING,alias));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(n,parent,alias,NAMESPACE_REDEFINED_WARNING));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,n,NAMESPACE_REDEFINED_WARNING,parent));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(n,alias,NAMESPACE_REDEFINED_WARNING,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,ref,UNSAFE_NAMESPACE_WARNING,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(n,alias,UNSAFE_THIS,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430parser.report(JSError.make(n,alias,NAMESPACE_REDEFINED_WARNING,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(sourceName,n,UNSAFE_NAMESPACE_WARNING,true));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(sourceName,n,NAMESPACE_REDEFINED_WARNING,false));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(sourceName,n,UNSAFE_NAMESPACE_REDEFINED_WARNING,true));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(sourceName,n,UNSAFE_NAMESPACE_WARNING,false));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(sourceName,ref,NAMESPACE_REDEFINED_WARNING,true));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(sourceName,n,NAMESPACE_REDEFINED_WARNING,isQName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(sourceName,n,UNSAFE_NAMESPACE_WARNING));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(sourceName,n,UNSAFE_NAMESPACE_REDEFINED_WARNING));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(sourceName,ref,NAMESPACE_REDEFINED_WARNING));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430report(JSError.make(alias,n,UNSAFE_THIS,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430report(JSError.make(nameMap,n,UNSAFE_NAMESPACE_WARNING,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430report(JSError.make(n,alias,UNSAFE_NAMESPACE_WARNING,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430report(JSError.make(alias,n,UNSAFE_NAMESPACE_WARNING,nameMap));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,n,UNKNOWN_SYNTHETIC_WARNING,originalName),NAMESPACE_REDEFINED_WARNING);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430parser.report(JSError.make(alias,n,UNKNOWN_SYNTHETIC_WARNING,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,n,UNKNOWN_SYNTHETIC_WARNING,nameMap));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,n,UNKNOWN_EXTERNS_WARNING,originalName),NAMESPACE_REDEFINED_WARNING);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,n,UNKNOWN_EXTERNS_WARNING,nameMap));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430parser.report(JSError.make(alias,n,UNKNOWN_EXTERNS_WARNING,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(compiler,n,UNSAFE_NAMESPACE_WARNING,alias));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430parser.report(JSError.make(compiler,n,NAMESPACE_REDEFINED_WARNING,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(compiler,n,DEFAULT_NAMESPACE_WARNING,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,n,UNSAFE_THIS,sourceName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(sourceName,n,UNSAFE_THIS,alias,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(sourceName,n,UNSAFE_THIS,alias,parent));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,n,sourceName,UNSAFE_THIS));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(sourceName,n,UNSAFE_THIS,alias,nameMap));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,n,NAMESPACE_REDEFINED_WARNING,name));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(name,n,UNSAFE_THIS,alias));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,n,UNKNOWN_SYNTHETIC_WARNING,name));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,n,name,UNSAFE_THIS));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,n,UNKNOWN_SIGNATURES,name));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430parser.report(JSError.make(sourceName,n,UNSAFE_NAMESPACE_WARNING,alias));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430parser.report(JSError.make(sourceName,n,UNSAFE_THIS,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430parser.report(JSError.make(sourceName,n,UNKNOWN_SYNTHETIC_WARNING,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430parser.report(JSError.make(sourceName,n,UNSAFE_NAMESPACE_WARNING,nameMap));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(compiler,n,UNKNOWN_SIGNATURES,alias));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430parser.report(JSError.make(compiler,n,UNKNOWN_SIGNATURES,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430writer.report(JSError.make(compiler,n,UNKNOWN_SIGNATURES,alias));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(compiler,n,UNKNOWN_SIGNATURES,nameMap));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430report(JSError.make(compiler,n,UNKNOWN_SIGNATURES,alias));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(sourceName,ref,UNSAFE_NAMESPACE_WARNING,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(sourceName,ref,UNSAFE_NAMESPACE_REDEFINED_WARNING,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(sourceName,ref,NAMESPACE_REDEFINED_WARNING,alias));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(sourceName,ref,n,NAMESPACE_REDEFINED_WARNING,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(nameMap,alias,NAMESPACE_REDEFINED_WARNING,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,ref,UNSAFE_NAMESPACE_REDEFINED_WARNING,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430parser.report(JSError.make(alias,n,NAMESPACE_REDEFINED_WARNING,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,ref,UNSAFE_NAMESPACE_WARNING));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,ref,UNSAFE_NAMESPACE_REDEFINED_WARNING));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,ref,UNSAFE_THIS));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(nameMap,alias,NAMESPACE_REDEFINED_WARNING));
