bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	failing_test_number	original_buggy	action	patch	execution_result	diagnosis	previous_bug_id	original_failing_test_number
17978594	[BUG]  [BUGGY]  [FE]  IllegalArgumentException  [CONTEXT]              throw  new  SeriesException(b.toString());  }  }  }  if  (added)  {  if  (getItemCount()  >  this.maximumItemCount)  {  this.data.remove(0);  }              [BUGGY]  //  removeAgedItems(true);  if(notify)  {  fireSeriesChanged();  bodied  else  if(added)  {  this.data.add(item);  b.toString()  :  null;  }  [BUGGY]                if  (notify)  {  fireSeriesChanged();  }  }  }  [CLASS]  TimeSeries  [METHOD]  add  [RETURN_TYPE]  void  TimeSeriesDataItem  item  boolean  notify  [VARIABLES]  StringBuffer  b  boolean  added  notify  TimeSeriesDataItem  item  Class  timePeriodClass  List  data  String  DEFAULT_DOMAIN_DESCRIPTION  DEFAULT_RANGE_DESCRIPTION  description  domain  old  range  RegularTimePeriod  last  long  maximumItemAge  periods  serialVersionUID  int  count  i  index  maximum  maximumItemCount  	projects/Chart17/source/org/jfree/data/time/TimeSeries.java	0.2182178902359924	540	542	1	add	//  removeAgedItems(true);  if(notify)  {  fireSeriesChanged();  bodied  else  if(added)  {  this.data.add(item);  b.toString()  :  null;  }	  //    removeAgedItems(false);    if(added)    {    fireSeriesChanged();    >>    	compilable	  [FE]  IllegalArgumentException	2996433	1
17978595	[BUG]  [BUGGY]  //  removeAgedItems(true);  if(notify)  {  fireSeriesChanged();  bodied  else  if(added)  {  this.data.add(item);  b.toString()  :  null;  }  [FE]  IllegalArgumentException  [CONTEXT]              throw  new  SeriesException(b.toString());  }  }  }  if  (added)  {  if  (getItemCount()  >  this.maximumItemCount)  {  this.data.remove(0);  }              [BUGGY]  //  removeAgedItems(true);  if(notify)  {  fireSeriesChanged();  bodied  else  if(added)  {  this.data.add(item);  b.toString()  :  null;  }  [BUGGY]                if  (notify)  {  fireSeriesChanged();  }  }  }  [CLASS]  TimeSeries  [METHOD]  add  [RETURN_TYPE]  void  TimeSeriesDataItem  item  boolean  notify  [VARIABLES]  StringBuffer  b  boolean  added  notify  TimeSeriesDataItem  item  Class  timePeriodClass  List  data  String  DEFAULT_DOMAIN_DESCRIPTION  DEFAULT_RANGE_DESCRIPTION  description  domain  old  range  RegularTimePeriod  last  long  maximumItemAge  periods  serialVersionUID  int  count  i  index  maximum  maximumItemCount  	projects/Chart17/source/org/jfree/data/time/TimeSeries.java	0.2182178902359924	540	542	1	replace	//  removeAgedItems(true);  if(notify)  {  fireSeriesChanged();  bodied  else  if(added)  {  this.data.add(item);  b.toString()  :  null;  }	  //    removeAgedItems(false);    if(added)    {    fireSeriesChanged();    >>    	compilable	  [FE]  IllegalArgumentException	2996433	1
17988925	[BUG]  [BUGGY]  [FE]  IllegalArgumentException  [CONTEXT]              throw  new  SeriesException(b.toString());  }  }  }  if  (added)  {  if  (getItemCount()  >  this.maximumItemCount)  {  this.data.remove(0);  }              [BUGGY]  if(notify)  {  fireSeriesChanged();  }  ;  //  removeAgedItems(false);  //  removeAgedItems(false);  //  do  not  notify  any,  because  that  //  happens  next  anyway...  [BUGGY]                if  (notify)  {  fireSeriesChanged();  }  }  }  [CLASS]  TimeSeries  [METHOD]  add  [RETURN_TYPE]  void  TimeSeriesDataItem  item  boolean  notify  [VARIABLES]  StringBuffer  b  boolean  added  notify  TimeSeriesDataItem  item  Class  timePeriodClass  List  data  String  DEFAULT_DOMAIN_DESCRIPTION  DEFAULT_RANGE_DESCRIPTION  description  domain  old  range  RegularTimePeriod  last  long  maximumItemAge  periods  serialVersionUID  int  count  i  index  maximum  maximumItemCount  	projects/Chart17/source/org/jfree/data/time/TimeSeries.java	0.2182178902359924	540	542	1	add	if(notify)  {  fireSeriesChanged();  }  ;  //  removeAgedItems(false);  //  removeAgedItems(false);  //  do  not  notify  any,  because  that  //  happens  next  anyway...	  	compilable	  [FE]  IllegalArgumentException	2998155	1
17988926	[BUG]  [BUGGY]  if(notify)  {  fireSeriesChanged();  }  ;  //  removeAgedItems(false);  //  removeAgedItems(false);  //  do  not  notify  any,  because  that  //  happens  next  anyway...  [FE]  IllegalArgumentException  [CONTEXT]              throw  new  SeriesException(b.toString());  }  }  }  if  (added)  {  if  (getItemCount()  >  this.maximumItemCount)  {  this.data.remove(0);  }              [BUGGY]  if(notify)  {  fireSeriesChanged();  }  ;  //  removeAgedItems(false);  //  removeAgedItems(false);  //  do  not  notify  any,  because  that  //  happens  next  anyway...  [BUGGY]                if  (notify)  {  fireSeriesChanged();  }  }  }  [CLASS]  TimeSeries  [METHOD]  add  [RETURN_TYPE]  void  TimeSeriesDataItem  item  boolean  notify  [VARIABLES]  StringBuffer  b  boolean  added  notify  TimeSeriesDataItem  item  Class  timePeriodClass  List  data  String  DEFAULT_DOMAIN_DESCRIPTION  DEFAULT_RANGE_DESCRIPTION  description  domain  old  range  RegularTimePeriod  last  long  maximumItemAge  periods  serialVersionUID  int  count  i  index  maximum  maximumItemCount  	projects/Chart17/source/org/jfree/data/time/TimeSeries.java	0.2182178902359924	540	542	1	replace	if(notify)  {  fireSeriesChanged();  }  ;  //  removeAgedItems(false);  //  removeAgedItems(false);  //  do  not  notify  any,  because  that  //  happens  next  anyway...	  	compilable	  [FE]  IllegalArgumentException	2998155	1
17988926	[BUG]  [BUGGY]  [FE]  IllegalArgumentException  [CONTEXT]              throw  new  SeriesException(b.toString());  }  }  }  if  (added)  {  if  (getItemCount()  >  this.maximumItemCount)  {  this.data.remove(0);  }              [BUGGY]  if(notify)  {  fireSeriesChanged();  }  ;  //  removeAgedItems(false);  //  removeAgedItems(false);  //  removeAgedItems(false);?!!  addAgedItems(false);  [BUGGY]                if  (notify)  {  fireSeriesChanged();  }  }  }  [CLASS]  TimeSeries  [METHOD]  add  [RETURN_TYPE]  void  TimeSeriesDataItem  item  boolean  notify  [VARIABLES]  StringBuffer  b  boolean  added  notify  TimeSeriesDataItem  item  Class  timePeriodClass  List  data  String  DEFAULT_DOMAIN_DESCRIPTION  DEFAULT_RANGE_DESCRIPTION  description  domain  old  range  RegularTimePeriod  last  long  maximumItemAge  periods  serialVersionUID  int  count  i  index  maximum  maximumItemCount  	projects/Chart17/source/org/jfree/data/time/TimeSeries.java	0.2182178902359924	540	542	1	add	if(notify)  {  fireSeriesChanged();  }  ;  //  removeAgedItems(false);  //  removeAgedItems(false);  //  removeAgedItems(false);?!!  addAgedItems(false);	  	compilable	  [FE]  IllegalArgumentException	2998155	1
17988927	[BUG]  [BUGGY]  if(notify)  {  fireSeriesChanged();  }  ;  //  removeAgedItems(false);  //  removeAgedItems(false);  //  removeAgedItems(false);?!!  addAgedItems(false);  [FE]  IllegalArgumentException  [CONTEXT]              throw  new  SeriesException(b.toString());  }  }  }  if  (added)  {  if  (getItemCount()  >  this.maximumItemCount)  {  this.data.remove(0);  }              [BUGGY]  if(notify)  {  fireSeriesChanged();  }  ;  //  removeAgedItems(false);  //  removeAgedItems(false);  //  removeAgedItems(false);?!!  addAgedItems(false);  [BUGGY]                if  (notify)  {  fireSeriesChanged();  }  }  }  [CLASS]  TimeSeries  [METHOD]  add  [RETURN_TYPE]  void  TimeSeriesDataItem  item  boolean  notify  [VARIABLES]  StringBuffer  b  boolean  added  notify  TimeSeriesDataItem  item  Class  timePeriodClass  List  data  String  DEFAULT_DOMAIN_DESCRIPTION  DEFAULT_RANGE_DESCRIPTION  description  domain  old  range  RegularTimePeriod  last  long  maximumItemAge  periods  serialVersionUID  int  count  i  index  maximum  maximumItemCount  	projects/Chart17/source/org/jfree/data/time/TimeSeries.java	0.2182178902359924	540	542	1	replace	if(notify)  {  fireSeriesChanged();  }  ;  //  removeAgedItems(false);  //  removeAgedItems(false);  //  removeAgedItems(false);?!!  addAgedItems(false);	  	compilable	  [FE]  IllegalArgumentException	2998155	1
17988927	[BUG]  [BUGGY]  [FE]  IllegalArgumentException  [CONTEXT]              throw  new  SeriesException(b.toString());  }  }  }  if  (added)  {  if  (getItemCount()  >  this.maximumItemCount)  {  this.data.remove(0);  }              [BUGGY]  if(notify)  {  fireSeriesChanged();  }  ;  //  removeAgedItems(false);  //  removeAgedItems(false);  //  removeAgedItems(false);?!  noAgedItems(false);  [BUGGY]                if  (notify)  {  fireSeriesChanged();  }  }  }  [CLASS]  TimeSeries  [METHOD]  add  [RETURN_TYPE]  void  TimeSeriesDataItem  item  boolean  notify  [VARIABLES]  StringBuffer  b  boolean  added  notify  TimeSeriesDataItem  item  Class  timePeriodClass  List  data  String  DEFAULT_DOMAIN_DESCRIPTION  DEFAULT_RANGE_DESCRIPTION  description  domain  old  range  RegularTimePeriod  last  long  maximumItemAge  periods  serialVersionUID  int  count  i  index  maximum  maximumItemCount  	projects/Chart17/source/org/jfree/data/time/TimeSeries.java	0.2182178902359924	540	542	1	add	if(notify)  {  fireSeriesChanged();  }  ;  //  removeAgedItems(false);  //  removeAgedItems(false);  //  removeAgedItems(false);?!  noAgedItems(false);	  	compilable	  [FE]  IllegalArgumentException	2998155	1
17988928	[BUG]  [BUGGY]  if(notify)  {  fireSeriesChanged();  }  ;  //  removeAgedItems(false);  //  removeAgedItems(false);  //  removeAgedItems(false);?!  noAgedItems(false);  [FE]  IllegalArgumentException  [CONTEXT]              throw  new  SeriesException(b.toString());  }  }  }  if  (added)  {  if  (getItemCount()  >  this.maximumItemCount)  {  this.data.remove(0);  }              [BUGGY]  if(notify)  {  fireSeriesChanged();  }  ;  //  removeAgedItems(false);  //  removeAgedItems(false);  //  removeAgedItems(false);?!  noAgedItems(false);  [BUGGY]                if  (notify)  {  fireSeriesChanged();  }  }  }  [CLASS]  TimeSeries  [METHOD]  add  [RETURN_TYPE]  void  TimeSeriesDataItem  item  boolean  notify  [VARIABLES]  StringBuffer  b  boolean  added  notify  TimeSeriesDataItem  item  Class  timePeriodClass  List  data  String  DEFAULT_DOMAIN_DESCRIPTION  DEFAULT_RANGE_DESCRIPTION  description  domain  old  range  RegularTimePeriod  last  long  maximumItemAge  periods  serialVersionUID  int  count  i  index  maximum  maximumItemCount  	projects/Chart17/source/org/jfree/data/time/TimeSeries.java	0.2182178902359924	540	542	1	replace	if(notify)  {  fireSeriesChanged();  }  ;  //  removeAgedItems(false);  //  removeAgedItems(false);  //  removeAgedItems(false);?!  noAgedItems(false);	  	compilable	  [FE]  IllegalArgumentException	2998155	1
17979668	[BUG]  [BUGGY]  [FE]  IllegalArgumentException  [CONTEXT]              throw  new  SeriesException(b.toString());  }  }  }  if  (added)  {  if  (getItemCount()  >  this.maximumItemCount)  {  this.data.remove(0);  }              [BUGGY]  //  removeAgedItems(false,  item);  if(notify)  {  fireSeriesChanged();  >>  ;  [BUGGY]                if  (notify)  {  fireSeriesChanged();  }  }  }  [CLASS]  TimeSeries  [METHOD]  add  [RETURN_TYPE]  void  TimeSeriesDataItem  item  boolean  notify  [VARIABLES]  StringBuffer  b  boolean  added  notify  TimeSeriesDataItem  item  Class  timePeriodClass  List  data  String  DEFAULT_DOMAIN_DESCRIPTION  DEFAULT_RANGE_DESCRIPTION  description  domain  old  range  RegularTimePeriod  last  long  maximumItemAge  periods  serialVersionUID  int  count  i  index  maximum  maximumItemCount  	projects/Chart17/source/org/jfree/data/time/TimeSeries.java	0.2182178902359924	540	542	1	add	//  removeAgedItems(false,  item);  if(notify)  {  fireSeriesChanged();  >>  ;	  	compilable	  [FE]  IllegalArgumentException	2996612	1
17979669	[BUG]  [BUGGY]  //  removeAgedItems(false,  item);  if(notify)  {  fireSeriesChanged();  >>  ;  [FE]  IllegalArgumentException  [CONTEXT]              throw  new  SeriesException(b.toString());  }  }  }  if  (added)  {  if  (getItemCount()  >  this.maximumItemCount)  {  this.data.remove(0);  }              [BUGGY]  //  removeAgedItems(false,  item);  if(notify)  {  fireSeriesChanged();  >>  ;  [BUGGY]                if  (notify)  {  fireSeriesChanged();  }  }  }  [CLASS]  TimeSeries  [METHOD]  add  [RETURN_TYPE]  void  TimeSeriesDataItem  item  boolean  notify  [VARIABLES]  StringBuffer  b  boolean  added  notify  TimeSeriesDataItem  item  Class  timePeriodClass  List  data  String  DEFAULT_DOMAIN_DESCRIPTION  DEFAULT_RANGE_DESCRIPTION  description  domain  old  range  RegularTimePeriod  last  long  maximumItemAge  periods  serialVersionUID  int  count  i  index  maximum  maximumItemCount  	projects/Chart17/source/org/jfree/data/time/TimeSeries.java	0.2182178902359924	540	542	1	replace	//  removeAgedItems(false,  item);  if(notify)  {  fireSeriesChanged();  >>  ;	  	compilable	  [FE]  IllegalArgumentException	2996612	1
17979669	[BUG]  [BUGGY]  [FE]  IllegalArgumentException  [CONTEXT]              throw  new  SeriesException(b.toString());  }  }  }  if  (added)  {  if  (getItemCount()  >  this.maximumItemCount)  {  this.data.remove(0);  }              [BUGGY]  //  removeAgedItems(false,  item);  if(notify)!=  fireSeriesChanged();  }  ;  [BUGGY]                if  (notify)  {  fireSeriesChanged();  }  }  }  [CLASS]  TimeSeries  [METHOD]  add  [RETURN_TYPE]  void  TimeSeriesDataItem  item  boolean  notify  [VARIABLES]  StringBuffer  b  boolean  added  notify  TimeSeriesDataItem  item  Class  timePeriodClass  List  data  String  DEFAULT_DOMAIN_DESCRIPTION  DEFAULT_RANGE_DESCRIPTION  description  domain  old  range  RegularTimePeriod  last  long  maximumItemAge  periods  serialVersionUID  int  count  i  index  maximum  maximumItemCount  	projects/Chart17/source/org/jfree/data/time/TimeSeries.java	0.2182178902359924	540	542	1	add	//  removeAgedItems(false,  item);  if(notify)!=  fireSeriesChanged();  }  ;	  	compilable	  [FE]  IllegalArgumentException	2996612	1
17979670	[BUG]  [BUGGY]  //  removeAgedItems(false,  item);  if(notify)!=  fireSeriesChanged();  }  ;  [FE]  IllegalArgumentException  [CONTEXT]              throw  new  SeriesException(b.toString());  }  }  }  if  (added)  {  if  (getItemCount()  >  this.maximumItemCount)  {  this.data.remove(0);  }              [BUGGY]  //  removeAgedItems(false,  item);  if(notify)!=  fireSeriesChanged();  }  ;  [BUGGY]                if  (notify)  {  fireSeriesChanged();  }  }  }  [CLASS]  TimeSeries  [METHOD]  add  [RETURN_TYPE]  void  TimeSeriesDataItem  item  boolean  notify  [VARIABLES]  StringBuffer  b  boolean  added  notify  TimeSeriesDataItem  item  Class  timePeriodClass  List  data  String  DEFAULT_DOMAIN_DESCRIPTION  DEFAULT_RANGE_DESCRIPTION  description  domain  old  range  RegularTimePeriod  last  long  maximumItemAge  periods  serialVersionUID  int  count  i  index  maximum  maximumItemCount  	projects/Chart17/source/org/jfree/data/time/TimeSeries.java	0.2182178902359924	540	542	1	replace	//  removeAgedItems(false,  item);  if(notify)!=  fireSeriesChanged();  }  ;	  	compilable	  [FE]  IllegalArgumentException	2996612	1
