projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891input=input.trim();
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891input=this.input.trim();
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){input=input.trim();}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891input=(input!=null)?null:input.trim();
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){Stringinput=input.toUpperCase(java.util.Locale.ENGLISH);if(input!=null){returnnull;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){Stringinput=input.toUpperCase(java.util.Locale.ENGLISH);if(input!=null){returnnewDoubleMetaphoneResult();}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){Stringinput=input.toUpperCase(java.util.Locale.ENGLISH);if(input.length()==0){returnDoubleMetaphoneResult.DEFAULT;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){Stringinput=input.toUpperCase(java.util.Locale.ENGLISH);if(input==null){returnDoubleMetaphoneResult.None.class;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){Stringinput=input.toUpperCase(java.util.Locale.ENGLISH);if(input==null||input.length()==0){returnnull;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){Stringinput=input.toUpperCase(java.util.Locale.ENGLISH);if(input.length()==0){returnDoubleMetaphoneResult.UNKNOWN;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){Stringinput=input.toUpperCase(java.util.Locale.ENGLISH);if(input==null){returnDoubleMetaphoneResult.NULL;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){Stringinput=input.toUpperCase(java.util.Locale.ENGLISH);if(input.length()==0){returnDoubleMetaphoneResult.None.class;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891input=input.toUpperCase(java.util.Locale.ENGLISH);
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891input=input.toLowerCase();
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891input=input.toLowerCase(java.util.Locale.ENGLISH);
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){input=input.trim();}else{cleanInput();returnnull;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){Stringinput=input.toUpperCase(java.util.Locale.ENGLISH);if(input.length()==0){returnnull;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){Stringinput=input.trim();if(input.length()==0){returnnull;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){Stringinput=input.trim();if(input==null||input.length()==0){returnnull;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){Stringinput=input.toUpperCase(java.util.Locale.ENGLISH);if(input.length()==0||input.length()==0){returnnull;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){Stringinput=input.trim();if(input==null){returnnull;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){Stringinput=input.toUpperCase(java.util.Locale.ENGLISH);returnnewDoubleMetaphoneResult(input);}
