bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
this_action2	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testFactorial  [CONTEXT]  public  static  double  factorialLog(final  int  n)  {  if  (n  <  0)  {  throw  new  IllegalArgumentException( "must  have  n  >  0  for  n! ");  }  [BUGGY]  double  logSum  =  1;  [BUGGY]  for  (int  i  =  2;  i  <=  n;  i++)  {  logSum  +=  Math.log((double)i);  }  return  logSum;  }  [CLASS]  MathUtils  [METHOD]  factorialLog  [RETURN_TYPE]  double  final  int  n  [VARIABLES]  short  NS  PS  ZS  boolean  long[]  factorials  double  EPSILON  SAFE_MIN  TWO_PI  logSum  x  y  byte  NB  PB  ZB  int  i  n  	projects/Math93/src/java/org/apache/commons/math/util/MathUtils.java	0.7071067811865475	397	397	1	add	double  logSum  =  1;	double  logSum  =  0;  	compilable	  [FE]  AssertionFailedError  testFactorial	13	1
23	[BUG]  [BUGGY]  return  i;  [CE]  cannot  find  symbol  i  [CONTEXT]  public  static  double  factorialLog(final  int  n)  {  if  (n  <  0)  {  throw  new  IllegalArgumentException( "must  have  n  >  0  for  n! ");  }  double  logSum  =  0;  for  (int  i  =  2;  i  <=  n;  i++)  {  logSum  +=  Math.log((double)i);  }  [BUGGY]  return  i;  [BUGGY]  }  [CLASS]  MathUtils  [METHOD]  factorialLog  [RETURN_TYPE]  double  final  int  n  [VARIABLES]  short  NS  PS  ZS  boolean  long[]  factorials  double  EPSILON  SAFE_MIN  TWO_PI  logSum  x  y  byte  NB  PB  ZB  int  i  n  	projects/Math93/src/java/org/apache/commons/math/util/MathUtils.java	0.7071067811865475	401	401	1	replace	return  i;	return  logSum;  	non-compiled	[CE]  cannot  find  symbol  i	19	None	replace
24	[BUG]  [BUGGY]  return  logSum  +(Math.rint(logSum)/  n));  [CE]  ';'  expected  [CONTEXT]  public  static  double  factorialLog(final  int  n)  {  if  (n  <  0)  {  throw  new  IllegalArgumentException( "must  have  n  >  0  for  n! ");  }  double  logSum  =  0;  for  (int  i  =  2;  i  <=  n;  i++)  {  logSum  +=  Math.log((double)i);  }  [BUGGY]  return  logSum  +(Math.rint(logSum)/  n));  [BUGGY]  }  [CLASS]  MathUtils  [METHOD]  factorialLog  [RETURN_TYPE]  double  final  int  n  [VARIABLES]  short  NS  PS  ZS  boolean  long[]  factorials  double  EPSILON  SAFE_MIN  TWO_PI  logSum  x  y  byte  NB  PB  ZB  int  i  n  	projects/Math93/src/java/org/apache/commons/math/util/MathUtils.java	0.7071067811865475	401	401	1	replace	return  logSum  +(Math.rint(logSum)/  n));	return  logSum;  	non-compiled	[CE]  ';'  expected	19	None	replace
25	[BUG]  [BUGGY]    [CE]  missing  return  statement  [CONTEXT]  public  static  double  factorialLog(final  int  n)  {  if  (n  <  0)  {  throw  new  IllegalArgumentException( "must  have  n  >  0  for  n! ");  }  double  logSum  =  0;  for  (int  i  =  2;  i  <=  n;  i++)  {  logSum  +=  Math.log((double)i);  }  [BUGGY]    [BUGGY]  }  [CLASS]  MathUtils  [METHOD]  factorialLog  [RETURN_TYPE]  double  final  int  n  [VARIABLES]  short  NS  PS  ZS  boolean  long[]  factorials  double  EPSILON  SAFE_MIN  TWO_PI  logSum  x  y  byte  NB  PB  ZB  int  i  n  	projects/Math93/src/java/org/apache/commons/math/util/MathUtils.java	0.7071067811865475	401	401	1	replace	  	return  logSum;  	non-compiled	[CE]  missing  return  statement	19	None	replace
31	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testFactorial  [CONTEXT]  public  static  double  factorialLog(final  int  n)  {  if  (n  <  0)  {  throw  new  IllegalArgumentException( "must  have  n  >  0  for  n! ");  }  double  logSum  =  0;  for  (int  i  =  2;  i  <=  n;  i++)  {  [BUGGY]    logSum  +=  Math.log((  double)i);  [BUGGY]  logSum  +=  Math.log((double)i);  }  return  logSum;  }  [CLASS]  MathUtils  [METHOD]  factorialLog  [RETURN_TYPE]  double  final  int  n  [VARIABLES]  short  NS  PS  ZS  boolean  long[]  factorials  double  EPSILON  SAFE_MIN  TWO_PI  logSum  x  y  byte  NB  PB  ZB  int  i  n  	projects/Math93/src/java/org/apache/commons/math/util/MathUtils.java	0.7071067811865475	399	399	1	add	    logSum  +=  Math.log((  double)i);		compilable	  [FE]  AssertionFailedError  testFactorial	18	1
32	[BUG]  [BUGGY]    logSum  +=  Math.log((  double)i);  [FE]  AssertionFailedError  testFactorial  [CONTEXT]  public  static  double  factorialLog(final  int  n)  {  if  (n  <  0)  {  throw  new  IllegalArgumentException( "must  have  n  >  0  for  n! ");  }  double  logSum  =  0;  for  (int  i  =  2;  i  <=  n;  i++)  {  [BUGGY]    logSum  +=  Math.log((  double)i);  [BUGGY]  logSum  +=  Math.log((double)i);  }  return  logSum;  }  [CLASS]  MathUtils  [METHOD]  factorialLog  [RETURN_TYPE]  double  final  int  n  [VARIABLES]  short  NS  PS  ZS  boolean  long[]  factorials  double  EPSILON  SAFE_MIN  TWO_PI  logSum  x  y  byte  NB  PB  ZB  int  i  n  	projects/Math93/src/java/org/apache/commons/math/util/MathUtils.java	0.7071067811865475	399	399	1	replace	    logSum  +=  Math.log((  double)i);		compilable	  [FE]  AssertionFailedError  testFactorial	18	1	add
33	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testFactorial  [CONTEXT]  public  static  double  factorialLog(final  int  n)  {  if  (n  <  0)  {  throw  new  IllegalArgumentException( "must  have  n  >  0  for  n! ");  }  double  logSum  =  0;  for  (int  i  =  2;  i  <=  n;  i++)  {  [BUGGY]    logSum  +=  Math.sin((  double)i);  [BUGGY]  logSum  +=  Math.log((double)i);  }  return  logSum;  }  [CLASS]  MathUtils  [METHOD]  factorialLog  [RETURN_TYPE]  double  final  int  n  [VARIABLES]  short  NS  PS  ZS  boolean  long[]  factorials  double  EPSILON  SAFE_MIN  TWO_PI  logSum  x  y  byte  NB  PB  ZB  int  i  n  	projects/Math93/src/java/org/apache/commons/math/util/MathUtils.java	0.7071067811865475	399	399	1	add	    logSum  +=  Math.sin((  double)i);		compilable	  [FE]  AssertionFailedError  testFactorial	18	1
34	[BUG]  [BUGGY]    logSum  +=  Math.sin((  double)i);  [FE]  AssertionFailedError  testFactorial  [CONTEXT]  public  static  double  factorialLog(final  int  n)  {  if  (n  <  0)  {  throw  new  IllegalArgumentException( "must  have  n  >  0  for  n! ");  }  double  logSum  =  0;  for  (int  i  =  2;  i  <=  n;  i++)  {  [BUGGY]    logSum  +=  Math.sin((  double)i);  [BUGGY]  logSum  +=  Math.log((double)i);  }  return  logSum;  }  [CLASS]  MathUtils  [METHOD]  factorialLog  [RETURN_TYPE]  double  final  int  n  [VARIABLES]  short  NS  PS  ZS  boolean  long[]  factorials  double  EPSILON  SAFE_MIN  TWO_PI  logSum  x  y  byte  NB  PB  ZB  int  i  n  	projects/Math93/src/java/org/apache/commons/math/util/MathUtils.java	0.7071067811865475	399	399	1	replace	    logSum  +=  Math.sin((  double)i);		compilable	  [FE]  AssertionFailedError  testFactorial	18	1	add
34	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testFactorial  [CONTEXT]  public  static  double  factorialLog(final  int  n)  {  if  (n  <  0)  {  throw  new  IllegalArgumentException( "must  have  n  >  0  for  n! ");  }  double  logSum  =  0;  for  (int  i  =  2;  i  <=  n;  i++)  {  [BUGGY]    logSum  -=  Math.sin((  double)i);  [BUGGY]  logSum  +=  Math.log((double)i);  }  return  logSum;  }  [CLASS]  MathUtils  [METHOD]  factorialLog  [RETURN_TYPE]  double  final  int  n  [VARIABLES]  short  NS  PS  ZS  boolean  long[]  factorials  double  EPSILON  SAFE_MIN  TWO_PI  logSum  x  y  byte  NB  PB  ZB  int  i  n  	projects/Math93/src/java/org/apache/commons/math/util/MathUtils.java	0.7071067811865475	399	399	1	add	    logSum  -=  Math.sin((  double)i);		compilable	  [FE]  AssertionFailedError  testFactorial	18	1
35	[BUG]  [BUGGY]    logSum  -=  Math.sin((  double)i);  [FE]  AssertionFailedError  testFactorial  [CONTEXT]  public  static  double  factorialLog(final  int  n)  {  if  (n  <  0)  {  throw  new  IllegalArgumentException( "must  have  n  >  0  for  n! ");  }  double  logSum  =  0;  for  (int  i  =  2;  i  <=  n;  i++)  {  [BUGGY]    logSum  -=  Math.sin((  double)i);  [BUGGY]  logSum  +=  Math.log((double)i);  }  return  logSum;  }  [CLASS]  MathUtils  [METHOD]  factorialLog  [RETURN_TYPE]  double  final  int  n  [VARIABLES]  short  NS  PS  ZS  boolean  long[]  factorials  double  EPSILON  SAFE_MIN  TWO_PI  logSum  x  y  byte  NB  PB  ZB  int  i  n  	projects/Math93/src/java/org/apache/commons/math/util/MathUtils.java	0.7071067811865475	399	399	1	replace	    logSum  -=  Math.sin((  double)i);		compilable	  [FE]  AssertionFailedError  testFactorial	18	1	add
35	[BUG]  [BUGGY]  [FE]  AssertionFailedError  testFactorial  [CONTEXT]  public  static  double  factorialLog(final  int  n)  {  if  (n  <  0)  {  throw  new  IllegalArgumentException( "must  have  n  >  0  for  n! ");  }  double  logSum  =  0;  for  (int  i  =  2;  i  <=  n;  i++)  {  [BUGGY]    logSum  +=  Math.sqrt((  double)i);  [BUGGY]  logSum  +=  Math.log((double)i);  }  return  logSum;  }  [CLASS]  MathUtils  [METHOD]  factorialLog  [RETURN_TYPE]  double  final  int  n  [VARIABLES]  short  NS  PS  ZS  boolean  long[]  factorials  double  EPSILON  SAFE_MIN  TWO_PI  logSum  x  y  byte  NB  PB  ZB  int  i  n  	projects/Math93/src/java/org/apache/commons/math/util/MathUtils.java	0.7071067811865475	399	399	1	add	    logSum  +=  Math.sqrt((  double)i);		compilable	  [FE]  AssertionFailedError  testFactorial	18	1
36	[BUG]  [BUGGY]    logSum  +=  Math.sqrt((  double)i);  [FE]  AssertionFailedError  testFactorial  [CONTEXT]  public  static  double  factorialLog(final  int  n)  {  if  (n  <  0)  {  throw  new  IllegalArgumentException( "must  have  n  >  0  for  n! ");  }  double  logSum  =  0;  for  (int  i  =  2;  i  <=  n;  i++)  {  [BUGGY]    logSum  +=  Math.sqrt((  double)i);  [BUGGY]  logSum  +=  Math.log((double)i);  }  return  logSum;  }  [CLASS]  MathUtils  [METHOD]  factorialLog  [RETURN_TYPE]  double  final  int  n  [VARIABLES]  short  NS  PS  ZS  boolean  long[]  factorials  double  EPSILON  SAFE_MIN  TWO_PI  logSum  x  y  byte  NB  PB  ZB  int  i  n  	projects/Math93/src/java/org/apache/commons/math/util/MathUtils.java	0.7071067811865475	399	399	1	replace	    logSum  +=  Math.sqrt((  double)i);		compilable	  [FE]  AssertionFailedError  testFactorial	18	1	add
41	[BUG]  [BUGGY]    if(factorials  ==  null)  {  if(n  >  0)  {  throw  new  IllegalArgumentException( " ");  }  [CE]  illegal  start  of  expression  [CONTEXT]  public  static  double  factorialLog(final  int  n)  {  [BUGGY]    if(factorials  ==  null)  {  if(n  >  0)  {  throw  new  IllegalArgumentException( " ");  }  [BUGGY]  if  (n  <  0)  {  throw  new  IllegalArgumentException( "must  have  n  >  0  for  n! ");  }  double  logSum  =  0;  for  (int  i  =  2;  i  <=  n;  i++)  {  logSum  +=  Math.log((double)i);  }  return  logSum;  }  [CLASS]  MathUtils  [METHOD]  factorialLog  [RETURN_TYPE]  double  final  int  n  [VARIABLES]  short  NS  PS  ZS  boolean  long[]  factorials  double  EPSILON  SAFE_MIN  TWO_PI  logSum  x  y  byte  NB  PB  ZB  int  i  n  	projects/Math93/src/java/org/apache/commons/math/util/MathUtils.java	0.7071067811865475	394	394	1	replace	    if(factorials  ==  null)  {  if(n  >  0)  {  throw  new  IllegalArgumentException( " ");  }		non-compiled	[CE]  illegal  start  of  expression	12	None	add
42	[BUG]  [BUGGY]    if(factorials  ==  null)  {  for(int  i  =  0;  i  <  n;  i++)  {  logSum  +=  Math.log((  double)i);  }  [CE]  illegal  start  of  expression  [CONTEXT]  public  static  double  factorialLog(final  int  n)  {  [BUGGY]    if(factorials  ==  null)  {  for(int  i  =  0;  i  <  n;  i++)  {  logSum  +=  Math.log((  double)i);  }  [BUGGY]  if  (n  <  0)  {  throw  new  IllegalArgumentException( "must  have  n  >  0  for  n! ");  }  double  logSum  =  0;  for  (int  i  =  2;  i  <=  n;  i++)  {  logSum  +=  Math.log((double)i);  }  return  logSum;  }  [CLASS]  MathUtils  [METHOD]  factorialLog  [RETURN_TYPE]  double  final  int  n  [VARIABLES]  short  NS  PS  ZS  boolean  long[]  factorials  double  EPSILON  SAFE_MIN  TWO_PI  logSum  x  y  byte  NB  PB  ZB  int  i  n  	projects/Math93/src/java/org/apache/commons/math/util/MathUtils.java	0.7071067811865475	394	394	1	replace	    if(factorials  ==  null)  {  for(int  i  =  0;  i  <  n;  i++)  {  logSum  +=  Math.log((  double)i);  }		non-compiled	[CE]  illegal  start  of  expression	12	None	add
43	[BUG]  [BUGGY]    if(factorials  ==  null)  {  for(int  i  =  0;  i  <  n;  i++)  {  logSum  +=  Math.log((  int)i);  }  [CE]  illegal  start  of  expression  [CONTEXT]  public  static  double  factorialLog(final  int  n)  {  [BUGGY]    if(factorials  ==  null)  {  for(int  i  =  0;  i  <  n;  i++)  {  logSum  +=  Math.log((  int)i);  }  [BUGGY]  if  (n  <  0)  {  throw  new  IllegalArgumentException( "must  have  n  >  0  for  n! ");  }  double  logSum  =  0;  for  (int  i  =  2;  i  <=  n;  i++)  {  logSum  +=  Math.log((double)i);  }  return  logSum;  }  [CLASS]  MathUtils  [METHOD]  factorialLog  [RETURN_TYPE]  double  final  int  n  [VARIABLES]  short  NS  PS  ZS  boolean  long[]  factorials  double  EPSILON  SAFE_MIN  TWO_PI  logSum  x  y  byte  NB  PB  ZB  int  i  n  	projects/Math93/src/java/org/apache/commons/math/util/MathUtils.java	0.7071067811865475	394	394	1	replace	    if(factorials  ==  null)  {  for(int  i  =  0;  i  <  n;  i++)  {  logSum  +=  Math.log((  int)i);  }		non-compiled	[CE]  illegal  start  of  expression	12	None	add
44	[BUG]  [BUGGY]    if(factorials  ==  null)  {  for(int  i  =  0,  n  =  factorials.length;  i  <  n;  i++)  {  logSum  +=  Math.log((  double)i);  }  [CE]  illegal  start  of  expression  [CONTEXT]  public  static  double  factorialLog(final  int  n)  {  [BUGGY]    if(factorials  ==  null)  {  for(int  i  =  0,  n  =  factorials.length;  i  <  n;  i++)  {  logSum  +=  Math.log((  double)i);  }  [BUGGY]  if  (n  <  0)  {  throw  new  IllegalArgumentException( "must  have  n  >  0  for  n! ");  }  double  logSum  =  0;  for  (int  i  =  2;  i  <=  n;  i++)  {  logSum  +=  Math.log((double)i);  }  return  logSum;  }  [CLASS]  MathUtils  [METHOD]  factorialLog  [RETURN_TYPE]  double  final  int  n  [VARIABLES]  short  NS  PS  ZS  boolean  long[]  factorials  double  EPSILON  SAFE_MIN  TWO_PI  logSum  x  y  byte  NB  PB  ZB  int  i  n  	projects/Math93/src/java/org/apache/commons/math/util/MathUtils.java	0.7071067811865475	394	394	1	replace	    if(factorials  ==  null)  {  for(int  i  =  0,  n  =  factorials.length;  i  <  n;  i++)  {  logSum  +=  Math.log((  double)i);  }		non-compiled	[CE]  illegal  start  of  expression	12	None	add
45	[BUG]  [BUGGY]    if(factorials  ==  null)  {  for(int  i  =  0,  n  =  factorials.length;  i  <  0;  i++)  {  logSum  +=  Math.log((  double)i);  }  [CE]  illegal  start  of  expression  [CONTEXT]  public  static  double  factorialLog(final  int  n)  {  [BUGGY]    if(factorials  ==  null)  {  for(int  i  =  0,  n  =  factorials.length;  i  <  0;  i++)  {  logSum  +=  Math.log((  double)i);  }  [BUGGY]  if  (n  <  0)  {  throw  new  IllegalArgumentException( "must  have  n  >  0  for  n! ");  }  double  logSum  =  0;  for  (int  i  =  2;  i  <=  n;  i++)  {  logSum  +=  Math.log((double)i);  }  return  logSum;  }  [CLASS]  MathUtils  [METHOD]  factorialLog  [RETURN_TYPE]  double  final  int  n  [VARIABLES]  short  NS  PS  ZS  boolean  long[]  factorials  double  EPSILON  SAFE_MIN  TWO_PI  logSum  x  y  byte  NB  PB  ZB  int  i  n  	projects/Math93/src/java/org/apache/commons/math/util/MathUtils.java	0.7071067811865475	394	394	1	replace	    if(factorials  ==  null)  {  for(int  i  =  0,  n  =  factorials.length;  i  <  0;  i++)  {  logSum  +=  Math.log((  double)i);  }		non-compiled	[CE]  illegal  start  of  expression	12	None	add
51	[BUG]  [BUGGY]    long[]  factorials  =(long[])factorials.clone();  [CE]  variable  factorials  might  not  have  been  initialized  [CONTEXT]  public  static  long  factorial(final  int  n)  {  [BUGGY]    long[]  factorials  =(long[])factorials.clone();  [BUGGY]  long  result  =  Math.round(factorialDouble(n));  if  (result  ==  Long.MAX_VALUE)  {  throw  new  ArithmeticException(   "factorial  value  is  too  large  to  fit  in  a  long ");  }  return  factorials[n];  }  [CLASS]  MathUtils  [METHOD]  factorial  [RETURN_TYPE]  long  final  int  n  [VARIABLES]  boolean  long[]  factorials  double  EPSILON  SAFE_MIN  TWO_PI  logSum  x  y  byte  NB  PB  ZB  short  NS  PS  ZS  int  n  long  result  	projects/Math93/src/java/org/apache/commons/math/util/MathUtils.java	0.7071067811865475	345	345	1	replace	    long[]  factorials  =(long[])factorials.clone();		non-compiled	[CE]  variable  factorials  might  not  have  been  initialized	4	None	add
