projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891input=input.trim();
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891input=this.input.trim();
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){input=input.trim();}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891input=(input!=null)?null:input.trim();
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){Stringinput=input.toUpperCase(java.util.Locale.ENGLISH);if(input!=null){returnnull;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){Stringinput=input.toUpperCase(java.util.Locale.ENGLISH);if(input!=null){returnnewDoubleMetaphoneResult();}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){Stringinput=input.toUpperCase(java.util.Locale.ENGLISH);if(input.length()==0){returnDoubleMetaphoneResult.DEFAULT;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){Stringinput=input.toUpperCase(java.util.Locale.ENGLISH);if(input==null){returnDoubleMetaphoneResult.None.class;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){Stringinput=input.toUpperCase(java.util.Locale.ENGLISH);if(input==null||input.length()==0){returnnull;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){Stringinput=input.toUpperCase(java.util.Locale.ENGLISH);if(input.length()==0){returnDoubleMetaphoneResult.UNKNOWN;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){Stringinput=input.toUpperCase(java.util.Locale.ENGLISH);if(input==null){returnDoubleMetaphoneResult.NULL;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){Stringinput=input.toUpperCase(java.util.Locale.ENGLISH);if(input.length()==0){returnDoubleMetaphoneResult.None.class;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891input=input.toUpperCase(java.util.Locale.ENGLISH);
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891input=input.toLowerCase();
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891input=input.toLowerCase(java.util.Locale.ENGLISH);
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){input=input.trim();}else{cleanInput();returnnull;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){Stringinput=input.toUpperCase(java.util.Locale.ENGLISH);if(input.length()==0){returnnull;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){Stringinput=input.trim();if(input.length()==0){returnnull;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){Stringinput=input.trim();if(input==null||input.length()==0){returnnull;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){Stringinput=input.toUpperCase(java.util.Locale.ENGLISH);if(input.length()==0||input.length()==0){returnnull;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){Stringinput=input.trim();if(input==null){returnnull;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){Stringinput=input.toUpperCase(java.util.Locale.ENGLISH);returnnewDoubleMetaphoneResult(input);}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(this.cleanInput!=null){Stringinput=(String)this.cleanInput.toUpperCase(Locale.ENGLISH);if(input!=null){returnnull;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(this.cleanInput!=null){Stringinput=this.cleanInput.toUpperCase(Locale.ENGLISH);if(input!=null){returnnull;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(this.cleanInput!=null){Stringinput=(String)this.cleanInput.toUpperCase(Locale.ENGLISH);if(input==null){returnnull;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(this.cleanInput!=null){Stringinput=this.cleanInput.toUpperCase(java.util.Locale.ENGLISH);if(input!=null){returnnull;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(this.cleanInput!=null){Stringinput=this.cleanInput.toUpperCase(Locale.ENGLISH);if(input==null){returnnull;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(this.cleanInput!=null){Stringinput=(String)this.cleanInput.toUpperCase(java.util.Locale.ENGLISH);if(input!=null){returnnull;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891charinput=this.cleanInput.toUpperCase(java.util.Locale.ENGLISH);if(input!=null){returnnull;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891mutableFor(input!=null){input=input.trim();}else{cleanInput=null;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891mutableFor(input==null){input=input.trim();}else{cleanInput=null;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891mutableFor(input!=null){input=input.trim();}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891mutableFor(input==null){input=input.trim();}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891mutableFor(input!=null){if(input!=null){input=input.trim();}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891mutableFor(input!=null){input=input.trim();}elseif(input.length()==0){returnnull;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891mutableFor(input!=null){input=input.trim();}elseif(input.length()==0){cleanInput=null;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891mutableFor(input!=null){if(input==null){input=input.trim();}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891Stringinput=(input==null)?null:input.toUpperCase(Locale.ENGLISH);
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891charinput=(input==null)?null:input.toUpperCase(java.util.Locale.ENGLISH);
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891Stringinput=(input!=null)?null:input.toUpperCase(Locale.ENGLISH);
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891charinput=(input==null)?null:input.toUpperCase(Locale.ENGLISH);
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891finalStringinput=(input==null)?null:input.toUpperCase(java.util.Locale.ENGLISH);
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891Stringinput=(input==null)?null:input.toLowerCase(Locale.ENGLISH);
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891Objectinput=(input==null)?null:input.toUpperCase(java.util.Locale.ENGLISH);
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891Stringinput=(input==null)?null:input.trim();
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){Stringinput=input.toUpperCase(Locale.ENGLISH);if(input==null){returnDoubleMetaphoneResult.NULL;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(this.cleanInput!=null){Stringinput=input.toUpperCase(Locale.ENGLISH);if(input==null){returnDoubleMetaphoneResult.NULL;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(cleanInput!=null){Stringinput=input.toUpperCase(Locale.ENGLISH);if(input==null){returnDoubleMetaphoneResult.NULL;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input==null){Stringinput=input.toUpperCase(Locale.ENGLISH);if(input!=null){returnDoubleMetaphoneResult.NULL;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(cleanInput==null){Stringinput=input.toUpperCase(Locale.ENGLISH);if(input!=null){returnDoubleMetaphoneResult.NULL;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input==null){Stringinput=input.toUpperCase(Locale.ENGLISH);if(input==null){returnDoubleMetaphoneResult.NULL;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){Stringinput=input.toUpperCase(Locale.ENGLISH);if(input!=null){returnDoubleMetaphoneResult.NULL;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){input=DoubleMetaphoneResult.toUpperCase(java.util.Locale.ENGLISH);}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){input=DoubleMetaphoneResult.toUpperCase(Locale.ENGLISH);}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){input=DoubleMetaphoneResult.toUpperCase(Locale.ENGLISH);}else{returnDoubleMetaphoneResult.toUpperCase(Locale.ENGLISH);}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input==null){input=DoubleMetaphoneResult.toUpperCase(java.util.Locale.ENGLISH);}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input==null){input=DoubleMetaphoneResult.toUpperCase(Locale.ENGLISH);}else{returnDoubleMetaphoneResult.toUpperCase(Locale.ENGLISH);}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891returnDoubleMetaphoneResult.toUpperCase(java.util.Locale.ENGLISH);
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){input=DoubleMetaphoneResult.toUpperCase(java.util.Locale.ENGLISH);}else{returnDoubleMetaphoneResult.toUpperCase(
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input==null){input=DoubleMetaphoneResult.toUpperCase(Locale.ENGLISH);}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891input=String.valueOf(input.toUpperCase());
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){input=String.valueOf(input.toLowerCase());}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input==null){input=String.valueOf(input.toLowerCase());}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891input=String.valueOf(input.toLowerCase()+1);
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){input=String.valueOf(input.toLowerCase());}else{thrownewIllegalArgumentException("");}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){input=String.valueOf(input.toLowerCase());}else{returnnull;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input==null){input=String.valueOf(input.toLowerCase());}else{thrownewIllegalArgumentException("");}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input.length()==0){input=String.valueOf(input.toLowerCase());}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891input=this.input.substring(0,this.input.length()-1);
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891input=(input==null)?null:input.trim();
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){input=this.input.trim();}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){input=this.input.trim();}else{thrownewIllegalArgumentException("");}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){input=this.input.trim();}else{thrownewIllegalStateException("");}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891input=this.input.trim()+"n";
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891input=this.input.substring(0,this.input.length()-2);
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){Stringinput=input.toUpperCase(Locale.ENGLISH);if(input==null||input.length()==0){returnnull;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(cleanInput!=null){Stringinput=input.toUpperCase(Locale.ENGLISH);if(input==null||input.length()==0){returnnull;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input==null){Stringinput=input.toUpperCase(Locale.ENGLISH);if(input==null||input.length()==0){returnnull;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(cleanInput==null){Stringinput=input.toUpperCase(Locale.ENGLISH);if(input==null||input.length()==0){returnnull;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input==null){Stringinput=input.toUpperCase(Locale.ENGLISH);if(input!=null||input.length()==0){returnnull;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(cleanInput==null){Stringinput=input.toUpperCase(Locale.ENGLISH);if(input!=null||input.length()==0){returnnull;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input==null){Stringinput=input.trim();if(input.length()==0){returnnull;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891mutableFor(input!=null){input=input.trim();}else{thrownewIllegalArgumentException("");}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891mutableFor(input==null){input=input.trim();}else{thrownewIllegalArgumentException("");}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891mutableFor(input!=null){input=input.trim();}elseif(input.length()==0){thrownewIllegalArgumentException("");}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891mutableFor(input==null){input=input.trim();}elseif(input.length()==0){thrownewIllegalArgumentException("");}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891mutableFor(input==null){input=input.trim();}elseif(input.length()==0){returnnull;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(cleanInput!=null){Stringinput=input.toUpperCase(Locale.ENGLISH);if(input.length()==0){returnDoubleMetaphoneResult.UNKNOWN;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){Stringinput=input.toUpperCase(Locale.ENGLISH);if(input.length()==0){returnDoubleMetaphoneResult.UNKNOWN;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(cleanInput==null){Stringinput=input.toUpperCase(Locale.ENGLISH);if(input.length()==0){returnDoubleMetaphoneResult.UNKNOWN;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(this.cleanInput!=null){Stringinput=input.toUpperCase(Locale.ENGLISH);if(input.length()==0){returnDoubleMetaphoneResult.UNKNOWN;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(cleanInput!=null){Stringinput=input.toUpperCase(java.util.Locale.ENGLISH);if(input.length()==0){returnDoubleMetaphoneResult.UNKNOWN;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input==null){Stringinput=input.toUpperCase(Locale.ENGLISH);if(input.length()==0){returnDoubleMetaphoneResult.UNKNOWN;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891finalStringinput=input.toUpperCase(java.util.Locale.ENGLISH);if(input.length()==0){returnDoubleMetaphoneResult.UNKNOWN;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(cleanInput!=null){Stringinput=input.toUpperCase(Locale.ENGLISH);if(input.length()==0){returnDoubleMetaphoneResult.DEFAULT;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){Stringinput=input.toUpperCase(Locale.ENGLISH);if(input.length()==0){returnDoubleMetaphoneResult.DEFAULT;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(cleanInput==null){Stringinput=input.toUpperCase(Locale.ENGLISH);if(input.length()==0){returnDoubleMetaphoneResult.DEFAULT;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(cleanInput!=null){Stringinput=input.toUpperCase(java.util.Locale.ENGLISH);if(input.length()==0){returnDoubleMetaphoneResult.DEFAULT;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input==null){Stringinput=input.toUpperCase(Locale.ENGLISH);if(input.length()==0){returnDoubleMetaphoneResult.DEFAULT;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){Stringinput=input.trim();if(input.length()==0){returnDoubleMetaphoneResult.DEFAULT;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891finalStringinput=input.toUpperCase(java.util.Locale.ENGLISH);if(input.length()==0){returnDoubleMetaphoneResult.DEFAULT;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){Stringinput=input.toUpperCase(Locale.ENGLISH);if(input==null){returnnewDoubleMetaphoneResult();}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input==null){Stringinput=input.toUpperCase(Locale.ENGLISH);if(input!=null){returnnewDoubleMetaphoneResult();}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(cleanInput!=null){Stringinput=input.toUpperCase(Locale.ENGLISH);if(input==null){returnnewDoubleMetaphoneResult();}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(this.cleanInput!=null){Stringinput=input.toUpperCase(Locale.ENGLISH);if(input==null){returnnewDoubleMetaphoneResult();}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(cleanInput==null){Stringinput=input.toUpperCase(Locale.ENGLISH);if(input!=null){returnnewDoubleMetaphoneResult();}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){Stringinput=input.toUpperCase(Locale.ENGLISH);if(input!=null){returnnewDoubleMetaphoneResult();}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(cleanInput!=null){Stringinput=input.toUpperCase(Locale.ENGLISH);if(input!=null){returnnewDoubleMetaphoneResult();}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input==null){Stringinput=input.toUpperCase(Locale.ENGLISH);if(input==null){returnnewDoubleMetaphoneResult();}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(this.cleanInput!=null){Stringinput=this.cleanInput.toUpperCase(java.util.Locale.ENGLISH);if(input==null){returnnull;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(this.cleanInput!=null){Stringinput=(String)this.cleanInput.toUpperCase(java.util.Locale.ENGLISH);if(input==null){returnnull;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(this.cleanInput==null){Stringinput=(String)this.cleanInput.toUpperCase(Locale.ENGLISH);if(input==null){returnnull;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891charinput=this.cleanInput.toUpperCase(java.util.Locale.ENGLISH);if(input==null){returnnull;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891Stringinput=(String)this.cleanInput.toUpperCase(Locale.ENGLISH);if(input==null){returnnull;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){input=String.valueOf(input.trim());}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891input=String.valueOf(input.toString());
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891input=String.valueOf(input.length());
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891input=String.valueOf(input.toCharArray());
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891input=String.valueOf(input.substring(1));
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891input=String.valueOf(input.trim()).toLowerCase();
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){input=this.input.toLowerCase(Locale.ENGLISH);}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input==null){input=this.input.toLowerCase(Locale.ENGLISH);}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(this.input!=null){input=this.input.toLowerCase(Locale.ENGLISH);}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){input=this.input.toLowerCase(Locale.ENGLISH);}else{returnnull;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input.length()==0){input=this.input.toLowerCase(Locale.ENGLISH);}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input==null){input=this.input.toLowerCase(Locale.ENGLISH);}else{returnnull;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){input=this.input.toLowerCase(Locale.ENGLISH);}else{thrownewIllegalArgumentException("");}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){input=this.input.toLowerCase(java.util.Locale.ENGLISH);}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input==null){input=this.input.toLowerCase(Locale.ENGLISH);}else{thrownewIllegalArgumentException("");}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891Stringinput=(String)this.cleanInput.toUpperCase(Locale.ENGLISH);
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891charinput=(char)this.cleanInput.toUpperCase(java.util.Locale.ENGLISH);
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891Stringinput=(String)this.cleanInput.toLowerCase(java.util.Locale.ENGLISH);
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891charinput=this.cleanInput.toUpperCase(java.util.Locale.ENGLISH);
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891charinput=(int)this.cleanInput.toUpperCase(java.util.Locale.ENGLISH);
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891Stringinput=(String)this.cleanInput.toUpperCase(java.util.Locale.ENGLISH,0);
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891Stringinput=(String)this.cleanInput.toUpperCase(java.util.Locale.ENGLISH,1);
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891Stringinput=(String)this.cleanInput.toUpperCase(java.util.Locale.ENGLISH,2);
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891charinput=(input==null)?null:input.toLowerCase(java.util.Locale.ENGLISH);
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891Stringinput=(input!=null)?null:input.toLowerCase(Locale.ENGLISH);
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891finalStringinput=(input==null)?null:input.toLowerCase(java.util.Locale.ENGLISH);
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891Stringinput=(input!=null)?null:input.toLowerCase(java.util.Locale.ENGLISH);
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){Stringinput=input.toUpperCase(Locale.ENGLISH);if(input!=null){returnnull;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input==null){Stringinput=input.toUpperCase(Locale.ENGLISH);if(input!=null){returnnull;}
